Name	Brain - Hippocampus
DDX11L1	0
WASH7P	1.68599
MIR6859-1	0
MIR1302-2HG	0
FAM138A	0
OR4G4P	0.0529141
OR4G11P	0.0775019
OR4F5	0.103119
RP11-34P13.7	0.0200628
CICP27	0.0137078
RP11-34P13.15	1.38786
RP11-34P13.16	1.28238
RP11-34P13.14	0
RP11-34P13.13	0.0491965
RNU6-1100P	0
RP11-34P13.9	0
ABC7-43046700E7.1	0.0511614
RP11-34P13.18	3.36345
MIR6859-2	0
AP006222.2	0.301409
RPL23AP24	0.0723894
RP5-857K21.15	0
RP4-669L17.2	0.0378431
RP4-669L17.10	0.11182
WBP1LP7	0.122446
OR4F29	0.0681476
CICP7	0.0112652
RP4-669L17.8	0.011958
U6	0
RP5-857K21.4	0.0462937
RP5-857K21.2	0
WBP1LP6	0.0680873
OR4F16	0.0521948
RP11-206L10.17	0
CICP3	0.121364
RP11-206L10.2	0.535358
RNU6-1199P	0
RP11-206L10.4	0.065583
RP11-206L10.9	0.429235
RP11-206L10.8	0.376882
FAM87B	0.211438
LINC01128	3.43053
LINC00115	1.86624
FAM41C	0.0896856
TUBB8P11	0.12736
FAM166AP3	0.0577143
RP11-54O7.16	0.384547
RP11-54O7.1	0.214642
RP11-54O7.2	0
RP11-54O7.3	0.909985
SAMD11	0.905649
KLHL17	4.09669
PLEKHN1	0.119395
PERM1	0.153179
RP11-54O7.17	2.10327
RP11-54O7.10	0
RP11-54O7.11	0.246872
RP11-465B22.3	0.872331
RP11-54O7.18	0.127792
RNF223	0.0709371
LINC01342	0.0751137
MIR200B	0
MIR200A	0
MIR429	0
RP11-465B22.8	0.0908009
TTLL10-AS1	0.122268
TTLL10	0.19656
TNFRSF18	0.508202
TNFRSF4	1.00611
C1QTNF12	0.674847
RP5-902P8.12	0.357645
LINC01786	3.04402
MIR6726	0
MIR6727	0
TAS1R3	0.37334
MIR6808	0
NDUFB4P8	0.229938
RP4-758J18.13	3.50968
RP4-758J18.7	2.57707
LINC01770	0.798545
ATAD3C	2.0994
RP5-832C2.5	1.36891
RP11-345P4.11	0.0627526
MMP23B	0.0998798
RP11-345P4.10	0
RP11-345P4.6	0.440511
MMP23A	0.0593551
RP1-283E3.4	2.79159
SLC35E2	1.89516
RP1-140A9.1	1.29172
CALML6	0.548293
TMEM52	0.846166
CFAP74	0.985599
RP11-547D24.1	0.314041
RP11-547D24.3	0
RP5-892K4.1	0.0603769
PRKCZ-AS1	3.59566
RP11-181G12.4	0
MORN1	0.929028
RP4-713A8.1	0.414133
RP4-740C4.5	1.43683
RP4-740C4.7	4.16763
RP3-395M20.2	0.552372
RP3-395M20.3	0.627004
HES5	2.90543
RP3-395M20.12	2.68302
RP3-395M20.8	0.314921
RP3-395M20.7	0.0472023
RP3-395M20.9	0.326146
MMEL1	0.242546
RP13-436F16.1	0
TTC34	0.611926
ABC14-1188822O7.1	0.0148449
RP11-740P5.2	0
RP11-740P5.3	0
ACTRT2	0
PRDM16	1.9751
MIR4251	0
RP1-163G9.2	0
RP11-193J6.1	0.0222492
RP11-22L13.1	0.0948328
ARHGEF16	0.864517
RP11-168F9.2	0
MEGF6	1.31538
MIR551A	0
RP11-46F15.2	3.51135
TP73	0.727147
RP5-1092A11.5	0
RP5-1092A11.2	0
CCDC27	0.0254851
SMIM1	0.893511
RN7SL574P	0.125725
RP1-286D6.5	1.17111
DFFB	3.64355
LINC01134	0.068662
LINC01346	0.050575
LINC01345	0.0139817
EEF1DP6	0
LINC01777	0
RP1-37J18.1	0
LINC01646	0
AJAP1	4.51029
RP11-542C10.1	0
RP1-58B11.1	0
RP3-491M17.1	0
RP11-154H17.1	0.152712
MIR4417	0
MIR4689	0
NPHP4	4.44664
RP1-120G22.11	0.811688
RNF207	3.07332
LINC00337	0.0142375
HES3	0
HES2	0.0132861
ESPN	0.148405
MIR4252	0
RP1-202O8.2	0
NOL9	4.45759
RNU6-731P	0
RP11-58A11.2	0.0785969
TAS1R1	0.0990423
LINC01672	0
RP11-312B8.1	0.292943
RP11-312B8.2	0
RP11-334N17.1	0
RNU1-8P	0
CAMTA1-IT1	0.159898
RP3-453P22.2	0
RP4-549F15.1	0
RP11-338N10.1	1.26226
RP11-338N10.2	0.985425
RP11-338N10.3	1.76935
RP3-467L1.6	2.01961
RP3-467L1.4	0.811033
UTS2	0
TNFRSF9	0.00812596
RP5-892F13.2	0
Y_RNA	0
RP11-431K24.1	0.105533
CTA-215D11.4	0
RP11-431K24.2	0
LINC01714	0
RNU1-7P	0
RP11-431K24.4	0
RNU6-991P	0
Y_RNA	0
RP5-1115A15.1	0.127934
SNORA77	0.383137
RP5-1115A15.2	0.073627
RPL7P11	0
RPL7P7	0
Y_RNA	0
RP4-633I8.3	0
RP4-633I8.4	0
RPL23AP19	0
MIR6728	0
ENO1-IT1	0.0456162
ENO1-AS1	0.345987
RNU6-304P	0
HMGN2P17	0
RP3-477M7.5	0
RP3-477M7.6	0
CA6	0.0193259
RN7SL451P	0
SLC2A7	0
SLC2A5	3.70297
SCARNA16	0
GPR157	0.271385
MIR34AHG	1.04035
LINC01759	0.198236
RP3-510D11.4	0.0500674
RNA5SP40	0
RP13-392I16.1	0
RP13-15M17.1	0.183847
TMEM201	4.99647
PIK3CD	4.80408
PIK3CD-AS1	0.00731985
RP11-558F24.2	0
PIK3CD-AS2	0.225844
MZT1P1	0
RP11-84A14.7	0.053042
RP11-84A14.4	0.167636
NMNAT1	2.34168
RN7SKP269	0.0662376
RP11-84A14.6	0.182332
MIR5697	0
RP11-496H15.2	0
PGAM1P11	0
RNU6-828P	0
MIR1273D	0
RNU6-37P	0.263042
RP4-736L20.3	0
RN7SL614P	0
CASZ1	0.128254
RP4-734G22.3	0.0862377
HSPE1P24	0
C1orf127	0.0366531
CFL1P6	0
MASP2	1.1783
RP4-635E18.7	1.43982
RP4-635E18.6	1.32258
MTOR-AS1	0
RNU6-537P	0
ANGPTL7	0.111638
RNU6-291P	0
RPL39P6	0
UBIAD1	3.15161
UBE2V2P3	0
MTCYBP45	0
DISP3	1.80736
LINC01647	0
DRAXIN	0.412473
C1orf167	0.00705791
RP11-56N19.5	0
MTHFR	4.59052
NPPA-AS1	0.862855
NPPA	2.51846
NPPB	0.254026
RP5-934G17.6	0.00920892
RNU5E-1	0
RNU5E-4P	0
RP5-1077B9.5	0
Y_RNA	0
MIR6729	0
RN7SL649P	0
TNFRSF8	0.0504099
RNU6-777P	0
RPL23AP89	0
MIR7846	0
MIR4632	0
RPL10P17	0
SNORA70	0
SNORA59A	0.520473
RP5-888M10.2	0
RNU6ATAC18P	0
MIR6730	0
RP11-474O21.5	0.280443
AADACL4	0
RP11-474O21.2	0
AADACL3	0
C1orf158	0.185512
PRAMEF12	0
PRAMEF1	0
LINC01784	0
PRAMEF11	0
PRAMEF30P	0
HNRNPCL1	0.0387043
PRAMEF2	0
PRAMEF4	0
PRAMEF10	0
PRAMEF7	0
RNU6-1072P	0
PRAMEF29P	0
PRAMEF6	0
PRAMEF28P	0
PRAMEF27	0
HNRNPCL3	0
PRAMEF25	0
PRAMEF34P	0
PRAMEF35P	0
HNRNPCL2	0
PRAMEF36P	0
RP13-221M14.2	0
PRAMEF26	0
HNRNPCL4	0
PRAMEF9	0
PRAMEF13	0
PRAMEF18	0
PRAMEF31P	0
PRAMEF5	0
PRAMEF32P	0
RNU6-771P	0
PRAMEF8	0
PRAMEF33	0
PRAMEF15	0
RP11-219C24.10	0
PRAMEF14	0
PRAMEF19	0
PRAMEF17	0
PRAMEF20	0
LRRC38	0.0925438
RP4-597A16.2	0
BRWD1P1	0
PDPN	4.21093
RNA5SP41	0
CTA-520D8.2	0
SCARNA11	0
RNU6-1265P	0
RP11-344F13.1	0
RP4-704D23.1	0
TBCAP2	0
TMEM51-AS1	0.506534
TMEM51	3.77013
C1orf195	0
RP1-21O18.3	0.0667116
RP5-903E17.2	0
FHAD1	0.315543
RP3-467K16.2	0.0680543
RP3-467K16.7	0.0466933
RP3-467K16.4	0.108648
CTRC	0.0877115
CELA2A	0.0928355
CELA2B	0.0738426
DNAJC16	3.42943
SCARNA21	0
RP4-680D5.8	0.193393
AGMAT	0.593543
RP4-680D5.2	0.123782
CHCHD2P6	0.941033
RNU7-179P	0
CD24P1	0
DDI2	3.75459
RP4-680D5.9	0.0877549
RP11-288I21.1	0.225249
SLC25A34	1.72118
TMEM82	0
RP11-169K16.4	0
FBLIM1	0.934579
RPL12P14	0.0584638
UQCRHL	4.04752
RP11-169K16.8	0.40462
FLJ37453	3.38978
RP1-134O19.3	0
RP11-5P18.1	0
RP11-5P18.3	0
RP11-5P18.11	0
TBC1D3P6	0
C1orf64	2.26182
