Name	Brain - Hypothalamus
DDX11L1	0
WASH7P	1.74811
MIR6859-1	0
MIR1302-2HG	0.0247143
FAM138A	0
OR4G4P	0.039666
OR4G11P	0.0639793
OR4F5	0.0831419
RP11-34P13.7	0.0192925
CICP27	0.0239156
RP11-34P13.15	1.81518
RP11-34P13.16	1.85153
RP11-34P13.14	0
RP11-34P13.13	0.0573519
RNU6-1100P	0
RP11-34P13.9	0
ABC7-43046700E7.1	0.0520401
RP11-34P13.18	3.67568
MIR6859-2	0
AP006222.2	0.598084
RPL23AP24	0.0926046
RP5-857K21.15	0
RP4-669L17.2	0.0264709
RP4-669L17.10	0.116656
WBP1LP7	0.097373
OR4F29	0.0541393
CICP7	0.0100722
RP4-669L17.8	0
U6	0
RP5-857K21.4	0.049119
RP5-857K21.2	0
WBP1LP6	0.0646099
OR4F16	0.0431756
RP11-206L10.17	0
CICP3	0.142696
RP11-206L10.2	0.682738
RNU6-1199P	0
RP11-206L10.4	0.0645606
RP11-206L10.9	0.534395
RP11-206L10.8	0.480742
FAM87B	0.332752
LINC01128	4.38546
LINC00115	1.98985
FAM41C	0.116404
TUBB8P11	0.156546
FAM166AP3	0.0553086
RP11-54O7.16	0.397106
RP11-54O7.1	0.273721
RP11-54O7.2	0
RP11-54O7.3	2.05914
SAMD11	3.6416
PLEKHN1	0.118439
PERM1	0.1278
RP11-54O7.17	2.75265
RP11-54O7.10	0
RP11-54O7.11	0.607036
RP11-465B22.3	1.58296
RP11-54O7.18	0.205691
RNF223	0.0816547
LINC01342	0.0788422
MIR200B	0
MIR200A	0
MIR429	0
RP11-465B22.8	0.0922352
TTLL10-AS1	0.123876
TTLL10	0.271565
TNFRSF18	0.440855
TNFRSF4	0.59837
C1QTNF12	1.61194
RP5-902P8.12	0.341378
LINC01786	3.22659
MIR6726	0
MIR6727	0
TAS1R3	0.4423
MIR6808	0
NDUFB4P8	0.227256
RP4-758J18.13	4.18646
RP4-758J18.7	1.98579
LINC01770	0.816942
ATAD3C	1.48375
RP5-832C2.5	1.89929
RP11-345P4.11	0.0711117
MMP23B	0.150992
RP11-345P4.10	0
RP11-345P4.6	0.598721
MMP23A	0.14189
RP1-283E3.4	2.8662
SLC35E2	1.84385
RP1-140A9.1	1.62917
CALML6	0.650991
TMEM52	1.6298
CFAP74	0.911094
RP11-547D24.1	0.131163
GABRD	3.04091
RP11-547D24.3	0
RP5-892K4.1	0.0766106
PRKCZ-AS1	4.73694
RP11-181G12.4	0.153291
MORN1	1.26232
RP4-713A8.1	0.372126
RP4-740C4.5	1.7119
RP4-740C4.7	3.73841
RP3-395M20.2	0.675054
RP3-395M20.3	0.806831
