Name	Brain - Nucleus accumbens (basal ganglia)
DDX11L1	0
WASH7P	1.53899
MIR6859-1	0
MIR1302-2HG	0.0306685
FAM138A	0
OR4G4P	0.0445129
OR4G11P	0.0592968
OR4F5	0.0814785
RP11-34P13.7	0.020002
CICP27	0.0219216
RP11-34P13.15	1.0647
RP11-34P13.16	1.16742
RP11-34P13.14	0
RP11-34P13.13	0.0512495
RNU6-1100P	0
RP11-34P13.9	0
ABC7-43046700E7.1	0.0330494
RP11-34P13.18	3.07215
MIR6859-2	0
AP006222.2	0.432396
RPL23AP24	0.0791308
RP5-857K21.15	0
RP4-669L17.2	0.0245595
RP4-669L17.10	0.155753
WBP1LP7	0.110535
OR4F29	0.0595975
CICP7	0.00998301
RP4-669L17.8	0.0139662
U6	0
RP5-857K21.4	0.0505304
RP5-857K21.2	0
WBP1LP6	0.0667593
OR4F16	0.0570243
RP11-206L10.17	0
CICP3	0.175556
RP11-206L10.2	0.59671
RNU6-1199P	0
RP11-206L10.4	0.057026
RP11-206L10.9	0.594027
RP11-206L10.8	0.489239
FAM87B	0.278206
LINC01128	4.53488
LINC00115	2.04588
FAM41C	0.1176
TUBB8P11	0.156073
FAM166AP3	0.0570065
RP11-54O7.16	0.51081
RP11-54O7.1	0.302131
RP11-54O7.2	0
RP11-54O7.3	0.605632
SAMD11	1.06347
KLHL17	4.35202
PLEKHN1	0.132492
PERM1	0.130712
RP11-54O7.17	3.55433
RP11-54O7.10	0.151468
RP11-54O7.11	0.729432
RP11-465B22.3	1.51154
RP11-54O7.18	0.238805
RNF223	0.0647539
LINC01342	0.0689566
MIR200B	0
MIR200A	0
MIR429	0
RP11-465B22.8	0.0792351
TTLL10-AS1	0.0660635
TTLL10	0.0963919
TNFRSF18	0.220825
TNFRSF4	0.448421
C1QTNF12	0.677909
RP5-902P8.12	0.413352
LINC01786	4.54143
MIR6726	0
MIR6727	0
TAS1R3	0.470267
MIR6808	0
NDUFB4P8	0.247508
RP4-758J18.13	4.35178
RP4-758J18.7	2.2096
LINC01770	0.711193
ATAD3C	1.33632
RP5-832C2.5	1.70813
RP11-345P4.11	0.069268
MMP23B	0.133078
RP11-345P4.10	0
RP11-345P4.6	0.550003
MMP23A	0.16199
RP1-283E3.4	3.60489
SLC35E2	2.00686
RP1-140A9.1	1.95831
CALML6	0.976929
TMEM52	1.15383
CFAP74	1.8785
RP11-547D24.1	0.584991
RP11-547D24.3	0
RP5-892K4.1	0.0996056
FAAP20	4.75304
RP11-181G12.4	0.144566
MORN1	1.87213
RP4-713A8.1	0.654068
RP4-740C4.5	1.95354
RP3-395M20.2	0.633783
RP3-395M20.3	0.753276
RP3-395M20.8	0.254851
RP3-395M20.7	0.0400971
RP3-395M20.9	0.217829
MMEL1	0.654394
RP13-436F16.1	0
TTC34	0.670315
ABC14-1188822O7.1	0.0417725
RP11-740P5.2	0
RP11-740P5.3	0
ACTRT2	0
PRDM16	3.46478
MIR4251	0
RP1-163G9.2	0
RP11-193J6.1	0.0322354
RP11-22L13.1	0.362271
ARHGEF16	0.59982
RP11-168F9.2	0
MEGF6	1.40942
MIR551A	0
RP11-46F15.2	4.02267
TP73	0.250265
RP5-1092A11.5	0
RP5-1092A11.2	0
CCDC27	0.0249365
SMIM1	0.682775
RN7SL574P	0.164847
RP1-286D6.5	1.40219
LINC01134	0.0667055
LINC01346	0.0339726
LINC01345	0
EEF1DP6	0
LINC01777	0
RP1-37J18.1	0
LINC01646	0
RP11-542C10.1	0
RP1-58B11.1	0
RP3-491M17.1	0
RP11-154H17.1	0.730704
MIR4417	0
MIR4689	0
RP1-120G22.11	0.424186
LINC00337	0.106325
HES3	0
GPR153	4.46991
HES2	0.00571173
ESPN	0.353252
MIR4252	0
RP1-202O8.2	0
NOL9	4.81117
RNU6-731P	0
RP11-58A11.2	0.105701
TAS1R1	0.156389
LINC01672	0
RP11-312B8.1	0.343918
RP11-312B8.2	0
RP11-334N17.1	0
RNU1-8P	0
CAMTA1-IT1	0.113317
RP3-453P22.2	0
RP4-549F15.1	0
RP11-338N10.1	1.36811
RP11-338N10.2	0.85853
RP11-338N10.3	1.60618
RP3-467L1.6	2.81408
RP3-467L1.4	0.781351
UTS2	0
TNFRSF9	0.00494704
RP5-892F13.2	0
Y_RNA	0
RP11-431K24.1	0.145053
CTA-215D11.4	0
RP11-431K24.2	0
LINC01714	0
RNU1-7P	0
RP11-431K24.4	0
RNU6-991P	0
Y_RNA	0
RP5-1115A15.1	0.26133
SNORA77	0.2277
RP5-1115A15.2	0.071084
RPL7P11	0
RPL7P7	0.0258356
Y_RNA	0
RP4-633I8.3	0
RP4-633I8.4	0
RPL23AP19	0
MIR6728	0
ENO1-IT1	0.0782182
ENO1-AS1	0.495008
RNU6-304P	0
HMGN2P17	0.0251436
RP3-477M7.5	0.077911
RP3-477M7.6	0
CA6	0
RN7SL451P	0
SLC2A7	0
SLC2A5	2.57158
SCARNA16	0
GPR157	0.34908
MIR34AHG	1.29051
LINC01759	0.339789
RP3-510D11.4	0.147674
SPSB1	4.85873
RNA5SP40	0
RP13-392I16.1	0
RP13-15M17.1	0.324535
TMEM201	4.98001
PIK3CD	2.72936
PIK3CD-AS1	0
RP11-558F24.2	0
PIK3CD-AS2	0.124734
MZT1P1	0
RP11-84A14.7	0.0431219
RP11-84A14.4	0.192279
NMNAT1	2.83485
RN7SKP269	0.0689898
RP11-84A14.6	0.0767121
MIR5697	0
RBP7	2.83767
RP11-496H15.2	0
PGAM1P11	0
RNU6-828P	0
MIR1273D	0
RNU6-37P	0.249035
RP4-736L20.3	0
RN7SL614P	0.0633331
CASZ1	0.482772
RP4-734G22.3	0.111969
HSPE1P24	0
C1orf127	0.253501
CFL1P6	0.0612471
