Name	Brain - Spinal cord (cervical c-1)
DDX11L1	0
WASH7P	2.73049
MIR6859-1	0
MIR1302-2HG	0
FAM138A	0
OR4G4P	0.0416046
OR4G11P	0.0571243
OR4F5	0.0707495
RP11-34P13.7	0.017476
CICP27	0.0243637
RP11-34P13.15	2.55968
RP11-34P13.16	2.4745
RP11-34P13.14	0
RP11-34P13.13	0.0696774
RNU6-1100P	0
RP11-34P13.9	0
ABC7-43046700E7.1	0.0497207
RP11-34P13.18	4.78993
MIR6859-2	0
AP006222.2	0.374227
RPL23AP24	0.112464
RP5-857K21.15	0
RP4-669L17.2	0
RP4-669L17.10	0.145421
WBP1LP7	0.0865886
OR4F29	0.0457516
CICP7	0
RP4-669L17.8	0
U6	0
RP5-857K21.4	0.0467128
RP5-857K21.2	0
WBP1LP6	0
OR4F16	0.034865
RP11-206L10.17	0
CICP3	0.119387
RP11-206L10.2	0.866576
RNU6-1199P	0
RP11-206L10.4	0.0471061
RP11-206L10.9	0.48752
RP11-206L10.8	0.447018
FAM87B	0.28586
LINC01128	3.37119
LINC00115	3.33238
FAM41C	0.0716934
TUBB8P11	0.0915394
FAM166AP3	0
RP11-54O7.16	0.490643
RP11-54O7.1	0.170452
RP11-54O7.2	0
RP11-54O7.3	2.69415
SAMD11	2.44271
KLHL17	4.05073
PLEKHN1	0.119489
PERM1	0.103716
RP11-54O7.17	1.39962
RP11-54O7.10	0
RP11-54O7.11	0.114006
RP11-465B22.3	0.394712
RP11-54O7.18	0.0760578
RNF223	0.0540015
LINC01342	0.0621615
MIR200B	0
MIR200A	0
MIR429	0
RP11-465B22.8	0.0875973
TTLL10-AS1	0.0618735
TTLL10	0.113484
TNFRSF18	0.523924
TNFRSF4	0.672487
C1QTNF12	1.03046
RP5-902P8.12	0.527524
LINC01786	3.21934
MIR6726	0
MIR6727	0
TAS1R3	0.395181
MIR6808	0
NDUFB4P8	0.155527
RP4-758J18.13	4.33354
LINC01770	1.14994
ATAD3C	4.64875
RP5-832C2.5	1.83093
RP11-345P4.11	0
MMP23B	0.099548
RP11-345P4.10	0
RP11-345P4.6	0.968806
MMP23A	0.101207
RP1-283E3.4	3.18848
SLC35E2	2.09519
RP1-140A9.1	1.26792
CALML6	0.330072
TMEM52	0.458317
CFAP74	0.195006
RP11-547D24.1	0.251334
GABRD	1.8261
RP11-547D24.3	0
RP5-892K4.1	0.0754816
RP11-181G12.4	0
MORN1	0.780774
RP4-713A8.1	0.223092
RP4-740C4.5	0.773662
RP4-740C4.7	1.31411
RP3-395M20.2	1.56124
RP3-395M20.3	1.9136
HES5	0.613343
RP3-395M20.12	1.05259
RP3-395M20.8	0.650759
RP3-395M20.7	0.0860515
RP3-395M20.9	0.236453
MMEL1	0.359631
RP13-436F16.1	0
TTC34	0.24153
ABC14-1188822O7.1	0
RP11-740P5.2	0
RP11-740P5.3	0
ACTRT2	0.0368217
LINC00982	0.950021
PRDM16	1.97112
MIR4251	0
RP1-163G9.2	0
RP11-193J6.1	0
RP11-22L13.1	0.0254823
ARHGEF16	4.39217
RP11-168F9.2	0.182973
MEGF6	2.16199
MIR551A	0
RP11-46F15.2	4.14653
TP73	0.956718
RP5-1092A11.5	0
RP5-1092A11.2	0
CCDC27	0.0367752
SMIM1	4.40645
RN7SL574P	0.171677
RP1-286D6.5	1.89435
LINC01134	0.128749
LINC01346	0.0187941
LINC01345	0
EEF1DP6	0
LINC01777	0
RP1-37J18.1	0
LINC01646	0
AJAP1	3.11655
RP11-542C10.1	0
RP1-58B11.1	0
RP3-491M17.1	0
RP11-154H17.1	0.0507924
MIR4417	0
MIR4689	0
NPHP4	3.47974
CHD5	1.918
RP1-120G22.11	0.541518
RNF207	2.92676
LINC00337	0
HES3	0
GPR153	0.958937
HES2	0.0074077
ESPN	0.14568
MIR4252	0
RP1-202O8.2	0
PLEKHG5	3.66836
NOL9	3.7036
RNU6-731P	0
RP11-58A11.2	0.0980597
TAS1R1	0.0902575
LINC01672	0
RP11-312B8.1	0.374683
RP11-312B8.2	0
RP11-334N17.1	0
RNU1-8P	0
CAMTA1-IT1	0.251714
RP3-453P22.2	0
RP4-549F15.1	0.368104
RP11-338N10.1	2.54537
RP11-338N10.2	1.94337
RP11-338N10.3	4.44684
RP3-467L1.6	2.13357
RP3-467L1.4	2.57733
UTS2	0.186883
TNFRSF9	0.0166948
RP5-892F13.2	0
Y_RNA	0
RP11-431K24.1	0.201707
CTA-215D11.4	0
RP11-431K24.2	0
LINC01714	0
RNU1-7P	0
RP11-431K24.4	0
RNU6-991P	0
Y_RNA	0
RP5-1115A15.1	0.160234
SNORA77	0.343686
RP5-1115A15.2	0.0916492
RPL7P11	0
RPL7P7	0
Y_RNA	0
RP4-633I8.3	0
RP4-633I8.4	0
RPL23AP19	0
MIR6728	0
ENO1-IT1	0.0597687
ENO1-AS1	0.506591
RNU6-304P	0
HMGN2P17	0.0475846
RP3-477M7.5	0
RP3-477M7.6	0
CA6	0.0133304
RN7SL451P	0
SLC2A7	0
SCARNA16	0
GPR157	0.334577
MIR34AHG	1.61245
LINC01759	0.284735
RP3-510D11.4	0.0547521
RNA5SP40	0
RP13-392I16.1	0
RP13-15M17.1	0.299061
PIK3CD	4.58794
PIK3CD-AS1	0.0404659
RP11-558F24.2	0
PIK3CD-AS2	0.189162
MZT1P1	0
RP11-84A14.7	0.0390269
RP11-84A14.4	0.221178
NMNAT1	3.55303
RN7SKP269	0.152537
RP11-84A14.6	0.269989
MIR5697	0
RP11-496H15.2	0
PGAM1P11	0
RNU6-828P	0
MIR1273D	0
RNU6-37P	0.200751
RP4-736L20.3	0
CORT	1.9551
RN7SL614P	0.0821582
CASZ1	0.274202
RP4-734G22.3	0.128944
HSPE1P24	0
C1orf127	0.122661
CFL1P6	0.0875086
MASP2	1.68687
RP4-635E18.7	2.1443
RP4-635E18.6	1.19708
MTOR-AS1	0
RNU6-537P	0
ANGPTL7	0.352838
RNU6-291P	0
RPL39P6	0
UBE2V2P3	0
MTCYBP45	0
DISP3	1.05316
LINC01647	0.349343
DRAXIN	0.370754
C1orf167	0.00853538
RP11-56N19.5	0
NPPA-AS1	1.01841
NPPA	1.96512
NPPB	0.389542
RP5-934G17.6	0.00977175
RNU5E-1	0
RNU5E-4P	0
RP5-1077B9.5	0
Y_RNA	0
MIR6729	0
RN7SL649P	0
TNFRSF8	0.142155
RNU6-777P	0
RPL23AP89	0
MIR7846	0
MIR4632	0
RPL10P17	0
SNORA70	0
SNORA59A	0.678108
RP5-888M10.2	0.140786
RNU6ATAC18P	0
MIR6730	0
RP11-474O21.5	0.323982
AADACL4	0
RP11-474O21.2	0
AADACL3	0
C1orf158	0.0608942
PRAMEF12	0
PRAMEF1	0
LINC01784	0
PRAMEF11	0
PRAMEF30P	0
HNRNPCL1	0.0640531
PRAMEF2	0
PRAMEF4	0
PRAMEF10	0
PRAMEF7	0
RNU6-1072P	0
PRAMEF29P	0
PRAMEF6	0
PRAMEF28P	0
PRAMEF27	0
HNRNPCL3	0
PRAMEF25	0
PRAMEF34P	0
PRAMEF35P	0
HNRNPCL2	0
PRAMEF36P	0
RP13-221M14.2	0
PRAMEF26	0
HNRNPCL4	0
PRAMEF9	0
PRAMEF13	0
PRAMEF18	0
PRAMEF31P	0
PRAMEF5	0
PRAMEF32P	0
RNU6-771P	0
PRAMEF8	0
PRAMEF33	0
PRAMEF15	0
RP11-219C24.10	0
PRAMEF14	0
PRAMEF19	0
PRAMEF17	0
PRAMEF20	0
LRRC38	0.300829
RP4-597A16.2	0
BRWD1P1	0
RNA5SP41	0
CTA-520D8.2	0
SCARNA11	0
RNU6-1265P	0
RP11-344F13.1	0
RP4-704D23.1	0
TBCAP2	0
TMEM51-AS1	0.363401
TMEM51	3.84777
C1orf195	0
RP1-21O18.3	0
RP5-903E17.2	0
FHAD1	0.170797
RP3-467K16.2	0.0607364
RP3-467K16.7	0
RP3-467K16.4	0.0395682
CTRC	0.08892
CELA2A	0.163607
CELA2B	0.0835224
DNAJC16	4.8494
SCARNA21	0
RP4-680D5.8	0.16883
AGMAT	0.310349
RP4-680D5.2	0.085238
CHCHD2P6	1.83337
RNU7-179P	0
CD24P1	0
RP4-680D5.9	0
RP11-288I21.1	0.379655
SLC25A34	1.55068
TMEM82	0
RP11-169K16.4	0
FBLIM1	1.19168
RPL12P14	0.0907788
UQCRHL	3.84235
RP11-169K16.8	0.633539
RP1-134O19.3	0
RP11-5P18.1	0.0513997
RP11-5P18.3	0
RP11-5P18.11	0
TBC1D3P6	0
C1orf64	2.90571
CLCNKA	0.188016
CLCNKB	0.281797
EPHA2	2.8952
RP11-276H7.2	0.0868203
RP11-276H7.3	0
ARHGEF19	0.756579
ANO7L1	0.165492
RSG1	2.54278
MT1XP1	0.571063
FBXO42	4.42381
RP11-430L17.1	0.111163
SPATA21	0.0753345
LINC01772	2.06643
CROCCP3	3.88128
RNU1-1	0
RP4-798A10.7	0.837451
RP4-798A10.4	0.151194
LINC01783	0.0671864
RNU1-6P	0
FAM231B	0
RP5-875O13.6	0
RP5-1182A14.5	0.253638
MST1P2	1.98934
RP1-163M9.8	0
RNU1-3	0
FAM231A	0
RP5-875O13.7	0
EIF1AXP1	0.379256
ESPNP	0.028304
RP1-163M9.7	0
FAM231C	0
RP5-1182A14.7	0
RNU1-4	0
CROCCP4	0
MST1L	0.49735
RP11-108M9.1	0
RP11-108M9.2	0
MIR3675	0
RP11-108M9.3	0.122524
RP11-108M9.4	4.98485
RP11-108M9.5	1.58553
RNU1-2	0
RP11-108M9.6	0.29009
MFAP2	0.130247
RP1-37C10.3	0
RP11-380J14.1	0
RP11-380J14.4	0
PADI1	0.411272
PADI3	0
MIR3972	0
PADI4	0.113554
PADI6	0
RP11-473A10.2	0
ACTL8	0
LINC01654	0
RP11-174G17.3	0.200055
RP11-174G17	0
RP11-422P22.1	0
KLHDC7A	0.0172187
DYNLL1P3	0
RP1-8B22.2	0
PAX7	0.371526
TAS1R2	0
MIR4695	0
MIR1290	0
RP5-1126H10.2	0.560197
RP1-43E13.2	1.58746
AKR7L	0.881021
AKR7A3	2.00421
RP4-657E11.10	3.80887
RNU6-1099P	0
RN7SL277P	0
RNU4-28P	0
RP5-1056L3.1	0
RP5-1056L3.3	4.04065
HTR6	0.021228
TMCO4	1.64377
RNF186	0
RP11-91K11.2	0
OTUD3	3.44742
PLA2G2E	0
RN7SL304P	0
PLA2G2A	0.424387
PLA2G5	1.67211
PLA2G2D	0.0177099
PLA2G2F	0
RP3-340N1.2	0.291184
PLA2G2C	0.0823828
UBXN10-AS1	3.03986
UBXN10	1.27327
LINC01757	0
VWA5B1	0.0449378
RP4-745E8.2	0
LINC01141	1.20733
RP4-749H3.2	0
RPS4XP4	0
FAM43B	3.0614
CDA	3.39169
PINK1-AS	1.22821
KIF17	0.766349
RP5-930J4.5	0
SH2D5	0.507228
RP5-930J4.2	0
RNU7-200P	0
MIR1256	0
RPS15AP6	0.115501
RP11-487E1.2	0
HSPE1P27	0
