Name	Adipose - Subcutaneous
DDX11L1	0
WASH7P	4.06403
MIR6859-1	0
MIR1302-2HG	0
FAM138A	0
OR4G4P	0
OR4G11P	0.0406478
OR4F5	0.0453961
RP11-34P13.7	0.018421
CICP27	0.0193245
RP11-34P13.15	3.24159
RP11-34P13.14	0
RP11-34P13.13	0.151021
RNU6-1100P	0
RP11-34P13.9	0
ABC7-43046700E7.1	0
MIR6859-2	0
AP006222.2	0.892548
RPL23AP24	0.0847423
RP5-857K21.15	0
RP4-669L17.2	0
RP4-669L17.10	0.228621
WBP1LP7	0
OR4F29	0.0372037
CICP7	0
RP4-669L17.8	0.0223746
U6	0
RP5-857K21.4	0.0432914
RP5-857K21.2	0
WBP1LP6	0
OR4F16	0.0238208
RP11-206L10.17	0
CICP3	0.109391
RP11-206L10.2	2.83777
RNU6-1199P	0
RP11-206L10.4	0
RP11-206L10.9	0.592656
RP11-206L10.8	1.51905
FAM87B	1.91972
LINC00115	4.49025
FAM41C	0.0637281
TUBB8P11	0.058323
FAM166AP3	0
RP11-54O7.16	0.0911501
RP11-54O7.1	0.0802685
RP11-54O7.2	0
RP11-54O7.3	0.585387
SAMD11	0.47623
PLEKHN1	0.559729
PERM1	0.367352
RP11-54O7.10	0
RP11-54O7.11	0.295352
RP11-465B22.3	0.246035
RP11-54O7.18	0.065654
RNF223	0.0510094
LINC01342	0.049341
MIR200B	0
MIR200A	0
MIR429	0
RP11-465B22.8	0.102774
TTLL10-AS1	0.565682
TTLL10	1.36715
TNFRSF18	1.95338
C1QTNF12	1.84462
RP5-902P8.12	0.614378
LINC01786	3.1315
MIR6726	0
MIR6727	0
TAS1R3	0.506393
MIR6808	0
NDUFB4P8	0.213026
RP4-758J18.13	2.9028
RP4-758J18.7	1.12168
TMEM88B	0.125812
LINC01770	3.12519
ATAD3C	0.952272
TMEM240	3.29426
RP5-832C2.5	1.12856
RP11-345P4.11	0
FNDC10	1.06178
MMP23B	0.362312
RP11-345P4.10	0
RP11-345P4.6	3.34309
MMP23A	0.630541
SLC35E2	4.69315
RP1-140A9.1	0.879108
CALML6	1.2168
TMEM52	1.45045
CFAP74	0.0480806
RP11-547D24.1	0.0454165
GABRD	0.462753
RP11-547D24.3	0
PRKCZ	0.305747
RP5-892K4.1	0.0129595
PRKCZ-AS1	1.78635
RP11-181G12.4	0.733758
MORN1	1.32001
RP4-713A8.1	0.141086
RP4-740C4.5	1.52991
RP4-740C4.7	1.03445
PLCH2	0.655189
RP3-395M20.2	0
RP3-395M20.3	0.0690098
HES5	0.255297
RP3-395M20.12	2.16491
RP3-395M20.8	2.66206
RP3-395M20.7	0.369389
RP3-395M20.9	2.43985
MMEL1	0.605582
RP13-436F16.1	0
TTC34	0.650221
ABC14-1188822O7.1	0
RP11-740P5.2	0
RP11-740P5.3	0
ACTRT2	0
LINC00982	1.79752
PRDM16	2.3848
MIR4251	0
RP1-163G9.2	0
RP11-193J6.1	0.0119159
RP11-22L13.1	0.0242932
ARHGEF16	3.79575
RP11-168F9.2	0.566142
MIR551A	0
RP11-46F15.2	1.54514
TP73	0.0680621
RP5-1092A11.5	0
RP5-1092A11.2	0
CCDC27	0
SMIM1	1.2996
RN7SL574P	0.602979
RP1-286D6.5	4.20599
LINC01134	0.144669
LINC01346	0
LINC01345	0
EEF1DP6	0
LINC01777	0
RP1-37J18.1	0
LINC01646	0
AJAP1	0.534207
RP11-542C10.1	0
RP1-58B11.1	0
RP3-491M17.1	0
RP11-154H17.1	0
MIR4417	0
MIR4689	0
CHD5	0.187216
RP1-120G22.11	0.921399
RNF207	4.87736
LINC00337	0.0457112
HES3	0
HES2	0.0660068
ESPN	0.229602
MIR4252	0
RP1-202O8.2	0
RNU6-731P	0
RP11-58A11.2	0.414926
TAS1R1	0.15052
LINC01672	0
RP11-312B8.1	0.242197
RP11-312B8.2	0
RP11-334N17.1	0
RNU1-8P	0
CAMTA1-IT1	0.191565
RP3-453P22.2	0
