Name	Brain - Substantia nigra
DDX11L1	0
WASH7P	1.74194
MIR6859-1	0
MIR1302-2HG	0.0195261
FAM138A	0
OR4G4P	0.0466989
OR4G11P	0.0664603
OR4F5	0.0731943
RP11-34P13.7	0.0191066
CICP27	0.0156567
RP11-34P13.15	1.82961
RP11-34P13.16	1.56403
RP11-34P13.14	0
RP11-34P13.13	0.0416536
RNU6-1100P	0
RP11-34P13.9	0
ABC7-43046700E7.1	0.0437139
RP11-34P13.18	3.28063
MIR6859-2	0
AP006222.2	0.335763
RPL23AP24	0.0685022
RP5-857K21.15	0
RP4-669L17.2	0.0256964
RP4-669L17.10	0.103633
WBP1LP7	0.102179
OR4F29	0.0548525
CICP7	0.0102984
RP4-669L17.8	0
U6	0
RP5-857K21.4	0.0448424
RP5-857K21.2	0
WBP1LP6	0.0580396
OR4F16	0.0466089
RP11-206L10.17	0
CICP3	0.101911
RP11-206L10.2	0.580468
RNU6-1199P	0
RP11-206L10.4	0.0543822
RP11-206L10.9	0.34027
RP11-206L10.8	0.340811
FAM87B	0.213814
LINC01128	2.63819
LINC00115	1.84981
FAM41C	0.0682972
TUBB8P11	0.0794597
FAM166AP3	0.0506367
RP11-54O7.16	0.227427
RP11-54O7.1	0.134668
RP11-54O7.2	0
RP11-54O7.3	0.678045
SAMD11	1.18443
KLHL17	3.49978
PLEKHN1	0.092623
PERM1	0.0919546
RP11-54O7.17	2.70109
RP11-54O7.10	0
RP11-54O7.11	0.255219
RP11-465B22.3	0.355363
RP11-54O7.18	0.0691715
RNF223	0.0552651
C1orf159	4.32624
LINC01342	0.0727587
MIR200B	0
MIR200A	0
MIR429	0
RP11-465B22.8	0.0949433
TTLL10-AS1	0.0482637
TTLL10	0.0866781
TNFRSF18	0.348821
TNFRSF4	0.536857
C1QTNF12	0.756617
RP5-902P8.12	0.301147
LINC01786	2.57105
MIR6726	0
MIR6727	0
TAS1R3	0.299847
MIR6808	0
NDUFB4P8	0.149046
RP4-758J18.13	3.22624
RP4-758J18.7	2.57555
LINC01770	0.740784
ATAD3C	1.78754
RP5-832C2.5	1.33005
RP11-345P4.11	0.0583064
MMP23B	0.0738528
RP11-345P4.10	0
RP11-345P4.6	0.411932
MMP23A	0.0640678
RP1-283E3.4	1.92174
SLC35E2	1.27653
RP1-140A9.1	1.39654
CALML6	0.304622
TMEM52	0.312745
CFAP74	0.25736
RP11-547D24.1	0.113754
GABRD	4.04068
RP11-547D24.3	0
RP5-892K4.1	0.0367853
PRKCZ-AS1	3.66585
RP11-181G12.4	0
MORN1	0.754543
RP4-713A8.1	0.149547
RP4-740C4.5	0.829355
RP4-740C4.7	1.20487
RP3-395M20.2	0.662901
RP3-395M20.3	0.730236
HES5	2.47095
RP3-395M20.12	2.17685
RP3-395M20.8	0.449037
RP3-395M20.7	0.0421768
RP3-395M20.9	0.250451
MMEL1	0.743627
RP13-436F16.1	0.300907
TTC34	0.282339
ABC14-1188822O7.1	0
RP11-740P5.2	0
RP11-740P5.3	0
ACTRT2	0
LINC00982	3.15036
PRDM16	1.66818
MIR4251	0
RP1-163G9.2	0
RP11-193J6.1	0.00941299
RP11-22L13.1	0.0812218
ARHGEF16	2.03922
RP11-168F9.2	0.125526
MEGF6	1.77938
MIR551A	0
RP11-46F15.2	2.81778
TP73	0.446307
RP5-1092A11.5	0
RP5-1092A11.2	0
CCDC27	0.0268591
SMIM1	1.41401
RN7SL574P	0.14597
RP1-286D6.5	1.34874
DFFB	3.55897
LINC01134	0.0967238
LINC01346	0.0240644
LINC01345	0
EEF1DP6	0
LINC01777	0
RP1-37J18.1	0
LINC01646	0
AJAP1	3.73011
RP11-542C10.1	0
RP1-58B11.1	0
RP3-491M17.1	0
RP11-154H17.1	0.386778
MIR4417	0
MIR4689	0
NPHP4	3.09932
RP1-120G22.11	0.551807
RNF207	2.53704
LINC00337	0.0266309
HES3	0
GPR153	1.82766
HES2	0.00271351
ESPN	0.118699
MIR4252	0
RP1-202O8.2	0
TNFRSF25	4.11721
PLEKHG5	3.19904
NOL9	3.50183
RNU6-731P	0
RP11-58A11.2	0.0752406
TAS1R1	0.108366
LINC01672	0
RP11-312B8.1	0.451599
RP11-312B8.2	0
RP11-334N17.1	0
RNU1-8P	0
CAMTA1-IT1	0.282227
RP3-453P22.2	0
RP4-549F15.1	0
RP11-338N10.1	1.16233
RP11-338N10.2	1.03998
RP11-338N10.3	2.02262
RP3-467L1.6	1.50033
RP3-467L1.4	1.05354
UTS2	0.0544153
TNFRSF9	0.00761098
RP5-892F13.2	0
Y_RNA	0
RP11-431K24.1	0.128508
CTA-215D11.4	0
RP11-431K24.2	0
LINC01714	0
RNU1-7P	0
RP11-431K24.4	0
RNU6-991P	0
Y_RNA	0
RP5-1115A15.1	0.124347
SNORA77	0.243006
RP5-1115A15.2	0
RPL7P11	0
RPL7P7	0
Y_RNA	0
RP4-633I8.3	0
RP4-633I8.4	0
RPL23AP19	0
MIR6728	0
ENO1-IT1	0.0400505
ENO1-AS1	0.390717
RNU6-304P	0
HMGN2P17	0.0225327
RP3-477M7.5	0.0716792
RP3-477M7.6	0
CA6	0.0128331
RN7SL451P	0
SLC2A7	0
SCARNA16	0
GPR157	0.347204
MIR34AHG	1.58974
LINC01759	0.246322
RP3-510D11.4	0.0656025
RNA5SP40	0
RP13-392I16.1	0
