Name	Cells - Cultured fibroblasts
DDX11L1	0
WASH7P	1.6786
MIR6859-1	0
MIR1302-2HG	0
FAM138A	0
OR4G4P	0
OR4G11P	0
OR4F5	0
RP11-34P13.7	0
CICP27	0
RP11-34P13.15	0.0965916
RP11-34P13.16	0.190796
RP11-34P13.14	0
RP11-34P13.13	0.0661497
RNU6-1100P	0
RP11-34P13.9	0
ABC7-43046700E7.1	0.0613942
RP11-34P13.18	3.57225
MIR6859-2	0
AP006222.2	0.217631
RPL23AP24	0.152828
RP5-857K21.15	0
RP4-669L17.2	0
RP4-669L17.10	0.116066
WBP1LP7	0
OR4F29	0
CICP7	0
RP4-669L17.8	0
U6	0
RP5-857K21.4	0.0256464
RP5-857K21.2	0
MTND1P23	3.75639
WBP1LP6	0
OR4F16	0
RP11-206L10.17	0
CICP3	0.0890602
RP11-206L10.2	1.83396
RNU6-1199P	0
RP11-206L10.4	0
RP11-206L10.9	0.527461
RP11-206L10.8	1.32272
FAM87B	0.926604
LINC01128	3.48228
LINC00115	3.33414
FAM41C	0.0311631
TUBB8P11	0.0383867
FAM166AP3	0
RP11-54O7.16	0.766473
RP11-54O7.1	0.692076
RP11-54O7.2	0
RP11-54O7.3	1.34957
SAMD11	1.62797
PLEKHN1	1.87062
PERM1	0.427491
RP11-54O7.17	0.0691052
HES4	1.22793
RP11-54O7.10	0
RP11-54O7.11	0.0954248
RP11-465B22.3	0.244609
RP11-54O7.18	0.0847832
RNF223	0.0565354
LINC01342	0.0280355
MIR200B	0
MIR200A	0
MIR429	0
RP11-465B22.8	0.0507055
TTLL10-AS1	0.0175049
TTLL10	0.0304697
TNFRSF18	0.137432
TNFRSF4	0.11721
C1QTNF12	1.7348
RP5-902P8.12	0.429078
LINC01786	1.89078
SCNN1D	2.15254
MIR6726	0
MIR6727	0
TAS1R3	0.21014
MIR6808	0
NDUFB4P8	0.170278
ANKRD65	0.906169
RP4-758J18.7	0.184268
TMEM88B	0.0736811
LINC01770	0.115702
VWA1	3.69162
ATAD3C	0.114136
TMEM240	4.38393
RP5-832C2.5	0.958814
RP11-345P4.11	0
MMP23B	0.0326336
RP11-345P4.10	0
RP11-345P4.6	1.94626
MMP23A	0.0323885
SLC35E2	4.2973
RP1-140A9.1	0.655149
CALML6	0.82992
TMEM52	0.649493
CFAP74	0.00593384
RP11-547D24.1	0
GABRD	0.0239123
RP11-547D24.3	0
PRKCZ	0.273798
RP5-892K4.1	0
PRKCZ-AS1	0.713265
RP11-181G12.4	0.144199
MORN1	1.52195
RP4-713A8.1	0
RP4-740C4.5	0.833285
RP4-740C4.7	0.573569
PLCH2	0.133164
RP3-395M20.2	0
RP3-395M20.3	0
HES5	0
RP3-395M20.12	0.320421
RP3-395M20.8	0.145931
RP3-395M20.7	0.0413978
RP3-395M20.9	0.104338
MMEL1	0.0427658
RP13-436F16.1	0
TTC34	0.0794082
ABC14-1188822O7.1	0
RP11-740P5.2	0
RP11-740P5.3	0
ACTRT2	0
LINC00982	0.04847
PRDM16	0.0834729
MIR4251	0
RP1-163G9.2	0
RP11-193J6.1	0
RP11-22L13.1	0.0890178
ARHGEF16	0.0687054
RP11-168F9.2	0
MEGF6	2.14082
MIR551A	0
RP11-46F15.2	1.08171
TP73	0.0857223
RP5-1092A11.5	0
RP5-1092A11.2	0
CCDC27	0
SMIM1	0.766247
RN7SL574P	0.533643
RP1-286D6.5	4.12347
LINC01134	0.189176
LINC01346	0
LINC01345	0
EEF1DP6	0
LINC01777	0
RP1-37J18.1	0
LINC01646	0
AJAP1	0.0323325
RP11-542C10.1	0
RP1-58B11.1	0
RP3-491M17.1	0
RP11-154H17.1	0
MIR4417	0
MIR4689	0
KCNAB2	3.12444
CHD5	0.0730642
RP1-120G22.11	1.62812
LINC00337	0.158756
HES3	0
HES2	0.0596477
ESPN	0.0372777
MIR4252	0
RP1-202O8.2	0
TNFRSF25	1.87153
PLEKHG5	3.55456
RNU6-731P	0
RP11-58A11.2	0.471384
TAS1R1	0.134025
LINC01672	0
RP11-312B8.1	0.164916
RP11-312B8.2	0
RP11-334N17.1	0
RNU1-8P	0
CAMTA1-IT1	0
RP3-453P22.2	0
RP4-549F15.1	0
RP11-338N10.1	0
RP11-338N10.2	0
RP11-338N10.3	0
RP3-467L1.6	2.86528
PER3	2.02898
RP3-467L1.4	0.163333
UTS2	0
TNFRSF9	0.018083
RP5-892F13.2	0
Y_RNA	0
RP11-431K24.1	0.0971205
CTA-215D11.4	0.0598886
RP11-431K24.2	0
LINC01714	0
RNU1-7P	0
RP11-431K24.4	0
RNU6-991P	0
SLC45A1	4.69387
Y_RNA	0
RP5-1115A15.1	0.322546
SNORA77	0
RP5-1115A15.2	0
RPL7P11	0.0691852
RPL7P7	0.0510036
Y_RNA	0
RP4-633I8.3	0
RP4-633I8.4	0
RPL23AP19	0
MIR6728	0
ENO1-IT1	0.814813
ENO1-AS1	0.552838
RNU6-304P	0
HMGN2P17	0.0888363
RP3-477M7.5	0
RP3-477M7.6	0
CA6	0
RN7SL451P	0
SLC2A7	0
SLC2A5	0.494618
SCARNA16	0
GPR157	3.24968
RP3-510D11.4	0.661997
RNA5SP40	0
RP13-392I16.1	0
RP13-15M17.1	0.826645
PIK3CD-AS1	0
RP11-558F24.2	0
PIK3CD-AS2	2.01236
MZT1P1	0
RP11-84A14.7	0
RP11-84A14.4	0.561659
RN7SKP269	0.417332
RP11-84A14.6	0
MIR5697	0
RBP7	0.201551
RP11-496H15.2	0
PGAM1P11	0.041788
RNU6-828P	0
MIR1273D	0
RNU6-37P	0
RP4-736L20.3	0
CORT	1.18869
RN7SL614P	0.144092
CASZ1	0.0808632
RP4-734G22.3	0.0200529
HSPE1P24	0
C1orf127	0
CFL1P6	0
MASP2	2.43727
RP4-635E18.7	2.0287
RP4-635E18.6	1.64092
MTOR-AS1	0
RNU6-537P	0
ANGPTL7	0.0788712
RNU6-291P	0
RPL39P6	0
UBE2V2P3	0.133203
MTCYBP45	0
DISP3	0.0322348
LINC01647	0
FBXO2	0.84771
DRAXIN	0.0299388
C1orf167	0
RP11-56N19.5	0
NPPA-AS1	0.63908
NPPA	0.726573
NPPB	0
RP5-934G17.6	0
RNU5E-1	0
RNU5E-4P	0
RP5-1077B9.5	0
Y_RNA	0
MIR6729	0
RN7SL649P	0
TNFRSF8	0.0568735
RNU6-777P	0
RPL23AP89	0
MIR7846	0
MIR4632	0
RPL10P17	0
SNORA70	0
SNORA59A	0.767169
RP5-888M10.2	0
RNU6ATAC18P	0
MIR6730	0
RP11-474O21.5	0.96946
AADACL4	0.0501962
RP11-474O21.2	0
AADACL3	0
C1orf158	0
PRAMEF12	0
PRAMEF1	0
LINC01784	0
PRAMEF11	0
PRAMEF30P	0
HNRNPCL1	0.185644
PRAMEF2	0
PRAMEF4	0
PRAMEF10	0
PRAMEF7	0
RNU6-1072P	0
PRAMEF29P	0
PRAMEF6	0
PRAMEF28P	0
PRAMEF27	0
HNRNPCL3	0
PRAMEF25	0
PRAMEF34P	0
PRAMEF35P	0
HNRNPCL2	0.0394413
PRAMEF36P	0
RP13-221M14.2	0
PRAMEF26	0
