Name	Cells - EBV-transformed lymphocytes
DDX11L1	0
WASH7P	2.49477
MIR6859-1	0
MIR1302-2HG	0
FAM138A	0
OR4G4P	0
OR4G11P	0
OR4F5	0.0309826
RP11-34P13.7	0.00861359
CICP27	0.0174349
RP11-34P13.15	1.33712
RP11-34P13.16	2.77364
RP11-34P13.14	0
RP11-34P13.13	0.0739324
RNU6-1100P	0
RP11-34P13.9	0
ABC7-43046700E7.1	0
RP11-34P13.18	4.6837
MIR6859-2	0
AP006222.2	0.109943
RPL23AP24	0.0844181
RP5-857K21.15	0
RP4-669L17.2	0
RP4-669L17.10	0.0936126
WBP1LP7	0
OR4F29	0.0285499
CICP7	0
RP4-669L17.8	0
U6	0
RP5-857K21.4	0.0167878
RP5-857K21.2	0
MTND1P23	3.89864
WBP1LP6	0
OR4F16	0.0243536
RP11-206L10.17	0
CICP3	0.18157
RP11-206L10.2	2.64433
RNU6-1199P	0
RP11-206L10.4	0
RP11-206L10.9	1.09659
RP11-206L10.8	1.88273
FAM87B	0.513142
LINC01128	3.63694
LINC00115	3.92123
FAM41C	0.0365631
TUBB8P11	0.0514208
FAM166AP3	0
RP11-54O7.16	0.5342
RP11-54O7.1	0.483956
RP11-54O7.2	0
RP11-54O7.3	0.307431
SAMD11	0.0845438
PLEKHN1	1.89402
PERM1	0.460197
RP11-54O7.17	0.342878
RP11-54O7.10	0
RP11-54O7.11	0.422837
RP11-54O7.18	4.98486
RNF223	0.160904
LINC01342	0.0462798
MIR200B	0
MIR200A	0
MIR429	0
RP11-465B22.8	0.30224
TTLL10-AS1	0.0248906
TTLL10	0.0406025
C1QTNF12	1.52111
RP5-902P8.12	0.484236
LINC01786	1.54642
SCNN1D	1.96201
MIR6726	0
MIR6727	0
TAS1R3	1.14087
MIR6808	0
MXRA8	1.68087
NDUFB4P8	0.468552
ANKRD65	0.418664
RP4-758J18.7	0
TMEM88B	0.109542
LINC01770	0.44002
VWA1	1.80204
ATAD3C	0.50529
TMEM240	0.164737
RP5-832C2.5	1.29377
RP11-345P4.11	0
FNDC10	2.11515
MMP23B	0.0461015
RP11-345P4.10	0
RP11-345P4.6	4.18024
MMP23A	0.583397
SLC35E2	4.91127
RP1-140A9.1	0.595043
CALML6	0.355318
TMEM52	0.230132
CFAP74	0.00902609
RP11-547D24.1	0
GABRD	0.0355514
RP11-547D24.3	0
PRKCZ	0.667155
RP5-892K4.1	0.00781239
PRKCZ-AS1	0.357957
RP11-181G12.4	0
MORN1	1.18889
RP4-713A8.1	0
RP4-740C4.5	0.791478
RP4-740C4.7	0.743974
PLCH2	1.99168
RP3-395M20.2	0.124454
RP3-395M20.3	0.114302
HES5	0.40999
RP3-395M20.7	2.34041
MMEL1	0.0390427
RP13-436F16.1	0
TTC34	0.525152
ABC14-1188822O7.1	0.128341
RP11-740P5.2	0
RP11-740P5.3	0
ACTRT2	0
LINC00982	0.0304797
PRDM16	0.0165333
MIR4251	0
RP1-163G9.2	0
RP11-193J6.1	0
RP11-22L13.1	0
ARHGEF16	0.0248709
RP11-168F9.2	0
MEGF6	0.466032
MIR551A	0
RP11-46F15.2	0.591438
RP5-1092A11.5	0.731473
RP5-1092A11.2	0.573857
CCDC27	0
SMIM1	1.03515
RN7SL574P	0.352692
RP1-286D6.5	3.7716
LINC01134	0.387111
LINC01346	0
LINC01345	0
EEF1DP6	0
LINC01777	0
RP1-37J18.1	0
LINC01646	0
AJAP1	0.0074864
RP11-542C10.1	0
RP1-58B11.1	0
RP3-491M17.1	0
RP11-154H17.1	0
MIR4417	0
MIR4689	0
CHD5	0.20217
RP1-120G22.11	0.877419
LINC00337	0.356092
HES3	0
GPR153	3.95819
HES2	0.651561
ESPN	0.109756
MIR4252	0
RP1-202O8.2	0
TNFRSF25	0.407381
PLEKHG5	0.547631
RNU6-731P	0
RP11-58A11.2	0.570042
TAS1R1	0.119974
LINC01672	0
RP11-312B8.1	0.392085
RP11-312B8.2	0
RP11-334N17.1	0
RNU1-8P	0
CAMTA1-IT1	0.0910463
RP3-453P22.2	0
RP4-549F15.1	0
RP11-338N10.1	0
RP11-338N10.2	0
RP11-338N10.3	0
RP3-467L1.6	2.64133
PER3	2.39752
RP3-467L1.4	0.287683
UTS2	0
TNFRSF9	1.72983
RP5-892F13.2	0
Y_RNA	0
ERRFI1	1.28828
RP11-431K24.1	0
CTA-215D11.4	0.0748666
RP11-431K24.2	0
LINC01714	0
RNU1-7P	0
RP11-431K24.4	0
RNU6-991P	0
SLC45A1	0.0965331
Y_RNA	0
RP5-1115A15.1	0.530591
SNORA77	0
RP5-1115A15.2	0
RPL7P11	0.128331
RPL7P7	0.103108
Y_RNA	0
RP4-633I8.3	0
RP4-633I8.4	0
RPL23AP19	0
MIR6728	0.233125
ENO1-IT1	1.63152
ENO1-AS1	1.35223
