Name	Colon - Sigmoid
DDX11L1	0
WASH7P	4.64777
MIR6859-1	0
MIR1302-2HG	0
FAM138A	0
OR4G4P	0.0154943
OR4G11P	0.0433274
OR4F5	0.0445988
RP11-34P13.7	0.016118
CICP27	0.0134647
RP11-34P13.15	2.14222
RP11-34P13.16	3.46202
RP11-34P13.14	0
RP11-34P13.13	0.141945
RNU6-1100P	0
RP11-34P13.9	0
ABC7-43046700E7.1	0.100774
MIR6859-2	0
AP006222.2	0.249763
RPL23AP24	0.0983259
RP5-857K21.15	0
RP4-669L17.2	0
RP4-669L17.10	0.276799
WBP1LP7	0
OR4F29	0.0401829
CICP7	0
RP4-669L17.8	0
U6	0
RP5-857K21.4	0.0389371
RP5-857K21.2	0
WBP1LP6	0
OR4F16	0.0337378
RP11-206L10.17	0
CICP3	0.139431
RP11-206L10.2	2.48153
RNU6-1199P	0
RP11-206L10.4	0
RP11-206L10.9	0.699841
RP11-206L10.8	1.06556
FAM87B	0.615245
FAM41C	0.0643189
TUBB8P11	0.0802328
FAM166AP3	0
RP11-54O7.16	0.272631
RP11-54O7.1	0.207749
RP11-54O7.2	0
RP11-54O7.3	3.10381
SAMD11	4.419
PLEKHN1	0.268586
PERM1	0.320791
RP11-54O7.17	2.58605
RP11-54O7.10	0
RP11-54O7.11	0.34059
RP11-465B22.3	0.325346
RP11-54O7.18	0.085501
RNF223	0.0619572
LINC01342	0.0611075
MIR200B	0
MIR200A	0
MIR429	0
RP11-465B22.8	0.272979
TTLL10-AS1	0.0683357
TTLL10	0.141758
TNFRSF18	0.495929
TNFRSF4	2.02461
C1QTNF12	2.41302
RP5-902P8.12	0.785428
MIR6726	0
MIR6727	0
TAS1R3	0.550698
MIR6808	0
NDUFB4P8	0.347998
RP4-758J18.7	3.14934
TMEM88B	0.342168
ATAD3C	3.27651
RP5-832C2.5	0.641271
RP11-345P4.11	0
FNDC10	1.99047
MMP23B	0.709086
RP11-345P4.10	0
RP11-345P4.6	2.75103
MMP23A	0.492259
RP1-140A9.1	0.278437
CALML6	0.684758
TMEM52	0.797656
CFAP74	0.0210409
RP11-547D24.1	0.0168874
GABRD	0.229995
RP11-547D24.3	0
PRKCZ	1.61426
RP5-892K4.1	0.0247578
RP11-181G12.4	0.227778
MORN1	1.78777
RP4-713A8.1	0.229175
RP4-740C4.5	2.53999
RP4-740C4.7	2.53039
PLCH2	1.23159
RP3-395M20.2	0.0730237
RP3-395M20.3	0.0873552
HES5	0.167007
RP3-395M20.12	1.3576
RP3-395M20.8	1.28623
RP3-395M20.7	0.325576
RP3-395M20.9	1.21924
MMEL1	0.585854
RP13-436F16.1	0
TTC34	0.307112
ABC14-1188822O7.1	0
RP11-740P5.2	0
RP11-740P5.3	0
ACTRT2	0
LINC00982	1.54323
PRDM16	1.73163
MIR4251	0
RP1-163G9.2	0
RP11-193J6.1	0
RP11-22L13.1	0.0322459
ARHGEF16	1.97161
RP11-168F9.2	0.272873
MIR551A	0
RP11-46F15.2	2.57562
TP73	0.0936773
RP5-1092A11.5	0
RP5-1092A11.2	0
CCDC27	0.0296407
SMIM1	2.65813
RN7SL574P	0.910445
LINC01134	0.170261
LINC01346	0.0167584
LINC01345	0.329159
EEF1DP6	0
LINC01777	0
RP1-37J18.1	0
LINC01646	0
AJAP1	0.50643
RP11-542C10.1	0
RP1-58B11.1	0
RP3-491M17.1	0
RP11-154H17.1	0
MIR4417	0
MIR4689	0
CHD5	1.60859
RP1-120G22.11	0.844541
LINC00337	0.0217307
HES3	0
HES2	0.0372379
ESPN	0.413863
MIR4252	0
RP1-202O8.2	0
RNU6-731P	0
RP11-58A11.2	0.184844
TAS1R1	0.710698
LINC01672	0
RP11-312B8.1	0.322542
RP11-312B8.2	0
RP11-334N17.1	0
RNU1-8P	0
CAMTA1-IT1	0.0838985
RP3-453P22.2	0
RP4-549F15.1	0
RP11-338N10.1	0.239845
RP11-338N10.2	0.394105
RP11-338N10.3	0.826706
RP3-467L1.6	3.331
RP3-467L1.4	1.74428
