Name	Esophagus - Mucosa
DDX11L1	0
WASH7P	3.11749
MIR6859-1	0
MIR1302-2HG	0
FAM138A	0
OR4G4P	0
OR4G11P	0.0226201
OR4F5	0.0376992
RP11-34P13.7	0.023875
CICP27	0.115794
RP11-34P13.14	0.713387
RP11-34P13.13	0.21749
RNU6-1100P	0
RP11-34P13.9	0
ABC7-43046700E7.1	0.0546629
MIR6859-2	0
AP006222.2	0.216638
RPL23AP24	0
RP5-857K21.15	0
RP4-669L17.2	0
RP4-669L17.10	0.126818
WBP1LP7	0
OR4F29	0.0226442
CICP7	0
RP4-669L17.8	0.036622
U6	0
RP5-857K21.4	0.0468069
RP5-857K21.2	0
MTND1P23	4.70549
WBP1LP6	0
OR4F16	0
RP11-206L10.17	0
CICP3	0.0892881
RP11-206L10.2	1.75948
RNU6-1199P	0
RP11-206L10.4	0
RP11-206L10.9	0.496014
RP11-206L10.8	0.852061
FAM87B	0.320953
LINC01128	3.20309
LINC00115	3.82433
FAM41C	0.0535303
TUBB8P11	0.0778114
FAM166AP3	0
RP11-54O7.16	0.239726
RP11-54O7.1	0.206492
RP11-54O7.2	0
RP11-54O7.3	1.52838
SAMD11	1.31986
RP11-54O7.17	2.56641
RP11-54O7.10	0
RP11-54O7.11	0.169838
RP11-54O7.18	0.272678
LINC01342	0.0771173
MIR200B	0.635598
MIR200A	0.486521
MIR429	1.31489
TTLL10-AS1	0.136881
TTLL10	0.400229
TNFRSF4	1.34158
C1QTNF12	2.46967
RP5-902P8.12	0.539304
LINC01786	1.86113
SCNN1D	3.95372
MIR6726	0
MIR6727	0
TAS1R3	1.66655
MIR6808	0
NDUFB4P8	0.232316
RP4-758J18.7	1.9441
TMEM88B	0.347912
LINC01770	2.45491
ATAD3C	1.34634
TMEM240	1.81555
RP5-832C2.5	0.580899
RP11-345P4.11	0
MMP23B	0.307103
RP11-345P4.10	0
RP11-345P4.6	1.75255
MMP23A	0.453836
RP1-283E3.4	4.54424
SLC35E2	2.74317
RP1-140A9.1	0.478977
CALML6	1.07517
TMEM52	1.53195
CFAP74	0.0258717
RP11-547D24.1	0.0819784
GABRD	0.435623
RP11-547D24.3	0
RP5-892K4.1	0.111598
PRKCZ-AS1	3.89162
RP11-181G12.4	0.187447
MORN1	1.44862
RP4-713A8.1	0
RP4-740C4.5	1.72785
RP4-740C4.7	1.26977
RP3-395M20.2	1.37828
RP3-395M20.3	1.40717
HES5	0.94514
RP3-395M20.12	1.50949
RP3-395M20.8	0.982373
RP3-395M20.7	0.114641
RP3-395M20.9	0.468166
MMEL1	0.484464
RP13-436F16.1	0
TTC34	0.127637
ABC14-1188822O7.1	0
RP11-740P5.2	0
RP11-740P5.3	0
ACTRT2	0
LINC00982	0.449527
PRDM16	0.483563
MIR4251	0
RP1-163G9.2	0
RP11-193J6.1	0
RP11-22L13.1	0
RP11-168F9.2	0.797121
MIR551A	0
RP11-46F15.2	1.19486
RP5-1092A11.5	0
RP5-1092A11.2	0
CCDC27	0
SMIM1	0.939203
RN7SL574P	0.529383
RP1-286D6.5	3.59008
DFFB	3.50937
LINC01134	0.352564
LINC01346	0
LINC01345	0.239544
EEF1DP6	0
LINC01777	0
RP1-37J18.1	0
LINC01646	0
AJAP1	0.255243
RP11-542C10.1	0
RP1-58B11.1	0
RP3-491M17.1	0
RP11-154H17.1	0
MIR4417	0
MIR4689	0
NPHP4	4.37544
KCNAB2	2.70669
CHD5	0.201631
RP1-120G22.11	0.84011
LINC00337	0.151143
HES3	0
MIR4252	0
RP1-202O8.2	0.268544
RNU6-731P	0
RP11-58A11.2	0.244531
TAS1R1	0.0842143
LINC01672	0
RP11-312B8.1	0.209152
CAMTA1	3.92187
RP11-312B8.2	0
RP11-334N17.1	0
RNU1-8P	0
CAMTA1-IT1	0
RP3-453P22.2	0
RP4-549F15.1	0
RP11-338N10.1	0.0536236
RP11-338N10.2	0.17103
RP11-338N10.3	0.395935
RP3-467L1.6	3.18333
RP3-467L1.4	0.835908
UTS2	0.0691282
TNFRSF9	0.0562292
RP5-892F13.2	0
Y_RNA	0
RP11-431K24.1	0.0637589
CTA-215D11.4	0.0414307
RP11-431K24.2	0
LINC01714	0
RNU1-7P	0
RP11-431K24.4	0
RNU6-991P	0
SLC45A1	1.31756
Y_RNA	0
RP5-1115A15.1	0.428254
SNORA77	0
RP5-1115A15.2	0
RPL7P11	0.0503717
RPL7P7	0.0522849
Y_RNA	0
RP4-633I8.3	0
RP4-633I8.4	0
RPL23AP19	0
MIR6728	0
ENO1-IT1	0.528938
ENO1-AS1	0.364474
RNU6-304P	0
HMGN2P17	0.0424022
RP3-477M7.5	0
RP3-477M7.6	0
CA6	0.0118133
RN7SL451P	0
SLC2A7	0.0204055
SLC2A5	2.72663
SCARNA16	0
LINC01759	1.97517
RP3-510D11.4	0.147117
RNA5SP40	0
RP13-392I16.1	0
SLC25A33	3.71656
RP13-15M17.1	0.552305
PIK3CD-AS1	0
RP11-558F24.2	0
PIK3CD-AS2	1.12535
MZT1P1	0
RP11-84A14.7	0.135006
RP11-84A14.4	0.562128
NMNAT1	4.97723
RN7SKP269	0.370146
RP11-84A14.6	0
MIR5697	0
RP11-496H15.2	0
PGAM1P11	0.113962
RNU6-828P	0
MIR1273D	0
RNU6-37P	0
RP4-736L20.3	0
CORT	1.19155
RN7SL614P	0.182432
RP4-734G22.3	2.22916
HSPE1P24	0
C1orf127	0.0518601
CFL1P6	0.112076
MASP2	1.92493
RP4-635E18.7	2.94295
RP4-635E18.6	0.791938
