Name	Adipose - Visceral (Omentum)
DDX11L1	0
WASH7P	3.37111
MIR6859-1	0
MIR1302-2HG	0
FAM138A	0
OR4G4P	0
OR4G11P	0.0407008
OR4F5	0.0446407
RP11-34P13.7	0.0214816
CICP27	0.0376293
RP11-34P13.14	0
RP11-34P13.13	0.134715
RNU6-1100P	0
RP11-34P13.9	0
ABC7-43046700E7.1	0.0597251
MIR6859-2	0
AP006222.2	0.555559
RPL23AP24	0.0646951
RP5-857K21.15	0
RP4-669L17.2	0
RP4-669L17.10	0.194473
WBP1LP7	0
OR4F29	0.0333449
CICP7	0
RP4-669L17.8	0.018901
U6	0
RP5-857K21.4	0.0303768
RP5-857K21.2	0
WBP1LP6	0
OR4F16	0.0308665
RP11-206L10.17	0
CICP3	0.112597
RP11-206L10.2	1.90193
RNU6-1199P	0
RP11-206L10.4	0
RP11-206L10.9	0.394613
RP11-206L10.8	0.878975
FAM87B	0.871018
LINC00115	3.42482
FAM41C	0.0558683
TUBB8P11	0.0626518
FAM166AP3	0
RP11-54O7.16	0.159096
RP11-54O7.1	0.134465
RP11-54O7.2	0
RP11-54O7.3	1.67515
SAMD11	2.93119
PLEKHN1	0.648233
PERM1	0.398707
RP11-54O7.17	3.6845
RP11-54O7.10	0
RP11-54O7.11	0.227876
RP11-465B22.3	0.421611
RP11-54O7.18	0.0871241
RNF223	0.0465082
LINC01342	0.0897819
MIR200B	0
MIR200A	0
MIR429	0
RP11-465B22.8	0.281113
TTLL10-AS1	1.25983
TTLL10	1.63653
TNFRSF18	2.1674
C1QTNF12	3.55398
RP5-902P8.12	0.509674
LINC01786	3.35972
MIR6726	0
MIR6727	0
TAS1R3	0.519879
MIR6808	0
NDUFB4P8	0.208741
RP4-758J18.13	2.08688
RP4-758J18.7	1.05089
TMEM88B	0.126107
LINC01770	1.94559
ATAD3C	1.77291
TMEM240	3.08961
RP5-832C2.5	0.670884
RP11-345P4.11	0
FNDC10	2.11367
MMP23B	1.05747
RP11-345P4.10	0
RP11-345P4.6	2.00978
MMP23A	0.855516
RP1-283E3.4	4.23229
SLC35E2	2.72139
RP1-140A9.1	0.788627
CALML6	0.905909
TMEM52	1.36183
CFAP74	0.055464
RP11-547D24.1	0.0391594
GABRD	0.408157
RP11-547D24.3	0
PRKCZ	0.962854
RP5-892K4.1	0.0265213
PRKCZ-AS1	1.92192
RP11-181G12.4	0.340571
MORN1	1.19198
RP4-713A8.1	0.185301
RP4-740C4.5	1.55926
RP4-740C4.7	0.863164
PLCH2	1.1747
RP3-395M20.2	0
RP3-395M20.3	0.0594964
HES5	0.382017
RP3-395M20.12	1.74185
RP3-395M20.8	2.33784
RP3-395M20.7	0.277276
RP3-395M20.9	1.22928
MMEL1	0.644392
RP13-436F16.1	0
TTC34	0.305862
ABC14-1188822O7.1	0
RP11-740P5.2	0
RP11-740P5.3	0
ACTRT2	0
LINC00982	1.40858
PRDM16	1.47972
MIR4251	0
RP1-163G9.2	0
RP11-193J6.1	0
RP11-22L13.1	0.0227379
ARHGEF16	2.15951
RP11-168F9.2	0.466403
MIR551A	0
RP11-46F15.2	0.759961
TP73	0.0786587
RP5-1092A11.5	0
RP5-1092A11.2	0
CCDC27	0
SMIM1	2.08662
RN7SL574P	0.436623
RP1-286D6.5	3.70671
DFFB	4.85675
LINC01134	0.175811
LINC01346	0
LINC01345	0
EEF1DP6	0
LINC01777	0
RP1-37J18.1	0
LINC01646	0
AJAP1	0.540305
RP11-542C10.1	0
RP1-58B11.1	0
RP3-491M17.1	0
RP11-154H17.1	0.0610286
MIR4417	0
MIR4689	0
CHD5	0.184919
RP1-120G22.11	1.01851
LINC00337	0.0423481
HES3	0
HES2	0.0348621
ESPN	0.186863
MIR4252	0
RP1-202O8.2	0
RNU6-731P	0
RP11-58A11.2	0.256807
TAS1R1	0.0900148
LINC01672	0
RP11-312B8.1	0.159574
RP11-312B8.2	0
RP11-334N17.1	0
RNU1-8P	0
CAMTA1-IT1	0.0902183
RP3-453P22.2	0
RP4-549F15.1	0.349715
RP11-338N10.1	0.052344
RP11-338N10.2	0.263451
RP11-338N10.3	0.67676
RP3-467L1.6	3.17414
RP3-467L1.4	0.714871
UTS2	0.0737666
TNFRSF9	0.0949318
RP5-892F13.2	0
Y_RNA	0
RP11-431K24.1	0.199683
CTA-215D11.4	0
RP11-431K24.2	0
LINC01714	0
RNU1-7P	0
RP11-431K24.4	0
RNU6-991P	0
SLC45A1	4.50408
Y_RNA	0
RP5-1115A15.1	0.992492
SNORA77	0
RP5-1115A15.2	0
RPL7P11	0.0676962
RPL7P7	0.0551115
Y_RNA	0
RP4-633I8.3	0
RP4-633I8.4	0
RPL23AP19	0
MIR6728	0
ENO1-IT1	0.449457
ENO1-AS1	0.64153
RNU6-304P	0
HMGN2P17	0.0528615
RP3-477M7.5	0
RP3-477M7.6	0
CA6	0
RN7SL451P	0
SLC2A7	0.0263757
SLC2A5	2.03798
SCARNA16	0
GPR157	3.98758
LINC01759	0.747735
RP3-510D11.4	0.128477
RNA5SP40	0
RP13-392I16.1	0.201555
RP13-15M17.1	0.733608
PIK3CD-AS1	0.0608856
RP11-558F24.2	0
PIK3CD-AS2	1.55033
MZT1P1	0
RP11-84A14.7	0
RP11-84A14.4	0.412753
NMNAT1	4.24459
RN7SKP269	0.208216
RP11-84A14.6	0.115287
MIR5697	0
RP11-496H15.2	0
PGAM1P11	0.0419132
RNU6-828P	0
MIR1273D	0
RNU6-37P	0
RP4-736L20.3	0
CORT	1.026
RN7SL614P	0.163008
CASZ1	2.67564
RP4-734G22.3	0.798183
HSPE1P24	0
C1orf127	0.207143
CFL1P6	0
MASP2	2.20857
RP4-635E18.7	3.28235
RP4-635E18.6	0.629503
MTOR-AS1	0
RNU6-537P	0
ANGPTL7	4.69226
RNU6-291P	0
RPL39P6	0
UBE2V2P3	0.0741224
MTCYBP45	0
DISP3	0.0577264
LINC01647	0
DRAXIN	0.0451357
C1orf167	0.0197377
RP11-56N19.5	0
NPPA-AS1	1.68975
NPPA	3.22616
NPPB	0.469936
RP5-934G17.6	0.0537116
RNU5E-1	0.255362
RNU5E-4P	0
RP5-1077B9.5	0
Y_RNA	0.639628
MIR6729	0
RN7SL649P	0
RNU6-777P	0
RPL23AP89	0
MIR7846	0
MIR4632	0
RPL10P17	0
SNORA70	0
SNORA59A	2.22575
RP5-888M10.2	0.854455
RNU6ATAC18P	1.22091
MIR6730	0
AADACL4	0.996694
RP11-474O21.2	0
AADACL3	0.0129383
C1orf158	0
PRAMEF12	0
PRAMEF1	0
LINC01784	0
PRAMEF11	0
PRAMEF30P	0
HNRNPCL1	0.0754965
PRAMEF2	0
PRAMEF4	0
PRAMEF10	0
PRAMEF7	0
RNU6-1072P	0
PRAMEF29P	0
PRAMEF6	0
PRAMEF28P	0
PRAMEF27	0
HNRNPCL3	0
PRAMEF25	0
PRAMEF34P	0
PRAMEF35P	0
HNRNPCL2	0
PRAMEF36P	0
RP13-221M14.2	0
PRAMEF26	0
HNRNPCL4	0
PRAMEF9	0
PRAMEF13	0
PRAMEF18	0
PRAMEF31P	0
PRAMEF5	0
PRAMEF32P	0
RNU6-771P	0
PRAMEF8	0
PRAMEF33	0
PRAMEF15	0
RP11-219C24.10	0
PRAMEF14	0
PRAMEF19	0
PRAMEF17	0
PRAMEF20	0
LRRC38	0.455567
RP4-597A16.2	0
BRWD1P1	0
RNA5SP41	0
CTA-520D8.2	0.0798497
SCARNA11	0
RNU6-1265P	0
RP11-344F13.1	0.378343
RP4-704D23.1	0
TBCAP2	0
TMEM51-AS1	0.283794
C1orf195	0
RP1-21O18.3	0
RP5-903E17.2	0
FHAD1	0.0548965
RP3-467K16.2	0.0784416
RP3-467K16.7	0
RP3-467K16.4	0.0395626
CTRC	0.300279
CELA2A	0.269751
CELA2B	0.161357
SCARNA21	0
RP4-680D5.8	0.194447
AGMAT	0.245652
RP4-680D5.2	0.0277757
CHCHD2P6	1.09953
RNU7-179P	0
CD24P1	0
RP4-680D5.9	0
RP11-288I21.1	1.23943
SLC25A34	3.63098
TMEM82	0
RP11-169K16.4	0.142727
RPL12P14	0.822567
RP11-169K16.8	1.21265
FLJ37453	2.52639
RP1-134O19.3	0
RP11-5P18.1	0
RP11-5P18.3	0
RP11-5P18.11	0
TBC1D3P6	0
C1orf64	0.015329
CLCNKA	0.79352
RP11-5P18.10	0.0651013
CLCNKB	0.528623
FAM131C	0.231579
RP11-276H7.2	0.661714
RP11-276H7.3	0.317195
ANO7L1	0.453542
RSG1	2.67386
MT1XP1	2.06794
RP11-430L17.1	0.145662
SPATA21	0.0286799
LINC01772	1.55063
CROCCP3	3.01208
RNU1-1	0
RP4-798A10.7	0.058363
RP4-798A10.4	0
LINC01783	0.0504806
RNU1-6P	0
FAM231B	0
RP5-875O13.6	0
NBPF1	2.7992
RP5-1182A14.5	0
MST1P2	2.66092
RP1-163M9.8	0
RNU1-3	0
FAM231A	0
RP5-875O13.7	0
EIF1AXP1	0.672395
ESPNP	0.0103343
RP1-163M9.7	0
FAM231C	0
RP5-1182A14.7	0
RNU1-4	0
CROCCP4	0
MST1L	0.710581
RP11-108M9.1	0
RP11-108M9.2	0
MIR3675	0
RP11-108M9.3	0.0719207
RP11-108M9.5	2.90939
RNU1-2	0
RP11-108M9.6	0.234586
RP1-37C10.3	0.0950204
PADI2	1.86677
RP11-380J14.1	0.0101483
RP11-380J14.4	0
PADI1	0.0279757
PADI3	0
MIR3972	0
PADI4	1.19328
PADI6	0
RP11-473A10.2	0
ACTL8	0
LINC01654	0
IGSF21	1.43448
RP11-174G17.3	0.0309226
RP11-174G17	0
RP11-422P22.1	0
KLHDC7A	0.0231433
DYNLL1P3	0
RP1-8B22.2	0
PAX7	0
TAS1R2	0
MIR4695	0
MIR1290	0
RP5-1126H10.2	0.745916
RP1-43E13.2	1.59793
AKR7L	0.595582
AKR7A3	1.23054
RP4-657E11.10	1.00407
RNU6-1099P	0
RN7SL277P	0
RNU4-28P	0
RP5-1056L3.1	0
HTR6	0.0427815
RNF186	0
RP11-91K11.2	0.799462
PLA2G2E	0
RN7SL304P	0
PLA2G2D	0.0498627
PLA2G2F	0
RP3-340N1.2	0.106237
PLA2G2C	0.0296705
UBXN10-AS1	0.719038
UBXN10	0.937165
LINC01757	0
VWA5B1	0.0106357
RP4-745E8.2	0
LINC01141	0.00772448
RP4-749H3.2	0
RPS4XP4	0
FAM43B	2.42579
PINK1-AS	2.68116
KIF17	3.98997
RP5-930J4.5	0
SH2D5	0.193276
RP5-930J4.2	0
RNU7-200P	0
MIR1256	0
RPS15AP6	0.0844954
RP11-487E1.2	0
HSPE1P27	0
RP3-329E20.2	0.0797291
RP5-1071N3.1	0.442737
PPP1R11P1	0
RP11-293F5.8	0
RP11-293F5.1	0
NBPF2P	0.697025
HS6ST1P1	0.555734
CROCCP5	0
NBPF3	2.04129
PFN1P10	0
RP11-63N8.3	0
RAP1GAP	0.637839
RP11-132G19.3	0
LDLRAD2	4.46405
