Name	Esophagus - Muscularis
DDX11L1	0
WASH7P	4.10335
MIR6859-1	0
MIR1302-2HG	0
FAM138A	0
OR4G4P	0
OR4G11P	0.0428965
OR4F5	0.0488647
RP11-34P13.7	0.0162133
CICP27	0.0183116
RP11-34P13.15	3.08
RP11-34P13.14	0
RP11-34P13.13	0.128642
RNU6-1100P	0
RP11-34P13.9	0
ABC7-43046700E7.1	0.0825191
MIR6859-2	0
AP006222.2	0.197023
RPL23AP24	0.0922549
RP5-857K21.15	0
RP4-669L17.2	0
RP4-669L17.10	0.23701
WBP1LP7	0
OR4F29	0.0395087
CICP7	0
RP4-669L17.8	0
U6	0
RP5-857K21.4	0.0426799
RP5-857K21.2	0
WBP1LP6	0
OR4F16	0
RP11-206L10.17	0
CICP3	0.117683
RP11-206L10.2	2.21626
RNU6-1199P	0
RP11-206L10.4	0
RP11-206L10.9	0.540237
RP11-206L10.8	1.03762
FAM87B	0.48962
LINC00115	4.37835
FAM41C	0.0519181
TUBB8P11	0.0624307
FAM166AP3	0
RP11-54O7.16	0.29276
RP11-54O7.1	0.213226
RP11-54O7.2	0
RP11-54O7.3	4.63595
PLEKHN1	0.5093
PERM1	0.434117
RP11-54O7.17	1.78081
RP11-54O7.10	0
RP11-54O7.11	0.299196
RP11-465B22.3	0.251113
RP11-54O7.18	0.060982
RNF223	0.0674992
LINC01342	0.0537963
MIR200B	0
MIR200A	0
MIR429	0
RP11-465B22.8	0.0963444
TTLL10-AS1	0.0530641
TTLL10	0.138128
TNFRSF18	0.453179
TNFRSF4	1.91164
C1QTNF12	1.67136
RP5-902P8.12	0.674711
MIR6726	0
MIR6727	0
TAS1R3	0.503755
MIR6808	0
NDUFB4P8	0.34683
RP4-758J18.7	1.77383
TMEM88B	0.295573
ATAD3C	2.72114
RP5-832C2.5	0.796694
RP11-345P4.11	0
FNDC10	1.32073
MMP23B	0.75022
RP11-345P4.10	0
RP11-345P4.6	2.45901
MMP23A	0.444199
SLC35E2	4.25856
RP1-140A9.1	0.184725
CALML6	0.466171
TMEM52	0.84397
CFAP74	0.0221182
RP11-547D24.1	0.0216167
GABRD	0.287094
RP11-547D24.3	0
PRKCZ	0.806651
RP5-892K4.1	0.0125048
PRKCZ-AS1	4.15834
RP11-181G12.4	0.210224
MORN1	1.55089
RP4-713A8.1	0.222217
RP4-740C4.5	2.49929
RP4-740C4.7	1.85446
PLCH2	0.427879
RP3-395M20.2	0
RP3-395M20.3	0
HES5	0.142177
RP3-395M20.12	1.30136
RP3-395M20.8	1.37116
RP3-395M20.7	0.229401
RP3-395M20.9	1.07689
MMEL1	0.399134
RP13-436F16.1	0
TTC34	0.239754
ABC14-1188822O7.1	0
RP11-740P5.2	0
RP11-740P5.3	0
ACTRT2	0
LINC00982	1.68318
PRDM16	1.99852
MIR4251	0
RP1-163G9.2	0
RP11-193J6.1	0
RP11-22L13.1	0.0497603
ARHGEF16	1.46992
RP11-168F9.2	0.122428
MIR551A	0
RP11-46F15.2	1.99829
TP73	0.0729546
RP5-1092A11.5	0
RP5-1092A11.2	0
CCDC27	0.0316205
SMIM1	2.44444
RN7SL574P	0.794881
RP1-286D6.5	4.60865
LINC01134	0.220183
LINC01346	0.0200307
LINC01345	0.482013
EEF1DP6	0
LINC01777	0
RP1-37J18.1	0
LINC01646	0
AJAP1	0.268749
RP11-542C10.1	0
RP1-58B11.1	0
RP3-491M17.1	0
RP11-154H17.1	0
MIR4417	0
MIR4689	0
RP1-120G22.11	1.26249
LINC00337	0.00955207
HES3	0
HES2	0.0192621
ESPN	0.171032
MIR4252	0
RP1-202O8.2	0
RNU6-731P	0
RP11-58A11.2	0.252159
TAS1R1	0.119243
LINC01672	0
RP11-312B8.1	0.392565
RP11-312B8.2	0
RP11-334N17.1	0
RNU1-8P	0
CAMTA1-IT1	0.0952534
RP3-453P22.2	0
RP4-549F15.1	0.124335
RP11-338N10.1	0.129992
RP11-338N10.2	0.226322
RP11-338N10.3	0.499638
RP3-467L1.6	3.4301
RP3-467L1.4	1.45056
UTS2	0.0312321
TNFRSF9	0.0173172
RP5-892F13.2	0
Y_RNA	0
RP11-431K24.1	0.682504
CTA-215D11.4	0.0515801
RP11-431K24.2	0
LINC01714	0.355464
RNU1-7P	0
RP11-431K24.4	0
RNU6-991P	0
Y_RNA	0.365169
RP5-1115A15.1	2.11463
SNORA77	0
RP5-1115A15.2	0
RPL7P11	0.050224
RPL7P7	0.0444005
Y_RNA	0
RP4-633I8.3	0
RP4-633I8.4	0
RPL23AP19	0
MIR6728	0
ENO1-IT1	0.212134
ENO1-AS1	0.387116
RNU6-304P	0
HMGN2P17	0.0464706
RP3-477M7.5	0
RP3-477M7.6	0
CA6	0
RN7SL451P	0
SLC2A7	0.0104582
SLC2A5	0.57364
SCARNA16	0
GPR157	4.14482
LINC01759	0.667696
RP3-510D11.4	0.0722535
RNA5SP40	0
RP13-392I16.1	0
RP13-15M17.1	0.513873
PIK3CD-AS1	0.0287738
RP11-558F24.2	0
PIK3CD-AS2	1.32209
MZT1P1	0
RP11-84A14.7	0
RP11-84A14.4	0.548054
RN7SKP269	0.269938
RP11-84A14.6	0
MIR5697	0
RP11-496H15.2	0
PGAM1P11	0
RNU6-828P	0
MIR1273D	0
RNU6-37P	0
RP4-736L20.3	0
CORT	1.23737
RN7SL614P	0.123988
RP4-734G22.3	2.3978
HSPE1P24	0
C1orf127	0.0991278
CFL1P6	0.0773965
MASP2	4.36214
RP4-635E18.7	3.1817
RP4-635E18.6	0.324339
MTOR-AS1	0
RNU6-537P	0
RNU6-291P	0
RPL39P6	0
UBE2V2P3	0.0835646
MTCYBP45	0
DISP3	0.0541638
LINC01647	0
DRAXIN	0.0548059
C1orf167	0.0107448
RP11-56N19.5	0
NPPA-AS1	1.28171
NPPA	3.59492
NPPB	0.246071
RP5-934G17.6	0.0277999
RNU5E-1	0
RNU5E-4P	0
RP5-1077B9.5	0
Y_RNA	0.994483
MIR6729	0
RN7SL649P	0
TNFRSF8	1.01379
RNU6-777P	0
RPL23AP89	0
MIR7846	0
MIR4632	0
RPL10P17	0
SNORA70	0
SNORA59A	1.47836
RP5-888M10.2	0.0864753
RNU6ATAC18P	0.740472
MIR6730	0
RP11-474O21.5	4.63923
AADACL4	0.0699673
RP11-474O21.2	0
AADACL3	0
C1orf158	0
PRAMEF12	0
PRAMEF1	0
LINC01784	0
PRAMEF11	0
PRAMEF30P	0
HNRNPCL1	0.0575753
PRAMEF2	0
PRAMEF4	0
PRAMEF10	0
PRAMEF7	0
RNU6-1072P	0
PRAMEF29P	0
PRAMEF6	0
PRAMEF28P	0
PRAMEF27	0
HNRNPCL3	0
PRAMEF25	0
PRAMEF34P	0
PRAMEF35P	0
HNRNPCL2	0
PRAMEF36P	0
RP13-221M14.2	0
PRAMEF26	0
HNRNPCL4	0
PRAMEF9	0
PRAMEF13	0
PRAMEF18	0
PRAMEF31P	0
PRAMEF5	0
PRAMEF32P	0
RNU6-771P	0
PRAMEF8	0
PRAMEF33	0
PRAMEF15	0
RP11-219C24.10	0
PRAMEF14	0
PRAMEF19	0
PRAMEF17	0
PRAMEF20	0
LRRC38	0.15165
RP4-597A16.2	0
BRWD1P1	0
RNA5SP41	0
CTA-520D8.2	0
SCARNA11	0
KAZN	4.9982
RNU6-1265P	0
RP11-344F13.1	0.374873
RP4-704D23.1	0
TBCAP2	0
TMEM51-AS1	0.753586
C1orf195	0
RP1-21O18.3	0
RP5-903E17.2	0
FHAD1	0.0449744
RP3-467K16.2	0.159835
RP3-467K16.7	0
RP3-467K16.4	0.0256591
CTRC	0.276142
CELA2A	0.254091
CELA2B	0.124138
SCARNA21	0
RP4-680D5.8	0.145618
AGMAT	0.114482
RP4-680D5.2	0.0639828
CHCHD2P6	1.12938
RNU7-179P	0
CD24P1	0
RP4-680D5.9	0
RP11-288I21.1	1.13245
SLC25A34	2.89236
TMEM82	0
RP11-169K16.4	0
RPL12P14	0.184544
UQCRHL	4.68046
RP11-169K16.8	1.06615
RP1-134O19.3	0
RP11-5P18.1	0
RP11-5P18.3	0
RP11-5P18.11	0
TBC1D3P6	0
C1orf64	0.0330708
CLCNKA	0.746826
RP11-5P18.10	0.0563137
CLCNKB	0.397724
FAM131C	0.358129
RP11-276H7.2	0.324373
RP11-276H7.3	0.158611
ARHGEF19	4.90115
ANO7L1	0.36377
MT1XP1	0.769815
RP11-430L17.1	0.123291
SPATA21	0.0467784
LINC01772	2.9734
RNU1-1	0
RP4-798A10.7	0.139018
RP4-798A10.4	0
LINC01783	0.265993
RNU1-6P	0
FAM231B	0
RP5-875O13.6	0
NBPF1	3.59344
RP5-1182A14.5	0
MST1P2	2.4421
RP1-163M9.8	0
RNU1-3	0
FAM231A	0
RP5-875O13.7	0
EIF1AXP1	0.453527
ESPNP	0
RP1-163M9.7	0
FAM231C	0
RP5-1182A14.7	0
RNU1-4	0
CROCCP4	0
MST1L	0.779498
RP11-108M9.1	0
RP11-108M9.2	0
MIR3675	0
RP11-108M9.3	0.682734
RP11-108M9.5	3.82351
RNU1-2	0
RP11-108M9.6	0.272831
RP1-37C10.3	0.142823
PADI2	0.858733
RP11-380J14.1	0
RP11-380J14.4	0
PADI1	0.086165
PADI3	0.0148593
MIR3972	0
PADI4	0.177173
PADI6	0
RP11-473A10.2	0
ACTL8	0
LINC01654	0
IGSF21	1.0751
RP11-174G17.3	0.0256608
RP11-174G17	0
RP11-422P22.1	0
KLHDC7A	0.0210659
DYNLL1P3	0
RP1-8B22.2	0
PAX7	0.00178008
TAS1R2	0
MIR4695	0
MIR1290	0
RP5-1126H10.2	1.63254
RP1-43E13.2	1.50591
AKR7L	0.502284
AKR7A3	1.20694
RP4-657E11.10	1.32501
RNU6-1099P	0
RN7SL277P	0
RNU4-28P	0
RP5-1056L3.1	0
HTR6	0.0724214
RNF186	0
RP11-91K11.2	0
PLA2G2E	0
RN7SL304P	0
PLA2G2D	0.0706291
PLA2G2F	0.0150984
RP3-340N1.2	0.0838032
PLA2G2C	0.65734
LINC01757	0
VWA5B1	0.0135882
RP4-745E8.2	0
LINC01141	0.0114908
RP4-749H3.2	0
RPS4XP4	0
FAM43B	1.30404
PINK1-AS	2.72042
KIF17	1.70409
RP5-930J4.5	0
SH2D5	0.618127
RP5-930J4.2	0
RNU7-200P	0
MIR1256	0
RPS15AP6	0
RP11-487E1.2	0
HSPE1P27	0
RP3-329E20.2	0.0206882
RP5-1071N3.1	0.221719
PPP1R11P1	0
RP11-293F5.8	0
RP11-293F5.1	0
NBPF2P	1.04838
HS6ST1P1	0.464915
CROCCP5	0
NBPF3	2.70399
PFN1P10	0
ALPL	3.39738
RP11-63N8.3	0
RAP1GAP	0.886258
RP11-132G19.3	0
RP11-26H16.1	0.166968
RP11-26H16.4	0
CELA3B	0.434036
RN7SL386P	0
RNU6-1022P	0
CELA3A	1.57672
RN7SL186P	0
RNU6-776P	0
LINC01635	0
CDC42-IT1	0.0797186
RP1-224A6.8	0.0796183
RP1-224A6.9	0.595909
WNT4	0.383928
MIR4418	0
RP11-415K20.1	0
RP11-415K20.2	0
ZBTB40-IT1	0.682537
EPHA8	0.0360476
MIR6127	0
EPHB2	0.414554
MIR4684	0
RP11-69E9.1	0
MIR4253	0
LACTBL1	0
C1orf234	0
RP1-184J9.2	0
MIR3115	0
MIR4419A	0
RP5-979D14.1	0.0423961
RNU6-514P	0
RNU6-135P	0
HTR1D	0.0284024
RP5-1057J7.1	0
RP5-1057J7.7	0.683016
RP4-654C18.1	0
E2F2	0.104675
RP1-150O5.3	0.527109
MDS2	0.0247439
RP11-223J15.2	0
ELOA-AS1	2.82563
GALE	4.64165
CNR2	0.00753676
BTBD6P1	0
RP11-4M23.3	0
MIR378F	0
RP11-4M23.4	0
RP11-4M23.7	0
RP11-293P20.2	0
MYOM3	0.593317
RP11-293P20.4	0
IL22RA1	0.322934
IFNLR1	0.654768
RP11-10N16.2	0
RP11-10N16.3	0.0350915
GRHL3	0.0972778
STPG1	2.33092
RCAN3	4.75817
RP4-594I10.3	0
NCMAP	0.189126
RP11-496D1.2	0
Y_RNA	0
RNU6-1208P	0
RUNX3	1.241
MIR6731	0
RP11-84D1.1	0
RP11-84D1.2	0
MIR4425	0
RP4-799D16.1	0
RP4-781L3.1	0
RP4-706G24.1	0
RP3-465N24.6	0.893891
