Name	Kidney - Cortex
DDX11L1	0
WASH7P	2.77081
MIR6859-1	0
MIR1302-2HG	0.0176647
FAM138A	0
OR4G4P	0.0389038
OR4G11P	0.0580308
OR4F5	0.076292
RP11-34P13.7	0.0170238
CICP27	0.0191362
RP11-34P13.15	4.16909
RP11-34P13.16	4.68101
RP11-34P13.14	0
RP11-34P13.13	0.0653959
RNU6-1100P	0
RP11-34P13.9	0
ABC7-43046700E7.1	0.0940085
RP11-34P13.18	4.654
MIR6859-2	0
AP006222.2	0.238951
RPL23AP24	0.0561057
RP5-857K21.15	0
RP4-669L17.2	0.0106842
RP4-669L17.10	0.110119
WBP1LP7	0.0786397
OR4F29	0.0442428
CICP7	0
RP4-669L17.8	0.0186415
U6	0
RP5-857K21.4	0.0325714
RP5-857K21.2	0
WBP1LP6	0.043107
OR4F16	0.0352939
RP11-206L10.17	0
CICP3	0.0921279
RP11-206L10.2	1.21106
RNU6-1199P	0
RP11-206L10.4	0.0582248
RP11-206L10.9	0.347058
RP11-206L10.8	0.542002
FAM87B	0.264362
LINC01128	2.14434
LINC00115	3.57201
FAM41C	0.0727509
TUBB8P11	0.101226
FAM166AP3	0.05033
RP11-54O7.16	1.29757
RP11-54O7.1	0.720967
RP11-54O7.2	0
PLEKHN1	1.47964
PERM1	0.796836
RP11-54O7.17	1.57926
RP11-54O7.10	0
RP11-54O7.11	0.206061
RP11-465B22.3	2.7218
RP11-54O7.18	0.323643
RNF223	0.379273
LINC01342	0.658523
MIR200B	0.322055
MIR200A	0.281141
MIR429	0.600586
TTLL10-AS1	0.0987
TTLL10	0.28507
TNFRSF18	0.626744
TNFRSF4	2.10538
C1QTNF12	4.81556
RP5-902P8.12	0.614937
LINC01786	2.25864
MIR6726	0
MIR6727	0
TAS1R3	0.450396
MIR6808	0
NDUFB4P8	0.183841
RP4-758J18.13	3.72558
ANKRD65	3.89445
RP4-758J18.7	0.833425
TMEM88B	0.64247
LINC01770	1.17097
ATAD3C	3.21917
TMEM240	1.2319
RP5-832C2.5	0.436822
RP11-345P4.11	0
FNDC10	3.49488
MMP23B	0.280311
RP11-345P4.10	0
RP11-345P4.6	0.971287
MMP23A	0.364674
RP1-283E3.4	3.44712
SLC35E2	1.76437
RP1-140A9.1	0.640825
CALML6	0.802432
TMEM52	1.28299
CFAP74	0.0259966
RP11-547D24.1	0.0248133
GABRD	0.291857
RP11-547D24.3	0.0619587
RP5-892K4.1	0.0505124
PRKCZ-AS1	2.75023
RP11-181G12.4	0.472646
MORN1	1.78303
RP4-713A8.1	0.34455
RP4-740C4.5	2.25467
RP4-740C4.7	1.66483
RP3-395M20.2	0.219783
RP3-395M20.3	0.151349
HES5	0.073595
RP3-395M20.12	4.46515
RP3-395M20.8	3.69911
RP3-395M20.7	0.209065
RP3-395M20.9	0.570508
MMEL1	0.315297
RP13-436F16.1	0
TTC34	0.664279
ABC14-1188822O7.1	0.0646714
RP11-740P5.2	0
RP11-740P5.3	0
ACTRT2	0
PRDM16	3.20213
MIR4251	0
RP1-163G9.2	0
RP11-193J6.1	0.0684948
RP11-22L13.1	0.02652
RP11-168F9.2	0.844587
MIR551A	0
RP11-46F15.2	2.94655
TP73	0.0866268
RP5-1092A11.5	0
RP5-1092A11.2	0
CCDC27	0
RN7SL574P	0.454342
RP1-286D6.5	2.73366
DFFB	3.55636
LINC01134	0.315044
LINC01346	0
LINC01345	0
EEF1DP6	0
LINC01777	0
RP1-37J18.1	0
LINC01646	0
AJAP1	1.87198
RP11-542C10.1	0
