Name	Lung
DDX11L1	0
WASH7P	4.50841
MIR6859-1	0
MIR1302-2HG	0
FAM138A	0
OR4G4P	0
OR4G11P	0.0392844
OR4F5	0.0429601
RP11-34P13.7	0.0353962
CICP27	0.131979
RP11-34P13.14	1.15815
RP11-34P13.13	0.26062
RNU6-1100P	0
RP11-34P13.9	0
ABC7-43046700E7.1	0.0955788
MIR6859-2	0
AP006222.2	0.374046
RPL23AP24	0
RP5-857K21.15	0
RP4-669L17.2	0
RP4-669L17.10	0.285749
WBP1LP7	0
OR4F29	0.0378659
CICP7	0
RP4-669L17.8	0.0481991
U6	0
RP5-857K21.4	0.0364838
RP5-857K21.2	0
WBP1LP6	0
OR4F16	0
RP11-206L10.17	0
CICP3	0.0950602
RP11-206L10.2	2.46406
RNU6-1199P	0
RP11-206L10.4	0
RP11-206L10.9	0.687073
RP11-206L10.8	1.22088
FAM87B	0.5661
FAM41C	0.0728183
TUBB8P11	0.0750353
FAM166AP3	0
RP11-54O7.16	0.331383
RP11-54O7.1	0.288554
RP11-54O7.2	0
RP11-54O7.3	2.90325
SAMD11	3.58384
PLEKHN1	2.29507
PERM1	0.743447
RP11-54O7.17	3.94063
RP11-54O7.10	0
RP11-54O7.11	0.425967
RP11-465B22.3	1.84971
RP11-54O7.18	0.312992
RNF223	0.782084
LINC01342	0.145974
MIR200B	0
MIR200A	0
MIR429	0
RP11-465B22.8	4.61522
TTLL10-AS1	0.547111
TTLL10	1.69574
C1QTNF12	2.37239
RP5-902P8.12	0.987715
LINC01786	3.16543
MIR6726	0
MIR6727	0
TAS1R3	0.970633
MIR6808	0
NDUFB4P8	0.238094
RP4-758J18.13	3.92883
RP4-758J18.7	1.08672
TMEM88B	0.121359
LINC01770	2.62139
ATAD3C	3.09962
TMEM240	3.82775
RP5-832C2.5	0.73307
RP11-345P4.11	0
FNDC10	4.55465
MMP23B	2.6763
RP11-345P4.10	0
RP11-345P4.6	3.73686
MMP23A	1.02283
SLC35E2	4.86045
RP1-140A9.1	0.507493
CALML6	0.939678
TMEM52	1.76593
CFAP74	1.46181
RP11-547D24.1	0.0660434
GABRD	1.20821
RP11-547D24.3	0.173923
RP5-892K4.1	0.302999
RP11-181G12.4	0.339372
MORN1	1.84467
RP4-713A8.1	0.246337
RP4-740C4.5	2.24255
RP4-740C4.7	1.49317
PLCH2	3.85704
RP3-395M20.2	0.255741
RP3-395M20.3	0.258226
HES5	0.305365
RP3-395M20.7	0.786366
RP3-395M20.9	1.94787
MMEL1	1.51727
RP13-436F16.1	0
TTC34	1.06085
ABC14-1188822O7.1	0.239094
RP11-740P5.2	0
RP11-740P5.3	0
ACTRT2	0
LINC00982	3.15911
MIR4251	0
RP1-163G9.2	0.29662
RP11-193J6.1	0.0266116
RP11-22L13.1	0.0688081
RP11-168F9.2	0.657565
MIR551A	0
RP11-46F15.2	2.0557
TP73	0.795273
RP5-1092A11.5	0
RP5-1092A11.2	0
CCDC27	0
SMIM1	3.50062
RN7SL574P	0.67287
RP1-286D6.5	4.8218
LINC01134	0.260096
LINC01346	0
LINC01345	0
