Name	Minor Salivary Gland
DDX11L1	0
WASH7P	3.52767
MIR6859-1	0
MIR1302-2HG	0
FAM138A	0
OR4G4P	0
OR4G11P	0.0330092
OR4F5	0.0322058
RP11-34P13.7	0.019963
CICP27	0.0464406
RP11-34P13.14	0.182025
RP11-34P13.13	0.194032
RNU6-1100P	0
RP11-34P13.9	0
ABC7-43046700E7.1	0.0806922
MIR6859-2	0
AP006222.2	0.362532
RPL23AP24	0
RP5-857K21.15	0
RP4-669L17.2	0
RP4-669L17.10	0.13716
WBP1LP7	0
OR4F29	0.0253183
CICP7	0
RP4-669L17.8	0.028126
U6	0
RP5-857K21.4	0.0255261
RP5-857K21.2	0
WBP1LP6	0
OR4F16	0
RP11-206L10.17	0
CICP3	0.130056
RP11-206L10.2	2.0282
RNU6-1199P	0
RP11-206L10.4	0
RP11-206L10.9	0.781722
RP11-206L10.8	1.5354
FAM87B	0.594506
LINC01128	3.16177
LINC00115	4.87189
FAM41C	0.0345528
TUBB8P11	0.0489013
FAM166AP3	0
RP11-54O7.16	0.0863354
RP11-54O7.1	0.0780718
RP11-54O7.2	0
RP11-54O7.3	0.600888
SAMD11	0.702255
PERM1	3.29825
RP11-54O7.17	2.54835
RP11-54O7.10	0
RP11-54O7.11	0.204639
RP11-465B22.3	3.5643
RP11-54O7.18	0.299933
RNF223	2.84919
LINC01342	0.674221
MIR200B	0.373145
MIR200A	0
MIR429	0.98394
TTLL10-AS1	0.130052
TTLL10	0.407306
TNFRSF4	2.68277
C1QTNF12	0.998311
RP5-902P8.12	0.429717
LINC01786	3.58576
MIR6726	0
MIR6727	0
TAS1R3	2.14434
MIR6808	0
NDUFB4P8	0.18977
RP4-758J18.13	4.53712
RP4-758J18.7	1.97347
TMEM88B	0.258477
ATAD3C	2.30589
TMEM240	1.84031
RP5-832C2.5	1.01389
RP11-345P4.11	0
FNDC10	2.29784
MMP23B	0.129971
RP11-345P4.10	0
RP11-345P4.6	3.06828
MMP23A	0.605785
SLC35E2	4.58539
RP1-140A9.1	0.668141
CALML6	1.15235
TMEM52	2.2899
CFAP74	0.0249386
RP11-547D24.1	0.0511786
GABRD	0.407761
RP11-547D24.3	0
RP5-892K4.1	0.0991657
PRKCZ-AS1	4.55407
RP11-181G12.4	0.251563
MORN1	1.69571
RP4-713A8.1	0.193404
RP4-740C4.5	2.34277
RP4-740C4.7	1.17743
RP3-395M20.2	1.19803
RP3-395M20.3	1.24703
HES5	0.147661
RP3-395M20.12	1.81795
RP3-395M20.8	2.98455
RP3-395M20.7	0.225814
RP3-395M20.9	0.637191
MMEL1	0.510794
RP13-436F16.1	0
TTC34	0.605037
ABC14-1188822O7.1	0
RP11-740P5.2	0
RP11-740P5.3	0
ACTRT2	0
LINC00982	0.496586
PRDM16	0.542343
MIR4251	0
RP1-163G9.2	0
RP11-193J6.1	0
RP11-22L13.1	0.0106521
RP11-168F9.2	0.932019
MIR551A	0
RP11-46F15.2	2.52758
TP73	4.36077
RP5-1092A11.5	0
RP5-1092A11.2	0
CCDC27	0.0185436
RN7SL574P	0.639612
LINC01134	0.377017
LINC01346	0
LINC01345	0
EEF1DP6	0
LINC01777	0
RP1-37J18.1	0
LINC01646	0
AJAP1	0.259086
RP11-542C10.1	0
RP1-58B11.1	0
RP3-491M17.1	0
RP11-154H17.1	0
MIR4417	0
MIR4689	0
KCNAB2	4.52248
CHD5	0.225916
RP1-120G22.11	2.38345
LINC00337	0.045502
HES3	0
GPR153	4.81342
HES2	0.857468
ESPN	2.63351
MIR4252	0
RP1-202O8.2	0.0690957
RNU6-731P	0
RP11-58A11.2	0.32915
TAS1R1	0.513095
LINC01672	0
RP11-312B8.1	0.328858
RP11-312B8.2	0
RP11-334N17.1	0
RNU1-8P	0
CAMTA1-IT1	0.0625059
RP3-453P22.2	0
RP4-549F15.1	0
RP11-338N10.1	0.293069
RP11-338N10.2	1.08924
RP11-338N10.3	1.73112
RP3-467L1.6	2.97533
RP3-467L1.4	0.889932
UTS2	0.0459795
TNFRSF9	0.0445778
RP5-892F13.2	0
Y_RNA	0.219875
RP11-431K24.1	0.344182
CTA-215D11.4	0.0386985
RP11-431K24.2	0
LINC01714	0.047715
RNU1-7P	0
RP11-431K24.4	0
RNU6-991P	0
SLC45A1	2.07317
Y_RNA	0
RP5-1115A15.1	0.865019
SNORA77	0
RP5-1115A15.2	0
RPL7P11	0.0597803
RPL7P7	0.0581348
Y_RNA	0
RP4-633I8.3	0
RP4-633I8.4	0
RPL23AP19	0
MIR6728	0
ENO1-IT1	0.554767
ENO1-AS1	1.12994
RNU6-304P	0
HMGN2P17	0.0403809
RP3-477M7.5	0
RP3-477M7.6	0
CA6	0.070622
RN7SL451P	0
SLC2A7	0
SLC2A5	1.29023
SCARNA16	0
LINC01759	2.12567
RP3-510D11.4	0.141981
RNA5SP40	0
RP13-392I16.1	0.414959
RP13-15M17.1	1.31607
TMEM201	4.96444
PIK3CD-AS1	0
RP11-558F24.2	0
PIK3CD-AS2	2.83709
MZT1P1	0
RP11-84A14.7	0.051035
RP11-84A14.4	0.449551
NMNAT1	4.60595
RN7SKP269	0.236072
RP11-84A14.6	0
MIR5697	0
RP11-496H15.2	0
PGAM1P11	0.133146
RNU6-828P	0
MIR1273D	0
RNU6-37P	0
RP4-736L20.3	0
CORT	1.32953
RN7SL614P	0.387481
RP4-734G22.3	4.3993
HSPE1P24	0
C1orf127	0.199774
CFL1P6	0.196138
MASP2	4.20279
RP4-635E18.7	4.08702
RP4-635E18.6	0.491827
MTOR-AS1	0
RNU6-537P	0
ANGPTL7	1.80564
RNU6-291P	0
RPL39P6	0
UBE2V2P3	0.161766
MTCYBP45	0
DISP3	0.0484815
LINC01647	0
DRAXIN	0.234082
C1orf167	0.0116515
RP11-56N19.5	0
NPPA-AS1	2.17632
NPPA	1.96328
NPPB	0.149231
RP5-934G17.6	0
RNU5E-1	0
RNU5E-4P	0
RP5-1077B9.5	0
Y_RNA	0.25401
MIR6729	0
RN7SL649P	0
TNFRSF8	0.379596
RNU6-777P	0
RPL23AP89	0
MIR7846	0
MIR4632	0
RPL10P17	0
SNORA70	0
SNORA59A	1.94058
RP5-888M10.2	0.0801657
RNU6ATAC18P	0.44985
MIR6730	0
RP11-474O21.5	1.91136
AADACL4	0
RP11-474O21.2	0
AADACL3	0
C1orf158	0
PRAMEF12	0
PRAMEF1	0
LINC01784	0
PRAMEF11	0
PRAMEF30P	0
HNRNPCL1	0.0674415
PRAMEF2	0
PRAMEF4	0
PRAMEF10	0
PRAMEF7	0
RNU6-1072P	0
PRAMEF29P	0
PRAMEF6	0
PRAMEF28P	0
PRAMEF27	0
HNRNPCL3	0
PRAMEF25	0
PRAMEF34P	0
PRAMEF35P	0
HNRNPCL2	0
PRAMEF36P	0
RP13-221M14.2	0
PRAMEF26	0
HNRNPCL4	0
PRAMEF9	0
PRAMEF13	0
PRAMEF18	0
PRAMEF31P	0
PRAMEF5	0
PRAMEF32P	0
RNU6-771P	0
PRAMEF8	0
PRAMEF33	0
PRAMEF15	0
RP11-219C24.10	0
PRAMEF14	0
PRAMEF19	0
PRAMEF17	0
PRAMEF20	0
LRRC38	0.264446
RP4-597A16.2	0
BRWD1P1	0
RNA5SP41	0
CTA-520D8.2	0
SCARNA11	0
RNU6-1265P	0
RP11-344F13.1	0
RP4-704D23.1	0
TBCAP2	0
TMEM51-AS1	1.87405
C1orf195	0.0551648
RP1-21O18.3	0
RP5-903E17.2	0.0331219
FHAD1	0.209229
RP3-467K16.2	0.0935867
RP3-467K16.7	0.0951068
RP3-467K16.4	0.0381103
CTRC	0.253201
CELA2A	0.224033
CELA2B	0.142944
SCARNA21	0
RP4-680D5.8	0.643001
AGMAT	1.67182
RP4-680D5.2	0.202022
CHCHD2P6	1.40334
RNU7-179P	0
CD24P1	0
RP4-680D5.9	0.0898679
RP11-288I21.1	1.29986
SLC25A34	2.45981
TMEM82	0
RP11-169K16.4	0
RPL12P14	0.275054
UQCRHL	4.66458
RP11-169K16.8	0.897828
FLJ37453	3.59486
RP1-134O19.3	0
RP11-5P18.1	0
RP11-5P18.3	0
RP11-5P18.11	0
TBC1D3P6	0
C1orf64	1.3313
CLCNKA	2.91657
RP11-5P18.10	0.575306
FAM131C	1.19364
RP11-276H7.2	2.90187
RP11-276H7.3	2.30244
ANO7L1	4.18617
RSG1	4.97137
MT1XP1	0.912874
RP11-430L17.1	0.115106
SPATA21	0.0236909
LINC01772	2.04515
CROCCP3	3.87674
RNU1-1	0
RP4-798A10.7	0.186728
RP4-798A10.4	0
LINC01783	0.101297
RNU1-6P	0
FAM231B	0
RP5-875O13.6	0
NBPF1	3.51124
RP5-1182A14.5	0
RP1-163M9.8	0
RNU1-3	0
FAM231A	0
RP5-875O13.7	0.136312
EIF1AXP1	0.736847
ESPNP	0.27422
RP1-163M9.7	0
FAM231C	0
RP5-1182A14.7	0
RNU1-4	0
CROCCP4	0
MST1L	1.96167
RP11-108M9.1	0
RP11-108M9.2	0
MIR3675	0
RP11-108M9.3	0.245873
RP11-108M9.5	2.19174
RNU1-2	0
RP11-108M9.6	0.192756
RP1-37C10.3	0.0867252
RP11-380J14.1	0.0700963
RP11-380J14.4	0
PADI1	0.644966
PADI3	0.0907463
MIR3972	0
PADI4	0.135235
PADI6	0
RP11-473A10.2	0
ACTL8	0
LINC01654	0
IGSF21	1.55503
RP11-174G17.3	0.0255041
RP11-174G17	0
RP11-422P22.1	0
KLHDC7A	2.48932
DYNLL1P3	0
RP1-8B22.2	0
PAX7	0.00735399
TAS1R2	0
MIR4695	0
MIR1290	0
RP5-1126H10.2	0.8762
RP1-43E13.2	1.18964
AKR7L	0.852572
AKR7A3	1.92977
RP4-657E11.10	2.12436
RNU6-1099P	0
RN7SL277P	0
RNU4-28P	0
RP5-1056L3.1	0
HTR6	0.0228574
RNF186	0.0919446
RP11-91K11.2	0
PLA2G2E	0
RN7SL304P	0
PLA2G5	1.85458
PLA2G2D	0.251345
PLA2G2F	0
RP3-340N1.2	0.0516052
PLA2G2C	0.047459
UBXN10-AS1	1.5935
UBXN10	1.56416
LINC01757	0
VWA5B1	0.00688778
RP4-745E8.2	0
LINC01141	0.0125029
RP4-749H3.2	0
RPS4XP4	0
FAM43B	0.720783
CDA	2.18233
PINK1-AS	3.82067
KIF17	0.677867
RP5-930J4.5	0
SH2D5	0.154389
RP5-930J4.2	0
RNU7-200P	0
MIR1256	0
RPS15AP6	0
RP11-487E1.2	0
HSPE1P27	0
RP3-329E20.2	0.0400531
RP5-1071N3.1	0.27478
PPP1R11P1	0
RP11-293F5.8	0
RP11-293F5.1	0
NBPF2P	1.15979
HS6ST1P1	0.988492
CROCCP5	0
NBPF3	2.9146
PFN1P10	0
RP11-63N8.3	0
RP11-132G19.3	0
RP11-26H16.1	0.0988652
RP11-26H16.4	0
