Name	Adrenal Gland
DDX11L1	0
WASH7P	2.68549
MIR6859-1	0
MIR1302-2HG	0
FAM138A	0
OR4G4P	0.0363952
OR4G11P	0.0543848
OR4F5	0.057972
RP11-34P13.7	0.0161567
CICP27	0.0153541
RP11-34P13.15	3.66854
RP11-34P13.14	0
RP11-34P13.13	0.104671
RNU6-1100P	0
RP11-34P13.9	0
ABC7-43046700E7.1	0.112722
MIR6859-2	0
AP006222.2	0.55197
RPL23AP24	0.0736981
RP5-857K21.15	0
RP4-669L17.2	0
RP4-669L17.10	0.105173
WBP1LP7	0.0972809
OR4F29	0.0494264
CICP7	0.00990712
RP4-669L17.8	0
U6	0
RP5-857K21.4	0.0348352
RP5-857K21.2	0
WBP1LP6	0.0530494
OR4F16	0.0343507
RP11-206L10.17	0
CICP3	0.129228
RP11-206L10.2	1.76607
RNU6-1199P	0
RP11-206L10.4	0.0495128
RP11-206L10.9	0.359335
RP11-206L10.8	0.910677
FAM87B	1.24982
LINC01128	4.03224
LINC00115	2.75144
FAM41C	0.052839
TUBB8P11	0.0721666
FAM166AP3	0
RP11-54O7.16	0.380017
RP11-54O7.1	0.299625
RP11-54O7.2	0
RP11-54O7.3	3.80144
SAMD11	3.78499
PLEKHN1	1.92579
PERM1	0.428906
RP11-54O7.17	0.602035
HES4	2.91384
RP11-54O7.10	0
RP11-54O7.11	0.0866976
AGRN	4.78231
RP11-465B22.3	0.224826
RP11-54O7.18	0.0530903
RNF223	0.0472266
LINC01342	0.0596234
MIR200B	0
MIR200A	0
MIR429	0
RP11-465B22.8	0.0783685
TTLL10-AS1	0.0537954
TTLL10	0.0746875
TNFRSF18	0.294272
TNFRSF4	0.776524
C1QTNF12	0.643373
RP5-902P8.12	0.337757
LINC01786	4.70245
MIR6726	0
MIR6727	0
TAS1R3	0.521956
MIR6808	0
NDUFB4P8	0.245135
RP4-758J18.13	2.55936
ANKRD65	0.983632
RP4-758J18.7	0.212768
TMEM88B	0.104552
LINC01770	0.536845
ATAD3C	0.287711
TMEM240	2.39958
RP5-832C2.5	1.42149
RP11-345P4.11	0
MMP23B	0.38597
RP11-345P4.10	0
RP11-345P4.6	1.85097
MMP23A	0.967728
SLC35E2	3.96273
RP1-140A9.1	0.959566
CALML6	0.615128
CFAP74	0.328318
RP11-547D24.1	0.0432975
GABRD	1.03713
RP11-547D24.3	0.0422087
RP5-892K4.1	0.0862586
PRKCZ-AS1	2.95519
RP11-181G12.4	0.175138
MORN1	1.30571
RP4-713A8.1	0
RP4-740C4.5	1.43886
RP4-740C4.7	0.862895
PLCH2	2.14629
RP3-395M20.2	0.181627
RP3-395M20.3	0.201741
HES5	0.0293796
RP3-395M20.12	1.15262
RP3-395M20.8	1.84794
RP3-395M20.7	0.0679651
RP3-395M20.9	0.131355
MMEL1	0.348529
RP13-436F16.1	0
TTC34	0.414229
ABC14-1188822O7.1	0
RP11-740P5.2	0
RP11-740P5.3	0
ACTRT2	0
LINC00982	0.293911
PRDM16	0.26716
MIR4251	0
RP1-163G9.2	0
RP11-193J6.1	0
RP11-22L13.1	0
ARHGEF16	0.559504
RP11-168F9.2	0.0870322
MEGF6	4.74658
MIR551A	0
RP11-46F15.2	1.20458
TP73	0.0600037
