Name	Pancreas
DDX11L1	0
WASH7P	1.80871
MIR6859-1	0
MIR1302-2HG	0
FAM138A	0
OR4G4P	0
OR4G11P	0
OR4F5	0.0247443
RP11-34P13.7	0.0149573
CICP27	0.0286642
RP11-34P13.15	3.32115
RP11-34P13.14	0
RP11-34P13.13	0.092735
RNU6-1100P	0
RP11-34P13.9	0
ABC7-43046700E7.1	0
RP11-34P13.18	3.07287
MIR6859-2	0
AP006222.2	0.185257
RPL23AP24	0
RP5-857K21.15	0
RP4-669L17.2	0
RP4-669L17.10	0.0711307
WBP1LP7	0
OR4F29	0
CICP7	0
RP4-669L17.8	0
U6	0
RP5-857K21.4	0.0207751
RP5-857K21.2	0
MTND1P23	4.60905
WBP1LP6	0
OR4F16	0
RP11-206L10.17	0
CICP3	0.0750721
RP11-206L10.2	1.06068
RNU6-1199P	0
RP11-206L10.4	0
RP11-206L10.9	0.264799
RP11-206L10.8	0.56623
FAM87B	0.149052
LINC01128	2.15915
LINC00115	0.978689
FAM41C	0.0280363
TUBB8P11	0.0366734
FAM166AP3	0
RP11-54O7.16	0.0416644
RP11-54O7.1	0.0471724
RP11-54O7.2	0
RP11-54O7.3	0.324505
SAMD11	0.733945
KLHL17	4.77177
PLEKHN1	0.598507
PERM1	0.182862
RP11-54O7.17	2.64801
RP11-54O7.10	0
RP11-54O7.11	0.0714432
RP11-465B22.3	1.32171
RP11-54O7.18	0.217393
RNF223	0.0966679
C1orf159	2.7054
LINC01342	0.271434
MIR200B	0.384376
MIR200A	0.308643
MIR429	0.825108
TTLL10-AS1	0.107087
TTLL10	0.186376
TNFRSF18	0.156418
TNFRSF4	0.745113
C1QTNF12	0.41665
RP5-902P8.12	0.185494
LINC01786	1.41869
SCNN1D	2.23448
MIR6726	0
MIR6727	0
TAS1R3	0.180493
MIR6808	0
NDUFB4P8	0.124335
RP4-758J18.13	1.6071
RP4-758J18.7	0.9608
TMEM88B	0.0620562
LINC01770	1.16909
ATAD3C	2.97434
TMEM240	0.419042
RP5-832C2.5	0.39156
RP11-345P4.11	0
FNDC10	0.56089
RP11-345P4.9	3.83731
MMP23B	0.0988388
RP11-345P4.10	0
RP11-345P4.6	1.37219
MMP23A	0.299702
RP1-283E3.4	3.31412
SLC35E2	2.01995
RP1-140A9.1	0.351203
CALML6	1.23838
CFAP74	0.0101816
RP11-547D24.1	0
GABRD	0.073932
RP11-547D24.3	0
PRKCZ	3.02469
RP5-892K4.1	0.0396577
PRKCZ-AS1	1.64573
FAAP20	3.76542
RP11-181G12.4	0.0968863
MORN1	0.762123
RP4-713A8.1	0.133327
RP4-740C4.5	1.36236
RP4-740C4.7	0.64251
PLCH2	4.17235
RP3-395M20.2	0.431255
RP3-395M20.3	0.37522
PANK4	4.64287
HES5	0.0386145
RP3-395M20.12	1.27256
RP3-395M20.8	1.47894
RP3-395M20.7	0.0424052
RP3-395M20.9	0.139425
FAM213B	4.84318
MMEL1	0.156497
RP13-436F16.1	0
TTC34	0.259315
ABC14-1188822O7.1	0
RP11-740P5.2	0
RP11-740P5.3	0
ACTRT2	0
PRDM16	3.93801
MIR4251	0
RP1-163G9.2	0.119185
RP11-193J6.1	0.0322859
RP11-22L13.1	0.0338789
RP11-168F9.2	0.255192
MEGF6	3.68582
MIR551A	0
RP11-46F15.2	0.626251
TP73	0.196565
RP5-1092A11.5	0
RP5-1092A11.2	0
CCDC27	0
SMIM1	3.28275
RN7SL574P	0.501563
RP1-286D6.5	3.74749
DFFB	4.25256
LINC01134	0.121543
LINC01346	0
LINC01345	0
EEF1DP6	0
LINC01777	0
RP1-37J18.1	0
LINC01646	0
AJAP1	0.861859
RP11-542C10.1	0
RP1-58B11.1	0.956212
RP3-491M17.1	0
RP11-154H17.1	0
MIR4417	0
MIR4689	0
NPHP4	2.79323
KCNAB2	1.10604
CHD5	0.174626
RP1-120G22.11	1.90186
LINC00337	0
HES3	0
GPR153	0.987304
ACOT7	3.2155
HES2	0.0126574
ESPN	0.0829984
MIR4252	0
RP1-202O8.2	0
TNFRSF25	2.11763
PLEKHG5	2.17119
NOL9	4.63104
RNU6-731P	0
RP11-58A11.2	0.384474
TAS1R1	0.0267895
LINC01672	0
RP11-312B8.1	0.0845295
CAMTA1	1.74727
RP11-312B8.2	0
RP11-334N17.1	0
RNU1-8P	0
CAMTA1-IT1	0
RP3-453P22.2	0
RP4-549F15.1	0
RP11-338N10.1	0.0355743
RP11-338N10.2	0.211481
