Name	Artery - Aorta
DDX11L1	0
WASH7P	4.04762
MIR6859-1	0
MIR1302-2HG	0
FAM138A	0
OR4G4P	0
OR4G11P	0.0292094
OR4F5	0
RP11-34P13.7	0
CICP27	0.0243222
RP11-34P13.15	3.64269
RP11-34P13.14	0
RP11-34P13.13	0.140667
RNU6-1100P	0
RP11-34P13.9	0
ABC7-43046700E7.1	0
MIR6859-2	0
AP006222.2	0.24707
RPL23AP24	0.142936
RP5-857K21.15	0
RP4-669L17.2	0
RP4-669L17.10	0.228534
WBP1LP7	0
OR4F29	0
CICP7	0
RP4-669L17.8	0
U6	0
RP5-857K21.4	0.0460325
RP5-857K21.2	0
MTND1P23	4.91397
WBP1LP6	0
OR4F16	0
RP11-206L10.17	0
CICP3	0.106744
RP11-206L10.2	1.97782
RNU6-1199P	0
RP11-206L10.4	0
RP11-206L10.9	0.759331
RP11-206L10.8	1.2325
FAM87B	1.25164
FAM41C	0.0446471
TUBB8P11	0.0565978
FAM166AP3	0
RP11-54O7.16	0.327288
RP11-54O7.1	0.289577
RP11-54O7.2	0
PLEKHN1	0.744398
PERM1	0.388882
RP11-54O7.10	0
RP11-54O7.11	0.507062
RP11-465B22.3	0.196514
RP11-54O7.18	0.0530674
RNF223	0.0386425
LINC01342	0.0315457
MIR200B	0
MIR200A	0
MIR429	0
RP11-465B22.8	0.0732426
TTLL10-AS1	0.0346082
TTLL10	0.0684255
TNFRSF18	0.810066
TNFRSF4	2.56503
C1QTNF12	1.73942
RP5-902P8.12	0.697785
LINC01786	3.1986
SCNN1D	4.45755
MIR6726	0
MIR6727	0
TAS1R3	0.485234
MIR6808	0
NDUFB4P8	0.158807
RP4-758J18.13	4.40365
ANKRD65	1.42542
RP4-758J18.7	0.141452
TMEM88B	0.0933319
LINC01770	1.65733
ATAD3C	0.90768
RP5-832C2.5	0.640098
RP11-345P4.11	0
FNDC10	0.915805
MMP23B	4.98603
RP11-345P4.10	0
RP11-345P4.6	3.00313
MMP23A	0.632254
SLC35E2	4.77708
RP1-140A9.1	0.370511
CALML6	0.874256
TMEM52	0.4095
CFAP74	0.0181789
RP11-547D24.1	0.0523793
GABRD	0.449011
RP11-547D24.3	0
PRKCZ	0.286441
RP5-892K4.1	0.00976644
PRKCZ-AS1	3.79993
RP11-181G12.4	0.806918
MORN1	1.30069
RP4-713A8.1	0.203418
RP4-740C4.5	1.19975
RP4-740C4.7	0.871898
PLCH2	0.673427
RP3-395M20.2	0
RP3-395M20.3	0
HES5	0.447606
RP3-395M20.12	2.1669
RP3-395M20.8	0.719739
RP3-395M20.7	0.123156
RP3-395M20.9	0.419535
MMEL1	0.104373
RP13-436F16.1	0
TTC34	0.665761
ABC14-1188822O7.1	0
RP11-740P5.2	0
RP11-740P5.3	0
ACTRT2	0
MIR4251	0
RP1-163G9.2	3.25307
RP11-193J6.1	0.214719
RP11-22L13.1	1.13424
ARHGEF16	0.492577
RP11-168F9.2	1.10071
MIR551A	0
RP11-46F15.2	1.66128
TP73	0.115306
RP5-1092A11.5	0
RP5-1092A11.2	0
CCDC27	0.0166849
SMIM1	4.67067
RN7SL574P	0.628992
RP1-286D6.5	3.79894
LINC01134	0.0809476
LINC01346	0
LINC01345	0
EEF1DP6	0
LINC01777	0
RP1-37J18.1	0
LINC01646	0
AJAP1	0.0794434
RP11-542C10.1	0
RP1-58B11.1	0
RP3-491M17.1	0
RP11-154H17.1	0
MIR4417	0
MIR4689	0
CHD5	1.70181
RP1-120G22.11	0.690534
LINC00337	0
HES3	0
GPR153	3.08735
HES2	0.025806
ESPN	0.0718618
MIR4252	0
RP1-202O8.2	0
RNU6-731P	0
RP11-58A11.2	0.187723
TAS1R1	0.586388
LINC01672	0
RP11-312B8.1	0.277609
RP11-312B8.2	0
RP11-334N17.1	0
RNU1-8P	0
CAMTA1-IT1	0.163787
RP3-453P22.2	0
RP4-549F15.1	0
RP11-338N10.1	0.0811915
