Name	Uterus
DDX11L1	0
MIR6859-1	0
MIR1302-2HG	0
FAM138A	0
OR4G4P	0
OR4G11P	0.0163333
OR4F5	0
RP11-34P13.7	0.0262654
CICP27	0.0394926
RP11-34P13.15	4.14399
RP11-34P13.14	0
RP11-34P13.13	0.169672
RNU6-1100P	0
RP11-34P13.9	0
ABC7-43046700E7.1	0.034329
MIR6859-2	0
AP006222.2	0.351008
RPL23AP24	0.109488
RP5-857K21.15	0
RP4-669L17.2	0
RP4-669L17.10	0.466077
WBP1LP7	0
OR4F29	0
CICP7	0
RP4-669L17.8	0.0351132
U6	0
RP5-857K21.4	0.0546942
RP5-857K21.2	0
WBP1LP6	0
OR4F16	0
RP11-206L10.17	0
CICP3	0.181097
RP11-206L10.2	3.12726
RNU6-1199P	0
RP11-206L10.4	0
RP11-206L10.9	1.14816
RP11-206L10.8	1.61903
FAM87B	0.818511
FAM41C	0.0727369
TUBB8P11	0.0620051
FAM166AP3	0
RP11-54O7.16	0.433913
RP11-54O7.1	0.352319
RP11-54O7.2	0
PLEKHN1	0.722009
PERM1	0.833465
RP11-54O7.10	0.416587
RP11-54O7.11	0.83381
RP11-465B22.3	0.360881
RP11-54O7.18	0.07015
RNF223	0.0569785
LINC01342	0.0410869
MIR200B	0
MIR200A	0
MIR429	0
RP11-465B22.8	0.146723
TTLL10-AS1	0.0779452
TTLL10	0.194299
TNFRSF18	0.632917
TNFRSF4	3.07209
C1QTNF12	2.0186
RP5-902P8.12	0.929076
MIR6726	0
MIR6727	0
TAS1R3	0.927422
MIR6808	0
NDUFB4P8	0.288776
RP4-758J18.7	4.23742
TMEM88B	0.443473
ATAD3C	3.13593
RP5-832C2.5	0.829798
RP11-345P4.11	0
FNDC10	0.824843
MMP23B	2.44314
RP11-345P4.10	0
MMP23A	1.17741
RP1-140A9.1	0.700581
CALML6	1.21981
TMEM52	0.992576
CFAP74	0.0594782
RP11-547D24.1	0.0656129
GABRD	0.431775
RP11-547D24.3	0
PRKCZ	1.16774
RP5-892K4.1	0.0387334
RP11-181G12.4	1.30469
MORN1	4.16001
RP4-713A8.1	0.962619
RP4-740C4.5	3.71073
RP4-740C4.7	2.17017
PLCH2	0.719926
RP3-395M20.2	0
RP3-395M20.3	0
HES5	0.450787
RP3-395M20.12	2.7143
RP3-395M20.8	1.76539
RP3-395M20.7	0.563064
RP3-395M20.9	2.35891
MMEL1	0.289129
RP13-436F16.1	0
TTC34	1.26327
ABC14-1188822O7.1	0
RP11-740P5.2	0
RP11-740P5.3	0
ACTRT2	0
LINC00982	1.59753
PRDM16	1.94574
MIR4251	0
RP1-163G9.2	0
RP11-193J6.1	0.0248304
RP11-22L13.1	0.029904
ARHGEF16	0.547822
RP11-168F9.2	0.15537
MIR551A	0
TP73	0.139818
RP5-1092A11.5	0
RP5-1092A11.2	0
CCDC27	0.0626811
SMIM1	3.84553
RN7SL574P	1.32935
LINC01134	0.117627
LINC01346	0.0924359
LINC01345	0.282243
EEF1DP6	0
LINC01777	0
RP1-37J18.1	0
LINC01646	0
AJAP1	0.78199
RP11-542C10.1	0
RP1-58B11.1	0
RP3-491M17.1	0
RP11-154H17.1	0
MIR4417	0
MIR4689	0
CHD5	0.490493
RP1-120G22.11	0.698505
LINC00337	0.0191018
HES3	0
HES2	0.0267219
ESPN	0.149915
MIR4252	0
RP1-202O8.2	0
RNU6-731P	0
RP11-58A11.2	0.440432
TAS1R1	0.184355
LINC01672	0
RP11-312B8.1	0.441629
RP11-312B8.2	0
RP11-334N17.1	0
RNU1-8P	0
CAMTA1-IT1	0.143905
RP3-453P22.2	0
RP4-549F15.1	0.299041
RP11-338N10.1	0.493517
RP11-338N10.2	1.01588
RP11-338N10.3	1.75143
RP3-467L1.4	1.91634
UTS2	0.0548358
TNFRSF9	0.0256789
RP5-892F13.2	0
Y_RNA	0
RP11-431K24.1	0.156687
CTA-215D11.4	0
RP11-431K24.2	0
LINC01714	0
RNU1-7P	0
RP11-431K24.4	0
RNU6-991P	0
Y_RNA	0.38652
RP5-1115A15.1	2.01751
SNORA77	0
RP5-1115A15.2	0.118827
RPL7P11	0.0791533
RPL7P7	0.0819816
Y_RNA	0
RP4-633I8.3	0
RP4-633I8.4	0
RPL23AP19	0
MIR6728	0
ENO1-IT1	0.181958
ENO1-AS1	0.390997
RNU6-304P	0
HMGN2P17	0.07384
RP3-477M7.5	0
RP3-477M7.6	0
CA6	0
RN7SL451P	0
SLC2A7	0
SLC2A5	1.03913
SCARNA16	0
LINC01759	1.25242
RP3-510D11.4	0.171846
RNA5SP40	0
RP13-392I16.1	0
SLC25A33	4.89487
RP13-15M17.1	0.720671
PIK3CD-AS1	0
RP11-558F24.2	0
PIK3CD-AS2	3.24591
MZT1P1	0
RP11-84A14.7	0.0559468
RP11-84A14.4	0.489248
RN7SKP269	0.19666
RP11-84A14.6	0
MIR5697	0
RP11-496H15.2	0
PGAM1P11	0.0774141
RNU6-828P	0
MIR1273D	0
RNU6-37P	0
RP4-736L20.3	0
CORT	1.87923
RN7SL614P	0.344237
RP4-734G22.3	2.64119
HSPE1P24	0
C1orf127	0.066427
CFL1P6	0
RP4-635E18.6	0.198169
MTOR-AS1	0
RNU6-537P	0
ANGPTL7	1.15698
RNU6-291P	0
RPL39P6	0
UBE2V2P3	0.124584
MTCYBP45	0
DISP3	0.0760201
LINC01647	0
DRAXIN	0.0507492
C1orf167	0.0264215
RP11-56N19.5	0
NPPA-AS1	2.55062
NPPA	3.28948
NPPB	0.427589
RP5-934G17.6	0.0372802
RNU5E-1	0
RNU5E-4P	0
RP5-1077B9.5	0
Y_RNA	2.58577
MIR6729	0
RN7SL649P	0
TNFRSF8	1.24858
RNU6-777P	0
RPL23AP89	0
MIR7846	0
MIR4632	0
RPL10P17	0
SNORA70	0
SNORA59A	2.60984
RP5-888M10.2	0.148739
RNU6ATAC18P	0.394302
MIR6730	0
RP11-474O21.5	1.82902
AADACL4	0.354131
RP11-474O21.2	0
AADACL3	0
C1orf158	0
PRAMEF12	0
PRAMEF1	0
LINC01784	0
PRAMEF11	0
PRAMEF30P	0
HNRNPCL1	0.117607
PRAMEF2	0
PRAMEF4	0
PRAMEF10	0
PRAMEF7	0
RNU6-1072P	0
PRAMEF29P	0
PRAMEF6	0
PRAMEF28P	0
PRAMEF27	0
HNRNPCL3	0
PRAMEF25	0
PRAMEF34P	0
PRAMEF35P	0
HNRNPCL2	0
PRAMEF36P	0
RP13-221M14.2	0
PRAMEF26	0
HNRNPCL4	0
PRAMEF9	0
PRAMEF13	0
PRAMEF18	0
PRAMEF31P	0
PRAMEF5	0
PRAMEF32P	0
RNU6-771P	0
PRAMEF8	0
PRAMEF33	0
PRAMEF15	0
RP11-219C24.10	0
PRAMEF14	0
PRAMEF19	0
PRAMEF17	0
PRAMEF20	0
LRRC38	0.0569204
RP4-597A16.2	0
BRWD1P1	0
RNA5SP41	0
CTA-520D8.2	0.127159
SCARNA11	0
KAZN	4.17097
RNU6-1265P	0
RP11-344F13.1	0
RP4-704D23.1	0
TBCAP2	0
TMEM51-AS1	1.14271
C1orf195	0
RP1-21O18.3	0
RP5-903E17.2	0
FHAD1	0.096829
RP3-467K16.2	0.266158
RP3-467K16.7	0.0918366
RP3-467K16.4	0.0597339
CTRC	0.516842
CELA2A	0.698467
CELA2B	0.303147
SCARNA21	0
RP4-680D5.8	0.504539
AGMAT	0.462173
RP4-680D5.2	0.390639
CHCHD2P6	1.58111
RNU7-179P	0
CD24P1	0
RP4-680D5.9	0.244272
RP11-288I21.1	2.00658
TMEM82	0.0373342
RP11-169K16.4	0.23528
RPL12P14	0.368771
RP11-169K16.8	1.87376
RP1-134O19.3	0
RP11-5P18.1	0
RP11-5P18.3	0
RP11-5P18.11	0
TBC1D3P6	0
C1orf64	0.0396365
CLCNKA	2.09425
RP11-5P18.10	0.229313
CLCNKB	1.3855
FAM131C	0.948725
RP11-276H7.2	1.50261
RP11-276H7.3	0.711558
ANO7L1	0.95453
MT1XP1	0.80532
RP11-430L17.1	0.171009
SPATA21	0.111616
RNU1-1	0
RP4-798A10.7	0.195772
RP4-798A10.4	0
LINC01783	0.266599
RNU1-6P	0
FAM231B	0
RP5-875O13.6	0
RP5-1182A14.5	0.140387
MST1P2	2.5506
RP1-163M9.8	0
RNU1-3	0
FAM231A	0
RP5-875O13.7	0
EIF1AXP1	0.97064
ESPNP	0.0184646
RP1-163M9.7	0
FAM231C	0
RP5-1182A14.7	0
RNU1-4	0
CROCCP4	0.0637451
MST1L	0.846384
RP11-108M9.1	0
RP11-108M9.2	0
MIR3675	0
RP11-108M9.3	0.535334
RNU1-2	0
RP11-108M9.6	0.57458
RP1-37C10.3	0.508367
PADI2	0.952542
RP11-380J14.1	0
RP11-380J14.4	0
PADI1	0.0564274
PADI3	0
MIR3972	0
PADI4	0.284452
PADI6	0
RP11-473A10.2	0
ACTL8	0
LINC01654	0
IGSF21	1.60534
RP11-174G17.3	0.0346916
RP11-174G17	0
RP11-422P22.1	0
KLHDC7A	0.0122683
DYNLL1P3	0
RP1-8B22.2	0
PAX7	0
TAS1R2	0
MIR4695	0
MIR1290	0
RP5-1126H10.2	2.01183
RP1-43E13.2	1.89701
AKR7L	1.26421
AKR7A3	3.02168
RP4-657E11.10	2.3065
RNU6-1099P	0
RN7SL277P	0
RNU4-28P	0
RP5-1056L3.1	0
HTR6	0.0867042
RNF186	0.0724895
RP11-91K11.2	0
PLA2G2E	0
RN7SL304P	0
PLA2G2A	3.95189
PLA2G5	2.20685
PLA2G2D	0.0307791
PLA2G2F	0
RP3-340N1.2	0.0399055
PLA2G2C	0.0947942
UBXN10-AS1	4.33015
UBXN10	3.4496
LINC01757	0
VWA5B1	0.0102928
RP4-745E8.2	0
LINC01141	0.0641545
RP4-749H3.2	0
RPS4XP4	0
FAM43B	1.43881
KIF17	3.27254
RP5-930J4.5	0
SH2D5	1.09757
RP5-930J4.2	0
RNU7-200P	0
MIR1256	0
RPS15AP6	0
RP11-487E1.2	0
HSPE1P27	0
RP3-329E20.2	0.148837
RP5-1071N3.1	0.743251
PPP1R11P1	0
RP11-293F5.8	0
RP11-293F5.1	0
NBPF2P	1.36481
