Name	Vagina
DDX11L1	0
MIR6859-1	0
MIR1302-2HG	0
FAM138A	0
OR4G4P	0
OR4G11P	0.0274644
OR4F5	0.0152188
RP11-34P13.7	0.025248
CICP27	0.0718387
RP11-34P13.14	0.233237
RP11-34P13.13	0.209406
RNU6-1100P	0
RP11-34P13.9	0
ABC7-43046700E7.1	0
MIR6859-2	0
AP006222.2	0.375352
RPL23AP24	0.0330492
RP5-857K21.15	0
RP4-669L17.2	0
RP4-669L17.10	0.237074
WBP1LP7	0
OR4F29	0
CICP7	0
RP4-669L17.8	0.0368529
U6	0
RP5-857K21.4	0.0581278
RP5-857K21.2	0
MTND1P23	4.98803
WBP1LP6	0
OR4F16	0
RP11-206L10.17	0
CICP3	0.153664
RP11-206L10.2	2.48912
RNU6-1199P	0
RP11-206L10.4	0
RP11-206L10.9	0.792554
RP11-206L10.8	1.37989
FAM87B	0.721229
FAM41C	0.167557
TUBB8P11	0.123266
FAM166AP3	0
RP11-54O7.16	0.439245
RP11-54O7.1	0.39797
RP11-54O7.2	0
RP11-54O7.3	4.17785
RP11-54O7.10	0.316954
RP11-54O7.11	0.56413
RP11-54O7.18	0.180478
LINC01342	0.040777
MIR200B	0
MIR200A	0
MIR429	0
TTLL10-AS1	0.117702
TTLL10	0.290457
TNFRSF18	4.00915
TNFRSF4	2.28543
C1QTNF12	2.14424
RP5-902P8.12	0.751374
LINC01786	4.87337
MIR6726	0
MIR6727	0
TAS1R3	1.41623
MIR6808	0
NDUFB4P8	0.1764
RP4-758J18.7	2.84874
TMEM88B	0.343672
LINC01770	3.45907
ATAD3C	2.48193
RP5-832C2.5	0.549706
RP11-345P4.11	0
MMP23B	2.03009
RP11-345P4.10	0
RP11-345P4.6	4.43361
MMP23A	0.675738
RP1-140A9.1	0.782202
CALML6	2.58185
TMEM52	2.06317
CFAP74	0.0456697
RP11-547D24.1	0.057082
GABRD	0.356172
RP11-547D24.3	0
RP5-892K4.1	0.0773288
RP11-181G12.4	0.740095
MORN1	2.323
RP4-713A8.1	0.312005
RP4-740C4.5	2.44203
RP4-740C4.7	1.74763
RP3-395M20.2	1.76085
RP3-395M20.3	1.60204
HES5	0.692136
RP3-395M20.12	2.17828
RP3-395M20.8	1.93628
RP3-395M20.7	0.34077
RP3-395M20.9	1.47854
MMEL1	0.575239
RP13-436F16.1	0
TTC34	0.50594
ABC14-1188822O7.1	0
RP11-740P5.2	0
RP11-740P5.3	0
ACTRT2	0
LINC00982	1.62325
PRDM16	1.36108
MIR4251	0
RP1-163G9.2	0
RP11-193J6.1	0
RP11-22L13.1	0
RP11-168F9.2	0.773335
MIR551A	0
RP11-46F15.2	3.60458
RP5-1092A11.5	0
RP5-1092A11.2	0
CCDC27	0.0310157
SMIM1	3.52668
RN7SL574P	0.854544
LINC01134	0.231704
LINC01346	0.0371956
LINC01345	0.125352
EEF1DP6	0
LINC01777	0
RP1-37J18.1	0
LINC01646	0
AJAP1	0.832892
RP11-542C10.1	0
RP1-58B11.1	0
RP3-491M17.1	0
RP11-154H17.1	0.070238
MIR4417	0
MIR4689	0
KCNAB2	4.78402
CHD5	0.420977
RP1-120G22.11	0.790402
LINC00337	0.0735997
HES3	0
MIR4252	0
RP1-202O8.2	0.252766
RNU6-731P	0
RP11-58A11.2	0.181192
TAS1R1	0.170311
LINC01672	0
RP11-312B8.1	0.250275
RP11-312B8.2	0
RP11-334N17.1	0
RNU1-8P	0
CAMTA1-IT1	0
RP3-453P22.2	0
RP4-549F15.1	0.208966
RP11-338N10.1	0.182532
RP11-338N10.2	0.498934
RP11-338N10.3	0.967915
RP3-467L1.6	4.36053
RP3-467L1.4	2.12374
UTS2	0.0856101
TNFRSF9	0.0450341
RP5-892F13.2	0
Y_RNA	0
RP11-431K24.1	0.165859
CTA-215D11.4	0.0523046
RP11-431K24.2	0
LINC01714	0
RNU1-7P	0
RP11-431K24.4	0
RNU6-991P	0
Y_RNA	0
RP5-1115A15.1	1.07354
SNORA77	0
RP5-1115A15.2	0
RPL7P11	0.0888195
RPL7P7	0.0822994
Y_RNA	0
RP4-633I8.3	0
RP4-633I8.4	0
RPL23AP19	0
MIR6728	0
ENO1-IT1	0.554281
ENO1-AS1	0.315249
RNU6-304P	0
HMGN2P17	0.0579317
RP3-477M7.5	0
RP3-477M7.6	0
CA6	0
RN7SL451P	0
SLC2A7	0
SLC2A5	3.86755
SCARNA16	0
LINC01759	2.03167
RP3-510D11.4	0.198956
RNA5SP40	0
RP13-392I16.1	0
SLC25A33	3.94942
RP13-15M17.1	0.533741
PIK3CD-AS1	0
RP11-558F24.2	0
PIK3CD-AS2	2.48991
MZT1P1	0
RP11-84A14.7	0.0794422
RP11-84A14.4	0.393503
NMNAT1	4.84753
RN7SKP269	0.273184
RP11-84A14.6	0
MIR5697	0
RP11-496H15.2	0
PGAM1P11	0.173087
RNU6-828P	0
MIR1273D	0
RNU6-37P	0
RP4-736L20.3	0
CORT	1.4447
RN7SL614P	0.412344
RP4-734G22.3	4.1489
HSPE1P24	0
C1orf127	0.0624288
CFL1P6	0.123856
MASP2	3.587
RP4-635E18.6	0.487856
MTOR-AS1	0
RNU6-537P	0
ANGPTL7	2.5604
RNU6-291P	0
RPL39P6	0
UBE2V2P3	0
MTCYBP45	0
DISP3	0.0914899
LINC01647	0
DRAXIN	0.0453034
C1orf167	0.0180936
RP11-56N19.5	0
NPPA-AS1	2.18546
NPPA	3.66395
NPPB	0.30778
RP5-934G17.6	0
RNU5E-1	0
RNU5E-4P	0
RP5-1077B9.5	0
Y_RNA	0.971122
MIR6729	0
RN7SL649P	0
TNFRSF8	0.489344
RNU6-777P	0
RPL23AP89	0
MIR7846	0
MIR4632	0
RPL10P17	0
SNORA70	0
SNORA59A	4.71519
RP5-888M10.2	0.177979
RNU6ATAC18P	0.960005
MIR6730	0
RP11-474O21.5	4.64382
AADACL4	0.584898
RP11-474O21.2	0
AADACL3	0
C1orf158	0
PRAMEF12	0
PRAMEF1	0
LINC01784	0
PRAMEF11	0
PRAMEF30P	0
HNRNPCL1	0.102011
PRAMEF2	0
PRAMEF4	0
PRAMEF10	0
PRAMEF7	0
RNU6-1072P	0
PRAMEF29P	0
PRAMEF6	0
PRAMEF28P	0
PRAMEF27	0
HNRNPCL3	0
PRAMEF25	0
PRAMEF34P	0
PRAMEF35P	0
HNRNPCL2	0
PRAMEF36P	0
RP13-221M14.2	0
PRAMEF26	0
HNRNPCL4	0
PRAMEF9	0
PRAMEF13	0
PRAMEF18	0
PRAMEF31P	0
PRAMEF5	0
PRAMEF32P	0
RNU6-771P	0
PRAMEF8	0
PRAMEF33	0
PRAMEF15	0
RP11-219C24.10	0
PRAMEF14	0
PRAMEF19	0
PRAMEF17	0
PRAMEF20	0
LRRC38	0.496955
RP4-597A16.2	0
BRWD1P1	0
RNA5SP41	0
CTA-520D8.2	0.147319
SCARNA11	0
RNU6-1265P	0
RP11-344F13.1	0
RP4-704D23.1	0
TBCAP2	0
TMEM51-AS1	4.36375
C1orf195	0.0593513
RP1-21O18.3	0
RP5-903E17.2	0.055275
FHAD1	0.145602
RP3-467K16.2	0.452934
RP3-467K16.7	0.159984
RP3-467K16.4	0.044587
CTRC	0.46674
CELA2A	0.464293
CELA2B	0.224658
SCARNA21	0
RP4-680D5.8	0.528958
AGMAT	0.388811
RP4-680D5.2	0.120623
CHCHD2P6	1.22725
RNU7-179P	0
CD24P1	0
RP4-680D5.9	0.1674
RP11-288I21.1	2.15217
SLC25A34	4.35581
TMEM82	0
RP11-169K16.4	0
RPL12P14	0.348956
RP11-169K16.8	1.52105
RP1-134O19.3	0
RP11-5P18.1	0
RP11-5P18.3	0
RP11-5P18.11	0
TBC1D3P6	0
C1orf64	0.0219829
CLCNKA	0.521949
RP11-5P18.10	0.348509
CLCNKB	0.515969
FAM131C	1.30962
RP11-276H7.2	4.19252
RP11-276H7.3	1.92281
ANO7L1	2.24437
RSG1	4.03612
MT1XP1	1.71116
RP11-430L17.1	0.163661
SPATA21	0.0646859
LINC01772	3.7236
RNU1-1	0
RP4-798A10.7	0.187676
RP4-798A10.4	0
LINC01783	0.116066
RNU1-6P	0
FAM231B	0
RP5-875O13.6	0
NBPF1	4.83169
RP5-1182A14.5	0
RP1-163M9.8	0
RNU1-3	0
FAM231A	0
RP5-875O13.7	0
EIF1AXP1	0.890916
ESPNP	0.0397073
RP1-163M9.7	0
FAM231C	0
RP5-1182A14.7	0
RNU1-4	0
CROCCP4	0
MST1L	1.34051
RP11-108M9.1	0
RP11-108M9.2	0
MIR3675	0
RP11-108M9.3	0.217335
RP11-108M9.5	3.20573
RNU1-2	0
RP11-108M9.6	0.587402
RP1-37C10.3	0.380519
PADI2	1.42803
RP11-380J14.1	0.0793906
RP11-380J14.4	0
PADI3	2.03255
MIR3972	0
PADI4	0.254331
PADI6	0
RP11-473A10.2	0
ACTL8	0
LINC01654	0
IGSF21	1.56134
RP11-174G17.3	0.0258896
RP11-174G17	0
RP11-422P22.1	0
KLHDC7A	0.344429
DYNLL1P3	0
RP1-8B22.2	0
PAX7	0
TAS1R2	0.0294842
MIR4695	0
MIR1290	0
RP5-1126H10.2	2.07408
RP1-43E13.2	1.3224
AKR7L	1.23663
AKR7A3	2.74653
RP4-657E11.10	2.10262
RNU6-1099P	0
RN7SL277P	0
RNU4-28P	0
RP5-1056L3.1	0
HTR6	0.0966915
RNF186	0
RP11-91K11.2	0
PLA2G2E	0
RN7SL304P	0
PLA2G5	0.626792
PLA2G2D	0.0109633
PLA2G2F	0.0290441
RP3-340N1.2	0.0133241
PLA2G2C	0.0279372
UBXN10-AS1	0.543624
UBXN10	0.392629
LINC01757	0
VWA5B1	0.00874448
RP4-745E8.2	0
LINC01141	0.03082
RP4-749H3.2	0
RPS4XP4	0
FAM43B	0.470744
PINK1-AS	3.82882
KIF17	1.78964
RP5-930J4.5	0
SH2D5	0.536319
RP5-930J4.2	0
RNU7-200P	0
MIR1256	0
RPS15AP6	0.136439
RP11-487E1.2	0
HSPE1P27	0
RP3-329E20.2	0.162492
RP5-1071N3.1	0.533362
PPP1R11P1	0
RP11-293F5.8	0
RP11-293F5.1	0
NBPF2P	1.12054
