Name	Artery - Coronary
DDX11L1	0
WASH7P	3.90076
MIR6859-1	0
MIR1302-2HG	0
FAM138A	0
OR4G4P	0
OR4G11P	0
OR4F5	0.0412303
RP11-34P13.7	0.00796076
CICP27	0.0210623
RP11-34P13.15	3.6018
RP11-34P13.14	0
RP11-34P13.13	0.125424
RNU6-1100P	0
RP11-34P13.9	0
ABC7-43046700E7.1	0.0762306
MIR6859-2	0
AP006222.2	0.285148
RPL23AP24	0.123436
RP5-857K21.15	0
RP4-669L17.2	0
RP4-669L17.10	0.215756
WBP1LP7	0
OR4F29	0.0313852
CICP7	0
RP4-669L17.8	0.0254241
U6	0
RP5-857K21.4	0.0462371
RP5-857K21.2	0
WBP1LP6	0
OR4F16	0
RP11-206L10.17	0
CICP3	0.139513
RP11-206L10.2	2.03347
RNU6-1199P	0
RP11-206L10.4	0
RP11-206L10.9	0.754283
RP11-206L10.8	1.2435
FAM87B	0.979633
FAM41C	0.0531259
TUBB8P11	0.0600246
FAM166AP3	0
RP11-54O7.16	0.225259
RP11-54O7.1	0.180549
RP11-54O7.2	0
RP11-54O7.3	2.69937
SAMD11	3.10458
PLEKHN1	0.868276
PERM1	0.610026
RP11-54O7.10	0.283146
RP11-54O7.11	0.451821
RP11-465B22.3	0.285365
RP11-54O7.18	0.0777461
RNF223	0.039032
LINC01342	0.0344756
MIR200B	0
MIR200A	0
MIR429	0
RP11-465B22.8	0.0739073
TTLL10-AS1	0.0763074
TTLL10	0.142376
TNFRSF18	1.09015
TNFRSF4	2.92234
C1QTNF12	1.70663
RP5-902P8.12	0.609101
LINC01786	3.33045
SCNN1D	4.97298
MIR6726	0
MIR6727	0
TAS1R3	0.575544
MIR6808	0
NDUFB4P8	0.243897
RP4-758J18.13	4.95164
ANKRD65	3.17477
RP4-758J18.7	0.426368
TMEM88B	0.155214
LINC01770	1.88974
ATAD3C	0.877868
RP5-832C2.5	0.673002
RP11-345P4.11	0
FNDC10	1.91695
MMP23B	4.32112
RP11-345P4.10	0
RP11-345P4.6	2.43979
MMP23A	0.730496
SLC35E2	3.88698
RP1-140A9.1	0.356874
CALML6	0.827901
TMEM52	0.558651
CFAP74	0.0305544
RP11-547D24.1	0.0719838
GABRD	0.563388
RP11-547D24.3	0
PRKCZ	0.49291
RP5-892K4.1	0.0140819
PRKCZ-AS1	2.82341
RP11-181G12.4	0.505287
MORN1	1.29663
RP4-713A8.1	0.186027
RP4-740C4.5	1.4611
RP4-740C4.7	1.08193
PLCH2	0.6511
RP3-395M20.2	0
RP3-395M20.3	0
HES5	0.719118
RP3-395M20.12	2.82017
RP3-395M20.8	1.25104
RP3-395M20.7	0.211235
RP3-395M20.9	0.633346
MMEL1	0.194104
RP13-436F16.1	0
TTC34	0.724009
ABC14-1188822O7.1	0
RP11-740P5.2	0
RP11-740P5.3	0
ACTRT2	0
MIR4251	0
RP1-163G9.2	1.01246
RP11-193J6.1	0.180681
RP11-22L13.1	0.432115
ARHGEF16	1.31756
RP11-168F9.2	1.02806
MIR551A	0
RP11-46F15.2	1.80513
TP73	0.123468
RP5-1092A11.5	0
RP5-1092A11.2	0
CCDC27	0
SMIM1	2.1771
RN7SL574P	0.512095
RP1-286D6.5	3.65947
LINC01134	0.1495
LINC01346	0
LINC01345	0
EEF1DP6	0
LINC01777	0
RP1-37J18.1	0
LINC01646	0
AJAP1	0.116797
RP11-542C10.1	0
RP1-58B11.1	0
RP3-491M17.1	0
RP11-154H17.1	0
MIR4417	0
MIR4689	0
CHD5	1.70117
RP1-120G22.11	0.908618
LINC00337	0.0256378
HES3	0
HES2	0.0332709
ESPN	0.21534
MIR4252	0
RP1-202O8.2	0
RNU6-731P	0
RP11-58A11.2	0.15089
TAS1R1	0.260243
LINC01672	0
RP11-312B8.1	0.256395
RP11-312B8.2	0
RP11-334N17.1	0
RNU1-8P	0
CAMTA1-IT1	0.129208
RP3-453P22.2	0
RP4-549F15.1	0.155792
RP11-338N10.1	0.061061
RP11-338N10.2	0.211581
RP11-338N10.3	0.676988
RP3-467L1.6	3.64652
RP3-467L1.4	1.05254
UTS2	0.079275
TNFRSF9	0.072166
RP5-892F13.2	0
Y_RNA	0
RP11-431K24.1	0.417815
CTA-215D11.4	0.0508621
RP11-431K24.2	0
LINC01714	0.0439079
RNU1-7P	0
RP11-431K24.4	0
RNU6-991P	0
Y_RNA	0
RP5-1115A15.1	1.22674
SNORA77	0
RP5-1115A15.2	0
RPL7P11	0.0531779
RPL7P7	0
Y_RNA	0
RP4-633I8.3	0
RP4-633I8.4	0
RPL23AP19	0
MIR6728	0
ENO1-IT1	0.267417
ENO1-AS1	0.481525
RNU6-304P	0
HMGN2P17	0.0769823
RP3-477M7.5	0
RP3-477M7.6	0
CA6	0
RN7SL451P	0
SLC2A7	0
SLC2A5	1.84558
SCARNA16	0
GPR157	4.53032
LINC01759	1.65414
RP3-510D11.4	0.214627
RNA5SP40	0
RP13-392I16.1	0
SLC25A33	4.10227
RP13-15M17.1	0.340581
TMEM201	4.15283
PIK3CD-AS1	0.0511597
RP11-558F24.2	0
PIK3CD-AS2	0.784131
MZT1P1	0
RP11-84A14.7	0
RP11-84A14.4	0.409007
NMNAT1	4.46107
RN7SKP269	0.21625
RP11-84A14.6	0
MIR5697	0
RP11-496H15.2	0
PGAM1P11	0.0534051
RNU6-828P	0
MIR1273D	0
RNU6-37P	0
RP4-736L20.3	0
CORT	1.03561
RN7SL614P	0.131713
RP4-734G22.3	1.14052
HSPE1P24	0
C1orf127	0.247403
CFL1P6	0
MASP2	3.91167
RP4-635E18.7	3.71612
RP4-635E18.6	0.607378
MTOR-AS1	0
RNU6-537P	0
RNU6-291P	0
RPL39P6	0
UBE2V2P3	0
MTCYBP45	0
DISP3	0.055939
LINC01647	0
DRAXIN	0.059334
C1orf167	0.0271025
RP11-56N19.5	0
NPPA-AS1	1.61762
NPPA	3.87549
NPPB	0.726931
RP5-934G17.6	0.0281439
RNU5E-1	0
RNU5E-4P	0
RP5-1077B9.5	0
Y_RNA	1.00694
MIR6729	0
RN7SL649P	0
TNFRSF8	1.07195
RNU6-777P	0
RPL23AP89	0
MIR7846	0
MIR4632	0
RPL10P17	0
SNORA70	0
SNORA59A	2.29573
RP5-888M10.2	0.182707
RNU6ATAC18P	0.573024
MIR6730	0
RP11-474O21.5	2.69944
AADACL4	0.0400694
RP11-474O21.2	0
AADACL3	0
C1orf158	0
PRAMEF12	0
PRAMEF1	0
LINC01784	0
PRAMEF11	0
PRAMEF30P	0
HNRNPCL1	0.0544059
PRAMEF2	0
PRAMEF4	0
PRAMEF10	0
PRAMEF7	0
RNU6-1072P	0
PRAMEF29P	0
PRAMEF6	0
PRAMEF28P	0
PRAMEF27	0
HNRNPCL3	0
PRAMEF25	0
PRAMEF34P	0
PRAMEF35P	0
HNRNPCL2	0
PRAMEF36P	0
RP13-221M14.2	0
PRAMEF26	0
HNRNPCL4	0
PRAMEF9	0
PRAMEF13	0
PRAMEF18	0
PRAMEF31P	0
PRAMEF5	0
PRAMEF32P	0
RNU6-771P	0
PRAMEF8	0
PRAMEF33	0
PRAMEF15	0
RP11-219C24.10	0
PRAMEF14	0
PRAMEF19	0
PRAMEF17	0
PRAMEF20	0
LRRC38	0.07312
RP4-597A16.2	0
BRWD1P1	0
RNA5SP41	0
CTA-520D8.2	0
SCARNA11	0
RNU6-1265P	0
RP11-344F13.1	0
RP4-704D23.1	0
TBCAP2	0
TMEM51-AS1	1.12937
C1orf195	0
RP1-21O18.3	0
RP5-903E17.2	0.0482805
FHAD1	0.0573333
RP3-467K16.2	0.0786858
RP3-467K16.7	0
RP3-467K16.4	0.0194806
CTRC	0.298968
CELA2A	0.358122
CELA2B	0.167253
SCARNA21	0
RP4-680D5.8	0.165
AGMAT	0.233499
RP4-680D5.2	0.0993207
CHCHD2P6	1.40618
RNU7-179P	0
CD24P1	0
RP4-680D5.9	0.182179
RP11-288I21.1	1.70396
TMEM82	0.874693
RPL12P14	0.560004
UQCRHL	4.99659
RP11-169K16.8	1.26579
RP1-134O19.3	0
RP11-5P18.1	0
RP11-5P18.3	0
RP11-5P18.11	0
TBC1D3P6	0
C1orf64	0.0244075
CLCNKA	0.690532
RP11-5P18.10	0.0972867
CLCNKB	0.335099
FAM131C	0.544894
RP11-276H7.2	0.465336
RP11-276H7.3	0.194566
ANO7L1	0.705384
MT1XP1	1.92218
RP11-430L17.1	0.164051
SPATA21	0.0517509
LINC01772	3.35324
RNU1-1	0
RP4-798A10.7	0.270227
RP4-798A10.4	0
LINC01783	0.0934676
RNU1-6P	0
FAM231B	0
RP5-875O13.6	0
NBPF1	4.62976
RP5-1182A14.5	0
MST1P2	2.10821
RP1-163M9.8	0
RNU1-3	0
FAM231A	0
RP5-875O13.7	0
EIF1AXP1	0.631495
ESPNP	0.0132913
RP1-163M9.7	0
FAM231C	0
RP5-1182A14.7	0
RNU1-4	0
CROCCP4	0
MST1L	0.533152
RP11-108M9.1	0
RP11-108M9.2	0
MIR3675	0
RP11-108M9.3	0.203291
RP11-108M9.5	3.70455
RNU1-2	0
RP11-108M9.6	0.349825
RP1-37C10.3	0.601425
PADI2	0.813009
RP11-380J14.1	0.026889
RP11-380J14.4	0
PADI1	0.0460781
PADI3	0
MIR3972	0
PADI4	0.214104
PADI6	0
RP11-473A10.2	0
ACTL8	0
LINC01654	0
IGSF21	4.90642
RP11-174G17.3	0.100212
RP11-174G17	0
RP11-422P22.1	0
KLHDC7A	0.0101752
DYNLL1P3	0
RP1-8B22.2	0
PAX7	0
TAS1R2	0
MIR4695	0
MIR1290	0
RP5-1126H10.2	1.45824
RP1-43E13.2	1.29238
AKR7L	0.559902
AKR7A3	1.25156
