Name	Brain - Caudate (basal ganglia)
DDX11L1	0
WASH7P	1.56605
MIR6859-1	0
MIR1302-2HG	0.0242641
FAM138A	0
OR4G4P	0.0455724
OR4G11P	0.0720353
OR4F5	0.0826726
RP11-34P13.7	0.0185414
CICP27	0.0177871
RP11-34P13.15	1.03828
RP11-34P13.16	1.24869
RP11-34P13.14	0
RP11-34P13.13	0.0507517
RNU6-1100P	0
RP11-34P13.9	0
ABC7-43046700E7.1	0.0448731
RP11-34P13.18	3.16162
MIR6859-2	0
AP006222.2	0.333032
RPL23AP24	0.0636376
RP5-857K21.15	0
RP4-669L17.2	0.0251306
RP4-669L17.10	0.133141
WBP1LP7	0.106145
OR4F29	0.05467
CICP7	0.00890539
RP4-669L17.8	0
U6	0
RP5-857K21.4	0.0407317
RP5-857K21.2	0
WBP1LP6	0.0561309
OR4F16	0.0389992
RP11-206L10.17	0
CICP3	0.13547
RP11-206L10.2	0.573615
RNU6-1199P	0
RP11-206L10.4	0.0541075
RP11-206L10.9	0.501102
RP11-206L10.8	0.40994
FAM87B	0.240974
LINC01128	3.86259
LINC00115	2.0434
FAM41C	0.0990214
TUBB8P11	0.129035
FAM166AP3	0.0462217
RP11-54O7.16	0.407598
RP11-54O7.1	0.216674
RP11-54O7.2	0
RP11-54O7.3	0.691141
SAMD11	2.21741
KLHL17	4.41043
PLEKHN1	0.121139
PERM1	0.142028
RP11-54O7.17	4.09348
RP11-54O7.10	0
RP11-54O7.11	0.455264
RP11-465B22.3	2.03717
RP11-54O7.18	0.270945
RNF223	0.0579398
LINC01342	0.0699245
MIR200B	0
MIR200A	0
MIR429	0
RP11-465B22.8	0.0825781
TTLL10-AS1	0.117483
TTLL10	0.187197
TNFRSF18	0.245562
TNFRSF4	0.433878
C1QTNF12	0.521909
RP5-902P8.12	0.395689
LINC01786	3.54875
MIR6726	0
MIR6727	0
TAS1R3	0.398419
MIR6808	0
NDUFB4P8	0.219237
RP4-758J18.13	3.59773
RP4-758J18.7	2.34958
LINC01770	0.8997
ATAD3C	1.85238
RP5-832C2.5	1.20427
RP11-345P4.11	0.0496581
MMP23B	0.10989
RP11-345P4.10	0
RP11-345P4.6	0.549488
MMP23A	0.104704
RP1-283E3.4	2.84571
SLC35E2	1.73788
RP1-140A9.1	1.56857
CALML6	1.32952
TMEM52	1.15323
CFAP74	2.29377
RP11-547D24.1	0.536541
RP11-547D24.3	0
RP5-892K4.1	0.0888593
PRKCZ-AS1	4.11309
FAAP20	4.38776
RP11-181G12.4	0.141152
MORN1	1.56856
RP4-713A8.1	0.604771
RP4-740C4.5	1.88793
RP3-395M20.2	0.494498
RP3-395M20.3	0.474027
RP3-395M20.8	0.314519
RP3-395M20.7	0.0453196
RP3-395M20.9	0.216161
MMEL1	0.334645
RP13-436F16.1	0
TTC34	0.633727
ABC14-1188822O7.1	0.0386748
RP11-740P5.2	0
RP11-740P5.3	0
ACTRT2	0
PRDM16	4.28362
MIR4251	0
RP1-163G9.2	0
RP11-193J6.1	0.0447729
RP11-22L13.1	0.456851
ARHGEF16	0.779526
RP11-168F9.2	0.0541124
MEGF6	1.45304
MIR551A	0
RP11-46F15.2	3.51875
TP73	0.3594
RP5-1092A11.5	0
RP5-1092A11.2	0
CCDC27	0.028944
SMIM1	0.660247
RN7SL574P	0.139134
RP1-286D6.5	1.3427
DFFB	4.96596
LINC01134	0.0785091
