Name	Brain - Cerebellar Hemisphere
DDX11L1	0
WASH7P	4.99231
MIR6859-1	0
MIR1302-2HG	0
FAM138A	0
OR4G4P	0.0246426
OR4G11P	0.0468637
OR4F5	0.0598598
RP11-34P13.7	0.0222933
CICP27	0.0294434
RP11-34P13.15	1.82934
RP11-34P13.16	2.75202
RP11-34P13.14	0
RP11-34P13.13	0.108197
RNU6-1100P	0
RP11-34P13.9	0
ABC7-43046700E7.1	0.169754
MIR6859-2	0
AP006222.2	1.31141
RPL23AP24	0.0995526
RP5-857K21.15	0
RP4-669L17.2	0
RP4-669L17.10	0.454889
WBP1LP7	0.0799924
OR4F29	0.0413718
CICP7	0.0133962
RP4-669L17.8	0.0287741
U6	0
RP5-857K21.4	0.064503
RP5-857K21.2	0
WBP1LP6	0
OR4F16	0.0283004
RP11-206L10.17	0
CICP3	0.275355
RP11-206L10.2	1.78523
RNU6-1199P	0
RP11-206L10.4	0
RP11-206L10.9	2.54668
RP11-206L10.8	1.07456
FAM87B	1.2659
FAM41C	0.476029
TUBB8P11	0.114703
FAM166AP3	0
RP11-54O7.16	0.0767872
RP11-54O7.1	0.0674459
RP11-54O7.2	0
RP11-54O7.3	0.411549
SAMD11	0.426167
PLEKHN1	0.157924
PERM1	0.115655
RP11-54O7.17	1.33462
RP11-54O7.10	0
RP11-54O7.11	0.0941926
AGRN	4.96187
RP11-465B22.3	0.340758
RP11-54O7.18	0.0439179
RNF223	0.0663908
LINC01342	0.0499117
MIR200B	0
MIR200A	0
MIR429	0
RP11-465B22.8	0.0764688
TTLL10-AS1	0.0429557
TTLL10	0.12014
TNFRSF4	1.07042
C1QTNF12	2.33502
RP5-902P8.12	1.15713
MIR6726	0
MIR6727	0
TAS1R3	2.0062
MIR6808	0
NDUFB4P8	0.937577
TMEM88B	2.28146
LINC01770	0.227747
ATAD3C	1.11742
RP5-832C2.5	2.07487
RP11-345P4.11	0
MMP23B	0.26537
RP11-345P4.10	0
RP11-345P4.6	3.87702
MMP23A	0.645442
RP1-140A9.1	2.79244
CALML6	2.87636
RP11-547D24.3	0.0698183
RP5-892K4.1	1.14994
RP11-181G12.4	0.191977
HES5	3.93213
RP3-395M20.12	3.63616
RP3-395M20.8	0.188573
RP3-395M20.7	0.115305
RP3-395M20.9	0.708218
MMEL1	0.0783147
RP13-436F16.1	0
TTC34	0.892082
ABC14-1188822O7.1	0
RP11-740P5.2	0
RP11-740P5.3	0
ACTRT2	0
LINC00982	0.351911
PRDM16	0.247664
MIR4251	0
RP1-163G9.2	0
RP11-193J6.1	0
RP11-22L13.1	0
ARHGEF16	0.955205
RP11-168F9.2	0.0931681
MEGF6	1.96422
MIR551A	0
RP5-1092A11.5	0.129344
RP5-1092A11.2	0
CCDC27	0.0501074
SMIM1	0.672958
RN7SL574P	1.21127
LINC01134	0.0811289
LINC01346	0
LINC01345	0
EEF1DP6	0
LINC01777	0
RP1-37J18.1	0
LINC01646	0
