Name	Brain - Cerebellum
DDX11L1	0
MIR6859-1	0
MIR1302-2HG	0
FAM138A	0
OR4G4P	0.0372239
OR4G11P	0.0499559
OR4F5	0.057719
RP11-34P13.7	0.0229453
CICP27	0.035823
RP11-34P13.15	2.19213
RP11-34P13.16	3.58486
RP11-34P13.14	0
RP11-34P13.13	0.144657
RNU6-1100P	0
RP11-34P13.9	0
ABC7-43046700E7.1	0.135052
MIR6859-2	0
AP006222.2	1.25469
RPL23AP24	0.101023
RP5-857K21.15	0
RP4-669L17.2	0
RP4-669L17.10	0.593092
WBP1LP7	0.0675868
OR4F29	0.0425904
CICP7	0.0153873
RP4-669L17.8	0.0351842
U6	0
RP5-857K21.4	0.0591078
RP5-857K21.2	0
WBP1LP6	0
OR4F16	0.029331
RP11-206L10.17	0
CICP3	0.372917
RP11-206L10.2	2.21476
RNU6-1199P	0
RP11-206L10.4	0
RP11-206L10.9	2.60736
RP11-206L10.8	1.24226
FAM87B	1.63454
FAM41C	0.557261
TUBB8P11	0.125299
FAM166AP3	0.0621869
RP11-54O7.16	0.0963045
RP11-54O7.1	0.0871467
RP11-54O7.2	0
RP11-54O7.3	0.567548
SAMD11	0.623498
PLEKHN1	0.182316
PERM1	0.148106
RP11-54O7.17	2.25287
RP11-54O7.10	0
RP11-54O7.11	0.132265
RP11-465B22.3	0.367183
RP11-54O7.18	0.0462913
RNF223	0.0662076
LINC01342	0.0530224
MIR200B	0
MIR200A	0
MIR429	0
RP11-465B22.8	0.092121
TTLL10-AS1	0.0523514
TTLL10	0.128294
TNFRSF4	1.25676
C1QTNF12	2.40873
RP5-902P8.12	1.07374
MIR6726	0
MIR6727	0
TAS1R3	2.13639
MIR6808	0
NDUFB4P8	1.19206
TMEM88B	2.25001
LINC01770	0.298139
ATAD3C	1.43869
RP5-832C2.5	1.94797
RP11-345P4.11	0
MMP23B	0.345699
RP11-345P4.10	0
MMP23A	0.739165
RP1-140A9.1	2.65142
CALML6	3.48802
RP11-547D24.3	0
RP5-892K4.1	1.2708
RP11-181G12.4	0.209785
RP3-395M20.12	4.16246
RP3-395M20.8	0.384569
RP3-395M20.7	0.146384
RP3-395M20.9	0.87114
MMEL1	0.106381
RP13-436F16.1	0
TTC34	1.11337
ABC14-1188822O7.1	0
RP11-740P5.2	0
RP11-740P5.3	0
ACTRT2	0
LINC00982	0.49672
PRDM16	0.359256
MIR4251	0
RP1-163G9.2	0
RP11-193J6.1	0
RP11-22L13.1	0
ARHGEF16	1.30376
RP11-168F9.2	0
MEGF6	3.11077
MIR551A	0
RP5-1092A11.5	0.148062
RP5-1092A11.2	0
CCDC27	0.0543174
SMIM1	0.677323
RN7SL574P	1.23298
LINC01134	0.105636
LINC01346	0
LINC01345	0
EEF1DP6	0
LINC01777	0
RP1-37J18.1	0
LINC01646	0
AJAP1	2.93256
RP11-542C10.1	0
RP1-58B11.1	0
RP3-491M17.1	0
RP11-154H17.1	0
MIR4417	0
MIR4689	0
RP1-120G22.11	4.39054
LINC00337	0.332988
HES3	0
GPR153	2.72744
HES2	0.0194812
MIR4252	0
RP1-202O8.2	0
RNU6-731P	0
RP11-58A11.2	0.518742
TAS1R1	0.205383
LINC01672	0
RP11-312B8.1	0.412181
RP11-312B8.2	0
RP11-334N17.1	0
RNU1-8P	0
CAMTA1-IT1	0.170676
RP3-453P22.2	0
RP4-549F15.1	0
RP3-467L1.4	1.98008
UTS2	0.133602
TNFRSF9	0.00968729
RP5-892F13.2	0
Y_RNA	0.267397
RP11-431K24.1	0.308964
CTA-215D11.4	0
RP11-431K24.2	0
LINC01714	0
RNU1-7P	0
RP11-431K24.4	0
RNU6-991P	0
Y_RNA	0
RP5-1115A15.1	0.999441
SNORA77	0.286203
RP5-1115A15.2	0.167094
RPL7P11	0.0723092
RPL7P7	0.176484
Y_RNA	0
RP4-633I8.3	0
RP4-633I8.4	0
RPL23AP19	0
MIR6728	0
ENO1-IT1	0.149514
ENO1-AS1	0.296051
RNU6-304P	0
HMGN2P17	0
RP3-477M7.5	0
RP3-477M7.6	0
CA6	0
RN7SL451P	0
SLC2A7	0
SLC2A5	1.34435
SCARNA16	0
GPR157	0.407103
MIR34AHG	1.11959
LINC01759	0.0862955
RP3-510D11.4	0.039099
SPSB1	1.96811
RNA5SP40	0
RP13-392I16.1	0
RP13-15M17.1	0.273961
PIK3CD-AS1	0
RP11-558F24.2	0
PIK3CD-AS2	0.0957357
MZT1P1	0
RP11-84A14.7	0.40278
RP11-84A14.4	0.1643
NMNAT1	2.21337
RN7SKP269	0.154084
RP11-84A14.6	0
MIR5697	0
RBP7	1.9343
RP11-496H15.2	0
PGAM1P11	0
RNU6-828P	0.2574
MIR1273D	0
RNU6-37P	0.521315
RP4-736L20.3	0
CORT	4.12183
RN7SL614P	0.348917
CASZ1	0.544984
RP4-734G22.3	0.191575
HSPE1P24	0
C1orf127	4.27013
CFL1P6	0.220172
RP4-635E18.6	1.62361
MTOR-AS1	0.11655
RNU6-537P	0
RNU6-291P	0
RPL39P6	0
UBE2V2P3	0
MTCYBP45	0
DISP3	3.73947
LINC01647	0
DRAXIN	2.19161
AGTRAP	3.50807
C1orf167	0.0350724
RP11-56N19.5	0
NPPA	2.46287
NPPB	0.664526
RP5-934G17.6	0.0681679
RNU5E-1	0
RNU5E-4P	0
RP5-1077B9.5	0
Y_RNA	0.472736
MIR6729	0
RN7SL649P	0
TNFRSF8	0.0307065
RNU6-777P	0
RPL23AP89	0
MIR7846	0
TNFRSF1B	4.58529
MIR4632	0
RPL10P17	0
SNORA70	0
SNORA59A	1.5896
RP5-888M10.2	0.0895053
RNU6ATAC18P	0
MIR6730	0
RP11-474O21.5	0
AADACL4	0
RP11-474O21.2	0
AADACL3	0
C1orf158	0
PRAMEF12	0
PRAMEF1	0
LINC01784	0
PRAMEF11	0
PRAMEF30P	0
HNRNPCL1	0.061697
PRAMEF2	0
PRAMEF4	0
PRAMEF10	0
PRAMEF7	0
RNU6-1072P	0
PRAMEF29P	0
PRAMEF6	0
PRAMEF28P	0
PRAMEF27	0
HNRNPCL3	0
PRAMEF25	0
PRAMEF34P	0
PRAMEF35P	0
HNRNPCL2	0
PRAMEF36P	0
RP13-221M14.2	0
PRAMEF26	0
HNRNPCL4	0
PRAMEF9	0
PRAMEF13	0
PRAMEF18	0
PRAMEF31P	0
PRAMEF5	0
PRAMEF32P	0
RNU6-771P	0
PRAMEF8	0
PRAMEF33	0
PRAMEF15	0
RP11-219C24.10	0
PRAMEF14	0
PRAMEF19	0
PRAMEF17	0
PRAMEF20	0
RP4-597A16.2	1.4453
BRWD1P1	0
RNA5SP41	0
CTA-520D8.2	0
SCARNA11	0
RNU6-1265P	0
RP11-344F13.1	0
RP4-704D23.1	0
TBCAP2	0.282335
C1orf195	0.190127
RP1-21O18.3	0.163105
RP5-903E17.2	0.603865
FHAD1	0.0588617
RP3-467K16.2	0.0252281
RP3-467K16.7	0
RP3-467K16.4	0.140718
CTRC	0.519709
CELA2A	1.26356
CELA2B	0.426121
SCARNA21	0
RP4-680D5.8	0.222996
AGMAT	0.221932
RP4-680D5.2	0.122275
CHCHD2P6	0.950021
RNU7-179P	0
CD24P1	0
RP4-680D5.9	0.419638
RP11-288I21.1	1.63997
TMEM82	0
RP11-169K16.4	0
FBLIM1	1.24057
RPL12P14	0.158132
RP11-169K16.8	0.863554
RP1-134O19.3	0
RP11-5P18.1	0.133921
RP11-5P18.3	0
RP11-5P18.11	0
TBC1D3P6	0
C1orf64	1.55269
EPHA2	2.42159
RP11-276H7.2	0.0583514
RP11-276H7.3	0
ARHGEF19	1.41399
ANO7L1	0.70873
RSG1	3.35538
MT1XP1	1.98312
RP11-430L17.1	0.179423
SPATA21	1.01003
RNU1-1	0
RP4-798A10.7	1.06445
RP4-798A10.4	0.278532
LINC01783	1.49077
RNU1-6P	0
FAM231B	1.0682
RP5-875O13.6	0
RP5-1182A14.5	0.304882
MST1P2	4.58559
RP1-163M9.8	0
RNU1-3	0
FAM231A	0
RP5-875O13.7	0.400491
EIF1AXP1	1.05447
ESPNP	0.315232
RP1-163M9.7	0
FAM231C	0
RP5-1182A14.7	0
RNU1-4	0
CROCCP4	0
MST1L	1.37039
RP11-108M9.1	0
RP11-108M9.2	0
MIR3675	0
RP11-108M9.3	2.53343
RNU1-2	0
RP11-108M9.6	0.926817
MFAP2	0.131837
RP1-37C10.3	0
RP11-380J14.1	0
RP11-380J14.4	0
PADI1	0.0697127
PADI3	0
MIR3972	0
PADI4	0.103338
PADI6	0
RP11-473A10.2	0
ACTL8	0
LINC01654	0.131308
RP11-174G17.3	1.26043
RP11-174G17	0.148716
RP11-422P22.1	0.319952
KLHDC7A	0.538027
DYNLL1P3	0
RP1-8B22.2	0
PAX7	0
TAS1R2	0
MIR4695	0
MIR1290	0
RP5-1126H10.2	2.69302
RP1-43E13.2	1.29396
RNU6-1099P	0.301965
RN7SL277P	0
RNU4-28P	0
RP5-1056L3.1	0
HTR6	0.0316732
TMCO4	0.780811
RNF186	0
RP11-91K11.2	0
PLA2G2E	0
RN7SL304P	0
PLA2G2A	0.525076
PLA2G5	4.33073
PLA2G2D	0
PLA2G2F	0
RP3-340N1.2	0.0198429
PLA2G2C	0.0528724
UBXN10-AS1	3.76399
UBXN10	2.22554
LINC01757	0
VWA5B1	0.0164761
RP4-745E8.2	0
LINC01141	0.119278
RP4-749H3.2	0
RPS4XP4	0.0839318
CDA	2.12503
PINK1-AS	4.47692
KIF17	0.457809
RP5-930J4.5	0
SH2D5	2.19934
RP5-930J4.2	0
RNU7-200P	0
MIR1256	0
RPS15AP6	0.0881925
RP11-487E1.2	0
HSPE1P27	0
RP3-329E20.2	0
RP5-1071N3.1	0.0333664
PPP1R11P1	0
RP11-293F5.8	0
RP11-293F5.1	0
NBPF2P	2.32441
HS6ST1P1	1.02649
CROCCP5	0
NBPF3	4.72893
PFN1P10	0
RP11-63N8.3	0.0373509
RP11-132G19.3	0
LDLRAD2	0.115295
HSPG2	0.96135
RP11-26H16.1	0.0964943
RP11-26H16.4	0
CELA3B	0.623011
RN7SL386P	0
RNU6-1022P	0
CELA3A	2.17188
RN7SL186P	0
RNU6-776P	0
