Name	Brain - Cortex
DDX11L1	0
WASH7P	2.48317
MIR6859-1	0
MIR1302-2HG	0.027366
FAM138A	0
OR4G4P	0.0429845
OR4G11P	0.070455
OR4F5	0.0843648
RP11-34P13.7	0.0239836
CICP27	0.0198806
RP11-34P13.15	2.4306
RP11-34P13.16	2.52752
RP11-34P13.14	0
RP11-34P13.13	0.0806963
RNU6-1100P	0
RP11-34P13.9	0
ABC7-43046700E7.1	0.0549814
MIR6859-2	0
AP006222.2	0.761863
RPL23AP24	0.0756962
RP5-857K21.15	0
RP4-669L17.2	0
RP4-669L17.10	0.192
WBP1LP7	0.0920408
OR4F29	0.0626666
CICP7	0.0105378
RP4-669L17.8	0.019435
U6	0
RP5-857K21.4	0.0572226
RP5-857K21.2	0
WBP1LP6	0.0600053
OR4F16	0.041507
RP11-206L10.17	0
CICP3	0.146287
RP11-206L10.2	0.767048
RNU6-1199P	0
RP11-206L10.4	0.0651625
RP11-206L10.9	0.573038
RP11-206L10.8	0.425052
FAM87B	0.239533
LINC00115	2.0509
FAM41C	0.157687
TUBB8P11	0.186017
FAM166AP3	0.0566303
RP11-54O7.16	0.408067
RP11-54O7.1	0.262396
RP11-54O7.2	0
RP11-54O7.3	0.673752
SAMD11	0.831785
PLEKHN1	0.153947
PERM1	0.236195
RP11-54O7.17	4.02114
RP11-54O7.10	0
RP11-54O7.11	0.604562
RP11-465B22.3	4.10567
RP11-54O7.18	0.78617
RNF223	0.083111
LINC01342	0.082183
MIR200B	0
MIR200A	0
MIR429	0
RP11-465B22.8	0.0872287
TTLL10-AS1	0.0612343
TTLL10	0.0991882
TNFRSF18	2.63398
TNFRSF4	1.51674
C1QTNF12	1.13806
RP5-902P8.12	0.433441
MIR6726	0
MIR6727	0
TAS1R3	0.606575
MIR6808	0
NDUFB4P8	0.292889
RP4-758J18.13	4.47937
RP4-758J18.7	2.31407
TMEM88B	4.63526
LINC01770	0.691665
ATAD3C	1.80084
RP5-832C2.5	1.5802
RP11-345P4.11	0.0674776
MMP23B	0.206322
RP11-345P4.10	0
RP11-345P4.6	0.885942
MMP23A	0.308758
SLC35E2	3.46802
RP1-140A9.1	2.09279
CALML6	1.56307
TMEM52	1.888
CFAP74	2.74157
RP11-547D24.1	3.21442
RP11-547D24.3	0
RP5-892K4.1	0.0887658
RP11-181G12.4	0.162977
MORN1	1.96299
RP4-713A8.1	0.821198
RP4-740C4.5	3.58974
RP3-395M20.2	1.68249
RP3-395M20.3	1.92667
RP3-395M20.8	0.624042
RP3-395M20.7	0.135269
RP3-395M20.9	0.499574
MMEL1	0.253771
RP13-436F16.1	0
TTC34	0.876387
ABC14-1188822O7.1	0.248009
RP11-740P5.2	0
RP11-740P5.3	0
ACTRT2	0
PRDM16	4.93799
MIR4251	0
RP1-163G9.2	0
RP11-193J6.1	0.0229534
RP11-22L13.1	0.149712
ARHGEF16	1.46913
RP11-168F9.2	0.0800547
MEGF6	3.66017
MIR551A	0
RP11-46F15.2	4.96749
TP73	0.263672
RP5-1092A11.5	0
RP5-1092A11.2	0
CCDC27	0.0393537
SMIM1	0.782467
RN7SL574P	0.198981
RP1-286D6.5	1.71785
LINC01134	0.0803652
LINC01346	0.243966
LINC01345	0.142979
EEF1DP6	0
LINC01777	0
RP1-37J18.1	0
LINC01646	0
RP11-542C10.1	0
RP1-58B11.1	0
RP3-491M17.1	0
RP11-154H17.1	0.697382
MIR4417	0
MIR4689	0
RP1-120G22.11	2.2292
LINC00337	0.0347486
HES3	0
HES2	0.0114937
ESPN	0.237286
MIR4252	0
RP1-202O8.2	0
RNU6-731P	0
RP11-58A11.2	0.124184
TAS1R1	0.114009
LINC01672	0
RP11-312B8.1	0.322032
RP11-312B8.2	0
RP11-334N17.1	0
RNU1-8P	0
CAMTA1-IT1	0.126796
RP3-453P22.2	0
RP4-549F15.1	0
RP11-338N10.1	1.29279
RP11-338N10.2	0.843755
RP11-338N10.3	1.90377
RP3-467L1.6	3.26593
RP3-467L1.4	0.965877
UTS2	0
TNFRSF9	0.00504676
RP5-892F13.2	0
Y_RNA	0
RP11-431K24.1	0.136482
CTA-215D11.4	0
RP11-431K24.2	0
LINC01714	0
RNU1-7P	0
RP11-431K24.4	0
RNU6-991P	0
Y_RNA	0
RP5-1115A15.1	0.202555
SNORA77	0
RP5-1115A15.2	0
RPL7P11	0
RPL7P7	0
Y_RNA	0
RP4-633I8.3	0
RP4-633I8.4	0
RPL23AP19	0
MIR6728	0
ENO1-IT1	0.066154
ENO1-AS1	0.199458
RNU6-304P	0
HMGN2P17	0
RP3-477M7.5	0
RP3-477M7.6	0
CA6	0
RN7SL451P	0
SLC2A7	0
SLC2A5	2.65213
SCARNA16	0
GPR157	0.442638
MIR34AHG	2.12981
LINC01759	0.176695
RP3-510D11.4	0.134174
SPSB1	4.47779
RNA5SP40	0
RP13-392I16.1	0
RP13-15M17.1	0.389255
PIK3CD-AS1	0
RP11-558F24.2	0
PIK3CD-AS2	0.163432
MZT1P1	0
RP11-84A14.7	0.10208
RP11-84A14.4	0.126743
NMNAT1	2.91512
RN7SKP269	0.0667598
RP11-84A14.6	0.0560895
MIR5697	0
RBP7	3.11277
RP11-496H15.2	0
PGAM1P11	0
RNU6-828P	0
MIR1273D	0
RNU6-37P	0.260148
RP4-736L20.3	0
RN7SL614P	0.104556
CASZ1	0.534929
RP4-734G22.3	0.548125
HSPE1P24	0
C1orf127	0.0741081
CFL1P6	0
MASP2	2.06578
RP4-635E18.7	2.07098
RP4-635E18.6	1.54193
MTOR-AS1	0
RNU6-537P	0
ANGPTL7	0.206202
RNU6-291P	0
RPL39P6	0
UBIAD1	3.51802
UBE2V2P3	0
MTCYBP45	0
DISP3	4.65185
LINC01647	0
DRAXIN	0.786252
C1orf167	0.00962629
RP11-56N19.5	0
NPPA-AS1	1.45582
NPPB	0.364192
RP5-934G17.6	0.0147265
RNU5E-1	0
RNU5E-4P	0
RP5-1077B9.5	0
Y_RNA	0
MIR6729	0
RN7SL649P	0
TNFRSF8	0.0365972
RNU6-777P	0
RPL23AP89	0
MIR7846	0
MIR4632	0
RPL10P17	0
SNORA70	0
SNORA59A	0.877987
RP5-888M10.2	0
RNU6ATAC18P	0
MIR6730	0
RP11-474O21.5	0.339023
AADACL4	0
RP11-474O21.2	0
AADACL3	0
C1orf158	0
PRAMEF12	0
PRAMEF1	0
LINC01784	0
PRAMEF11	0
PRAMEF30P	0
HNRNPCL1	0.044076
PRAMEF2	0
PRAMEF4	0
PRAMEF10	0
PRAMEF7	0
RNU6-1072P	0
PRAMEF29P	0
PRAMEF6	0
PRAMEF28P	0
PRAMEF27	0
HNRNPCL3	0
PRAMEF25	0
PRAMEF34P	0
PRAMEF35P	0
HNRNPCL2	0
PRAMEF36P	0
RP13-221M14.2	0
PRAMEF26	0
HNRNPCL4	0
PRAMEF9	0
PRAMEF13	0
PRAMEF18	0
PRAMEF31P	0
PRAMEF5	0
PRAMEF32P	0
RNU6-771P	0
PRAMEF8	0
PRAMEF33	0
PRAMEF15	0
RP11-219C24.10	0
PRAMEF14	0
PRAMEF19	0
PRAMEF17	0
PRAMEF20	0
LRRC38	1.19697
RP4-597A16.2	0.173105
BRWD1P1	0
PDPN	3.21877
RNA5SP41	0
CTA-520D8.2	0
SCARNA11	0
RNU6-1265P	0
RP11-344F13.1	0
RP4-704D23.1	0
TBCAP2	0
TMEM51-AS1	0.911754
TMEM51	4.28475
C1orf195	0
RP1-21O18.3	0.0599898
RP5-903E17.2	0
FHAD1	0.334867
RP3-467K16.2	0.0528426
RP3-467K16.7	0.0802773
RP3-467K16.4	0.198626
CTRC	0.22745
CELA2A	0.238878
CELA2B	0.139596
DNAJC16	4.87834
SCARNA21	0
RP4-680D5.8	0.378303
AGMAT	1.36838
RP4-680D5.2	0.245021
CHCHD2P6	1.13715
RNU7-179P	0
CD24P1	0
DDI2	4.89358
RP4-680D5.9	0.169486
RP11-288I21.1	0.442722
SLC25A34	4.6077
TMEM82	0
RP11-169K16.4	0
FBLIM1	1.0854
RPL12P14	0.0664744
RP11-169K16.8	0.378542
FLJ37453	3.93505
RP1-134O19.3	0
RP11-5P18.1	0
RP11-5P18.3	0
RP11-5P18.11	0
TBC1D3P6	0
C1orf64	2.49031
HSPB7	1.89405
CLCNKA	0.249678
RP11-5P18.10	2.30996
CLCNKB	0.168321
EPHA2	2.51137
RP11-276H7.2	0.0810507
RP11-276H7.3	0
ARHGEF19	0.785861
ANO7L1	0.268319
MT1XP1	0.937768
RP11-430L17.1	0.071389
SPATA21	0.0416763
LINC01772	2.9772
RNU1-1	0
RP4-798A10.7	0.476314
RP4-798A10.4	0
LINC01783	0.17428
RNU1-6P	0
FAM231B	0
RP5-875O13.6	0
NBPF1	2.38771
RP5-1182A14.5	0.064316
MST1P2	2.54239
RP1-163M9.8	0
RNU1-3	0
FAM231A	0
RP5-875O13.7	0.0436438
EIF1AXP1	0.302121
ESPNP	0.124336
RP1-163M9.7	0
FAM231C	0
RP5-1182A14.7	0
RNU1-4	0
CROCCP4	0
MST1L	0.627482
RP11-108M9.1	0
RP11-108M9.2	0
MIR3675	0
RP11-108M9.3	0.401403
RP11-108M9.4	3.93908
RP11-108M9.5	2.09929
RNU1-2	0
RP11-108M9.6	0.301346
MFAP2	0.0913601
RP1-37C10.3	0
RP11-380J14.1	0
RP11-380J14.4	0
PADI1	0.0264324
PADI3	0
MIR3972	0
PADI4	0.938045
PADI6	0
RP11-473A10.2	0
ACTL8	0.0932029
LINC01654	0.090274
RP11-174G17.3	0.192829
RP11-174G17	0
RP11-422P22.1	0
KLHDC7A	0.0228346
DYNLL1P3	0
RP1-8B22.2	0
PAX7	1.34073
TAS1R2	0
MIR4695	0
MIR1290	0
RP5-1126H10.2	1.01494
RP1-43E13.2	0.620729
AKR7L	1.70747
AKR7A3	2.67377
RP4-657E11.10	2.79938
RNU6-1099P	0
RN7SL277P	0
RNU4-28P	0
RP5-1056L3.1	0
RP5-1056L3.3	2.00588
HTR6	1.76842
TMCO4	1.74648
RNF186	0
RP11-91K11.2	0
PLA2G2E	0
RN7SL304P	0
PLA2G2A	0.408883
PLA2G5	4.88782
PLA2G2D	0.0239639
PLA2G2F	0
RP3-340N1.2	0.0277015
PLA2G2C	0.0696443
UBXN10-AS1	3.80511
UBXN10	4.27
