Name	Brain - Frontal Cortex (BA9)
DDX11L1	0
WASH7P	2.14667
MIR6859-1	0
MIR1302-2HG	0.0303822
FAM138A	0
OR4G4P	0.0421429
OR4G11P	0.0731617
OR4F5	0.0740079
RP11-34P13.7	0.0252608
CICP27	0.018736
RP11-34P13.15	1.84819
RP11-34P13.16	1.93137
RP11-34P13.14	0
RP11-34P13.13	0.073871
RNU6-1100P	0
RP11-34P13.9	0
ABC7-43046700E7.1	0.0496627
RP11-34P13.18	4.19264
MIR6859-2	0
AP006222.2	0.730131
RPL23AP24	0.0861662
RP5-857K21.15	0
RP4-669L17.2	0.0279593
RP4-669L17.10	0.154227
WBP1LP7	0.10325
OR4F29	0.0545358
CICP7	0.00820109
RP4-669L17.8	0
U6	0
RP5-857K21.4	0.0563751
RP5-857K21.2	0
WBP1LP6	0.0591017
OR4F16	0.0467198
RP11-206L10.17	0
CICP3	0.133827
RP11-206L10.2	0.621634
RNU6-1199P	0
RP11-206L10.4	0.0612988
RP11-206L10.9	0.57201
RP11-206L10.8	0.407032
FAM87B	0.227078
LINC00115	1.73862
FAM41C	0.138049
TUBB8P11	0.158922
FAM166AP3	0.0590051
RP11-54O7.16	0.315424
RP11-54O7.1	0.22757
RP11-54O7.2	0
RP11-54O7.3	0.413381
SAMD11	0.502357
PLEKHN1	0.117091
PERM1	0.223383
RP11-54O7.17	2.88607
RP11-54O7.10	0
RP11-54O7.11	0.510808
RP11-465B22.3	3.84166
RP11-54O7.18	0.5145
RNF223	0.0729883
LINC01342	0.0761902
MIR200B	0
MIR200A	0
MIR429	0
RP11-465B22.8	0.0666387
TTLL10-AS1	0.0561845
TTLL10	0.079799
TNFRSF18	2.75277
TNFRSF4	1.31074
C1QTNF12	1.00726
RP5-902P8.12	0.394187
LINC01786	4.6493
MIR6726	0
MIR6727	0
TAS1R3	0.526003
MIR6808	0
NDUFB4P8	0.23982
RP4-758J18.13	4.23408
RP4-758J18.7	1.98828
LINC01770	0.63716
ATAD3C	1.71209
RP5-832C2.5	1.71603
RP11-345P4.11	0.0622708
MMP23B	0.146571
RP11-345P4.10	0
RP11-345P4.6	0.532798
MMP23A	0.233393
SLC35E2	3.18479
RP1-140A9.1	2.18436
CALML6	1.15858
TMEM52	1.63137
CFAP74	2.15206
RP11-547D24.1	2.76015
RP11-547D24.3	0
RP5-892K4.1	0.0924508
PRKCZ-AS1	4.74833
RP11-181G12.4	0.149504
MORN1	1.95331
RP4-713A8.1	0.773619
RP4-740C4.5	3.21222
RP3-395M20.2	0.849175
RP3-395M20.3	0.847375
HES5	4.4546
RP3-395M20.8	0.377563
RP3-395M20.7	0.108945
RP3-395M20.9	0.382334
MMEL1	0.204149
RP13-436F16.1	0
TTC34	0.659833
ABC14-1188822O7.1	0.0758159
RP11-740P5.2	0
RP11-740P5.3	0
ACTRT2	0
PRDM16	3.90243
MIR4251	0
RP1-163G9.2	0
RP11-193J6.1	0.0250051
RP11-22L13.1	0.13903
ARHGEF16	1.18619
RP11-168F9.2	0.0776517
MEGF6	2.3563
MIR551A	0
RP11-46F15.2	4.34862
TP73	0.2459
RP5-1092A11.5	0
RP5-1092A11.2	0
CCDC27	0.0374596
SMIM1	0.827772
RN7SL574P	0.167733
RP1-286D6.5	1.53316
LINC01134	0.0804623
LINC01346	0.272728
LINC01345	0.129909
EEF1DP6	0
LINC01777	0
RP1-37J18.1	0
LINC01646	0
RP11-542C10.1	0
RP1-58B11.1	0
RP3-491M17.1	0
RP11-154H17.1	0.688226
MIR4417	0
MIR4689	0
RP1-120G22.11	2.07288
LINC00337	0.0334434
HES3	0
HES2	0.0094709
ESPN	0.18615
MIR4252	0
RP1-202O8.2	0
RNU6-731P	0
RP11-58A11.2	0.133197
TAS1R1	0.0924295
LINC01672	0
RP11-312B8.1	0.343773
RP11-312B8.2	0
RP11-334N17.1	0
RNU1-8P	0
CAMTA1-IT1	0.131093
RP3-453P22.2	0
RP4-549F15.1	0
RP11-338N10.1	1.03258
RP11-338N10.2	0.808566
RP11-338N10.3	1.34221
RP3-467L1.6	2.77628
RP3-467L1.4	0.879586
UTS2	0
TNFRSF9	0.0063306
RP5-892F13.2	0
Y_RNA	0
RP11-431K24.1	0.140177
CTA-215D11.4	0
RP11-431K24.2	0
LINC01714	0
RNU1-7P	0
RP11-431K24.4	0
RNU6-991P	0
Y_RNA	0
RP5-1115A15.1	0.195017
SNORA77	0.225409
RP5-1115A15.2	0.0769737
RPL7P11	0
RPL7P7	0
Y_RNA	0
RP4-633I8.3	0
RP4-633I8.4	0
RPL23AP19	0
MIR6728	0
ENO1-IT1	0.044067
ENO1-AS1	0.279728
RNU6-304P	0
HMGN2P17	0
RP3-477M7.5	0
RP3-477M7.6	0
CA6	0
RN7SL451P	0
SLC2A7	0
SLC2A5	2.45995
SCARNA16	0
GPR157	0.430921
MIR34AHG	2.04605
LINC01759	0.149616
RP3-510D11.4	0.18088
SPSB1	4.02576
RNA5SP40	0
RP13-392I16.1	0
RP13-15M17.1	0.388174
PIK3CD-AS1	0
RP11-558F24.2	0
PIK3CD-AS2	0.189781
MZT1P1	0
RP11-84A14.7	0.109521
RP11-84A14.4	0.150965
NMNAT1	3.14415
RN7SKP269	0.0997295
RP11-84A14.6	0.0694434
MIR5697	0
RBP7	3.24821
RP11-496H15.2	0
PGAM1P11	0
RNU6-828P	0
MIR1273D	0
RNU6-37P	0.239282
RP4-736L20.3	0
RN7SL614P	0.0931483
CASZ1	0.421872
RP4-734G22.3	0.454838
HSPE1P24	0
C1orf127	0.0810791
CFL1P6	0.0355339
MASP2	1.98474
RP4-635E18.7	1.80243
RP4-635E18.6	1.84088
MTOR-AS1	0
RNU6-537P	0
ANGPTL7	0.198336
RNU6-291P	0
RPL39P6	0
UBIAD1	3.49193
UBE2V2P3	0
MTCYBP45	0
DISP3	3.31083
LINC01647	0
DRAXIN	0.661893
C1orf167	0.0092225
RP11-56N19.5	0
NPPA-AS1	1.09675
NPPB	0.276804
RP5-934G17.6	0.0120644
RNU5E-1	0
RNU5E-4P	0
RP5-1077B9.5	0
Y_RNA	0
MIR6729	0
RN7SL649P	0
TNFRSF8	0.030616
RNU6-777P	0
RPL23AP89	0
MIR7846	0
TNFRSF1B	4.65606
MIR4632	0
RPL10P17	0
SNORA70	0
SNORA59A	0.769458
RP5-888M10.2	0
RNU6ATAC18P	0
MIR6730	0
RP11-474O21.5	0.373748
AADACL4	0
RP11-474O21.2	0
AADACL3	0
C1orf158	0
PRAMEF12	0
PRAMEF1	0
LINC01784	0
PRAMEF11	0
PRAMEF30P	0
HNRNPCL1	0.0596602
PRAMEF2	0
PRAMEF4	0
PRAMEF10	0
PRAMEF7	0
RNU6-1072P	0
PRAMEF29P	0
PRAMEF6	0
PRAMEF28P	0
PRAMEF27	0
HNRNPCL3	0
PRAMEF25	0
PRAMEF34P	0
PRAMEF35P	0
HNRNPCL2	0
PRAMEF36P	0
RP13-221M14.2	0
PRAMEF26	0
HNRNPCL4	0
PRAMEF9	0
PRAMEF13	0
PRAMEF18	0
PRAMEF31P	0
PRAMEF5	0
PRAMEF32P	0
RNU6-771P	0
PRAMEF8	0
PRAMEF33	0
PRAMEF15	0
RP11-219C24.10	0
PRAMEF14	0
PRAMEF19	0
PRAMEF17	0
PRAMEF20	0
LRRC38	1.63755
RP4-597A16.2	0.231764
BRWD1P1	0
PDPN	3.55855
RNA5SP41	0
CTA-520D8.2	0
SCARNA11	0
RNU6-1265P	0
RP11-344F13.1	0
RP4-704D23.1	0
TBCAP2	0
TMEM51-AS1	0.833336
TMEM51	4.13614
C1orf195	0
RP1-21O18.3	0.0388508
RP5-903E17.2	0
FHAD1	0.332643
RP3-467K16.2	0.0467231
RP3-467K16.7	0.0648554
RP3-467K16.4	0.182575
CTRC	0.20665
CELA2A	0.231459
CELA2B	0.154144
SCARNA21	0
RP4-680D5.8	0.41003
AGMAT	1.97946
RP4-680D5.2	0.246497
CHCHD2P6	1.23609
RNU7-179P	0
CD24P1	0
RP4-680D5.9	0.118932
RP11-288I21.1	0.315587
SLC25A34	3.55898
TMEM82	0
RP11-169K16.4	0
FBLIM1	0.960239
RPL12P14	0.0636295
RP11-169K16.8	0.391375
FLJ37453	3.917
RP1-134O19.3	0
RP11-5P18.1	0
RP11-5P18.3	0
RP11-5P18.11	0
TBC1D3P6	0
C1orf64	2.42111
