Name	Brain - Putamen (basal ganglia)
DDX11L1	0
WASH7P	1.44167
MIR6859-1	0
MIR1302-2HG	0.0234739
FAM138A	0
OR4G4P	0.0484946
OR4G11P	0.064973
OR4F5	0.0984991
RP11-34P13.7	0.0164584
CICP27	0.0152729
RP11-34P13.15	0.913428
RP11-34P13.16	0.875966
RP11-34P13.14	0
RP11-34P13.13	0.0354591
RNU6-1100P	0
RP11-34P13.9	0
ABC7-43046700E7.1	0.0397106
RP11-34P13.18	2.83847
MIR6859-2	0
AP006222.2	0.253686
RPL23AP24	0.0708691
RP5-857K21.15	0
RP4-669L17.2	0.0249003
RP4-669L17.10	0.103556
WBP1LP7	0.103854
OR4F29	0.0518705
CICP7	0.0079917
RP4-669L17.8	0
U6	0
RP5-857K21.4	0.037312
RP5-857K21.2	0
WBP1LP6	0.0589403
OR4F16	0.0478165
RP11-206L10.17	0
CICP3	0.115885
RP11-206L10.2	0.463462
RNU6-1199P	0
RP11-206L10.4	0.0526428
RP11-206L10.9	0.433764
RP11-206L10.8	0.29269
FAM87B	0.219674
LINC01128	3.13051
LINC00115	1.52533
FAM41C	0.0865484
TUBB8P11	0.11664
FAM166AP3	0.0458534
RP11-54O7.16	0.331911
RP11-54O7.1	0.191739
RP11-54O7.2	0
RP11-54O7.3	0.592545
SAMD11	1.39336
KLHL17	4.021
PLEKHN1	0.126737
PERM1	0.13566
RP11-54O7.17	3.80795
RP11-54O7.10	0
RP11-54O7.11	0.36595
RP11-465B22.3	1.55878
RP11-54O7.18	0.237455
RNF223	0.06077
LINC01342	0.0673694
MIR200B	0
MIR200A	0
MIR429	0
RP11-465B22.8	0.0866653
TTLL10-AS1	0.0641044
TTLL10	0.103452
TNFRSF18	0.314452
TNFRSF4	0.465603
C1QTNF12	0.563747
RP5-902P8.12	0.403463
LINC01786	2.73736
MIR6726	0
MIR6727	0
TAS1R3	0.378515
MIR6808	0
NDUFB4P8	0.260104
RP4-758J18.13	3.2762
RP4-758J18.7	2.45843
LINC01770	0.909125
ATAD3C	1.76131
RP5-832C2.5	1.0648
RP11-345P4.11	0.0577923
MMP23B	0.0995622
RP11-345P4.10	0
