Name	Cervix - Ectocervix
DDX11L1	0
MIR6859-1	0
MIR1302-2HG	0
FAM138A	0
OR4G4P	0
OR4G11P	0.0505553
OR4F5	0.041129
RP11-34P13.7	0
CICP27	0.054907
RP11-34P13.15	4.22459
RP11-34P13.14	0
RP11-34P13.13	0.182182
RNU6-1100P	0
RP11-34P13.9	0
ABC7-43046700E7.1	0
MIR6859-2	0
AP006222.2	0.261122
RPL23AP24	0.123434
RP5-857K21.15	0
RP4-669L17.2	0
RP4-669L17.10	0.503885
WBP1LP7	0
OR4F29	0.0402092
CICP7	0.0154108
RP4-669L17.8	0
U6	0
RP5-857K21.4	0.0530881
RP5-857K21.2	0
MTND1P23	4.05983
WBP1LP6	0
OR4F16	0
RP11-206L10.17	0
CICP3	0.112163
RP11-206L10.2	2.15903
RNU6-1199P	0
RP11-206L10.4	0
RP11-206L10.9	0.855913
RP11-206L10.8	1.49039
FAM87B	0.88993
FAM41C	0
TUBB8P11	0.0642744
FAM166AP3	0
RP11-54O7.16	0.3737
RP11-54O7.1	0.302282
RP11-54O7.2	0
RP11-54O7.3	2.2963
PLEKHN1	0.988157
PERM1	1.78742
RP11-54O7.10	0.459078
RP11-54O7.11	1.51817
RP11-465B22.3	1.137
RP11-54O7.18	0.31164
RNF223	0.238211
LINC01342	0.0302903
MIR200B	0
MIR200A	0
MIR429	0
RP11-465B22.8	0.555126
TTLL10-AS1	0.0859976
TTLL10	0.224153
TNFRSF18	2.03029
TNFRSF4	3.40601
C1QTNF12	2.3394
RP5-902P8.12	0.883999
MIR6726	0
MIR6727	0
TAS1R3	1.02104
MIR6808	0
NDUFB4P8	0.178704
RP4-758J18.13	4.91176
RP4-758J18.7	2.4292
TMEM88B	0.558989
LINC01770	2.99842
ATAD3C	1.67797
RP5-832C2.5	0.618804
RP11-345P4.11	0
FNDC10	0.808902
MMP23B	2.31597
RP11-345P4.10	0
MMP23A	0.244887
RP1-140A9.1	0.579111
CALML6	2.39974
TMEM52	0.887669
CFAP74	0.0680818
RP11-547D24.1	0.0269729
GABRD	0.363622
RP11-547D24.3	0
PRKCZ	1.79964
RP5-892K4.1	0.0760457
RP11-181G12.4	1.06674
MORN1	3.92986
RP4-713A8.1	0.855254
RP4-740C4.5	2.55941
RP4-740C4.7	2.61465
PLCH2	1.25998
RP3-395M20.2	0
RP3-395M20.3	0.107013
HES5	0.403561
RP3-395M20.12	2.38125
RP3-395M20.8	1.90716
RP3-395M20.7	0.611323
RP3-395M20.9	2.46027
MMEL1	0.331048
RP13-436F16.1	0
TTC34	0.868107
ABC14-1188822O7.1	0
RP11-740P5.2	0
RP11-740P5.3	0
ACTRT2	0.0668852
LINC00982	3.13419
PRDM16	2.63936
MIR4251	0
RP1-163G9.2	0
RP11-193J6.1	0.028208
RP11-22L13.1	0
ARHGEF16	1.56098
RP11-168F9.2	0.309847
MIR551A	0
RP11-46F15.2	3.26867
TP73	0.393654
RP5-1092A11.5	0
RP5-1092A11.2	0
CCDC27	0.0682119
RN7SL574P	1.09437
LINC01134	0.169041
LINC01346	0
LINC01345	0.0513196
EEF1DP6	0
LINC01777	0
RP1-37J18.1	0
LINC01646	0
AJAP1	2.98425
RP11-542C10.1	0
RP1-58B11.1	0
RP3-491M17.1	0
RP11-154H17.1	0.108093
MIR4417	0
MIR4689	0
CHD5	0.394876
RP1-120G22.11	0.908708
LINC00337	0.028203
HES3	0
HES2	0.147394
ESPN	0.839042
MIR4252	0
RP1-202O8.2	0
RNU6-731P	0
RP11-58A11.2	0.248429
TAS1R1	0.266274
LINC01672	0
RP11-312B8.1	0.343532
RP11-312B8.2	0
RP11-334N17.1	0
RNU1-8P	0
CAMTA1-IT1	0.148414
RP3-453P22.2	0
RP4-549F15.1	0.789839
RP11-338N10.1	0.331356
RP11-338N10.2	0.500231
RP11-338N10.3	1.06791
RP3-467L1.6	4.61984
RP3-467L1.4	3.5135
UTS2	0.0595932
TNFRSF9	0.0150125
RP5-892F13.2	0
Y_RNA	0.366567
RP11-431K24.1	0.288776
CTA-215D11.4	0.067714
RP11-431K24.2	0
LINC01714	0
RNU1-7P	0
RP11-431K24.4	0
RNU6-991P	0
Y_RNA	0
RP5-1115A15.1	2.36933
SNORA77	0
RP5-1115A15.2	0.204642
RPL7P11	0
RPL7P7	0.21483
Y_RNA	0
RP4-633I8.3	0
RP4-633I8.4	0
RPL23AP19	0
MIR6728	0
ENO1-IT1	0.28336
ENO1-AS1	0.164155
RNU6-304P	0
HMGN2P17	0.0729087
RP3-477M7.5	0
RP3-477M7.6	0
CA6	0
RN7SL451P	0
SLC2A7	0
SLC2A5	1.36307
SCARNA16	0
LINC01759	2.59607
RP3-510D11.4	0.282369
RNA5SP40	0
RP13-392I16.1	0
SLC25A33	3.38642
RP13-15M17.1	0.703946
PIK3CD-AS1	0
RP11-558F24.2	0
PIK3CD-AS2	4.2176
MZT1P1	0
RP11-84A14.7	0.0952003
RP11-84A14.4	0.339613
RN7SKP269	0.205593
RP11-84A14.6	0.183284
MIR5697	0
RP11-496H15.2	0
PGAM1P11	0.0796635
RNU6-828P	0
MIR1273D	0
RNU6-37P	0.352864
RP4-736L20.3	0
CORT	2.04442
RN7SL614P	0.193468
RP4-734G22.3	1.88721
HSPE1P24	0
C1orf127	0.0703012
CFL1P6	0
RP4-635E18.6	0.349783
MTOR-AS1	0
RNU6-537P	0
ANGPTL7	2.85591
RNU6-291P	0
RPL39P6	0
UBE2V2P3	0.108746
MTCYBP45	0
DISP3	0.0858109
LINC01647	0
DRAXIN	0.0483372
C1orf167	0.0270699
RP11-56N19.5	0
NPPA-AS1	3.02697
NPPA	1.82339
NPPB	0.085275
RP5-934G17.6	0
RNU5E-1	0
RNU5E-4P	0
RP5-1077B9.5	0
Y_RNA	1.33651
MIR6729	0
RN7SL649P	0
TNFRSF8	0.493493
RNU6-777P	0
RPL23AP89	0
MIR7846	0
MIR4632	0
RPL10P17	0.157626
SNORA70	0
SNORA59A	3.45181
RP5-888M10.2	0.44813
RNU6ATAC18P	1.41154
MIR6730	0
RP11-474O21.5	3.97197
AADACL4	0.359585
RP11-474O21.2	0
AADACL3	0
C1orf158	0.0133571
PRAMEF12	0
PRAMEF1	0
LINC01784	0
PRAMEF11	0
PRAMEF30P	0
HNRNPCL1	0.204457
PRAMEF2	0
PRAMEF4	0
PRAMEF10	0
PRAMEF7	0
RNU6-1072P	0
PRAMEF29P	0
PRAMEF6	0
PRAMEF28P	0
PRAMEF27	0
HNRNPCL3	0
PRAMEF25	0
PRAMEF34P	0
PRAMEF35P	0
HNRNPCL2	0
PRAMEF36P	0
RP13-221M14.2	0
PRAMEF26	0
HNRNPCL4	0
PRAMEF9	0
PRAMEF13	0
PRAMEF18	0
PRAMEF31P	0
PRAMEF5	0
PRAMEF32P	0
RNU6-771P	0
PRAMEF8	0
PRAMEF33	0
PRAMEF15	0
RP11-219C24.10	0
PRAMEF14	0
PRAMEF19	0
PRAMEF17	0
PRAMEF20	0
LRRC38	0.0910819
RP4-597A16.2	0
BRWD1P1	0
RNA5SP41	0
CTA-520D8.2	0.173046
SCARNA11	0
RNU6-1265P	0
RP11-344F13.1	0.232569
RP4-704D23.1	0
TBCAP2	0
TMEM51-AS1	3.52274
C1orf195	0.0675428
RP1-21O18.3	0
RP5-903E17.2	0
FHAD1	0.184721
RP3-467K16.2	0.538008
RP3-467K16.7	0.0814042
RP3-467K16.4	0.0642437
CTRC	0.714823
CELA2A	1.12322
CELA2B	0.366
SCARNA21	0
RP4-680D5.8	0.316832
AGMAT	0.318471
RP4-680D5.2	0.114245
CHCHD2P6	1.27576
RNU7-179P	0
CD24P1	0
RP4-680D5.9	0.205879
RP11-288I21.1	2.44113
TMEM82	0.0356389
RP11-169K16.4	0.235565
RPL12P14	0.290951
RP11-169K16.8	1.97886
RP1-134O19.3	0.23256
RP11-5P18.1	0
RP11-5P18.3	0
RP11-5P18.11	0
TBC1D3P6	0
C1orf64	0.0381424
CLCNKA	0.617139
RP11-5P18.10	0.449191
CLCNKB	1.05061
FAM131C	1.36333
RP11-276H7.2	1.37749
RP11-276H7.3	0.870307
ANO7L1	0.853789
MT1XP1	1.13344
RP11-430L17.1	0.249459
SPATA21	0.116349
RNU1-1	0
RP4-798A10.7	0.189928
RP4-798A10.4	0
LINC01783	0.0815447
RNU1-6P	0
FAM231B	0
RP5-875O13.6	0
RP5-1182A14.5	0.155472
MST1P2	2.94484
RP1-163M9.8	0
RNU1-3	0
FAM231A	0
RP5-875O13.7	0
EIF1AXP1	0.867964
ESPNP	0.0182027
RP1-163M9.7	0
FAM231C	0
RP5-1182A14.7	0
RNU1-4	0
CROCCP4	0
MST1L	1.15893
RP11-108M9.1	0
RP11-108M9.2	0
MIR3675	0
RP11-108M9.3	0.280445
RP11-108M9.5	3.57322
RNU1-2	0
RP11-108M9.6	0.360993
RP1-37C10.3	0.794374
PADI2	1.84127
RP11-380J14.1	0.0156356
RP11-380J14.4	0
PADI1	0.403868
PADI3	0.0339738
MIR3972	0
PADI4	0.343125
PADI6	0
RP11-473A10.2	0
ACTL8	0
LINC01654	0
IGSF21	2.55087
RP11-174G17.3	0.0509852
RP11-174G17	0
RP11-422P22.1	0
KLHDC7A	0.0307318
DYNLL1P3	0
RP1-8B22.2	0
PAX7	0.00834865
TAS1R2	0.014853
MIR4695	0
MIR1290	0
RP5-1126H10.2	2.72107
RP1-43E13.2	2.28827
AKR7L	2.10782
RP4-657E11.10	2.61708
RNU6-1099P	0.352864
RN7SL277P	0
RNU4-28P	0
RP5-1056L3.1	0
HTR6	0.119316
RNF186	0
RP11-91K11.2	0
PLA2G2E	0
RN7SL304P	0
PLA2G2A	2.60407
PLA2G5	1.07549
PLA2G2D	0.0404112
PLA2G2F	0
RP3-340N1.2	0
PLA2G2C	0.0333563
UBXN10-AS1	0.652262
UBXN10	0.719559
LINC01757	0
VWA5B1	0.0153898
RP4-745E8.2	0
LINC01141	0.0638434
RP4-749H3.2	0
RPS4XP4	0
FAM43B	0.348592
KIF17	2.84792
RP5-930J4.5	0
SH2D5	1.2207
RP5-930J4.2	0
RNU7-200P	0
MIR1256	0
RPS15AP6	0.285738
RP11-487E1.2	0
