Name	Cervix - Endocervix
DDX11L1	0
MIR6859-1	0
MIR1302-2HG	0
FAM138A	0
OR4G4P	0.0240885
OR4G11P	0
OR4F5	0
RP11-34P13.7	0.0244735
CICP27	0.0701969
RP11-34P13.14	0.0783685
RP11-34P13.13	0.26236
RNU6-1100P	0
RP11-34P13.9	0
ABC7-43046700E7.1	0.288031
MIR6859-2	0
AP006222.2	0.500388
RPL23AP24	0
RP5-857K21.15	0
RP4-669L17.2	0
RP4-669L17.10	0.411462
WBP1LP7	0
OR4F29	0
CICP7	0
RP4-669L17.8	0.0163312
U6	0
RP5-857K21.4	0.0350937
RP5-857K21.2	0
WBP1LP6	0
OR4F16	0.0472334
RP11-206L10.17	0
CICP3	0.217402
RP11-206L10.2	3.0409
RNU6-1199P	0
RP11-206L10.4	0
RP11-206L10.9	1.46594
RP11-206L10.8	1.44131
FAM87B	0.833322
FAM41C	0.0558384
TUBB8P11	0.0737929
FAM166AP3	0.0794796
RP11-54O7.16	0.631157
RP11-54O7.1	0.332898
RP11-54O7.2	0
RP11-54O7.3	3.75935
PLEKHN1	1.11231
PERM1	0.812332
RP11-54O7.10	0
RP11-54O7.11	1.11106
RP11-465B22.3	1.78248
RP11-54O7.18	0.100402
RNF223	0.162289
LINC01342	0.0934047
MIR200B	0
MIR200A	0
MIR429	0
RP11-465B22.8	0.611327
TTLL10-AS1	0.117169
TTLL10	0.366573
TNFRSF18	2.68439
TNFRSF4	4.07947
C1QTNF12	1.99009
RP5-902P8.12	0.907913
MIR6726	0
MIR6727	0
TAS1R3	1.18606
MIR6808	0
NDUFB4P8	0.0568762
RP4-758J18.7	4.58927
TMEM88B	0.583528
ATAD3C	4.6652
RP5-832C2.5	0.905924
RP11-345P4.11	0
FNDC10	2.02278
MMP23B	1.87887
RP11-345P4.10	0
MMP23A	1.24587
RP1-140A9.1	0.907731
CALML6	2.09508
TMEM52	1.30603
CFAP74	0.0946148
RP11-547D24.1	0.0521439
GABRD	0.26384
RP11-547D24.3	0
PRKCZ	2.01995
RP5-892K4.1	0.0742174
RP11-181G12.4	0.658388
MORN1	4.71114
RP4-713A8.1	1.34306
RP4-740C4.7	3.22513
PLCH2	1.10155
RP3-395M20.2	0
RP3-395M20.3	0.176741
HES5	0.355743
RP3-395M20.12	2.29215
RP3-395M20.8	2.29024
RP3-395M20.7	1.02696
MMEL1	0.557688
RP13-436F16.1	0
TTC34	1.02942
ABC14-1188822O7.1	0.0324256
RP11-740P5.2	0
RP11-740P5.3	0
ACTRT2	0
LINC00982	1.54977
PRDM16	2.62934
MIR4251	0
RP1-163G9.2	0
RP11-193J6.1	0.038061
RP11-22L13.1	0.0347163
ARHGEF16	2.34372
RP11-168F9.2	0.159031
MIR551A	0
TP73	0.386489
RP5-1092A11.5	0
RP5-1092A11.2	0
CCDC27	0.0955374
RN7SL574P	1.76681
LINC01134	0.174589
LINC01346	0.0495052
LINC01345	0.0923913
EEF1DP6	0
LINC01777	0
RP1-37J18.1	0
LINC01646	0
AJAP1	3.95168
RP11-542C10.1	0
RP1-58B11.1	0.0701703
RP3-491M17.1	0
RP11-154H17.1	0.354017
MIR4417	0
MIR4689	0
CHD5	0.454803
RP1-120G22.11	0.971912
LINC00337	0
HES3	0
HES2	0.0637603
ESPN	0.795989
MIR4252	0
RP1-202O8.2	0
RNU6-731P	0
RP11-58A11.2	0.196618
TAS1R1	0.294712
LINC01672	0
RP11-312B8.1	0.261151
RP11-312B8.2	0
RP11-334N17.1	0
RNU1-8P	0
CAMTA1-IT1	0.150086
RP3-453P22.2	0
RP4-549F15.1	0.181127
RP11-338N10.1	0.433014
RP11-338N10.2	0.557364
RP11-338N10.3	1.69837
RP3-467L1.4	2.52311
UTS2	0.0493471
TNFRSF9	0.025183
RP5-892F13.2	0
Y_RNA	0
RP11-431K24.1	0.302797
CTA-215D11.4	0.0503448
RP11-431K24.2	0
LINC01714	0
RNU1-7P	0
RP11-431K24.4	0
RNU6-991P	0
Y_RNA	0.179065
RP5-1115A15.1	2.07127
SNORA77	0.485999
RP5-1115A15.2	0.165898
RPL7P11	0.0465169
RPL7P7	0.150797
Y_RNA	0
RP4-633I8.3	0
RP4-633I8.4	0
RPL23AP19	0
MIR6728	0
ENO1-IT1	0.216074
ENO1-AS1	0.360846
RNU6-304P	0
HMGN2P17	0.149273
RP3-477M7.5	0
RP3-477M7.6	0
CA6	0
RN7SL451P	0
SLC2A7	0
SLC2A5	1.28906
SCARNA16	0
LINC01759	2.87085
RP3-510D11.4	0.406938
RNA5SP40	0
RP13-392I16.1	0
SLC25A33	3.71988
RP13-15M17.1	0.426589
PIK3CD-AS1	0.0264595
RP11-558F24.2	0
PIK3CD-AS2	4.9687
MZT1P1	0
RP11-84A14.7	0.0516642
RP11-84A14.4	0.541268
RN7SKP269	0.141039
RP11-84A14.6	0.107651
MIR5697	0
RP11-496H15.2	0
PGAM1P11	0.22348
RNU6-828P	0.189106
MIR1273D	0
RNU6-37P	0
RP4-736L20.3	0
CORT	2.6366
RN7SL614P	0.330327
RP4-734G22.3	1.69924
HSPE1P24	0
C1orf127	0.130894
CFL1P6	0
RP4-635E18.6	0.254743
MTOR-AS1	0.046617
RNU6-537P	0
ANGPTL7	3.88142
RNU6-291P	0
RPL39P6	0
UBE2V2P3	0.0926056
MTCYBP45	0
DISP3	0.142857
LINC01647	0
DRAXIN	0.0478441
C1orf167	0.0392486
RP11-56N19.5	0
NPPA-AS1	3.95011
NPPA	2.27119
NPPB	0.197042
RP5-934G17.6	0.0302656
RNU5E-1	0.341762
RNU5E-4P	0
RP5-1077B9.5	0
Y_RNA	1.0633
MIR6729	0
RN7SL649P	0
TNFRSF8	0.50988
RNU6-777P	0
RPL23AP89	0
MIR7846	0
MIR4632	0
RPL10P17	0
SNORA70	0
SNORA59A	4.73195
RP5-888M10.2	0.435851
RNU6ATAC18P	0.489415
MIR6730	0
RP11-474O21.5	4.08179
AADACL4	0.745335
RP11-474O21.2	0
AADACL3	0
C1orf158	0.0465463
PRAMEF12	0
PRAMEF1	0
LINC01784	0
PRAMEF11	0
PRAMEF30P	0
HNRNPCL1	0.110035
PRAMEF2	0
PRAMEF4	0
PRAMEF10	0
PRAMEF7	0
RNU6-1072P	0
PRAMEF29P	0
PRAMEF6	0
PRAMEF28P	0
PRAMEF27	0
HNRNPCL3	0
PRAMEF25	0
PRAMEF34P	0
PRAMEF35P	0
HNRNPCL2	0
PRAMEF36P	0
RP13-221M14.2	0
PRAMEF26	0
HNRNPCL4	0
PRAMEF9	0
PRAMEF13	0
PRAMEF18	0
PRAMEF31P	0
PRAMEF5	0
PRAMEF32P	0
RNU6-771P	0
PRAMEF8	0
PRAMEF33	0
PRAMEF15	0
RP11-219C24.10	0
PRAMEF14	0
PRAMEF19	0
PRAMEF17	0
PRAMEF20	0
LRRC38	0.0582798
RP4-597A16.2	0
BRWD1P1	0
RNA5SP41	0
CTA-520D8.2	0.639138
SCARNA11	0
RNU6-1265P	0
RP11-344F13.1	0
RP4-704D23.1	0
TBCAP2	0
TMEM51-AS1	2.55915
C1orf195	0
RP1-21O18.3	0
RP5-903E17.2	0.0956244
FHAD1	0.382721
RP3-467K16.2	0.797764
RP3-467K16.7	0.283941
RP3-467K16.4	0.10296
CTRC	0.374308
CELA2A	0.634486
CELA2B	0.286618
SCARNA21	0
RP4-680D5.8	0.486397
AGMAT	0.316154
RP4-680D5.2	0.323851
CHCHD2P6	1.49392
RNU7-179P	0
CD24P1	0
RP4-680D5.9	0
RP11-288I21.1	1.86783
TMEM82	0.0369202
RP11-169K16.4	0.064392
RPL12P14	0.491579
RP11-169K16.8	1.1923
RP1-134O19.3	0
RP11-5P18.1	0.0357689
RP11-5P18.3	0
RP11-5P18.11	0
TBC1D3P6	0
C1orf64	0.157468
CLCNKA	1.96825
RP11-5P18.10	0.380553
CLCNKB	0.866409
FAM131C	1.18651
RP11-276H7.2	1.18231
RP11-276H7.3	0.408234
ANO7L1	0.717047
MT1XP1	0.961456
RP11-430L17.1	0.0547863
SPATA21	0.101723
RNU1-1	0
RP4-798A10.7	0.18552
RP4-798A10.4	0
LINC01783	0.38236
RNU1-6P	0
FAM231B	0
RP5-875O13.6	0
RP5-1182A14.5	0
MST1P2	4.47913
RP1-163M9.8	0
RNU1-3	0
FAM231A	0
RP5-875O13.7	0
EIF1AXP1	0.649342
ESPNP	0.0301586
RP1-163M9.7	0
FAM231C	0
RP5-1182A14.7	0
RNU1-4	0
CROCCP4	0.181273
MST1L	1.26765
RP11-108M9.1	0
RP11-108M9.2	0
MIR3675	0
RP11-108M9.3	0.555461
RP11-108M9.5	4.28945
RNU1-2	0
RP11-108M9.6	0.334314
RP1-37C10.3	1.2902
PADI2	1.30687
RP11-380J14.1	0.00551481
RP11-380J14.4	0
PADI1	0.112119
PADI3	0.0315937
MIR3972	0
PADI4	0.287386
PADI6	0
RP11-473A10.2	0
ACTL8	0
LINC01654	0
IGSF21	3.19056
RP11-174G17.3	0.053737
RP11-174G17	0
RP11-422P22.1	0
KLHDC7A	0.0726331
DYNLL1P3	0
RP1-8B22.2	0
PAX7	0.00484842
TAS1R2	0
MIR4695	0
MIR1290	0
RP5-1126H10.2	1.7136
RP1-43E13.2	2.25868
AKR7L	2.34649
RP4-657E11.10	2.29396
RNU6-1099P	0.557105
RN7SL277P	0
RNU4-28P	0
RP5-1056L3.1	0
HTR6	0.265537
RNF186	0.118476
RP11-91K11.2	0
PLA2G2E	0
RN7SL304P	0
PLA2G5	0.83234
PLA2G2D	0.0413152
PLA2G2F	0
RP3-340N1.2	0.0587321
PLA2G2C	0.128958
UBXN10-AS1	2.92947
UBXN10	2.25058
LINC01757	0
VWA5B1	0.0111156
RP4-745E8.2	0
LINC01141	0.0823823
RP4-749H3.2	0
RPS4XP4	0
FAM43B	1.50659
KIF17	2.71596
RP5-930J4.5	0
SH2D5	2.01876
RP5-930J4.2	0
RNU7-200P	0
MIR1256	0
RPS15AP6	0.284579
RP11-487E1.2	0
HSPE1P27	0
RP3-329E20.2	0.164611
RP5-1071N3.1	0.852738
PPP1R11P1	0
RP11-293F5.8	0
RP11-293F5.1	0
NBPF2P	1.50438
