Name	Esophagus - Gastroesophageal Junction
DDX11L1	0
WASH7P	4.32641
MIR6859-1	0
MIR1302-2HG	0
FAM138A	0
OR4G4P	0.0356929
OR4G11P	0.0410858
OR4F5	0.0477532
RP11-34P13.7	0.0178668
CICP27	0.0221668
RP11-34P13.15	3.19478
RP11-34P13.14	0
RP11-34P13.13	0.146489
RNU6-1100P	0
RP11-34P13.9	0
ABC7-43046700E7.1	0.0937104
MIR6859-2	0
AP006222.2	0.229189
RPL23AP24	0.0962178
RP5-857K21.15	0
RP4-669L17.2	0
RP4-669L17.10	0.246915
WBP1LP7	0.0640455
OR4F29	0.0406527
CICP7	0.0111451
RP4-669L17.8	0.0214186
U6	0
RP5-857K21.4	0.0448685
RP5-857K21.2	0
WBP1LP6	0
OR4F16	0.0247329
RP11-206L10.17	0
CICP3	0.136356
RP11-206L10.2	2.26097
RNU6-1199P	0
RP11-206L10.4	0
RP11-206L10.9	0.567584
RP11-206L10.8	1.09155
FAM87B	0.668043
LINC00115	4.79149
FAM41C	0.0609922
TUBB8P11	0.065544
FAM166AP3	0
RP11-54O7.16	0.271462
RP11-54O7.1	0.182422
RP11-54O7.2	0
RP11-54O7.3	4.73043
PLEKHN1	0.457838
PERM1	0.460023
RP11-54O7.17	2.30804
RP11-54O7.10	0
RP11-54O7.11	0.325644
RP11-465B22.3	0.266847
RP11-54O7.18	0.0709505
RNF223	0.0668656
LINC01342	0.0501475
MIR200B	0
MIR200A	0
MIR429	0
RP11-465B22.8	0.0851531
TTLL10-AS1	0.0547771
TTLL10	0.135613
TNFRSF18	0.434765
TNFRSF4	2.15913
C1QTNF12	1.81966
RP5-902P8.12	0.695875
MIR6726	0
MIR6727	0
TAS1R3	0.495349
MIR6808	0
NDUFB4P8	0.340251
RP4-758J18.7	1.78444
TMEM88B	0.277601
ATAD3C	2.59185
RP5-832C2.5	0.79674
RP11-345P4.11	0
FNDC10	1.14013
MMP23B	0.99786
RP11-345P4.10	0
RP11-345P4.6	2.60397
MMP23A	0.551084
SLC35E2	4.57324
RP1-140A9.1	0.237279
CALML6	0.550678
TMEM52	0.936029
CFAP74	0.0263554
RP11-547D24.1	0.0290254
GABRD	0.32885
RP11-547D24.3	0
PRKCZ	1.06843
RP5-892K4.1	0.0175359
PRKCZ-AS1	4.76848
RP11-181G12.4	0.264168
MORN1	1.65827
RP4-713A8.1	0.221545
RP4-740C4.5	2.16652
RP4-740C4.7	1.76853
PLCH2	0.384487
RP3-395M20.2	0
RP3-395M20.3	0
HES5	0.218246
RP3-395M20.12	1.47198
RP3-395M20.8	1.30097
RP3-395M20.7	0.260275
RP3-395M20.9	1.23608
MMEL1	0.448939
RP13-436F16.1	0
TTC34	0.275401
ABC14-1188822O7.1	0
RP11-740P5.2	0
RP11-740P5.3	0
ACTRT2	0
LINC00982	2.26873
PRDM16	2.76848
MIR4251	0
RP1-163G9.2	0
RP11-193J6.1	0.0103475
RP11-22L13.1	0.0640323
ARHGEF16	1.48884
RP11-168F9.2	0.188742
MIR551A	0
RP11-46F15.2	2.00692
TP73	0.0783509
RP5-1092A11.5	0
RP5-1092A11.2	0
CCDC27	0.0220261
SMIM1	2.61546
RN7SL574P	0.841084
LINC01134	0.141928
LINC01346	0
LINC01345	0.0757233
EEF1DP6	0
LINC01777	0
RP1-37J18.1	0
LINC01646	0
AJAP1	0.385151
RP11-542C10.1	0
RP1-58B11.1	0
RP3-491M17.1	0
RP11-154H17.1	0
MIR4417	0
MIR4689	0
RP1-120G22.11	0.97222
LINC00337	0
HES3	0
HES2	0.0186486
ESPN	0.223643
MIR4252	0
RP1-202O8.2	0
RNU6-731P	0
RP11-58A11.2	0.311238
TAS1R1	0.130625
LINC01672	0
RP11-312B8.1	0.336969
RP11-312B8.2	0
RP11-334N17.1	0
RNU1-8P	0
CAMTA1-IT1	0.098996
RP3-453P22.2	0
RP4-549F15.1	0.151004
RP11-338N10.1	0.15791
RP11-338N10.2	0.316418
RP11-338N10.3	0.772475
RP3-467L1.6	3.60514
RP3-467L1.4	1.45431
UTS2	0.0320185
TNFRSF9	0.0250588
RP5-892F13.2	0
Y_RNA	0
RP11-431K24.1	0.670064
CTA-215D11.4	0.0499038
RP11-431K24.2	0
LINC01714	0.170504
RNU1-7P	0
RP11-431K24.4	0
RNU6-991P	0
Y_RNA	0.319337
RP5-1115A15.1	1.93143
SNORA77	0
RP5-1115A15.2	0
RPL7P11	0.0456109
RPL7P7	0.0460658
Y_RNA	0
RP4-633I8.3	0
RP4-633I8.4	0
RPL23AP19	0
MIR6728	0
ENO1-IT1	0.183575
ENO1-AS1	0.40598
RNU6-304P	0
HMGN2P17	0.048632
RP3-477M7.5	0
RP3-477M7.6	0
CA6	0
RN7SL451P	0
SLC2A7	0.0243291
SLC2A5	0.489458
SCARNA16	0
GPR157	4.12589
LINC01759	0.664266
RP3-510D11.4	0.0748475
RNA5SP40	0
RP13-392I16.1	0
RP13-15M17.1	0.637019
PIK3CD-AS1	0
RP11-558F24.2	0
PIK3CD-AS2	1.35513
MZT1P1	0
RP11-84A14.7	0.0180681
RP11-84A14.4	0.473657
RN7SKP269	0.242117
RP11-84A14.6	0
MIR5697	0
RP11-496H15.2	0
PGAM1P11	0
RNU6-828P	0
MIR1273D	0
RNU6-37P	0
RP4-736L20.3	0
CORT	1.16114
RN7SL614P	0.139606
RP4-734G22.3	2.56288
HSPE1P24	0
C1orf127	0.114859
CFL1P6	0.0651602
RP4-635E18.7	3.40094
RP4-635E18.6	0.25001
MTOR-AS1	0
RNU6-537P	0
RNU6-291P	0
RPL39P6	0
UBE2V2P3	0.0763316
MTCYBP45	0
DISP3	0.0701147
LINC01647	0
DRAXIN	0.0507639
C1orf167	0.0117648
RP11-56N19.5	0
NPPA-AS1	1.42135
NPPA	3.47591
NPPB	0.347079
RP5-934G17.6	0.0277967
RNU5E-1	0
RNU5E-4P	0
RP5-1077B9.5	0
Y_RNA	1.08989
MIR6729	0
RN7SL649P	0
TNFRSF8	0.992248
RNU6-777P	0
RPL23AP89	0
MIR7846	0
MIR4632	0
RPL10P17	0
SNORA70	0
SNORA59A	1.57095
RP5-888M10.2	0.0857689
RNU6ATAC18P	0.682625
MIR6730	0
RP11-474O21.5	4.5061
AADACL4	0.0797243
RP11-474O21.2	0
AADACL3	0
C1orf158	0
PRAMEF12	0
PRAMEF1	0
LINC01784	0
PRAMEF11	0
PRAMEF30P	0
HNRNPCL1	0.0686197
PRAMEF2	0
PRAMEF4	0
PRAMEF10	0
PRAMEF7	0
RNU6-1072P	0
PRAMEF29P	0
PRAMEF6	0
PRAMEF28P	0
PRAMEF27	0
HNRNPCL3	0
PRAMEF25	0
PRAMEF34P	0
PRAMEF35P	0
HNRNPCL2	0
PRAMEF36P	0
RP13-221M14.2	0
PRAMEF26	0
HNRNPCL4	0
PRAMEF9	0
PRAMEF13	0
PRAMEF18	0
PRAMEF31P	0
PRAMEF5	0
PRAMEF32P	0
RNU6-771P	0
PRAMEF8	0
PRAMEF33	0
PRAMEF15	0
RP11-219C24.10	0
PRAMEF14	0
PRAMEF19	0
PRAMEF17	0
PRAMEF20	0
LRRC38	0.189375
RP4-597A16.2	0
BRWD1P1	0
RNA5SP41	0
CTA-520D8.2	0
SCARNA11	0
KAZN	4.41153
RNU6-1265P	0
RP11-344F13.1	0.403035
RP4-704D23.1	0
TBCAP2	0
TMEM51-AS1	1.23245
C1orf195	0
RP1-21O18.3	0
RP5-903E17.2	0
FHAD1	0.0759117
RP3-467K16.2	0.235398
RP3-467K16.7	0.100841
RP3-467K16.4	0.0279211
CTRC	0.206824
CELA2A	0.154522
CELA2B	0.120399
SCARNA21	0
RP4-680D5.8	0.170485
AGMAT	0.122517
RP4-680D5.2	0.0774093
CHCHD2P6	1.17402
RNU7-179P	0
CD24P1	0
RP4-680D5.9	0
RP11-288I21.1	1.16138
SLC25A34	3.46825
TMEM82	0
RP11-169K16.4	0
RPL12P14	0.203906
UQCRHL	4.8192
RP11-169K16.8	1.34957
RP1-134O19.3	0
RP11-5P18.1	0
RP11-5P18.3	0
RP11-5P18.11	0
TBC1D3P6	0
C1orf64	0.0313646
CLCNKA	1.07795
RP11-5P18.10	0.111369
CLCNKB	0.575763
FAM131C	0.513607
RP11-276H7.2	0.375668
RP11-276H7.3	0.164188
ANO7L1	0.47253
MT1XP1	0.836408
RP11-430L17.1	0.13881
SPATA21	0.053826
LINC01772	3.40946
RNU1-1	0
RP4-798A10.7	0.155835
RP4-798A10.4	0
LINC01783	0.277544
RNU1-6P	0
FAM231B	0
RP5-875O13.6	0
NBPF1	3.83781
RP5-1182A14.5	0
MST1P2	2.31279
RP1-163M9.8	0
RNU1-3	0
FAM231A	0
RP5-875O13.7	0
EIF1AXP1	0.434217
ESPNP	0.00852085
RP1-163M9.7	0
FAM231C	0
RP5-1182A14.7	0
RNU1-4	0
CROCCP4	0
MST1L	0.785423
RP11-108M9.1	0
RP11-108M9.2	0
MIR3675	0
RP11-108M9.3	0.82775
RP11-108M9.5	3.85845
RNU1-2	0
RP11-108M9.6	0.322032
RP1-37C10.3	0.227619
PADI2	1.0911
RP11-380J14.1	0
RP11-380J14.4	0
PADI1	0.0702598
PADI3	0
MIR3972	0
PADI4	0.155498
PADI6	0
RP11-473A10.2	0
ACTL8	0
LINC01654	0
IGSF21	1.04148
RP11-174G17.3	0.0265231
RP11-174G17	0
RP11-422P22.1	0
KLHDC7A	0.0236621
DYNLL1P3	0
