Name	Fallopian Tube
DDX11L1	0
MIR6859-1	0
MIR1302-2HG	0
FAM138A	0
OR4G4P	0
OR4G11P	0.0360075
OR4F5	0
RP11-34P13.7	0
CICP27	0.0349997
RP11-34P13.14	0.198979
RP11-34P13.13	0.22145
RNU6-1100P	0
RP11-34P13.9	0
ABC7-43046700E7.1	0
MIR6859-2	0
AP006222.2	0.439877
RPL23AP24	0.133455
RP5-857K21.15	0
RP4-669L17.2	0
RP4-669L17.10	0.628115
WBP1LP7	0
OR4F29	0
CICP7	0
RP4-669L17.8	0.0425866
U6	0
RP5-857K21.4	0.0507825
RP5-857K21.2	0
WBP1LP6	0
OR4F16	0
RP11-206L10.17	0
CICP3	0.150634
RP11-206L10.2	2.39967
RNU6-1199P	0
RP11-206L10.4	0
RP11-206L10.9	0.822508
RP11-206L10.8	1.48773
FAM87B	0.959181
FAM41C	0.0509536
TUBB8P11	0.0825539
FAM166AP3	0
RP11-54O7.16	1.17106
RP11-54O7.1	0.99319
RP11-54O7.2	0
PLEKHN1	2.55747
PERM1	1.41683
RP11-54O7.10	0.44716
RP11-54O7.11	1.12027
RP11-465B22.3	0.992639
RP11-54O7.18	0.0812759
RNF223	0.0540275
LINC01342	0.177646
MIR200B	0
MIR200A	0
MIR429	0
TTLL10-AS1	1.09698
TNFRSF18	1.75412
TNFRSF4	3.20498
C1QTNF12	3.20728
RP5-902P8.12	0.890713
MIR6726	0
MIR6727	0
TAS1R3	1.47811
MIR6808	0
NDUFB4P8	0.469053
TMEM88B	0.615697
ATAD3C	4.14298
RP5-832C2.5	1.15525
RP11-345P4.11	0
FNDC10	0.779214
MMP23B	1.72883
RP11-345P4.10	0
RP11-345P4.6	3.62391
MMP23A	1.39782
RP1-140A9.1	0.523024
CALML6	1.19953
TMEM52	1.89958
CFAP74	2.38135
RP11-547D24.1	0.0620108
GABRD	0.320242
RP11-547D24.3	0
PRKCZ	1.57358
RP5-892K4.1	0.0616637
RP11-181G12.4	0.735806
RP4-713A8.1	1.07028
RP4-740C4.5	3.66088
RP4-740C4.7	2.0266
PLCH2	2.162
RP3-395M20.2	0
RP3-395M20.3	0.123597
HES5	0.518332
RP3-395M20.12	3.03282
RP3-395M20.8	2.7746
RP3-395M20.7	0.792846
RP3-395M20.9	1.93561
MMEL1	0.802675
RP13-436F16.1	0
TTC34	1.66479
ABC14-1188822O7.1	0.405935
RP11-740P5.2	0
RP11-740P5.3	0
ACTRT2	0
LINC00982	2.66993
PRDM16	3.2372
MIR4251	0
RP1-163G9.2	0
RP11-193J6.1	0
RP11-22L13.1	0.0391183
ARHGEF16	2.88572
RP11-168F9.2	0.665224
MIR551A	0
RP11-46F15.2	3.99352
TP73	1.5776
RP5-1092A11.5	0
RP5-1092A11.2	0
CCDC27	0.115601
SMIM1	4.25475
RN7SL574P	1.45346
LINC01134	0.0649174
LINC01346	0.0147357
LINC01345	0.0686057
EEF1DP6	0
LINC01777	0
RP1-37J18.1	0
LINC01646	0
AJAP1	1.17028
RP11-542C10.1	0
RP1-58B11.1	0
RP3-491M17.1	0
RP11-154H17.1	0.221313
MIR4417	0
MIR4689	0
CHD5	0.974774
RP1-120G22.11	1.33234
LINC00337	0.0426982
HES3	0
HES2	0.745146
ESPN	3.47108
MIR4252	0
RP1-202O8.2	0.158453
RNU6-731P	0
RP11-58A11.2	0.316852
TAS1R1	0.187259
LINC01672	0
RP11-312B8.1	0.520095
RP11-312B8.2	0
RP11-334N17.1	0
RNU1-8P	0
CAMTA1-IT1	0.0927318
RP3-453P22.2	0
RP4-549F15.1	0.284655
RP11-338N10.1	0.417967
RP11-338N10.2	0.593809
RP11-338N10.3	0.507073
RP3-467L1.6	4.31646
RP3-467L1.4	1.27408
UTS2	0.0571667
TNFRSF9	0.0634443
RP5-892F13.2	0
Y_RNA	0.498836
RP11-431K24.1	0.380863
CTA-215D11.4	0
RP11-431K24.2	0
LINC01714	0
RNU1-7P	0
RP11-431K24.4	0
RNU6-991P	0
Y_RNA	0
RP5-1115A15.1	2.28869
SNORA77	0
RP5-1115A15.2	0.0917265
RPL7P11	0
RPL7P7	0
Y_RNA	0
RP4-633I8.3	0
RP4-633I8.4	0
RPL23AP19	0
MIR6728	0
ENO1-IT1	0.409441
ENO1-AS1	1.08988
RNU6-304P	0
HMGN2P17	0.0455546
RP3-477M7.5	0
RP3-477M7.6	0
CA6	0
RN7SL451P	0
SLC2A7	0
SLC2A5	2.27253
SCARNA16	0
LINC01759	1.54433
RP3-510D11.4	0.291271
RNA5SP40	0
RP13-392I16.1	0
RP13-15M17.1	0.919786
PIK3CD-AS1	0
RP11-558F24.2	0
PIK3CD-AS2	2.05336
MZT1P1	0
RP11-84A14.7	0.0532172
RP11-84A14.4	0.461551
NMNAT1	4.40399
RN7SKP269	0.161066
RP11-84A14.6	0
MIR5697	0
RP11-496H15.2	0
PGAM1P11	0.0843835
RNU6-828P	0
MIR1273D	0
RNU6-37P	0
RP4-736L20.3	0
CORT	1.96771
RN7SL614P	0.128476
RP4-734G22.3	2.2134
HSPE1P24	0
C1orf127	0.0969831
CFL1P6	0.108487
RP4-635E18.6	0
MTOR-AS1	0
RNU6-537P	0
RNU6-291P	0
RPL39P6	0
UBE2V2P3	0.154907
MTCYBP45	0
DISP3	0.177505
LINC01647	0
DRAXIN	0.129721
C1orf167	0.0489437
RP11-56N19.5	0
NPPA-AS1	2.44342
NPPA	2.0292
NPPB	0.14807
RP5-934G17.6	0.0389686
RNU5E-1	0.529407
RNU5E-4P	0
RP5-1077B9.5	0
Y_RNA	1.19813
MIR6729	0
RN7SL649P	0
TNFRSF8	1.26768
RNU6-777P	0
RPL23AP89	0
MIR7846	0
MIR4632	0
RPL10P17	0
SNORA70	0
SNORA59A	2.50772
RP5-888M10.2	0.293471
RNU6ATAC18P	0
MIR6730	0
RP11-474O21.5	3.53187
AADACL4	0.515765
RP11-474O21.2	0
AADACL3	0
C1orf158	0.926864
PRAMEF12	0
PRAMEF1	0
LINC01784	0
PRAMEF11	0
PRAMEF30P	0
HNRNPCL1	0.114673
PRAMEF2	0
PRAMEF4	0
PRAMEF10	0
PRAMEF7	0
RNU6-1072P	0
PRAMEF29P	0
PRAMEF6	0
PRAMEF28P	0
PRAMEF27	0
HNRNPCL3	0
PRAMEF25	0
PRAMEF34P	0
PRAMEF35P	0
HNRNPCL2	0.0294835
PRAMEF36P	0
RP13-221M14.2	0
PRAMEF26	0
HNRNPCL4	0
PRAMEF9	0
PRAMEF13	0
PRAMEF18	0
PRAMEF31P	0
PRAMEF5	0
PRAMEF32P	0
RNU6-771P	0
PRAMEF8	0
PRAMEF33	0
PRAMEF15	0
RP11-219C24.10	0
PRAMEF14	0
PRAMEF19	0
PRAMEF17	0
PRAMEF20	0
LRRC38	0.278109
RP4-597A16.2	0
BRWD1P1	0
RNA5SP41	0
CTA-520D8.2	0.178613
SCARNA11	0
RNU6-1265P	0
RP11-344F13.1	0.364398
RP4-704D23.1	0
TBCAP2	0
TMEM51-AS1	2.87835
C1orf195	0
RP1-21O18.3	0
RP5-903E17.2	0.0700768
FHAD1	1.33136
RP3-467K16.2	0.187701
RP3-467K16.7	0
RP3-467K16.4	0.269109
CTRC	0.665993
CELA2A	0.951497
CELA2B	0.293043
SCARNA21	0
RP4-680D5.8	0
AGMAT	0.191241
RP4-680D5.2	0.278198
CHCHD2P6	1.59013
RNU7-179P	0
CD24P1	0
RP4-680D5.9	0
RP11-288I21.1	1.8203
TMEM82	0.0417953
RP11-169K16.4	0
RPL12P14	0.328118
RP11-169K16.8	1.46829
RP1-134O19.3	0
RP11-5P18.1	0
RP11-5P18.3	0
RP11-5P18.11	0
TBC1D3P6	0
C1orf64	0
CLCNKA	1.28977
RP11-5P18.10	0.163014
CLCNKB	0.690992
FAM131C	0.94454
RP11-276H7.2	1.07989
RP11-276H7.3	0.933284
ANO7L1	1.54778
MT1XP1	1.44066
RP11-430L17.1	0.269712
SPATA21	0.139772
LINC01772	4.96991
RNU1-1	0
RP4-798A10.7	0.28969
RP4-798A10.4	0
LINC01783	0.746261
RNU1-6P	0
FAM231B	0
RP5-875O13.6	0
RP5-1182A14.5	0
MST1P2	2.80337
RP1-163M9.8	0
RNU1-3	0
FAM231A	0
RP5-875O13.7	0.0904282
EIF1AXP1	0.933713
ESPNP	0.120854
RP1-163M9.7	0
FAM231C	0
RP5-1182A14.7	0
RNU1-4	0
CROCCP4	0.05959
MST1L	0.848376
RP11-108M9.1	0
RP11-108M9.2	0
MIR3675	0
RP11-108M9.3	1.02088
RNU1-2	0
RP11-108M9.6	0.440206
RP1-37C10.3	0.599469
PADI2	4.29313
RP11-380J14.1	0
RP11-380J14.4	0
PADI1	0.0838346
PADI3	0
MIR3972	0
PADI4	1.19054
PADI6	0
RP11-473A10.2	0
ACTL8	0
LINC01654	0
IGSF21	2.36602
RP11-174G17.3	0.0836635
RP11-174G17	0
RP11-422P22.1	0
KLHDC7A	0.0839026
DYNLL1P3	0
RP1-8B22.2	0
PAX7	0.00835812
TAS1R2	0
MIR4695	0
MIR1290	0
RP5-1126H10.2	1.29588
RP1-43E13.2	2.07597
AKR7L	1.6909
AKR7A3	3.39423
RP4-657E11.10	3.00038
RNU6-1099P	0
RN7SL277P	0
RNU4-28P	0
RP5-1056L3.1	0
HTR6	0.0640412
RNF186	0
RP11-91K11.2	0
PLA2G2E	0
RN7SL304P	0
PLA2G2D	0.0947838
PLA2G2F	0
RP3-340N1.2	0.12177
PLA2G2C	0.0974379
UBXN10-AS1	2.11565
LINC01757	0
VWA5B1	0.142507
RP4-745E8.2	0
LINC01141	0.035701
RP4-749H3.2	0
RPS4XP4	0
FAM43B	1.9551
KIF17	3.21197
RP5-930J4.5	0
SH2D5	0.350278
RP5-930J4.2	0.113201
RNU7-200P	0
MIR1256	0
RPS15AP6	0
RP11-487E1.2	0
HSPE1P27	0
RP3-329E20.2	0.296501
RP5-1071N3.1	0.615069
PPP1R11P1	0
RP11-293F5.8	0
RP11-293F5.1	0
NBPF2P	0.891858
HS6ST1P1	0.883497
CROCCP5	0
NBPF3	3.82665
PFN1P10	0
RP11-63N8.3	0.064269
RAP1GAP	2.24399
RP11-132G19.3	0
