Name	Heart - Atrial Appendage
DDX11L1	0
WASH7P	1.52031
MIR6859-1	0
MIR1302-2HG	0
FAM138A	0
OR4G4P	0.0364598
OR4G11P	0.060374
OR4F5	0.0831301
RP11-34P13.7	0.0157693
CICP27	0.0143291
RP11-34P13.15	1.65893
RP11-34P13.16	2.9368
RP11-34P13.14	0
RP11-34P13.13	0.0770381
RNU6-1100P	0
RP11-34P13.9	0
ABC7-43046700E7.1	0.0465664
RP11-34P13.18	2.7257
MIR6859-2	0
AP006222.2	0.307293
RPL23AP24	0.0511285
RP5-857K21.15	0
RP4-669L17.2	0.0263297
RP4-669L17.10	0.11825
WBP1LP7	0.0888353
OR4F29	0.0536621
CICP7	0.00779079
RP4-669L17.8	0
U6	0
RP5-857K21.4	0.0287752
RP5-857K21.2	0
WBP1LP6	0.0565636
OR4F16	0.0381103
RP11-206L10.17	0
CICP3	0.116862
RP11-206L10.2	0.963909
RNU6-1199P	0
RP11-206L10.4	0.0606036
RP11-206L10.9	0.286751
RP11-206L10.8	0.490769
FAM87B	0.3692
LINC00115	2.75197
FAM41C	0.0922433
TUBB8P11	0.12416
FAM166AP3	0.0440262
RP11-54O7.16	0.489645
RP11-54O7.1	0.445175
RP11-54O7.2	0
KLHL17	4.61745
PLEKHN1	0.276307
RP11-54O7.17	4.14719
RP11-54O7.10	0.156271
RP11-54O7.11	0.240828
RP11-465B22.3	0.241175
RP11-54O7.18	0.0713721
RNF223	0.059616
C1orf159	3.1409
LINC01342	0.0711511
MIR200B	0
MIR200A	0
MIR429	0
RP11-465B22.8	0.0709272
TTLL10-AS1	0.0465527
TTLL10	0.101175
TNFRSF18	0.303877
TNFRSF4	2.54039
C1QTNF12	0.53868
RP5-902P8.12	0.254369
LINC01786	1.85687
SCNN1D	3.33291
MIR6726	0
MIR6727	0
TAS1R3	0.613137
MIR6808	0
NDUFB4P8	0.151226
RP4-758J18.13	1.48441
ANKRD65	2.62772
RP4-758J18.7	0.351456
TMEM88B	0.183503
LINC01770	0.69602
ATAD3C	0.727576
TMEM240	2.93476
RP5-832C2.5	0.26773
RP11-345P4.11	0.0524595
FNDC10	1.06929
MMP23B	1.1526
RP11-345P4.10	0
RP11-345P4.6	1.06094
MMP23A	0.106003
RP1-283E3.4	2.58858
SLC35E2	1.4458
RP1-140A9.1	0.37191
CALML6	0.254997
TMEM52	0.3638
CFAP74	0.0140893
RP11-547D24.1	0.030435
GABRD	0.343545
RP11-547D24.3	0
PRKCZ	3.11149
RP5-892K4.1	0.0167329
PRKCZ-AS1	1.77105
RP11-181G12.4	0.0976297
MORN1	0.533789
RP4-713A8.1	0.0839378
RP4-740C4.5	0.699655
RP4-740C4.7	0.557788
PLCH2	0.211554
RP3-395M20.2	0
RP3-395M20.3	0
HES5	1.18487
RP3-395M20.12	1.00486
RP3-395M20.8	0.809029
RP3-395M20.7	0.111837
RP3-395M20.9	0.442231
MMEL1	0.11864
RP13-436F16.1	0
TTC34	0.178338
ABC14-1188822O7.1	0
RP11-740P5.2	0
RP11-740P5.3	0
ACTRT2	0
LINC00982	1.14484
PRDM16	1.03019
MIR4251	0
RP1-163G9.2	0
RP11-193J6.1	0
RP11-22L13.1	0.0180434
ARHGEF16	0.768593
RP11-168F9.2	0.0949297
MIR551A	0
RP11-46F15.2	0.660557
TP73	0.0755235
RP5-1092A11.5	0
RP5-1092A11.2	0
CCDC27	0.0438961
RN7SL574P	0.357397
RP1-286D6.5	1.95337
CEP104	4.90549
DFFB	2.74594
LINC01134	0.115821
LINC01346	0
LINC01345	0
EEF1DP6	0
LINC01777	0
RP1-37J18.1	0
LINC01646	0
AJAP1	0.0594619
RP11-542C10.1	0
RP1-58B11.1	0
RP3-491M17.1	0
RP11-154H17.1	0.0581605
MIR4417	0
MIR4689	0
NPHP4	2.79748
KCNAB2	4.29585
CHD5	0.267596
RP1-120G22.11	0.782636
LINC00337	0.0247699
HES3	0
ACOT7	4.96113
HES2	0.0119374
ESPN	0.183605
MIR4252	0
RP1-202O8.2	0
NOL9	3.31574
RNU6-731P	0
RP11-58A11.2	0.0723229
TAS1R1	0.0316167
LINC01672	0
RP11-312B8.1	0.177882
RP11-312B8.2	0
RP11-334N17.1	0
RNU1-8P	0
CAMTA1-IT1	0.075713
RP3-453P22.2	0
RP4-549F15.1	0
RP11-338N10.1	0.0775157
RP11-338N10.2	0.278187
RP11-338N10.3	0.667869
RP3-467L1.6	1.51995
RP3-467L1.4	0.768447
UTS2	0
TNFRSF9	0.032838
RP5-892F13.2	0
Y_RNA	0
RP11-431K24.1	0.0688205
CTA-215D11.4	0
RP11-431K24.2	0
LINC01714	0.0283698
RNU1-7P	0
RP11-431K24.4	0
RNU6-991P	0
SLC45A1	2.40217
Y_RNA	0
RP5-1115A15.1	0.443816
SNORA77	0
RP5-1115A15.2	0
RPL7P11	0
RPL7P7	0
Y_RNA	0
RP4-633I8.3	0
RP4-633I8.4	0
RPL23AP19	0
MIR6728	0
ENO1-IT1	0.173494
ENO1-AS1	0.226754
RNU6-304P	0
HMGN2P17	0
RP3-477M7.5	0
RP3-477M7.6	0
CA6	0
RN7SL451P	0
SLC2A7	0
SLC2A5	0.563984
SCARNA16	0
GPR157	4.38201
MIR34AHG	1.51614
LINC01759	0.255767
RP3-510D11.4	0.0275234
RNA5SP40	0
RP13-392I16.1	0
SLC25A33	4.22008
RP13-15M17.1	0.423275
PIK3CD	2.7405
PIK3CD-AS1	0
RP11-558F24.2	0
PIK3CD-AS2	0.672643
MZT1P1	0
RP11-84A14.7	0
RP11-84A14.4	0.256252
RN7SKP269	0.310257
RP11-84A14.6	0
MIR5697	0
RP11-496H15.2	0
PGAM1P11	0
RNU6-828P	0
MIR1273D	0
RNU6-37P	0
RP4-736L20.3	0
CENPS	3.95419
CORT	0.434459
RN7SL614P	0.0986959
RP4-734G22.3	1.33656
HSPE1P24	0
C1orf127	0.153327
CFL1P6	0
MASP2	1.10875
RP4-635E18.7	1.68191
RP4-635E18.6	0.159546
MTOR-AS1	0
RNU6-537P	0
ANGPTL7	4.42829
RNU6-291P	0
RPL39P6	0
UBIAD1	3.9375
UBE2V2P3	0
MTCYBP45	0
DISP3	0.042225
LINC01647	0
DRAXIN	0.0401479
C1orf167	0.0236974
RP11-56N19.5	0
RP5-934G17.6	0.321284
RNU5E-1	0
RNU5E-4P	0
RP5-1077B9.5	0
Y_RNA	0.328429
MIR6729	0
RN7SL649P	0
TNFRSF8	1.23483
RNU6-777P	0
RPL23AP89	0
MIR7846	0
MIR4632	0
RPL10P17	0
SNORA70	0
SNORA59A	1.20987
RP5-888M10.2	0.0668057
RNU6ATAC18P	0.256884
MIR6730	0
RP11-474O21.5	1.2132
AADACL4	0.0305708
RP11-474O21.2	0
AADACL3	0.0113953
C1orf158	0.00743717
PRAMEF12	0
PRAMEF1	0
LINC01784	0.0679849
PRAMEF11	0
PRAMEF30P	0
HNRNPCL1	0.0347244
PRAMEF2	0
PRAMEF4	0
PRAMEF10	0
PRAMEF7	0
RNU6-1072P	0
PRAMEF29P	0
PRAMEF6	0
PRAMEF28P	0
PRAMEF27	0
HNRNPCL3	0
PRAMEF25	0
PRAMEF34P	0
PRAMEF35P	0
HNRNPCL2	0
PRAMEF36P	0
RP13-221M14.2	0
PRAMEF26	0
HNRNPCL4	0
PRAMEF9	0
PRAMEF13	0
PRAMEF18	0
PRAMEF31P	0
PRAMEF5	0
PRAMEF32P	0
RNU6-771P	0
PRAMEF8	0
PRAMEF33	0
PRAMEF15	0
RP11-219C24.10	0
PRAMEF14	0
PRAMEF19	0
PRAMEF17	0
PRAMEF20	0
LRRC38	0.394096
RP4-597A16.2	0
BRWD1P1	0
RNA5SP41	0
CTA-520D8.2	0
SCARNA11	0
KAZN	2.76702
RNU6-1265P	0
RP11-344F13.1	0
RP4-704D23.1	0
TBCAP2	0
TMEM51-AS1	0.154739
TMEM51	3.32988
C1orf195	0
RP1-21O18.3	0
RP5-903E17.2	0
FHAD1	0.042082
RP3-467K16.2	0.0676329
RP3-467K16.7	0
RP3-467K16.4	0.0102498
CTRC	0.0855608
CELA2A	0.0632368
CELA2B	0.0702223
DNAJC16	3.02924
SCARNA21	0
RP4-680D5.8	0
AGMAT	0.0907846
RP4-680D5.2	0.0299423
CHCHD2P6	0.969358
RNU7-179P	0
CD24P1	0
RP4-680D5.9	0
RP11-288I21.1	0.875539
SLC25A34	2.48659
TMEM82	0
RP11-169K16.4	0
RPL12P14	0.083493
RP11-169K16.8	0.654191
FLJ37453	2.47402
RP1-134O19.3	0
RP11-5P18.1	0
RP11-5P18.3	0
RP11-5P18.11	0
TBC1D3P6	0
C1orf64	0.107126
CLCNKA	0.453873
RP11-5P18.10	0.783681
CLCNKB	2.29799
FAM131C	3.6399
RP11-276H7.2	0.29306
RP11-276H7.3	0.109662
ARHGEF19	2.64146
ANO7L1	0.336794
RSG1	2.52913
MT1XP1	0.524109
RP11-430L17.1	0.0597062
SPATA21	0.0175447
LINC01772	0.949547
CROCCP3	1.85321
RNU1-1	0
RP4-798A10.7	0.0351956
RP4-798A10.4	0
LINC01783	0.0598451
RNU1-6P	0
FAM231B	0
RP5-875O13.6	0.0296934
NBPF1	1.55384
RP5-1182A14.5	0
MST1P2	1.21837
RP1-163M9.8	0
RNU1-3	0
FAM231A	0
RP5-875O13.7	0
EIF1AXP1	0.319699
ESPNP	0.00635022
RP1-163M9.7	0
FAM231C	0
RP5-1182A14.7	0
RNU1-4	0
CROCCP4	0
MST1L	0.297906
RP11-108M9.1	0
RP11-108M9.2	0
MIR3675	0
RP11-108M9.3	0.115604
RP11-108M9.4	4.34913
RP11-108M9.5	1.8482
RNU1-2	0
RP11-108M9.6	0.141651
MFAP2	3.34225
RP1-37C10.3	0
PADI2	0.31928
RP11-380J14.1	0
RP11-380J14.4	0
PADI1	0.0116844
PADI3	0
MIR3972	0
PADI4	0.331474
PADI6	0
RP11-473A10.2	0
ACTL8	0
LINC01654	0
IGSF21	0.808428
RP11-174G17.3	0.0210575
RP11-174G17	0
RP11-422P22.1	0
KLHDC7A	0.00518705
DYNLL1P3	0
RP1-8B22.2	0
PAX7	0
TAS1R2	0
MIR4695	0
MIR1290	0
IFFO2	3.56102
RP5-1126H10.2	0.49005
RP1-43E13.2	1.714
AKR7L	0.21295
AKR7A3	0.497821
RP4-657E11.10	0.584417
RNU6-1099P	0
RN7SL277P	0
RNU4-28P	0
RP5-1056L3.1	0.129189
RP5-1056L3.3	4.76008
HTR6	0.0101441
TMCO4	4.44982
RNF186	0
RP11-91K11.2	0
OTUD3	3.14076
PLA2G2E	0
RN7SL304P	0
PLA2G2D	0
PLA2G2F	0.0270773
RP3-340N1.2	0.0263454
PLA2G2C	0.0210694
UBXN10-AS1	1.09732
UBXN10	2.26147
LINC01757	0
VWA5B1	0.0356065
RP4-745E8.2	0
LINC01141	0
RP4-749H3.2	0
RPS4XP4	0
FAM43B	2.46469
PINK1-AS	2.9971
KIF17	1.52477
RP5-930J4.5	0
SH2D5	0.105842
RP5-930J4.2	0
RNU7-200P	0
MIR1256	0
RPS15AP6	0
RP11-487E1.2	0
HSPE1P27	0
RP3-329E20.2	0.264963
RP5-1071N3.1	0.193972
PPP1R11P1	0
RP11-293F5.8	0
RP11-293F5.1	0
NBPF2P	0.407895
HS6ST1P1	0.20706
CROCCP5	0
NBPF3	1.15616
PFN1P10	0
RP11-63N8.3	0
RP11-132G19.3	0
LDLRAD2	2.46695
RP11-26H16.1	0.0806109
RP11-26H16.4	0
CELA3B	0.100022
RN7SL386P	0
RNU6-1022P	0
CELA3A	0.48709
RN7SL186P	0
RNU6-776P	0
LINC01635	0.0639505
CDC42-IT1	0.0374931
RP1-224A6.8	0.0534302
RP1-224A6.9	0.448324
WNT4	0.0847114
MIR4418	0
RP11-415K20.1	0
RP11-415K20.2	0
ZBTB40-IT1	0.433909
EPHA8	0.00808847
MIR6127	0
EPHB2	1.22988
MIR4684	0
RP11-69E9.1	0
MIR4253	0
LACTBL1	0
C1orf234	0.0465805
RP1-184J9.2	0
MIR3115	0
MIR4419A	0
RP5-979D14.1	0.0549578
RNU6-514P	0
RNU6-135P	0
HTR1D	0.0206879
RP5-1057J7.1	0
LINC01355	2.63767
ZNF436-AS1	2.60494
RP5-1057J7.7	0.266852
RP4-654C18.1	0
E2F2	0.0814664
RP1-150O5.3	0.127237
MDS2	0.0263539
RP11-223J15.2	0
ELOA-AS1	2.47879
GALE	2.6188
CNR2	0.0109275
BTBD6P1	0
RP11-4M23.3	0
MIR378F	0
RP11-4M23.4	0
RP11-4M23.7	0
RP11-293P20.2	0.672585
RP11-293P20.4	0
IL22RA1	0.297827
IFNLR1	1.72416
RP11-10N16.2	0
RP11-10N16.3	0
GRHL3	0.0561136
STPG1	1.01648
NIPAL3	4.36762
RCAN3	1.63283
RP4-594I10.3	0
NCMAP	0.100918
RP11-496D1.2	0
Y_RNA	0
RNU6-1208P	0
RUNX3	0.746305
MIR6731	0
RP11-84D1.1	0
RP11-84D1.2	0
MIR4425	0
RP4-799D16.1	0
RP4-781L3.1	0
RP4-706G24.1	0
RP3-465N24.6	0.395531
RP3-465N24.5	0.483518
RHD	0.379211
SDHDP6	0.37764
RP11-335G20.7	0
RHCE	0.47185
RP3-469D22.1	0.166641
RP11-70P17.1	0.430539
MAN1C1	3.32201
