Name	Heart - Left Ventricle
DDX11L1	0
WASH7P	0.924962
MIR6859-1	0
MIR1302-2HG	0.0178934
FAM138A	0
OR4G4P	0.0511975
OR4G11P	0.0725549
OR4F5	0.0976225
RP11-34P13.7	0.0162799
CICP27	0.0105452
RP11-34P13.15	0.813732
RP11-34P13.16	1.34022
RP11-34P13.14	0
RP11-34P13.13	0.0343662
RNU6-1100P	0
RP11-34P13.9	0
ABC7-43046700E7.1	0.0377825
RP11-34P13.18	1.68053
MIR6859-2	0
AP006222.2	0.18275
RPL23AP24	0.0441002
RP5-857K21.15	0
RP4-669L17.2	0.0285953
RP4-669L17.10	0.0787397
WBP1LP7	0.120318
OR4F29	0.0643538
CICP7	0.0102077
RP4-669L17.8	0
U6	0
RP5-857K21.4	0.0263757
RP5-857K21.2	0
WBP1LP6	0.0666622
OR4F16	0.0443832
RP11-206L10.17	0
CICP3	0.115884
RP11-206L10.2	0.547191
RNU6-1199P	0
RP11-206L10.4	0.0700903
RP11-206L10.9	0.242767
RP11-206L10.8	0.363206
FAM87B	0.19533
LINC00115	1.4636
FAM41C	0.117262
TUBB8P11	0.144915
FAM166AP3	0.0531601
RP11-54O7.16	0.0743527
RP11-54O7.1	0.0794711
RP11-54O7.2	0
RP11-54O7.3	0.307457
SAMD11	0.453113
KLHL17	2.81872
PLEKHN1	0.181741
RP11-54O7.17	4.42794
RP11-54O7.10	0.168333
RP11-54O7.11	0.246808
RP11-465B22.3	0.155995
RP11-54O7.18	0.0723915
RNF223	0.0621323
C1orf159	1.88039
LINC01342	0.0758301
MIR200B	0
MIR200A	0
MIR429	0
RP11-465B22.8	0.0716598
TTLL10-AS1	0.0710278
TTLL10	0.167263
TNFRSF18	0.214656
TNFRSF4	3.18482
C1QTNF12	0.77012
RP5-902P8.12	0.293342
LINC01786	1.33771
SCNN1D	2.36663
MIR6726	0
MIR6727	0
TAS1R3	0.766314
MIR6808	0
NDUFB4P8	0.184923
RP4-758J18.13	1.51076
ANKRD65	1.20811
RP4-758J18.7	0.252431
TMEM88B	0.143366
LINC01770	0.431523
ATAD3C	0.281261
TMEM240	2.16574
RP5-832C2.5	0.251976
RP11-345P4.11	0.0693858
FNDC10	1.57477
MMP23B	0.647032
RP11-345P4.10	0
RP11-345P4.6	0.597764
MMP23A	0.155111
RP1-283E3.4	1.72931
SLC35E2	1.01845
RP1-140A9.1	0.229172
CALML6	0.115557
TMEM52	0.616184
CFAP74	0.00860348
RP11-547D24.1	0.0241608
GABRD	0.26992
RP11-547D24.3	0
PRKCZ	1.99561
RP5-892K4.1	0.0061798
PRKCZ-AS1	1.06572
FAAP20	3.49366
RP11-181G12.4	0
MORN1	0.302008
RP4-713A8.1	0.0354881
RP4-740C4.5	0.443118
RP4-740C4.7	0.532183
PLCH2	0.092601
RP3-395M20.2	0
RP3-395M20.3	0
HES5	0.613271
RP3-395M20.12	0.601754
RP3-395M20.8	0.751298
RP3-395M20.7	0.0796914
RP3-395M20.9	0.427993
FAM213B	3.89914
MMEL1	0.0330869
RP13-436F16.1	0
TTC34	0.0669223
ABC14-1188822O7.1	0
RP11-740P5.2	0
RP11-740P5.3	0
ACTRT2	0
LINC00982	4.55818
PRDM16	3.37537
MIR4251	0
RP1-163G9.2	0.0821835
RP11-193J6.1	0.0249523
RP11-22L13.1	0.16652
ARHGEF16	0.350945
RP11-168F9.2	0
MEGF6	1.83164
MIR551A	0
RP11-46F15.2	0.523637
TP73	0.0573745
RP5-1092A11.5	0
RP5-1092A11.2	0
CCDC27	0.0180109
SMIM1	3.40204
RN7SL574P	0.167083
RP1-286D6.5	1.22738
CEP104	3.84858
DFFB	1.61287
LINC01134	0.146475
LINC01346	0
LINC01345	0
EEF1DP6	0
LINC01777	0
RP1-37J18.1	0
LINC01646	0
AJAP1	0.0366795
RP11-542C10.1	0
RP1-58B11.1	0
RP3-491M17.1	0
RP11-154H17.1	0
MIR4417	0
MIR4689	0
NPHP4	1.59892
CHD5	0.0480849
RP1-120G22.11	0.615156
LINC00337	0
HES3	0
GPR153	3.95109
ACOT7	4.76361
HES2	0.00862258
ESPN	0.0535778
MIR4252	0
RP1-202O8.2	0
NOL9	3.07028
RNU6-731P	0
RP11-58A11.2	0.0692691
TAS1R1	0.0177156
PHF13	4.33261
THAP3	4.76757
LINC01672	0
RP11-312B8.1	0.122871
CAMTA1	4.70292
RP11-312B8.2	0
RP11-334N17.1	0
RNU1-8P	0
CAMTA1-IT1	0
RP3-453P22.2	0
RP4-549F15.1	0
RP11-338N10.1	0.0359937
RP11-338N10.2	0.10799
RP11-338N10.3	0.221539
RP3-467L1.6	0.948042
PER3	3.41756
RP3-467L1.4	0.321554
UTS2	0
TNFRSF9	0.00895475
RP5-892F13.2	0
Y_RNA	0
RP11-431K24.1	0.0364431
CTA-215D11.4	0
RP11-431K24.2	0
LINC01714	0
RNU1-7P	0
RP11-431K24.4	0
RNU6-991P	0
SLC45A1	1.29612
Y_RNA	0
RP5-1115A15.1	0.237874
SNORA77	0
RP5-1115A15.2	0
RPL7P11	0
RPL7P7	0
Y_RNA	0
RP4-633I8.3	0
RP4-633I8.4	0
RPL23AP19	0
MIR6728	0
ENO1-IT1	0.0505829
ENO1-AS1	0.12903
RNU6-304P	0
HMGN2P17	0
RP3-477M7.5	0
RP3-477M7.6	0
CA6	0
RN7SL451P	0
SLC2A7	0.0143784
SLC2A5	0.577564
SCARNA16	0
MIR34AHG	1.20711
LINC01759	0.145246
RP3-510D11.4	0.00825133
RNA5SP40	0
RP13-392I16.1	0
SLC25A33	2.4416
RP13-15M17.1	0.21055
PIK3CD	1.61935
PIK3CD-AS1	0
RP11-558F24.2	0
PIK3CD-AS2	0.174475
MZT1P1	0
RP11-84A14.7	0
RP11-84A14.4	0.180493
RN7SKP269	0.213975
RP11-84A14.6	0
MIR5697	0
RP11-496H15.2	0
PGAM1P11	0
RNU6-828P	0
MIR1273D	0
RNU6-37P	0
RP4-736L20.3	0
CENPS	3.28689
CORT	0.342356
RN7SL614P	0
RP4-734G22.3	0.904611
HSPE1P24	0
C1orf127	0.272198
CFL1P6	0
MASP2	0.932707
RP4-635E18.8	4.86324
RP4-635E18.7	0.981078
RP4-635E18.6	0.0966277
MTOR-AS1	0
RNU6-537P	0
ANGPTL7	0.39485
RNU6-291P	0
RPL39P6	0
UBIAD1	3.63627
UBE2V2P3	0
MTCYBP45	0
DISP3	0.0336079
LINC01647	0
FBXO2	1.61478
DRAXIN	0.0228409
C1orf167	0.00524368
RP11-56N19.5	0
NPPA-AS1	0.45028
RP5-934G17.6	0.0310237
RNU5E-1	0
RNU5E-4P	0
RP5-1077B9.5	0
Y_RNA	0.184758
MIR6729	0
RN7SL649P	0
TNFRSF8	0.341188
RNU6-777P	0
RPL23AP89	0
MIR7846	0
MIR4632	0
RPL10P17	0
SNORA70	0
SNORA59A	0.863568
RP5-888M10.2	0
RNU6ATAC18P	0
MIR6730	0
RP11-474O21.5	0.550459
AADACL4	0
RP11-474O21.2	0
AADACL3	0
C1orf158	0
PRAMEF12	0
PRAMEF1	0
LINC01784	0
PRAMEF11	0
PRAMEF30P	0
HNRNPCL1	0.0259301
PRAMEF2	0
PRAMEF4	0
PRAMEF10	0
PRAMEF7	0
RNU6-1072P	0
PRAMEF29P	0
PRAMEF6	0
PRAMEF28P	0
PRAMEF27	0
HNRNPCL3	0
PRAMEF25	0
PRAMEF34P	0
PRAMEF35P	0
HNRNPCL2	0
PRAMEF36P	0
RP13-221M14.2	0
PRAMEF26	0
HNRNPCL4	0
PRAMEF9	0
PRAMEF13	0
PRAMEF18	0
PRAMEF31P	0
PRAMEF5	0
PRAMEF32P	0
RNU6-771P	0
PRAMEF8	0
PRAMEF33	0
PRAMEF15	0
RP11-219C24.10	0
PRAMEF14	0
PRAMEF19	0
PRAMEF17	0
PRAMEF20	0
LRRC38	0.162014
RP4-597A16.2	0
BRWD1P1	0
RNA5SP41	0
CTA-520D8.2	0
SCARNA11	0
KAZN	0.747566
RNU6-1265P	0
RP11-344F13.1	0
RP4-704D23.1	0
TBCAP2	0
TMEM51-AS1	0.0800207
TMEM51	2.70204
C1orf195	0
RP1-21O18.3	0
RP5-903E17.2	0
FHAD1	0.0145347
RP3-467K16.2	0.0421599
RP3-467K16.7	0
RP3-467K16.4	0.0134245
CTRC	0.0694773
