Name	Liver
DDX11L1	0
WASH7P	1.76541
MIR6859-1	0
MIR1302-2HG	0
FAM138A	0
OR4G4P	0.0332748
OR4G11P	0.0433574
OR4F5	0.060538
RP11-34P13.7	0.0168633
CICP27	0.0228274
RP11-34P13.15	3.17038
RP11-34P13.16	4.60361
RP11-34P13.14	0
RP11-34P13.13	0.0443455
RNU6-1100P	0
RP11-34P13.9	0
ABC7-43046700E7.1	0.0445654
RP11-34P13.18	3.13668
MIR6859-2	0
AP006222.2	0.19569
RPL23AP24	0
RP5-857K21.15	0
RP4-669L17.2	0
RP4-669L17.10	0.0786232
WBP1LP7	0.0779819
OR4F29	0.0397956
CICP7	0
RP4-669L17.8	0
U6	0
RP5-857K21.4	0.0338475
RP5-857K21.2	0
WBP1LP6	0.0568998
OR4F16	0.0331044
RP11-206L10.17	0
CICP3	0.151897
RP11-206L10.2	1.11465
RNU6-1199P	0
RP11-206L10.4	0.0534193
RP11-206L10.9	0.389295
RP11-206L10.8	0.417471
FAM87B	0.138227
LINC01128	3.51756
LINC00115	2.85093
FAM41C	0.0477692
TUBB8P11	0.0664664
FAM166AP3	0.0380699
RP11-54O7.16	0.157135
RP11-54O7.1	0.139494
RP11-54O7.2	0
RP11-54O7.3	1.53688
SAMD11	1.63191
PLEKHN1	0.425511
PERM1	0.259384
RP11-54O7.17	0.718519
HES4	3.213
RP11-54O7.10	0
RP11-54O7.11	0.122417
RP11-465B22.3	0.568393
RP11-54O7.18	0.239553
RNF223	0.0523026
C1orf159	4.0789
LINC01342	0.084504
MIR200B	0
MIR200A	0
MIR429	0
RP11-465B22.8	0.672876
TTLL10-AS1	0.0391008
TTLL10	0.069347
TNFRSF18	0.458
TNFRSF4	0.607381
C1QTNF12	1.20186
RP5-902P8.12	0.449799
LINC01786	2.24901
MIR6726	0
MIR6727	0
TAS1R3	0.57577
MIR6808	0
NDUFB4P8	0.321608
RP4-758J18.13	2.71712
ANKRD65	0.609268
RP4-758J18.7	0.138415
TMEM88B	0.112991
LINC01770	1.52182
ATAD3C	2.79422
TMEM240	0.447633
RP5-832C2.5	0.506287
RP11-345P4.11	0
FNDC10	0.38128
RP11-345P4.9	3.99274
MMP23B	0.232386
RP11-345P4.10	0
RP11-345P4.6	0.776909
MMP23A	0.791487
RP1-283E3.4	1.96443
SLC35E2	1.19303
RP1-140A9.1	0.274732
CALML6	1.83434
TMEM52	4.98971
CFAP74	0.437345
RP11-547D24.1	0
GABRD	0.0988729
RP11-547D24.3	0
PRKCZ	2.76152
RP5-892K4.1	0.0439781
PRKCZ-AS1	2.06484
RP11-181G12.4	0.587957
MORN1	0.721353
RP4-713A8.1	0.165087
RP4-740C4.5	0.802987
RP4-740C4.7	1.08628
PLCH2	4.54632
RP3-395M20.2	0.216603
RP3-395M20.3	0.218058
HES5	0.143452
RP3-395M20.12	2.20543
RP3-395M20.8	2.215
RP3-395M20.7	0.0954031
RP3-395M20.9	0.307812
MMEL1	0.0540246
RP13-436F16.1	0
TTC34	0.111832
ABC14-1188822O7.1	0
RP11-740P5.2	0
RP11-740P5.3	0
ACTRT2	0
LINC00982	0.207853
PRDM16	0.144479
MIR4251	0
RP1-163G9.2	0
RP11-193J6.1	0
RP11-22L13.1	0
ARHGEF16	4.16166
RP11-168F9.2	0.199912
MEGF6	2.97639
MIR551A	0
RP11-46F15.2	0.662418
TP73	0.0906901
RP5-1092A11.5	0
RP5-1092A11.2	0
CCDC27	0
SMIM1	3.97035
RN7SL574P	0.533016
RP1-286D6.5	3.50818
DFFB	3.38575
LINC01134	0.413381
LINC01346	0
LINC01345	0
EEF1DP6	0
LINC01777	0
RP1-37J18.1	0
LINC01646	0
AJAP1	0.0755824
RP11-542C10.1	0
RP1-58B11.1	0
RP3-491M17.1	0
RP11-154H17.1	0
MIR4417	0
MIR4689	0
NPHP4	1.53755
KCNAB2	2.56266
CHD5	0.0445114
RP1-120G22.11	0.972695
LINC00337	0.393787
HES3	0
GPR153	2.35797
HES2	0.0198608
MIR4252	0
RP1-202O8.2	0
TNFRSF25	2.99274
PLEKHG5	1.20543
NOL9	4.0195
RNU6-731P	0
RP11-58A11.2	0.0987701
TAS1R1	0.0461578
LINC01672	0
RP11-312B8.1	0.105042
CAMTA1	2.84413
RP11-312B8.2	0
RP11-334N17.1	0
RNU1-8P	0
CAMTA1-IT1	0
RP3-453P22.2	0
RP4-549F15.1	0
RP11-338N10.1	0
RP11-338N10.2	0
RP11-338N10.3	0.0950573
RP3-467L1.6	1.41721
