Name	Muscle - Skeletal
DDX11L1	0
WASH7P	1.41667
MIR6859-1	0
MIR1302-2HG	0
FAM138A	0
OR4G4P	0.0375151
OR4G11P	0.0542007
OR4F5	0.063905
RP11-34P13.7	0.013651
CICP27	0.00540119
RP11-34P13.15	0.309132
RP11-34P13.16	0.585619
RP11-34P13.14	0
RP11-34P13.13	0.0464001
RNU6-1100P	0
RP11-34P13.9	0
ABC7-43046700E7.1	0.0453848
RP11-34P13.18	2.88033
MIR6859-2	0
AP006222.2	0.235943
RPL23AP24	0
RP5-857K21.15	0
RP4-669L17.2	0
RP4-669L17.10	0.0966894
WBP1LP7	0.082773
OR4F29	0.0471074
CICP7	0
RP4-669L17.8	0
U6	0
RP5-857K21.4	0.0303348
RP5-857K21.2	0
WBP1LP6	0.0492536
OR4F16	0.036899
RP11-206L10.17	0
CICP3	0.104651
RP11-206L10.2	0.697079
RNU6-1199P	0
RP11-206L10.4	0.05183
RP11-206L10.9	0.262503
RP11-206L10.8	0.657932
FAM87B	0.245525
LINC00115	1.81704
FAM41C	0.219269
TUBB8P11	0.113771
FAM166AP3	0.0491328
RP11-54O7.16	0
RP11-54O7.1	0.0500627
RP11-54O7.2	0
RP11-54O7.3	0.146141
SAMD11	0.282002
KLHL17	2.22816
PLEKHN1	0.429718
RP11-54O7.17	1.53504
HES4	4.93452
RP11-54O7.10	0
RP11-54O7.11	0.132629
AGRN	2.40304
RP11-465B22.3	0.0901901
RP11-54O7.18	0.0463813
RNF223	0.0506727
C1orf159	1.3618
LINC01342	0.0556913
MIR200B	0
MIR200A	0
MIR429	0
RP11-465B22.8	0.0594252
TTLL10-AS1	0.0851895
TTLL10	0.184762
TNFRSF18	0.237805
TNFRSF4	1.63613
C1QTNF12	0.609089
RP5-902P8.12	0.30388
LINC01786	1.09729
SCNN1D	1.77831
MIR6726	0
MIR6727	0
TAS1R3	0.876017
MIR6808	0
NDUFB4P8	0.14447
RP4-758J18.13	1.74315
ANKRD65	1.10691
RP4-758J18.7	0.161932
TMEM88B	0.109737
LINC01770	0.228198
VWA1	2.39291
ATAD3C	0.0978258
TMEM240	1.19392
RP5-832C2.5	0.390987
RP11-345P4.11	0.0509052
FNDC10	0.24229
MMP23B	0.0484898
RP11-345P4.10	0
RP11-345P4.6	0.625547
MMP23A	0
RP1-283E3.4	2.53787
SLC35E2	1.70909
RP1-140A9.1	1.13179
CFAP74	0.0108449
RP11-547D24.1	0.0137069
GABRD	0.165086
RP11-547D24.3	0
PRKCZ	0.0795777
RP5-892K4.1	0
PRKCZ-AS1	0.675591
FAAP20	2.79999
RP11-181G12.4	0
MORN1	0.532927
RP4-713A8.1	0.108917
RP4-740C4.5	0.418187
RP4-740C4.7	0.254523
PLCH2	0.100607
RP3-395M20.2	0
RP3-395M20.3	0
HES5	0.0640049
RP3-395M20.12	0.293019
RP3-395M20.8	0.349347
RP3-395M20.7	0.032607
RP3-395M20.9	0.356508
FAM213B	1.05774
MMEL1	0.0239365
RP13-436F16.1	0
TTC34	0.0320863
ABC14-1188822O7.1	0
RP11-740P5.2	0
RP11-740P5.3	0
ACTRT2	0
LINC00982	0.178868
PRDM16	0.251708
MIR4251	0
RP1-163G9.2	0
RP11-193J6.1	0
RP11-22L13.1	0
ARHGEF16	0.621083
RP11-168F9.2	0
MEGF6	2.99085
MIR551A	0
RP11-46F15.2	0.280567
TP73	0.180671
RP5-1092A11.5	0
RP5-1092A11.2	0
CCDC27	0.0703934
SMIM1	0.405147
RN7SL574P	0
RP1-286D6.5	0.822929
DFFB	1.46677
LINC01134	0.322643
LINC01346	0.0136163
LINC01345	0.0167534
EEF1DP6	0
LINC01777	0
RP1-37J18.1	0
LINC01646	0
AJAP1	0.0650562
RP11-542C10.1	0
RP1-58B11.1	0
RP3-491M17.1	0
RP11-154H17.1	0
MIR4417	0
MIR4689	0
NPHP4	1.74277
KCNAB2	2.53738
CHD5	0.0834199
RP1-120G22.11	0.14724
RNF207	1.68262
LINC00337	0.0422267
HES3	0
GPR153	1.11193
ACOT7	1.98564
HES2	0.00880432
ESPN	0.0264599
MIR4252	0
RP1-202O8.2	0
TNFRSF25	2.00371
PLEKHG5	2.1389
RNU6-731P	0
RP11-58A11.2	0.0442626
TAS1R1	0.158966
LINC01672	0
RP11-312B8.1	0.329195
CAMTA1	4.57154
RP11-312B8.2	0
RP11-334N17.1	0
RNU1-8P	0
CAMTA1-IT1	0.196296
RP3-453P22.2	0
RP4-549F15.1	0
RP11-338N10.1	0
RP11-338N10.2	0
RP11-338N10.3	0
RP3-467L1.6	0.506035
RP3-467L1.4	0.285526
UTS2	0
TNFRSF9	0.00606672
RP5-892F13.2	0
Y_RNA	0
RP11-431K24.1	0.120292
CTA-215D11.4	0
RP11-431K24.2	0
LINC01714	0.024759
RNU1-7P	0
RP11-431K24.4	0
RNU6-991P	0
SLC45A1	1.09918
Y_RNA	0
RP5-1115A15.1	1.10865
SNORA77	0
RP5-1115A15.2	0
RPL7P11	0
RPL7P7	0
Y_RNA	0
RP4-633I8.3	0
RP4-633I8.4	0
RPL23AP19	0
MIR6728	0
ENO1-IT1	0.0869089
ENO1-AS1	0.305726
RNU6-304P	0
HMGN2P17	0
RP3-477M7.5	0
RP3-477M7.6	0
CA6	0
RN7SL451P	0
SLC2A7	0
SCARNA16	0
MIR34AHG	0.641989
LINC01759	0.0874737
RP3-510D11.4	0
RNA5SP40	0
RP13-15M17.1	0.581056
PIK3CD	0.824632
PIK3CD-AS1	0
RP11-558F24.2	0
PIK3CD-AS2	0.076773
MZT1P1	0
RP11-84A14.7	0
RP11-84A14.4	0.398571
RN7SKP269	1.35617
RP11-84A14.6	0
MIR5697	0
RP11-496H15.2	0
PGAM1P11	0
RNU6-828P	0
MIR1273D	0
RNU6-37P	0
RP4-736L20.3	0
CENPS	2.95148
CORT	0.225071
RN7SL614P	0
RP4-734G22.3	0.622783
HSPE1P24	0
C1orf127	4.1077
CFL1P6	0
MASP2	2.00528
RP4-635E18.7	1.05602
RP4-635E18.6	0.129938
MTOR-AS1	0
RNU6-537P	0
ANGPTL7	0.776888
RNU6-291P	0
RPL39P6	0
UBE2V2P3	0
MTCYBP45	0
DISP3	0.0260658
LINC01647	0
FBXO2	1.34393
FBXO44	4.51049
DRAXIN	0.00729192
C1orf167	0.00654974
RP11-56N19.5	0
NPPA-AS1	0.435323
NPPA	2.34266
NPPB	0.226661
RP5-934G17.6	0.122057
RNU5E-1	0
RNU5E-4P	0
RP5-1077B9.5	0
Y_RNA	0
MIR6729	0
RN7SL649P	0
TNFRSF8	0.536729
RNU6-777P	0
RPL23AP89	0
MIR7846	0
MIR4632	0
RPL10P17	0
SNORA70	0
SNORA59A	0.569397
RP5-888M10.2	0
RNU6ATAC18P	0
MIR6730	0
RP11-474O21.5	0.686417
AADACL4	0
RP11-474O21.2	0
AADACL3	0
C1orf158	0
PRAMEF12	0
PRAMEF1	0
LINC01784	0
PRAMEF11	0
PRAMEF30P	0
HNRNPCL1	0.0410999
PRAMEF2	0
PRAMEF4	0
PRAMEF10	0
PRAMEF7	0
RNU6-1072P	0
PRAMEF29P	0
PRAMEF6	0
PRAMEF28P	0
PRAMEF27	0
HNRNPCL3	0
PRAMEF25	0
PRAMEF34P	0
PRAMEF35P	0
HNRNPCL2	0
PRAMEF36P	0
RP13-221M14.2	0
PRAMEF26	0
HNRNPCL4	0
PRAMEF9	0
PRAMEF13	0
PRAMEF18	0
PRAMEF31P	0
PRAMEF5	0
PRAMEF32P	0
RNU6-771P	0
PRAMEF8	0
PRAMEF33	0
PRAMEF15	0
RP11-219C24.10	0
PRAMEF14	0
PRAMEF19	0
PRAMEF17	0
PRAMEF20	0
RP4-597A16.2	0.743997
BRWD1P1	0
RNA5SP41	0
CTA-520D8.2	0
SCARNA11	0
KAZN	0.40145
RNU6-1265P	0
RP11-344F13.1	0
RP4-704D23.1	0
TBCAP2	0
TMEM51-AS1	0.0576313
TMEM51	1.06408
C1orf195	0
RP1-21O18.3	0
RP5-903E17.2	0
FHAD1	0.010817
RP3-467K16.2	0
RP3-467K16.7	0
RP3-467K16.4	0.00462086
EFHD2	4.19248
CTRC	0.0529052
CELA2A	0.053356
CELA2B	0.0635004
CASP9	4.36884
SCARNA21	0
RP4-680D5.8	0.726784
RP4-680D5.2	0.183381
CHCHD2P6	1.3083
RNU7-179P	0
CD24P1	0
RP4-680D5.9	0.536311
RP11-288I21.1	1.04814
TMEM82	0
RP11-169K16.4	0
FBLIM1	2.19716
RPL12P14	0.0987364
RP11-169K16.8	1.06285
RP1-134O19.3	0
RP11-5P18.1	0
RP11-5P18.3	0
RP11-5P18.11	0
TBC1D3P6	0
C1orf64	0.0916443
CLCNKA	0.375859
RP11-5P18.10	0
CLCNKB	0.0432734
FAM131C	0.0525559
EPHA2	3.35606
RP11-276H7.2	0.124696
RP11-276H7.3	0.0511228
ARHGEF19	0.756824
ANO7L1	0.0690531
RSG1	0.978489
MT1XP1	3.73862
RP11-430L17.1	0.102925
SPATA21	0.0253599
LINC01772	0.446307
CROCCP3	0.755076
RNU1-1	0
RP4-798A10.7	0
RP4-798A10.4	0
LINC01783	0.019219
RNU1-6P	0
FAM231B	0
RP5-875O13.6	0.160927
NBPF1	0.976452
RP5-1182A14.5	0
MST1P2	0.347581
RP1-163M9.8	0
RNU1-3	0
FAM231A	0
RP5-875O13.7	0.0497928
EIF1AXP1	0.63599
ESPNP	0.00985631
