Name	Nerve - Tibial
DDX11L1	0
MIR6859-1	0
MIR1302-2HG	0
FAM138A	0
OR4G4P	0
OR4G11P	0
OR4F5	0.0391109
RP11-34P13.7	0.0193682
CICP27	0.0155048
RP11-34P13.15	2.04993
RP11-34P13.16	3.14203
RP11-34P13.14	0
RP11-34P13.13	0.216806
RNU6-1100P	0
RP11-34P13.9	0
ABC7-43046700E7.1	0.109404
MIR6859-2	0
AP006222.2	0.755429
RPL23AP24	0.112252
RP5-857K21.15	0
RP4-669L17.2	0
RP4-669L17.10	0.627639
WBP1LP7	0
OR4F29	0
CICP7	0
RP4-669L17.8	0.0375014
U6	0
RP5-857K21.4	0.0844943
RP5-857K21.2	0
WBP1LP6	0
OR4F16	0
RP11-206L10.17	0
CICP3	0.238444
RP11-206L10.2	3.89851
RNU6-1199P	0
RP11-206L10.4	0
RP11-206L10.9	1.5109
RP11-206L10.8	2.0089
FAM87B	1.24288
FAM41C	0.0658674
TUBB8P11	0.0583614
FAM166AP3	0
RP11-54O7.16	0.302856
RP11-54O7.1	0.225078
RP11-54O7.2	0
RP11-54O7.3	4.64646
PLEKHN1	0.484862
PERM1	0.385027
RP11-54O7.10	0
RP11-54O7.11	0.532663
RP11-465B22.3	0.72629
RP11-54O7.18	0.218287
RNF223	0.0493495
LINC01342	0.0461309
MIR200B	0
MIR200A	0
MIR429	0
RP11-465B22.8	0.0857902
TTLL10-AS1	0.13028
TTLL10	0.285097
TNFRSF18	0.831547
TNFRSF4	2.41166
C1QTNF12	1.68484
RP5-902P8.12	0.811212
MIR6726	0
MIR6727	0
TAS1R3	1.16017
MIR6808	0
NDUFB4P8	0.238079
TMEM88B	2.40717
RP5-832C2.5	1.33075
RP11-345P4.11	0
FNDC10	3.93825
MMP23B	0.147063
RP11-345P4.10	0
MMP23A	0.153369
RP1-140A9.1	1.18509
CALML6	1.1197
TMEM52	0.913475
CFAP74	0.044325
RP11-547D24.1	0.0332626
GABRD	0.321461
RP11-547D24.3	0
PRKCZ	0.533702
RP5-892K4.1	0.0205152
PRKCZ-AS1	3.65083
RP11-181G12.4	0.597215
MORN1	4.47991
RP4-713A8.1	0.687065
RP4-740C4.5	2.45258
RP4-740C4.7	2.0071
PLCH2	0.692432
RP3-395M20.2	0
RP3-395M20.3	0.0729852
HES5	0.714978
RP3-395M20.12	1.8008
RP3-395M20.8	2.4107
RP3-395M20.7	0.570258
RP3-395M20.9	1.99758
MMEL1	1.23588
RP13-436F16.1	0
TTC34	1.61956
ABC14-1188822O7.1	0
RP11-740P5.2	0
RP11-740P5.3	0
ACTRT2	0
MIR4251	0
RP1-163G9.2	0.424771
RP11-193J6.1	0.164861
RP11-22L13.1	0.113122
RP11-168F9.2	1.17823
MIR551A	0
TP73	0.352562
RP5-1092A11.5	0
RP5-1092A11.2	0
CCDC27	0.0261352
SMIM1	2.6416
RN7SL574P	0.708464
LINC01134	0.0688445
LINC01346	0
LINC01345	0
EEF1DP6	0
LINC01777	0
RP1-37J18.1	0
LINC01646	0
AJAP1	0.664309
RP11-542C10.1	0
RP1-58B11.1	0.405
RP3-491M17.1	0
RP11-154H17.1	0
MIR4417	0
MIR4689	0
CHD5	0.416662
RP1-120G22.11	1.2139
LINC00337	0
HES3	0
HES2	0.0253382
MIR4252	0
RP1-202O8.2	0
RNU6-731P	0
RP11-58A11.2	0.432463
TAS1R1	0.156368
LINC01672	0
RP11-312B8.1	0.370352
RP11-312B8.2	0
RP11-334N17.1	0
RNU1-8P	0
CAMTA1-IT1	0.242269
RP3-453P22.2	0
RP4-549F15.1	0.650377
RP11-338N10.1	0.417798
RP11-338N10.2	1.07113
RP11-338N10.3	2.57328
RP3-467L1.4	3.28558
UTS2	0.0550508
TNFRSF9	0.0418822
RP5-892F13.2	0
Y_RNA	0
RP11-431K24.1	0.283012
CTA-215D11.4	0.0328962
RP11-431K24.2	0
LINC01714	0
RNU1-7P	0
RP11-431K24.4	0
RNU6-991P	0
Y_RNA	0
RP5-1115A15.1	1.27282
SNORA77	0
RP5-1115A15.2	0
RPL7P11	0.0793872
RPL7P7	0.0568223
Y_RNA	0
RP4-633I8.3	0
RP4-633I8.4	0
RPL23AP19	0
MIR6728	0
ENO1-IT1	0.303272
ENO1-AS1	0.94863
RNU6-304P	0
HMGN2P17	0.0811987
RP3-477M7.5	0
RP3-477M7.6	0
CA6	0.0100245
RN7SL451P	0
SLC2A7	0.0308986
SLC2A5	4.40482
SCARNA16	0
LINC01759	1.93224
RP3-510D11.4	0.30806
RNA5SP40	0
RP13-392I16.1	0
RP13-15M17.1	0.976526
PIK3CD-AS1	0.0461902
RP11-558F24.2	0
PIK3CD-AS2	0.776901
MZT1P1	0
RP11-84A14.7	0.0249937
RP11-84A14.4	0.316931
RN7SKP269	0.253985
RP11-84A14.6	0.0867515
MIR5697	0
RP11-496H15.2	0
PGAM1P11	0.0472855
RNU6-828P	0
MIR1273D	0
RNU6-37P	0
RP4-736L20.3	0
CORT	2.16327
RN7SL614P	0.366931
CASZ1	2.45168
RP4-734G22.3	0.752175
HSPE1P24	0
C1orf127	0.345306
CFL1P6	0.0931937
RP4-635E18.6	1.40091
MTOR-AS1	0.169243
RNU6-537P	0
RNU6-291P	0
RPL39P6	0
UBE2V2P3	0.162079
MTCYBP45	0
DISP3	0.209967
LINC01647	0
DRAXIN	1.13761
C1orf167	0.0402497
RP11-56N19.5	0
NPPA-AS1	2.05932
NPPA	3.96895
NPPB	0.54307
RP5-934G17.6	0.0300878
RNU5E-1	0
RNU5E-4P	0
RP5-1077B9.5	0
Y_RNA	1.74498
MIR6729	0
RN7SL649P	0
TNFRSF8	2.07679
RNU6-777P	0
RPL23AP89	0
MIR7846	0
MIR4632	0
RPL10P17	0
SNORA70	0
RP5-888M10.2	0.603549
RNU6ATAC18P	1.67605
MIR6730	0
AADACL4	0.0825798
RP11-474O21.2	0
AADACL3	0
C1orf158	0
PRAMEF12	0
PRAMEF1	0
LINC01784	0
PRAMEF11	0
PRAMEF30P	0
HNRNPCL1	0.0941547
PRAMEF2	0
PRAMEF4	0
PRAMEF10	0
PRAMEF7	0
RNU6-1072P	0
PRAMEF29P	0
PRAMEF6	0
PRAMEF28P	0
PRAMEF27	0
HNRNPCL3	0
PRAMEF25	0
PRAMEF34P	0
PRAMEF35P	0
HNRNPCL2	0
PRAMEF36P	0
RP13-221M14.2	0
PRAMEF26	0
HNRNPCL4	0
PRAMEF9	0
PRAMEF13	0
PRAMEF18	0
PRAMEF31P	0
PRAMEF5	0
PRAMEF32P	0
RNU6-771P	0
PRAMEF8	0
PRAMEF33	0
PRAMEF15	0
RP11-219C24.10	0
PRAMEF14	0
PRAMEF19	0
PRAMEF17	0
PRAMEF20	0
LRRC38	1.85656
RP4-597A16.2	0
BRWD1P1	0
RNA5SP41	0
CTA-520D8.2	0.131579
SCARNA11	0
RNU6-1265P	0
RP11-344F13.1	0
RP4-704D23.1	0
TBCAP2	0
TMEM51-AS1	1.15812
C1orf195	0
RP1-21O18.3	0
RP5-903E17.2	0
FHAD1	0.105162
RP3-467K16.2	0.121077
RP3-467K16.7	0
RP3-467K16.4	0.023304
CTRC	0.30355
CELA2A	0.272189
CELA2B	0.276985
SCARNA21	0
RP4-680D5.8	0.5075
AGMAT	0.230683
RP4-680D5.2	0.146566
CHCHD2P6	1.99268
RNU7-179P	0
CD24P1	0
RP4-680D5.9	0.208413
RP11-288I21.1	2.48047
TMEM82	0
RP11-169K16.4	0.126017
RPL12P14	0.486755
UQCRHL	4.79534
RP11-169K16.8	1.88731
RP1-134O19.3	0
RP11-5P18.1	0
RP11-5P18.3	0
RP11-5P18.11	0
TBC1D3P6	0
C1orf64	0.727976
CLCNKA	0.38677
RP11-5P18.10	0.0973879
CLCNKB	1.25897
FAM131C	0.363354
RP11-276H7.2	0.950492
RP11-276H7.3	0.483768
ANO7L1	1.26264
MT1XP1	1.40731
RP11-430L17.1	0.189793
SPATA21	0.339935
RNU1-1	0
RP4-798A10.7	0.693519
RP4-798A10.4	0.159516
LINC01783	0.178108
RNU1-6P	0
FAM231B	0
RP5-875O13.6	0
NBPF1	4.07705
RP5-1182A14.5	0
MST1P2	3.54796
RP1-163M9.8	0
RNU1-3	0
FAM231A	0
RP5-875O13.7	0
EIF1AXP1	0.602333
ESPNP	0.0141473
RP1-163M9.7	0
FAM231C	0
RP5-1182A14.7	0
RNU1-4	0
CROCCP4	0
MST1L	0.860695
RP11-108M9.1	0
RP11-108M9.2	0
MIR3675	0
RP11-108M9.3	0.286182
RP11-108M9.5	4.3249
RNU1-2	0
RP11-108M9.6	0.358676
RP1-37C10.3	0.258322
RP11-380J14.1	0.0705917
RP11-380J14.4	0
PADI1	0.0485631
PADI3	0
MIR3972	0
PADI4	0.118002
PADI6	0
RP11-473A10.2	0
ACTL8	0
LINC01654	0
RP11-174G17.3	0.190487
RP11-174G17	0
RP11-422P22.1	0
KLHDC7A	0.0216406
DYNLL1P3	0
RP1-8B22.2	0
PAX7	0
TAS1R2	0
MIR4695	0
MIR1290	0
RP5-1126H10.2	1.69889
RP1-43E13.2	1.73048
AKR7L	1.92417
AKR7A3	3.14405
RP4-657E11.10	3.30658
RNU6-1099P	0
RN7SL277P	0
RNU4-28P	0
RP5-1056L3.1	0
HTR6	0.0435656
RNF186	0
RP11-91K11.2	0
PLA2G2E	0
RN7SL304P	0
PLA2G5	1.4281
PLA2G2D	0.0281209
PLA2G2F	0
RP3-340N1.2	0.0726563
PLA2G2C	0.0104562
UBXN10-AS1	0.149786
UBXN10	0.404776
LINC01757	0
VWA5B1	0.00819258
RP4-745E8.2	0
LINC01141	0.0564268
RP4-749H3.2	0
RPS4XP4	0
FAM43B	0.215546
KIF17	1.94798
RP5-930J4.5	0
SH2D5	0.0775845
RP5-930J4.2	0
RNU7-200P	0
MIR1256	0
RPS15AP6	0.108272
RP11-487E1.2	0
HSPE1P27	0
RP3-329E20.2	0.163284
RP5-1071N3.1	1.00546
PPP1R11P1	0
RP11-293F5.8	0
RP11-293F5.1	0
NBPF2P	1.22946
HS6ST1P1	0.964015
CROCCP5	0
NBPF3	3.57849
PFN1P10	0
RP11-63N8.3	0
RP11-132G19.3	0
