Name	Ovary
DDX11L1	0
MIR6859-1	0
MIR1302-2HG	0
FAM138A	0
OR4G4P	0
OR4G11P	0
OR4F5	0
RP11-34P13.7	0.0295117
CICP27	0.0987076
RP11-34P13.14	0.423316
RP11-34P13.13	0.278667
RNU6-1100P	0
RP11-34P13.9	0
ABC7-43046700E7.1	0.056335
MIR6859-2	0
AP006222.2	0.726488
RPL23AP24	0.114394
RP5-857K21.15	0
RP4-669L17.2	0
RP4-669L17.10	0.73728
WBP1LP7	0
OR4F29	0
CICP7	0
RP4-669L17.8	0.0412332
U6	0
RP5-857K21.4	0.0676316
RP5-857K21.2	0
MTND1P23	4.94365
WBP1LP6	0
OR4F16	0
RP11-206L10.17	0
CICP3	0.2483
RP11-206L10.2	4.09246
RNU6-1199P	0
RP11-206L10.4	0
RP11-206L10.9	1.05072
RP11-206L10.8	1.30294
FAM87B	0.783862
FAM41C	0.0647125
TUBB8P11	0.0679204
FAM166AP3	0
RP11-54O7.16	0.129418
RP11-54O7.1	0.105836
RP11-54O7.2	0
RP11-54O7.3	0.611216
SAMD11	1.79942
KLHL17	3.47966
PLEKHN1	0.200732
PERM1	0.220688
RP11-54O7.17	1.91401
RP11-54O7.10	0
RP11-54O7.11	0.24169
RP11-465B22.3	0.255914
RP11-54O7.18	0.0696149
RNF223	0.044375
LINC01342	0.0422648
MIR200B	0
MIR200A	0
MIR429	0
RP11-465B22.8	0.112263
TTLL10-AS1	0.0336846
TTLL10	0.0729442
TNFRSF18	0.366594
TNFRSF4	1.9558
C1QTNF12	1.69191
RP5-902P8.12	0.963136
MIR6726	0
MIR6727	0
TAS1R3	0.939043
MIR6808	0
NDUFB4P8	0.183849
TMEM88B	0.31302
LINC01770	2.25522
ATAD3C	2.37347
RP5-832C2.5	1.01121
RP11-345P4.11	0
FNDC10	3.11952
RP11-345P4.10	0
MMP23A	1.64214
RP1-140A9.1	1.6718
CALML6	1.07103
TMEM52	2.75795
CFAP74	0.072891
RP11-547D24.1	0.0232415
GABRD	0.204064
RP11-547D24.3	0
PRKCZ	1.7735
RP5-892K4.1	0.0453729
RP11-181G12.4	0.620108
RP4-713A8.1	1.16533
RP4-740C4.5	4.28394
RP4-740C4.7	2.30836
PLCH2	0.359957
RP3-395M20.2	0
RP3-395M20.3	0
HES5	0.13086
RP3-395M20.12	0.850591
RP3-395M20.8	0.635176
RP3-395M20.7	0.662213
RP3-395M20.9	2.17708
MMEL1	0.143467
RP13-436F16.1	0
TTC34	2.0517
ABC14-1188822O7.1	0
RP11-740P5.2	0
RP11-740P5.3	0
ACTRT2	0
LINC00982	2.95209
PRDM16	2.56593
MIR4251	0
RP1-163G9.2	0
RP11-193J6.1	0
RP11-22L13.1	0.0599205
ARHGEF16	1.99232
RP11-168F9.2	0.34431
MIR551A	0
RP11-46F15.2	3.63469
TP73	0.332293
RP5-1092A11.5	0
RP5-1092A11.2	0
CCDC27	0.318921
RN7SL574P	1.88467
LINC01134	0.0796551
LINC01346	0
LINC01345	0
EEF1DP6	0
LINC01777	0
RP1-37J18.1	0
LINC01646	0
RP11-542C10.1	0
RP1-58B11.1	0
RP3-491M17.1	0
RP11-154H17.1	0.0788986
MIR4417	0
MIR4689	0
CHD5	0.585546
RP1-120G22.11	0.508923
LINC00337	0
HES3	0
HES2	0.0173845
ESPN	0.125835
MIR4252	0
RP1-202O8.2	0
RNU6-731P	0
RP11-58A11.2	0.439184
TAS1R1	0.386539
LINC01672	0
RP11-312B8.1	0.365638
RP11-312B8.2	0
RP11-334N17.1	0
RNU1-8P	0
CAMTA1-IT1	0.206087
RP3-453P22.2	0
RP4-549F15.1	0
RP11-338N10.1	0.170281
RP11-338N10.2	0.23221
RP11-338N10.3	0.45506
RP3-467L1.4	2.78028
UTS2	0
TNFRSF9	0.0169986
RP5-892F13.2	0
Y_RNA	0.398703
RP11-431K24.1	0.495106
CTA-215D11.4	0.10814
RP11-431K24.2	0
LINC01714	0
RNU1-7P	0
RP11-431K24.4	0
RNU6-991P	0
Y_RNA	0
RP5-1115A15.1	1.22572
SNORA77	0
RP5-1115A15.2	0
RPL7P11	0.159594
RPL7P7	0.129615
Y_RNA	0
RP4-633I8.3	0
RP4-633I8.4	0
RPL23AP19	0
MIR6728	0
ENO1-IT1	0.300559
ENO1-AS1	0.774429
RNU6-304P	0
HMGN2P17	0.105551
RP3-477M7.5	0
RP3-477M7.6	0
CA6	0
RN7SL451P	0
SLC2A7	0.0355251
SLC2A5	2.16975
SCARNA16	0
LINC01759	3.30644
RP3-510D11.4	0.431224
RNA5SP40	0
RP13-392I16.1	0
SLC25A33	4.88327
RP13-15M17.1	1.1524
PIK3CD-AS1	0
RP11-558F24.2	0
MZT1P1	0
RP11-84A14.7	0.031495
RP11-84A14.4	0.296481
NMNAT1	3.79132
RN7SKP269	0.174712
RP11-84A14.6	0
MIR5697	0
RP11-496H15.2	0
PGAM1P11	0.0841195
RNU6-828P	0
MIR1273D	0
RNU6-37P	0
RP4-736L20.3	0
CORT	1.90926
RN7SL614P	0.438277
CASZ1	1.6448
RP4-734G22.3	0.583912
HSPE1P24	0
C1orf127	0.0814676
CFL1P6	0
RP4-635E18.6	0.150859
MTOR-AS1	0
RNU6-537P	0
ANGPTL7	0.268113
RNU6-291P	0
RPL39P6	0
UBE2V2P3	0.224296
MTCYBP45	0
DISP3	0.12026
LINC01647	0
DRAXIN	0.0415946
C1orf167	0.0620565
RP11-56N19.5	0
NPPA-AS1	2.38889
NPPA	2.82401
NPPB	0.308606
RP5-934G17.6	0
RNU5E-1	0.369538
RNU5E-4P	0
RP5-1077B9.5	0
Y_RNA	1.96746
MIR6729	0
RN7SL649P	0
TNFRSF8	0.340741
RNU6-777P	0
RPL23AP89	0
MIR7846	0
MIR4632	0
RPL10P17	0
SNORA70	0
SNORA59A	2.60819
RP5-888M10.2	0.0994311
RNU6ATAC18P	0
MIR6730	0
RP11-474O21.5	1.74101
AADACL4	0.0467008
RP11-474O21.2	0
AADACL3	0
C1orf158	0
PRAMEF12	0
PRAMEF1	0
LINC01784	0
PRAMEF11	0
PRAMEF30P	0
HNRNPCL1	0.167948
PRAMEF2	0
PRAMEF4	0
PRAMEF10	0
PRAMEF7	0
RNU6-1072P	0
PRAMEF29P	0
PRAMEF6	0
PRAMEF28P	0
PRAMEF27	0
HNRNPCL3	0
PRAMEF25	0
PRAMEF34P	0
PRAMEF35P	0
HNRNPCL2	0.0355586
PRAMEF36P	0
RP13-221M14.2	0
PRAMEF26	0
HNRNPCL4	0
PRAMEF9	0
PRAMEF13	0
PRAMEF18	0
PRAMEF31P	0
PRAMEF5	0
PRAMEF32P	0
RNU6-771P	0
PRAMEF8	0
PRAMEF33	0
PRAMEF15	0
RP11-219C24.10	0
PRAMEF14	0
PRAMEF19	0
PRAMEF17	0
PRAMEF20	0
LRRC38	0.123624
RP4-597A16.2	0
BRWD1P1	0
RNA5SP41	0
CTA-520D8.2	0.3559
SCARNA11	0
RNU6-1265P	0
RP11-344F13.1	0
RP4-704D23.1	0
TBCAP2	0
C1orf195	0.108358
RP1-21O18.3	0
RP5-903E17.2	0
FHAD1	0.206614
RP3-467K16.2	0.250182
RP3-467K16.7	0.128946
RP3-467K16.4	0.0551975
CTRC	0.481015
CELA2A	0.807335
CELA2B	0.794955
SCARNA21	0
RP4-680D5.8	0.58462
AGMAT	0.231104
RP4-680D5.2	0.243905
CHCHD2P6	1.54603
RNU7-179P	0
CD24P1	0
RP4-680D5.9	0.629089
RP11-288I21.1	2.2797
TMEM82	0.0299736
RP11-169K16.4	0.0336894
RPL12P14	0.49069
RP11-169K16.8	3.38146
RP1-134O19.3	0
RP11-5P18.1	0.0750122
RP11-5P18.3	0
RP11-5P18.11	0
TBC1D3P6	0
C1orf64	0.0224095
CLCNKA	1.9217
RP11-5P18.10	0.248698
CLCNKB	1.5519
FAM131C	0.62554
RP11-276H7.2	0.589553
RP11-276H7.3	0.306586
ANO7L1	0.972285
MT1XP1	0.979161
RP11-430L17.1	0.278941
SPATA21	0.129196
RNU1-1	0
RP4-798A10.7	0.236898
RP4-798A10.4	0
LINC01783	0.219965
RNU1-6P	0
FAM231B	0
RP5-875O13.6	0
RP5-1182A14.5	0.192272
MST1P2	3.30083
RP1-163M9.8	0
RNU1-3	0
FAM231A	0
RP5-875O13.7	0
EIF1AXP1	0.958811
ESPNP	0.039391
RP1-163M9.7	0
FAM231C	0
RP5-1182A14.7	0
RNU1-4	0
CROCCP4	0.0954311
MST1L	1.12144
RP11-108M9.1	0
RP11-108M9.2	0
MIR3675	0
RP11-108M9.3	0.736662
RP11-108M9.5	3.31444
RNU1-2	0
RP11-108M9.6	1.00567
RP1-37C10.3	0.42162
PADI2	0.249771
RP11-380J14.1	0
RP11-380J14.4	0
PADI1	0.0396361
PADI3	0
MIR3972	0
PADI4	0.096869
PADI6	0
RP11-473A10.2	0
ACTL8	0
LINC01654	0
IGSF21	0.936203
RP11-174G17.3	0.0154641
RP11-174G17	0
RP11-422P22.1	0
KLHDC7A	0
DYNLL1P3	0
RP1-8B22.2	0
PAX7	0
TAS1R2	0
MIR4695	0
MIR1290	0
RP5-1126H10.2	2.11505
RP1-43E13.2	2.80065
AKR7L	2.15777
AKR7A3	4.67737
RP4-657E11.10	3.83578
RNU6-1099P	0.496842
RN7SL277P	0
RNU4-28P	0
RP5-1056L3.1	0
HTR6	0.0707752
RNF186	0.356023
RP11-91K11.2	0
PLA2G2E	0
RN7SL304P	0
PLA2G2D	0.0331668
PLA2G2F	0.110173
RP3-340N1.2	0.0402598
PLA2G2C	0.0223025
UBXN10-AS1	0.714534
UBXN10	0.791447
LINC01757	0
VWA5B1	0.0202312
RP4-745E8.2	0
LINC01141	0.00400383
RP4-749H3.2	0
RPS4XP4	0
FAM43B	0.196952
CDA	2.31464
KIF17	1.39738
RP5-930J4.5	0
SH2D5	1.22081
RP5-930J4.2	0
RNU7-200P	0
MIR1256	0
RPS15AP6	0
RP11-487E1.2	0
HSPE1P27	0
RP3-329E20.2	0.34686
RP5-1071N3.1	0.680377
PPP1R11P1	0
RP11-293F5.8	0
RP11-293F5.1	0
NBPF2P	1.91123
HS6ST1P1	1.10106
CROCCP5	0
