Name	Pituitary
DDX11L1	0
MIR6859-1	0
MIR1302-2HG	0
FAM138A	0
OR4G4P	0
OR4G11P	0.0287434
OR4F5	0.036633
RP11-34P13.7	0.0249412
CICP27	0.0851536
RP11-34P13.14	0.189712
RP11-34P13.13	0.180994
RNU6-1100P	0
RP11-34P13.9	0
ABC7-43046700E7.1	0.082335
MIR6859-2	0
AP006222.2	0.685132
RPL23AP24	0.0893302
RP5-857K21.15	0
RP4-669L17.2	0
RP4-669L17.10	0.303491
WBP1LP7	0
OR4F29	0.023188
CICP7	0
RP4-669L17.8	0.0356664
U6	0
RP5-857K21.4	0.0616799
RP5-857K21.2	0
WBP1LP6	0
OR4F16	0
RP11-206L10.17	0
CICP3	0.384186
RP11-206L10.2	3.58942
RNU6-1199P	0
RP11-206L10.4	0
RP11-206L10.9	2.33627
RP11-206L10.8	1.47092
FAM87B	0.725084
FAM41C	0.190396
TUBB8P11	0.223415
FAM166AP3	0.064055
RP11-54O7.16	1.79233
RP11-54O7.1	1.07147
RP11-54O7.2	0
PLEKHN1	0.600868
PERM1	0.276967
RP11-54O7.10	0.281195
RP11-54O7.11	0.647325
RP11-465B22.3	3.9384
RP11-54O7.18	0.743887
RNF223	0.113076
LINC01342	0.222304
MIR200B	1.76844
MIR200A	1.51451
MIR429	3.23708
TTLL10-AS1	0.758355
TTLL10	3.62486
TNFRSF4	3.07547
C1QTNF12	1.6183
RP5-902P8.12	0.597746
MIR6726	0
MIR6727	0
TAS1R3	3.14472
MIR6808	0
NDUFB4P8	0.315145
ANKRD65	2.84111
RP4-758J18.7	0.762767
TMEM88B	0.127914
LINC01770	1.39084
ATAD3C	3.77649
RP5-832C2.5	3.11219
RP11-345P4.11	0
MMP23B	1.07761
RP11-345P4.10	0
RP11-345P4.6	3.68802
MMP23A	1.43893
RP1-140A9.1	3.35278
CALML6	2.07722
TMEM52	2.07461
CFAP74	0.97858
RP11-547D24.1	0.30119
GABRD	3.35163
RP11-547D24.3	0.266352
RP5-892K4.1	0.260761
RP11-181G12.4	1.17335
RP4-713A8.1	1.70289
RP3-395M20.2	1.47643
RP3-395M20.3	1.4788
HES5	2.1697
RP3-395M20.8	3.2242
RP3-395M20.7	0.175695
RP3-395M20.9	0.536969
MMEL1	0.13334
RP13-436F16.1	0
TTC34	1.75239
ABC14-1188822O7.1	0.759633
RP11-740P5.2	0
RP11-740P5.3	0
ACTRT2	0
LINC00982	1.00314
PRDM16	0.357116
MIR4251	0
RP1-163G9.2	0
RP11-193J6.1	0
RP11-22L13.1	0.0201529
RP11-168F9.2	1.419
MIR551A	0
TP73	0.537134
RP5-1092A11.5	1.29592
RP5-1092A11.2	0
CCDC27	0.0497659
RN7SL574P	2.07994
LINC01134	0.564466
LINC01346	0.264931
LINC01345	0.136373
EEF1DP6	0
LINC01777	0
RP1-37J18.1	0
LINC01646	0
AJAP1	0.604158
RP11-542C10.1	0
RP1-58B11.1	0.0437037
RP3-491M17.1	0
RP11-154H17.1	0.0725619
MIR4417	0
MIR4689	0
RP1-120G22.11	3.54518
LINC00337	0.0764841
HES3	0
HES2	0.260897
MIR4252	0
RP1-202O8.2	0.297512
RNU6-731P	0
RP11-58A11.2	0.232834
TAS1R1	0.512828
LINC01672	0.0113057
RP11-312B8.1	0.95256
RP11-312B8.2	0
RP11-334N17.1	0
RNU1-8P	0
CAMTA1-IT1	0.50402
RP3-453P22.2	0
RP4-549F15.1	0
RP11-338N10.1	1.86571
RP11-338N10.2	2.38616
RP3-467L1.4	4.11104
UTS2	0.0891444
TNFRSF9	0.0541212
RP5-892F13.2	0
Y_RNA	0.399776
RP11-431K24.1	0.428864
CTA-215D11.4	0.0320646
RP11-431K24.2	0
LINC01714	0.344267
RNU1-7P	0
RP11-431K24.4	0
RNU6-991P	0
Y_RNA	0.293637
RP5-1115A15.1	0.811798
SNORA77	0
RP5-1115A15.2	0
RPL7P11	0.046147
RPL7P7	0.0627245
Y_RNA	0
RP4-633I8.3	0
RP4-633I8.4	0
RPL23AP19	0
MIR6728	0
ENO1-IT1	0.175593
ENO1-AS1	2.76155
RNU6-304P	0
HMGN2P17	0.0796652
RP3-477M7.5	0
RP3-477M7.6	0
CA6	0.0839479
RN7SL451P	0
SLC2A7	0
SLC2A5	1.88514
SCARNA16	0
GPR157	2.49841
LINC01759	1.5636
RP3-510D11.4	0.175097
RNA5SP40	0
RP13-392I16.1	0
RP13-15M17.1	1.25167
PIK3CD-AS1	0
RP11-558F24.2	0
MZT1P1	0
RP11-84A14.7	0.0793413
RP11-84A14.4	0.81151
NMNAT1	4.54592
RN7SKP269	0.289106
RP11-84A14.6	0
MIR5697	0
RP11-496H15.2	0
PGAM1P11	0.0592165
RNU6-828P	0
MIR1273D	0
RNU6-37P	0
RP4-736L20.3	0
RN7SL614P	0.383502
CASZ1	3.51135
RP4-734G22.3	0.761095
HSPE1P24	0
C1orf127	0.360668
CFL1P6	0.77494
RP4-635E18.6	1.37664
MTOR-AS1	0.0851316
RNU6-537P	0
RNU6-291P	0
RPL39P6	0
UBE2V2P3	0.0756347
MTCYBP45	0
DISP3	3.42658
LINC01647	0
DRAXIN	0.029913
C1orf167	0.0588085
RP11-56N19.5	0
NPPB	0.514502
RP5-934G17.6	0.0248754
RNU5E-1	0.379794
RNU5E-4P	0
RP5-1077B9.5	0
Y_RNA	0.292787
MIR6729	0
RN7SL649P	0
TNFRSF8	0.0999107
RNU6-777P	0
RPL23AP89	0
MIR7846	0
MIR4632	0
RPL10P17	0
SNORA70	0
SNORA59A	2.02015
RP5-888M10.2	0.104566
RNU6ATAC18P	0.460061
MIR6730	0
RP11-474O21.5	2.78832
AADACL4	0.0653694
RP11-474O21.2	0
AADACL3	0
C1orf158	0.288652
PRAMEF12	0
PRAMEF1	0
LINC01784	0
PRAMEF11	0
PRAMEF30P	0
HNRNPCL1	0.0961776
PRAMEF2	0
PRAMEF4	0
PRAMEF10	0
PRAMEF7	0
RNU6-1072P	0
PRAMEF29P	0
PRAMEF6	0
PRAMEF28P	0
PRAMEF27	0
HNRNPCL3	0
PRAMEF25	0
PRAMEF34P	0
PRAMEF35P	0
HNRNPCL2	0
PRAMEF36P	0
RP13-221M14.2	0
PRAMEF26	0
HNRNPCL4	0
PRAMEF9	0
PRAMEF13	0
PRAMEF18	0
PRAMEF31P	0
PRAMEF5	0
PRAMEF32P	0
RNU6-771P	0
PRAMEF8	0
PRAMEF33	0
PRAMEF15	0
RP11-219C24.10	0
PRAMEF14	0
PRAMEF19	0
PRAMEF17	0
PRAMEF20	0
LRRC38	0.0721414
RP4-597A16.2	0
BRWD1P1	0
PDPN	2.95363
RNA5SP41	0
CTA-520D8.2	0
SCARNA11	0
KAZN	4.44667
RNU6-1265P	0
RP11-344F13.1	0
RP4-704D23.1	0
TBCAP2	0
TMEM51-AS1	1.7792
C1orf195	0
RP1-21O18.3	0
RP5-903E17.2	0
FHAD1	0.580852
RP3-467K16.2	0.810358
RP3-467K16.7	0.239076
RP3-467K16.4	0.457136
CTRC	0.441768
CELA2A	0.626532
CELA2B	0.360963
SCARNA21	0
RP4-680D5.8	0.488025
AGMAT	0.738774
RP4-680D5.2	0.634057
CHCHD2P6	2.36739
RNU7-179P	0
CD24P1	0
RP4-680D5.9	0.234372
RP11-288I21.1	1.17568
TMEM82	0
RP11-169K16.4	0
RPL12P14	0.158082
UQCRHL	4.82161
RP11-169K16.8	0.815862
RP1-134O19.3	0
RP11-5P18.1	0
RP11-5P18.3	0
RP11-5P18.11	0
TBC1D3P6	0
C1orf64	0.0129103
RP11-5P18.10	2.2231
CLCNKB	3.28639
RP11-276H7.2	0.45505
RP11-276H7.3	0.225222
ARHGEF19	3.66117
ANO7L1	0.635579
MT1XP1	1.0761
RP11-430L17.1	0.10884
SPATA21	0.0429728
LINC01772	3.98545
RNU1-1	0
RP4-798A10.7	1.0154
RP4-798A10.4	0
LINC01783	0.170779
RNU1-6P	0
FAM231B	0
RP5-875O13.6	0
NBPF1	4.02035
RP5-1182A14.5	0
RP1-163M9.8	0
RNU1-3	0
FAM231A	0
RP5-875O13.7	0.239072
EIF1AXP1	0.576796
ESPNP	0.41774
RP1-163M9.7	0
FAM231C	0
RP5-1182A14.7	0
RNU1-4	0
CROCCP4	0
MST1L	2.23546
RP11-108M9.1	0
RP11-108M9.2	0
MIR3675	0
RP11-108M9.3	0.336908
RP11-108M9.5	2.82341
RNU1-2	0
RP11-108M9.6	0.839766
RP1-37C10.3	0.148627
PADI2	4.09305
RP11-380J14.1	0.106193
RP11-380J14.4	0
PADI1	0.0380244
PADI3	0.0634196
MIR3972	0
PADI4	0.247812
PADI6	0
RP11-473A10.2	0
ACTL8	0
LINC01654	0
IGSF21	1.79652
RP11-174G17.3	0.045916
RP11-174G17	0
RP11-422P22.1	1.06649
KLHDC7A	0.0749158
DYNLL1P3	0
RP1-8B22.2	0
PAX7	0.0289794
TAS1R2	0
MIR4695	0
MIR1290	0
RP5-1126H10.2	4.11422
RP1-43E13.2	1.3284
AKR7L	1.92659
AKR7A3	3.91962
RP4-657E11.10	1.94523
RNU6-1099P	0.314152
RN7SL277P	0
RNU4-28P	0
RP5-1056L3.1	0
HTR6	0.233048
RNF186	0
RP11-91K11.2	0
PLA2G2E	0
RN7SL304P	0
PLA2G2A	3.59147
PLA2G5	0.135694
PLA2G2D	0.0333151
PLA2G2F	0
RP3-340N1.2	0.0865583
PLA2G2C	0.0515291
UBXN10-AS1	3.33466
LINC01757	0
RP4-745E8.2	0
LINC01141	0.078814
RP4-749H3.2	0
RPS4XP4	0
FAM43B	1.35687
CDA	2.0976
KIF17	1.99546
RP5-930J4.5	0
SH2D5	0.414873
RP5-930J4.2	0
RNU7-200P	0
MIR1256	0
RPS15AP6	0.213715
RP11-487E1.2	0
HSPE1P27	0
RP3-329E20.2	0.427207
RP5-1071N3.1	1.09991
PPP1R11P1	0
RP11-293F5.8	0
RP11-293F5.1	0
NBPF2P	2.18496
HS6ST1P1	0.459647
CROCCP5	0
NBPF3	4.43369
PFN1P10	0
RP11-63N8.3	0.0857653
RP11-132G19.3	0
LDLRAD2	2.0056
RP11-26H16.1	0.107285
RP11-26H16.4	0
CELA3B	0.768073
