Name	Prostate
DDX11L1	0
MIR6859-1	0
MIR1302-2HG	0
FAM138A	0
OR4G4P	0.0205405
OR4G11P	0.0423377
OR4F5	0.0430292
RP11-34P13.7	0.0285258
CICP27	0.0635053
RP11-34P13.14	0.399476
RP11-34P13.13	0.201075
RNU6-1100P	0
RP11-34P13.9	0
ABC7-43046700E7.1	0.132041
MIR6859-2	0
AP006222.2	0.471364
RPL23AP24	0.0967904
RP5-857K21.15	0
RP4-669L17.2	0
RP4-669L17.10	0.304628
WBP1LP7	0.0872693
OR4F29	0.0337405
CICP7	0
RP4-669L17.8	0.0383926
U6	0
RP5-857K21.4	0.0408066
RP5-857K21.2	0
WBP1LP6	0
OR4F16	0
RP11-206L10.17	0
CICP3	0.165372
RP11-206L10.2	3.44655
RNU6-1199P	0
RP11-206L10.4	0
RP11-206L10.9	0.917624
RP11-206L10.8	1.64887
FAM87B	0.714588
FAM41C	0.0818491
TUBB8P11	0.0897227
FAM166AP3	0
RP11-54O7.16	1.40352
RP11-54O7.1	0.844267
RP11-54O7.2	0
PERM1	2.6118
RP11-54O7.10	0.306323
RP11-54O7.11	0.878574
RP11-465B22.3	1.82764
RP11-54O7.18	0.1119
RNF223	0.643293
LINC01342	0.36156
MIR200B	0.569302
MIR200A	0.484621
MIR429	1.43667
TTLL10-AS1	0.166742
TTLL10	0.630598
TNFRSF18	3.37094
C1QTNF12	1.89315
RP5-902P8.12	0.731352
MIR6726	0
MIR6727	0
TAS1R3	0.762484
MIR6808	0
NDUFB4P8	0.270951
RP4-758J18.7	4.71436
TMEM88B	0.430597
RP5-832C2.5	1.0286
RP11-345P4.11	0
FNDC10	1.69527
MMP23B	2.11268
RP11-345P4.10	0
RP11-345P4.6	3.74475
MMP23A	0.957506
RP1-140A9.1	1.54357
CALML6	4.04448
TMEM52	1.33267
CFAP74	0.140695
RP11-547D24.1	0.0446023
GABRD	0.315463
RP11-547D24.3	0
RP5-892K4.1	0.174512
RP11-181G12.4	0.8609
MORN1	3.33022
RP4-713A8.1	0.991342
RP4-740C4.7	3.074
RP3-395M20.2	2.24959
RP3-395M20.3	2.4719
HES5	0.506063
RP3-395M20.12	3.34059
RP3-395M20.7	0.458718
RP3-395M20.9	1.89871
MMEL1	0.943877
RP13-436F16.1	0
TTC34	1.24735
ABC14-1188822O7.1	0
RP11-740P5.2	0
RP11-740P5.3	0
ACTRT2	0
LINC00982	1.29615
PRDM16	1.11338
MIR4251	0
RP1-163G9.2	0
RP11-193J6.1	0
RP11-22L13.1	0.0100112
RP11-168F9.2	1.10932
MIR551A	0
TP73	4.68097
RP5-1092A11.5	0
RP5-1092A11.2	0
CCDC27	0.0621537
RN7SL574P	1.3702
LINC01134	0.452108
LINC01346	0.172349
LINC01345	0.481688
EEF1DP6	0
LINC01777	0
RP1-37J18.1	0
LINC01646	0
AJAP1	1.09603
RP11-542C10.1	0
RP1-58B11.1	0.031088
RP3-491M17.1	0
RP11-154H17.1	0.0384868
MIR4417	0
MIR4689	0
CHD5	1.16959
RP1-120G22.11	1.92256
LINC00337	0.0504415
HES3	0
HES2	1.36648
ESPN	4.01886
MIR4252	0
RP1-202O8.2	0.119864
RNU6-731P	0
RP11-58A11.2	0.192004
TAS1R1	0.132501
LINC01672	0
RP11-312B8.1	0.458491
RP11-312B8.2	0
RP11-334N17.1	0
RNU1-8P	0
CAMTA1-IT1	0.10924
RP3-453P22.2	0
RP4-549F15.1	0.117005
RP11-338N10.1	0.380765
RP11-338N10.2	0.989299
RP11-338N10.3	1.69351
RP3-467L1.6	4.75556
RP3-467L1.4	1.80841
UTS2	0.285858
TNFRSF9	0.0409725
RP5-892F13.2	0
Y_RNA	0.4806
RP11-431K24.1	0.373078
CTA-215D11.4	0.0450226
RP11-431K24.2	0
LINC01714	0.0618392
RNU1-7P	0
RP11-431K24.4	0
RNU6-991P	0
Y_RNA	0.279122
RP5-1115A15.1	2.16805
SNORA77	0.362531
RP5-1115A15.2	0.216113
RPL7P11	0.0582361
RPL7P7	0.0873449
Y_RNA	0
RP4-633I8.3	0
RP4-633I8.4	0
RPL23AP19	0
MIR6728	0
ENO1-IT1	0.220014
ENO1-AS1	1.1747
RNU6-304P	0
HMGN2P17	0.0710045
RP3-477M7.5	0
RP3-477M7.6	0
CA6	0
RN7SL451P	0
SLC2A7	0.0468071
SCARNA16	0
LINC01759	3.88909
RP3-510D11.4	0.410674
RNA5SP40	0
RP13-392I16.1	0
RP13-15M17.1	0.743915
PIK3CD-AS1	0.0285967
RP11-558F24.2	0
PIK3CD-AS2	3.56462
MZT1P1	0
RP11-84A14.7	0.136257
RP11-84A14.4	0.481353
NMNAT1	4.95291
RN7SKP269	0.243042
RP11-84A14.6	0
MIR5697	0
RP11-496H15.2	0
PGAM1P11	0.110573
RNU6-828P	0
MIR1273D	0
RNU6-37P	0
RP4-736L20.3	0
CORT	2.86714
RN7SL614P	0.433487
HSPE1P24	0
C1orf127	0.146445
CFL1P6	0.235255
MASP2	3.74496
RP4-635E18.6	0.732711
MTOR-AS1	0
RNU6-537P	0
ANGPTL7	3.92268
RNU6-291P	0
RPL39P6	0
UBE2V2P3	0.0869295
MTCYBP45	0
DISP3	0.489598
LINC01647	0
DRAXIN	0.0820968
C1orf167	0.014544
RP11-56N19.5	0
NPPB	0.214641
RP5-934G17.6	0.0305334
RNU5E-1	0
RNU5E-4P	0
RP5-1077B9.5	0
Y_RNA	0.778514
MIR6729	0
RN7SL649P	0
TNFRSF8	0.332143
RNU6-777P	0
RPL23AP89	0
MIR7846	0
MIR4632	0
RPL10P17	0
SNORA70	0
SNORA59A	4.29482
RP5-888M10.2	0.131035
RNU6ATAC18P	1.70672
MIR6730	0
AADACL4	0.457763
RP11-474O21.2	0
AADACL3	0
C1orf158	0.0107305
PRAMEF12	0
PRAMEF1	0
LINC01784	0
PRAMEF11	0
PRAMEF30P	0
HNRNPCL1	0.0845888
PRAMEF2	0
PRAMEF4	0
PRAMEF10	0
PRAMEF7	0
RNU6-1072P	0
PRAMEF29P	0
PRAMEF6	0
PRAMEF28P	0
PRAMEF27	0
HNRNPCL3	0
PRAMEF25	0
PRAMEF34P	0
PRAMEF35P	0
HNRNPCL2	0
PRAMEF36P	0
RP13-221M14.2	0
PRAMEF26	0
HNRNPCL4	0
PRAMEF9	0
PRAMEF13	0
PRAMEF18	0
PRAMEF31P	0
PRAMEF5	0
PRAMEF32P	0
RNU6-771P	0
PRAMEF8	0
PRAMEF33	0
PRAMEF15	0
RP11-219C24.10	0
PRAMEF14	0
PRAMEF19	0
PRAMEF17	0
PRAMEF20	0
LRRC38	0.0443872
RP4-597A16.2	0
BRWD1P1	0
RNA5SP41	0
CTA-520D8.2	0.0991945
SCARNA11	0
RNU6-1265P	0
RP11-344F13.1	0
RP4-704D23.1	0
TBCAP2	0
TMEM51-AS1	3.32231
C1orf195	0.067473
RP1-21O18.3	0
RP5-903E17.2	0
FHAD1	0.345533
RP3-467K16.2	1.21089
RP3-467K16.7	0.262943
RP3-467K16.4	0.142981
CTRC	0.516381
CELA2A	0.447242
CELA2B	0.235221
SCARNA21	0
RP4-680D5.8	0.61215
AGMAT	0.672554
RP4-680D5.2	0.261176
CHCHD2P6	1.7566
RNU7-179P	0
CD24P1	0
RP4-680D5.9	0.137047
RP11-288I21.1	1.49173
SLC25A34	4.70125
TMEM82	0.0262355
RP11-169K16.4	0.174281
RPL12P14	0.352086
UQCRHL	4.90226
RP11-169K16.8	1.22584
RP1-134O19.3	0
RP11-5P18.1	0
RP11-5P18.3	0
RP11-5P18.11	0
TBC1D3P6	0
C1orf64	0.234543
CLCNKA	1.49793
RP11-5P18.10	0.0758556
CLCNKB	0.807271
FAM131C	0.379615
RP11-276H7.2	0.901395
RP11-276H7.3	0.4391
ANO7L1	0.545326
MT1XP1	1.36868
RP11-430L17.1	0.164637
SPATA21	0.0630332
LINC01772	3.73743
RNU1-1	0
RP4-798A10.7	0.428545
RP4-798A10.4	0
LINC01783	0.106237
RNU1-6P	0
FAM231B	0
RP5-875O13.6	0
NBPF1	4.75355
RP5-1182A14.5	0
RP1-163M9.8	0
RNU1-3	0
FAM231A	0
RP5-875O13.7	0
EIF1AXP1	0.442493
ESPNP	0.0424829
RP1-163M9.7	0
FAM231C	0
RP5-1182A14.7	0
RNU1-4	0
CROCCP4	0
MST1L	2.35872
RP11-108M9.1	0
RP11-108M9.2	0
MIR3675	0
RP11-108M9.3	0.149497
RP11-108M9.5	2.93632
RNU1-2	0
RP11-108M9.6	0.517311
RP1-37C10.3	0.19771
PADI2	2.17172
RP11-380J14.1	0.0320346
RP11-380J14.4	0
PADI1	0.184025
PADI3	0.41709
MIR3972	0
PADI4	0.242098
PADI6	0
RP11-473A10.2	0
ACTL8	0
LINC01654	0
IGSF21	4.11372
RP11-174G17.3	0.0910109
RP11-174G17	0
RP11-422P22.1	0
KLHDC7A	0.244373
DYNLL1P3	0
RP1-8B22.2	0
PAX7	0
TAS1R2	0
MIR4695	0
MIR1290	0
RP5-1126H10.2	2.65992
RP1-43E13.2	1.71705
AKR7L	1.41273
AKR7A3	3.17725
RP4-657E11.10	1.68572
RNU6-1099P	0.322505
RN7SL277P	0
RNU4-28P	0
RP5-1056L3.1	0.202539
HTR6	0.0997859
RNF186	0.173197
RP11-91K11.2	0
PLA2G2E	0
RN7SL304P	0
PLA2G2D	0.0713313
PLA2G2F	0.27301
RP3-340N1.2	0.0731079
PLA2G2C	0.332777
UBXN10	2.78102
LINC01757	0
VWA5B1	0.0455941
RP4-745E8.2	0
LINC01141	0.0532616
RP4-749H3.2	0
RPS4XP4	0
FAM43B	1.31497
PINK1-AS	4.52519
KIF17	1.87565
RP5-930J4.5	0
SH2D5	0.774493
RP5-930J4.2	0
RNU7-200P	0
MIR1256	0
RPS15AP6	0.214838
RP11-487E1.2	0
HSPE1P27	0
RP3-329E20.2	0.110312
RP5-1071N3.1	0.595694
PPP1R11P1	0
RP11-293F5.8	0
RP11-293F5.1	0
NBPF2P	1.29182
HS6ST1P1	1.04205
CROCCP5	0
NBPF3	3.21208
PFN1P10	0
RP11-63N8.3	0
RP11-132G19.3	0
RP11-26H16.1	0.168507
RP11-26H16.4	0
