Name	Skin - Not Sun Exposed (Suprapubic)
DDX11L1	0
MIR6859-1	0
MIR1302-2HG	0
FAM138A	0
OR4G4P	0.0267156
OR4G11P	0.0430173
OR4F5	0.0488484
RP11-34P13.7	0.0189649
CICP27	0.0263983
RP11-34P13.14	0.166385
RP11-34P13.13	0.141932
RNU6-1100P	0
RP11-34P13.9	0
ABC7-43046700E7.1	0.0483274
MIR6859-2	0
AP006222.2	0.453604
RPL23AP24	0
RP5-857K21.15	0
RP4-669L17.2	0
RP4-669L17.10	0.183935
WBP1LP7	0
OR4F29	0.0366222
CICP7	0
RP4-669L17.8	0.030391
U6	0
RP5-857K21.4	0.043683
RP5-857K21.2	0
WBP1LP6	0
OR4F16	0.0336622
RP11-206L10.17	0
CICP3	0.0964484
RP11-206L10.2	2.90756
RNU6-1199P	0
RP11-206L10.4	0
RP11-206L10.9	0.811547
RP11-206L10.8	1.98429
FAM87B	0.72338
LINC01128	3.60733
LINC00115	4.15551
FAM41C	0.33911
TUBB8P11	0.243233
FAM166AP3	0
RP11-54O7.16	0.347809
RP11-54O7.1	0.301902
RP11-54O7.2	0
RP11-54O7.3	0.840421
SAMD11	0.531438
RP11-54O7.17	4.61307
RP11-54O7.10	0
RP11-54O7.11	0.53654
RP11-465B22.3	2.5184
RP11-54O7.18	0.224614
RNF223	3.87073
LINC01342	0.0649029
MIR200B	0.896069
MIR200A	0.513621
MIR429	0.828399
TTLL10-AS1	0.147552
TTLL10	0.407437
TNFRSF4	1.87947
RP5-902P8.12	1.25608
LINC01786	2.47431
MIR6726	0
MIR6727	0
TAS1R3	0.634737
MIR6808	0
NDUFB4P8	0.236253
RP4-758J18.13	2.56049
RP4-758J18.7	3.0399
TMEM88B	0.99656
LINC01770	2.12973
ATAD3C	1.19372
TMEM240	1.9606
RP5-832C2.5	0.695245
RP11-345P4.11	0
MMP23B	0.357289
RP11-345P4.10	0
RP11-345P4.6	3.20953
MMP23A	0.45187
SLC35E2	4.59269
RP1-140A9.1	0.686284
CALML6	2.17859
TMEM52	3.41428
CFAP74	0.070808
RP11-547D24.1	0.146217
GABRD	0.671883
RP11-547D24.3	0
RP5-892K4.1	0.115367
RP11-181G12.4	0.484037
MORN1	1.66195
RP4-713A8.1	0.161922
RP4-740C4.5	2.40817
RP4-740C4.7	2.60069
RP3-395M20.2	2.09517
RP3-395M20.3	1.99473
HES5	3.97603
RP3-395M20.8	1.04683
RP3-395M20.7	0.251275
RP3-395M20.9	0.754591
MMEL1	0.259678
RP13-436F16.1	0
TTC34	0.261272
ABC14-1188822O7.1	0.0394899
RP11-740P5.2	0
RP11-740P5.3	0
ACTRT2	0
LINC00982	0.520659
PRDM16	0.547742
MIR4251	0
RP1-163G9.2	0
RP11-193J6.1	0
RP11-22L13.1	0
RP11-168F9.2	0.797609
MIR551A	0
RP11-46F15.2	1.16394
RP5-1092A11.5	0
RP5-1092A11.2	0
CCDC27	0
SMIM1	1.64474
RN7SL574P	0.460645
RP1-286D6.5	4.36168
DFFB	2.97032
LINC01134	0.12673
LINC01346	0
LINC01345	0
EEF1DP6	0
LINC01777	0
RP1-37J18.1	0
LINC01646	0
AJAP1	0.277223
RP11-542C10.1	0
RP1-58B11.1	0
RP3-491M17.1	0
RP11-154H17.1	0
MIR4417	0
MIR4689	0
CHD5	0.226466
RP1-120G22.11	0.453774
RNF207	3.64488
LINC00337	0.0552011
HES3	0
MIR4252	0
RP1-202O8.2	1.02777
RNU6-731P	0
RP11-58A11.2	0.498092
TAS1R1	0.825895
LINC01672	0
RP11-312B8.1	0.197379
CAMTA1	4.75011
RP11-312B8.2	0
RP11-334N17.1	0
RNU1-8P	0
CAMTA1-IT1	0.105162
RP3-453P22.2	0
RP4-549F15.1	0
RP11-338N10.1	0.154529
RP11-338N10.2	0.506836
RP11-338N10.3	0.958533
RP3-467L1.4	1.775
UTS2	0.0396189
TNFRSF9	0.0406923
RP5-892F13.2	0
Y_RNA	0
RP11-431K24.1	0.0600822
CTA-215D11.4	0.0604971
RP11-431K24.2	0
LINC01714	0
RNU1-7P	0
RP11-431K24.4	0
RNU6-991P	0
SLC45A1	1.55295
Y_RNA	0
RP5-1115A15.1	0.549293
SNORA77	0
RP5-1115A15.2	0
RPL7P11	0.0824896
RPL7P7	0.0704163
Y_RNA	0
RP4-633I8.3	0
RP4-633I8.4	0
RPL23AP19	0
MIR6728	0
ENO1-IT1	0.819554
ENO1-AS1	0.57625
RNU6-304P	0
HMGN2P17	0.0595675
RP3-477M7.5	0
RP3-477M7.6	0
RN7SL451P	0.248886
SLC2A7	0
SLC2A5	1.34683
SCARNA16	0
LINC01759	1.30855
RP3-510D11.4	0.201528
RNA5SP40	0
RP13-392I16.1	0
SLC25A33	3.65819
RP13-15M17.1	0.722977
PIK3CD	4.39521
PIK3CD-AS1	0
RP11-558F24.2	0
PIK3CD-AS2	1.24163
MZT1P1	0
RP11-84A14.7	0.15144
RP11-84A14.4	0.303381
NMNAT1	3.79692
RN7SKP269	0.23633
RP11-84A14.6	0
MIR5697	0
RP11-496H15.2	0.17278
PGAM1P11	0.423425
RNU6-828P	0
MIR1273D	0
RNU6-37P	0
RP4-736L20.3	0
CENPS	4.48007
CORT	0.922774
RN7SL614P	0.493463
HSPE1P24	0
C1orf127	0.0829545
CFL1P6	0.159541
RP4-635E18.6	0.524821
MTOR-AS1	0.0916239
RNU6-537P	0
ANGPTL7	4.20651
RNU6-291P	0
RPL39P6	0
UBE2V2P3	0.194778
MTCYBP45	0
DISP3	0.0301999
LINC01647	0
DRAXIN	0.0926686
C1orf167	0.0159764
RP11-56N19.5	0
NPPA-AS1	1.73489
NPPA	3.3183
NPPB	0.327214
RP5-934G17.6	0
RNU5E-1	0.190633
RNU5E-4P	0
RP5-1077B9.5	0
Y_RNA	0.195449
MIR6729	0
RN7SL649P	0
TNFRSF8	0.758891
RNU6-777P	0
RPL23AP89	0
MIR7846	0
MIR4632	0
RPL10P17	0
SNORA70	0
RP5-888M10.2	0.110403
RNU6ATAC18P	0.46299
MIR6730	0
RP11-474O21.5	0.896456
AADACL4	0
RP11-474O21.2	0
AADACL3	0.333601
C1orf158	0.0382548
PRAMEF12	0
PRAMEF1	0
LINC01784	0
PRAMEF11	0
PRAMEF30P	0
HNRNPCL1	0.0672523
PRAMEF2	0
PRAMEF4	0
PRAMEF10	0
PRAMEF7	0
RNU6-1072P	0
PRAMEF29P	0
PRAMEF6	0
PRAMEF28P	0
PRAMEF27	0
HNRNPCL3	0
PRAMEF25	0
PRAMEF34P	0
PRAMEF35P	0
HNRNPCL2	0
PRAMEF36P	0
RP13-221M14.2	0
PRAMEF26	0
HNRNPCL4	0
PRAMEF9	0
PRAMEF13	0
PRAMEF18	0
PRAMEF31P	0
PRAMEF5	0
PRAMEF32P	0
RNU6-771P	0
PRAMEF8	0
PRAMEF33	0
PRAMEF15	0
RP11-219C24.10	0
PRAMEF14	0
PRAMEF19	0
PRAMEF17	0
PRAMEF20	0
LRRC38	1.58584
RP4-597A16.2	0
BRWD1P1	0
RNA5SP41	0
CTA-520D8.2	0
SCARNA11	0
RNU6-1265P	0
RP11-344F13.1	0
RP4-704D23.1	0
TBCAP2	0
TMEM51-AS1	1.02751
C1orf195	0
RP1-21O18.3	0
RP5-903E17.2	0
FHAD1	0.0626367
RP3-467K16.2	0.033092
RP3-467K16.7	0
RP3-467K16.4	0.0260431
CTRC	0.323588
CELA2A	0.135839
CELA2B	0.113696
CASP9	3.96534
SCARNA21	0
RP4-680D5.8	0.193001
AGMAT	0.189078
RP4-680D5.2	0.0548412
CHCHD2P6	1.06802
RNU7-179P	0
CD24P1	0
RP4-680D5.9	0
RP11-288I21.1	1.67087
SLC25A34	2.69222
TMEM82	0
RP11-169K16.4	0
RPL12P14	0.296212
UQCRHL	4.86522
RP11-169K16.8	1.84985
FLJ37453	3.99347
RP1-134O19.3	0
RP11-5P18.1	0
RP11-5P18.3	0
RP11-5P18.11	0
TBC1D3P6	0
C1orf64	0.0232647
CLCNKA	0.720382
RP11-5P18.10	0.620692
CLCNKB	0.137554
FAM131C	2.64355
RP11-276H7.2	1.86567
RP11-276H7.3	0.969704
ANO7L1	3.75898
MT1XP1	3.78955
RP11-430L17.1	0.23928
SPATA21	0.0499672
LINC01772	2.12199
CROCCP3	2.98909
RNU1-1	0
RP4-798A10.7	0.363716
RP4-798A10.4	0
LINC01783	0.046491
RNU1-6P	0
FAM231B	0
RP5-875O13.6	0
NBPF1	2.42015
RP5-1182A14.5	0
RP1-163M9.8	0
RNU1-3	0
FAM231A	0
RP5-875O13.7	0.0430682
EIF1AXP1	0.756634
ESPNP	0.107613
RP1-163M9.7	0
FAM231C	0
RP5-1182A14.7	0
RNU1-4	0
CROCCP4	0
MST1L	2.42068
RP11-108M9.1	0
RP11-108M9.2	0
MIR3675	0
RP11-108M9.3	0.0850868
RP11-108M9.5	2.39129
RNU1-2	0
RP11-108M9.6	0.387557
RP1-37C10.3	0.120303
RP11-380J14.1	0.152571
RP11-380J14.4	0
PADI3	0.539426
MIR3972	0
PADI4	0.114668
PADI6	0
RP11-473A10.2	0
ACTL8	0
LINC01654	0
IGSF21	1.10224
RP11-174G17.3	0.0235309
RP11-174G17	0
RP11-422P22.1	0
KLHDC7A	0.0589502
DYNLL1P3	0
RP1-8B22.2	0
PAX7	0.0207418
TAS1R2	0.161759
MIR4695	0
MIR1290	0
RP5-1126H10.2	1.80961
RP1-43E13.2	0.945894
AKR7L	1.74212
AKR7A3	3.3127
RP4-657E11.10	2.75707
RNU6-1099P	0
RN7SL277P	0
RNU4-28P	0
RP5-1056L3.1	0
HTR6	0.0825581
RNF186	0.0396566
RP11-91K11.2	0
PLA2G2E	0
RN7SL304P	0
PLA2G5	1.13472
PLA2G2D	0.0201446
RP3-340N1.2	0.0410771
PLA2G2C	0.0231125
UBXN10-AS1	0.54376
UBXN10	0.94882
LINC01757	0
VWA5B1	0.0276988
RP4-745E8.2	0
LINC01141	0
RP4-749H3.2	0
RPS4XP4	0
FAM43B	0.355829
PINK1-AS	3.85388
KIF17	0.929908
RP5-930J4.5	0
SH2D5	0.145128
RP5-930J4.2	0
RNU7-200P	0
MIR1256	0
