Name	Skin - Sun Exposed (Lower leg)
DDX11L1	0
MIR6859-1	0
MIR1302-2HG	0
FAM138A	0
OR4G4P	0
OR4G11P	0.042041
OR4F5	0.046424
RP11-34P13.7	0.0191867
CICP27	0.0263476
RP11-34P13.14	0.17262
RP11-34P13.13	0.165815
RNU6-1100P	0
RP11-34P13.9	0
ABC7-43046700E7.1	0.0624332
MIR6859-2	0
AP006222.2	0.615448
RPL23AP24	0
RP5-857K21.15	0
RP4-669L17.2	0
RP4-669L17.10	0.183458
WBP1LP7	0
OR4F29	0.0375035
CICP7	0
RP4-669L17.8	0.0314353
U6	0
RP5-857K21.4	0.0473625
RP5-857K21.2	0
WBP1LP6	0
OR4F16	0.0285813
RP11-206L10.17	0
CICP3	0.0940304
RP11-206L10.2	3.2434
RNU6-1199P	0
RP11-206L10.4	0
RP11-206L10.9	0.935635
RP11-206L10.8	2.25171
FAM87B	0.95519
LINC01128	3.8944
LINC00115	4.32534
FAM41C	0.214828
TUBB8P11	0.171548
FAM166AP3	0
RP11-54O7.16	0.31982
RP11-54O7.1	0.328334
RP11-54O7.2	0
RP11-54O7.3	1.49323
SAMD11	0.793609
RP11-54O7.17	4.57134
RP11-54O7.10	0.21265
RP11-54O7.11	0.543049
RP11-465B22.3	2.75501
RP11-54O7.18	0.181615
LINC01342	0.0757891
MIR200B	0.497349
MIR200A	0.368626
MIR429	0.539366
TTLL10-AS1	0.12245
TTLL10	0.385649
TNFRSF4	1.92813
RP5-902P8.12	1.27888
LINC01786	2.04535
SCNN1D	4.67862
MIR6726	0
MIR6727	0
TAS1R3	0.712587
MIR6808	0
NDUFB4P8	0.241602
RP4-758J18.13	3.71933
RP4-758J18.7	2.37749
TMEM88B	0.693592
LINC01770	2.18376
ATAD3C	1.29292
TMEM240	2.11526
RP5-832C2.5	0.999491
RP11-345P4.11	0
MMP23B	0.356665
RP11-345P4.10	0
RP11-345P4.6	3.17603
MMP23A	0.337369
RP1-140A9.1	0.651605
CALML6	2.20068
TMEM52	3.18381
CFAP74	0.0830034
RP11-547D24.1	0.106281
GABRD	0.593263
RP11-547D24.3	0
RP5-892K4.1	0.109889
RP11-181G12.4	0.729241
MORN1	1.66803
RP4-713A8.1	0.178458
RP4-740C4.5	2.36599
RP4-740C4.7	2.25782
RP3-395M20.2	1.79012
RP3-395M20.3	1.72511
RP3-395M20.8	0.977641
RP3-395M20.7	0.267638
RP3-395M20.9	0.955978
MMEL1	0.248522
RP13-436F16.1	0
TTC34	0.314391
ABC14-1188822O7.1	0
RP11-740P5.2	0
RP11-740P5.3	0
ACTRT2	0
LINC00982	0.647481
PRDM16	0.815453
MIR4251	0
RP1-163G9.2	0
RP11-193J6.1	0
RP11-22L13.1	0
RP11-168F9.2	0.691172
MIR551A	0
RP11-46F15.2	1.96157
RP5-1092A11.5	0
RP5-1092A11.2	0
CCDC27	0
SMIM1	1.76989
RN7SL574P	0.421143
RP1-286D6.5	4.58898
DFFB	3.07337
LINC01134	0.101533
LINC01346	0
LINC01345	0
EEF1DP6	0
LINC01777	0
RP1-37J18.1	0
LINC01646	0
AJAP1	0.470264
RP11-542C10.1	0
RP1-58B11.1	0
RP3-491M17.1	0
RP11-154H17.1	0
MIR4417	0
MIR4689	0
CHD5	0.312955
RP1-120G22.11	0.492819
RNF207	2.74444
LINC00337	0.0682496
HES3	0
MIR4252	0
RP1-202O8.2	0.895526
RNU6-731P	0
RP11-58A11.2	0.40293
TAS1R1	0.4308
LINC01672	0
RP11-312B8.1	0.223995
CAMTA1	4.76834
RP11-312B8.2	0
RP11-334N17.1	0
RNU1-8P	0
CAMTA1-IT1	0.119597
RP3-453P22.2	0
RP4-549F15.1	0
RP11-338N10.1	0.167579
RP11-338N10.2	0.487149
RP11-338N10.3	0.804222
RP3-467L1.6	4.3361
RP3-467L1.4	2.01743
UTS2	0.0400612
TNFRSF9	0.0288518
RP5-892F13.2	0
Y_RNA	0
RP11-431K24.1	0.106423
CTA-215D11.4	0.0531192
RP11-431K24.2	0
LINC01714	0
RNU1-7P	0
RP11-431K24.4	0
RNU6-991P	0
SLC45A1	1.95555
Y_RNA	0
RP5-1115A15.1	0.628088
SNORA77	0
RP5-1115A15.2	0
RPL7P11	0.0885326
RPL7P7	0.0604485
Y_RNA	0
RP4-633I8.3	0
RP4-633I8.4	0
RPL23AP19	0
MIR6728	0
ENO1-IT1	0.697747
ENO1-AS1	0.598765
RNU6-304P	0
HMGN2P17	0.053567
RP3-477M7.5	0
RP3-477M7.6	0
RN7SL451P	0.282061
SLC2A7	0
SLC2A5	1.29525
SCARNA16	0
LINC01759	1.14022
RP3-510D11.4	0.207159
RNA5SP40	0
RP13-392I16.1	0
SLC25A33	2.94091
RP13-15M17.1	0.445349
PIK3CD	4.88559
PIK3CD-AS1	0
RP11-558F24.2	0
PIK3CD-AS2	1.32605
MZT1P1	0
RP11-84A14.7	0.153153
RP11-84A14.4	0.311047
NMNAT1	4.00128
RN7SKP269	0.245761
RP11-84A14.6	0
MIR5697	0
RP11-496H15.2	0.175813
PGAM1P11	0.360404
RNU6-828P	0.250821
MIR1273D	0
RNU6-37P	0
RP4-736L20.3	0
CENPS	4.74557
CORT	0.949573
RN7SL614P	0.54578
HSPE1P24	0
C1orf127	0.0734177
CFL1P6	0.227633
RP4-635E18.6	0.494763
MTOR-AS1	0.0797682
RNU6-537P	0
ANGPTL7	4.88831
RNU6-291P	0
RPL39P6	0
UBE2V2P3	0.138305
MTCYBP45	0
DISP3	0.0319196
LINC01647	0
DRAXIN	0.0973239
C1orf167	0.0164192
RP11-56N19.5	0
NPPA-AS1	2.22236
NPPA	3.23948
NPPB	0.284321
RP5-934G17.6	0
RNU5E-1	0
RNU5E-4P	0
RP5-1077B9.5	0
Y_RNA	0
MIR6729	0
RN7SL649P	0
TNFRSF8	1.16843
RNU6-777P	0
RPL23AP89	0
MIR7846	0
MIR4632	0
RPL10P17	0
SNORA70	0
RP5-888M10.2	0.108169
RNU6ATAC18P	0.393983
MIR6730	0
RP11-474O21.5	1.26333
AADACL4	0
RP11-474O21.2	0
AADACL3	0.0355119
C1orf158	0.00669649
PRAMEF12	0
PRAMEF1	0
LINC01784	0
PRAMEF11	0
PRAMEF30P	0
HNRNPCL1	0.0662009
PRAMEF2	0
PRAMEF4	0
PRAMEF10	0
PRAMEF7	0
RNU6-1072P	0
PRAMEF29P	0
PRAMEF6	0
PRAMEF28P	0
PRAMEF27	0
HNRNPCL3	0
PRAMEF25	0
PRAMEF34P	0
PRAMEF35P	0
HNRNPCL2	0
PRAMEF36P	0
RP13-221M14.2	0
PRAMEF26	0
HNRNPCL4	0
PRAMEF9	0
PRAMEF13	0
PRAMEF18	0
PRAMEF31P	0
PRAMEF5	0
PRAMEF32P	0
RNU6-771P	0
PRAMEF8	0
PRAMEF33	0
PRAMEF15	0
RP11-219C24.10	0
PRAMEF14	0
PRAMEF19	0
PRAMEF17	0
PRAMEF20	0
LRRC38	0.940356
RP4-597A16.2	0
BRWD1P1	0
RNA5SP41	0
CTA-520D8.2	0.0698609
SCARNA11	0
RNU6-1265P	0
RP11-344F13.1	0
RP4-704D23.1	0
TBCAP2	0
TMEM51-AS1	0.923215
C1orf195	0
RP1-21O18.3	0
RP5-903E17.2	0
FHAD1	0.0970378
RP3-467K16.2	0.0528424
RP3-467K16.7	0.0503449
RP3-467K16.4	0.0211481
CTRC	0.321484
CELA2A	0.127281
CELA2B	0.10335
CASP9	3.73784
SCARNA21	0
RP4-680D5.8	0.200401
AGMAT	0.18755
RP4-680D5.2	0.0594904
CHCHD2P6	1.13727
RNU7-179P	0
CD24P1	0
RP4-680D5.9	0
RP11-288I21.1	1.90572
SLC25A34	2.41667
TMEM82	0
RP11-169K16.4	0
RPL12P14	0.318396
UQCRHL	4.75558
RP11-169K16.8	1.8943
FLJ37453	4.30272
RP1-134O19.3	0
RP11-5P18.1	0
RP11-5P18.3	0
RP11-5P18.11	0
TBC1D3P6	0
C1orf64	0.0261673
CLCNKA	1.09907
RP11-5P18.10	0.824611
CLCNKB	0.165177
FAM131C	3.51461
RP11-276H7.2	1.63591
RP11-276H7.3	0.98147
ANO7L1	3.48787
MT1XP1	3.4356
RP11-430L17.1	0.228859
SPATA21	0.0593294
LINC01772	2.27292
CROCCP3	3.04657
RNU1-1	0
RP4-798A10.7	0.407963
RP4-798A10.4	0
LINC01783	0.0451312
RNU1-6P	0
FAM231B	0
RP5-875O13.6	0
NBPF1	2.03205
RP5-1182A14.5	0
RP1-163M9.8	0
RNU1-3	0
FAM231A	0
RP5-875O13.7	0.0382969
EIF1AXP1	0.73484
ESPNP	0.0955334
RP1-163M9.7	0
FAM231C	0
RP5-1182A14.7	0
RNU1-4	0
CROCCP4	0
MST1L	2.09596
RP11-108M9.1	0
RP11-108M9.2	0
MIR3675	0
RP11-108M9.3	0.0762929
RP11-108M9.5	1.777
RNU1-2	0
RP11-108M9.6	0.27381
RP1-37C10.3	0.184792
RP11-380J14.1	0.228919
RP11-380J14.4	0
PADI3	0.318081
MIR3972	0
PADI4	0.0887166
PADI6	0
RP11-473A10.2	0
ACTL8	0
LINC01654	0
IGSF21	1.09658
RP11-174G17.3	0.0234268
RP11-174G17	0
RP11-422P22.1	0
KLHDC7A	0.0857193
DYNLL1P3	0
RP1-8B22.2	0
PAX7	0.0272348
TAS1R2	0.214848
MIR4695	0
MIR1290	0
RP5-1126H10.2	2.60389
RP1-43E13.2	0.962444
AKR7L	2.31777
AKR7A3	4.07383
RP4-657E11.10	3.29313
RNU6-1099P	0
RN7SL277P	0
RNU4-28P	0
RP5-1056L3.1	0
HTR6	0.0816618
RNF186	0.0649495
RP11-91K11.2	0
PLA2G2E	0
RN7SL304P	0
PLA2G5	1.1887
PLA2G2D	0.0184569
RP3-340N1.2	0.0320642
PLA2G2C	0.0225378
UBXN10-AS1	0.430262
UBXN10	0.970037
LINC01757	0
VWA5B1	0.030272
RP4-745E8.2	0
LINC01141	0
RP4-749H3.2	0
RPS4XP4	0
FAM43B	0.388659
PINK1-AS	4.60369
KIF17	1.13171
RP5-930J4.5	0
SH2D5	0.157962
RP5-930J4.2	0
RNU7-200P	0
MIR1256	0
