Name	Small Intestine - Terminal Ileum
DDX11L1	0
WASH7P	4.19378
MIR6859-1	0
MIR1302-2HG	0
FAM138A	0
OR4G4P	0.0354079
OR4G11P	0.0395775
OR4F5	0.0433611
RP11-34P13.7	0.0168076
CICP27	0.0302887
RP11-34P13.15	4.68572
RP11-34P13.14	0.112703
RP11-34P13.13	0.108621
RNU6-1100P	0
RP11-34P13.9	0
ABC7-43046700E7.1	0.0752722
MIR6859-2	0
AP006222.2	0.25049
RPL23AP24	0
RP5-857K21.15	0
RP4-669L17.2	0
RP4-669L17.10	0.159
WBP1LP7	0
OR4F29	0.0395693
CICP7	0
RP4-669L17.8	0.0230115
U6	0
RP5-857K21.4	0.031244
RP5-857K21.2	0
WBP1LP6	0
OR4F16	0.0280892
RP11-206L10.17	0
CICP3	0.131107
RP11-206L10.2	2.34623
RNU6-1199P	0
RP11-206L10.4	0
RP11-206L10.9	0.764207
RP11-206L10.8	1.55611
FAM87B	0.496099
LINC01128	4.38776
LINC00115	4.02788
FAM41C	0.0762323
TUBB8P11	0.154761
FAM166AP3	0.0612147
RP11-54O7.16	0.323002
RP11-54O7.1	0.254547
RP11-54O7.2	0
RP11-54O7.3	3.56672
SAMD11	4.90961
PLEKHN1	1.40783
PERM1	0.534452
RP11-54O7.17	1.58134
RP11-54O7.10	0
RP11-54O7.11	0.174652
RP11-465B22.3	1.44599
RP11-54O7.18	0.0991137
RNF223	0.158919
LINC01342	0.851847
MIR200B	0.416258
MIR200A	0.405791
MIR429	1.44386
TTLL10-AS1	0.175913
TTLL10	0.350849
RP5-902P8.12	0.715448
LINC01786	4.77686
MIR6726	0
MIR6727	0
TAS1R3	2.88212
MIR6808	0
NDUFB4P8	0.417587
RP4-758J18.7	0.884243
TMEM88B	0.216022
LINC01770	1.6561
ATAD3C	1.01439
TMEM240	2.46952
RP5-832C2.5	0.650491
RP11-345P4.11	0
FNDC10	2.48238
MMP23B	0.581875
RP11-345P4.10	0
RP11-345P4.6	3.89308
MMP23A	1.08706
RP1-140A9.1	0.658066
CALML6	0.840977
TMEM52	1.50035
CFAP74	0.044592
RP11-547D24.1	0.0399222
GABRD	0.262771
RP11-547D24.3	0
RP5-892K4.1	0.182983
RP11-181G12.4	0.183919
MORN1	1.34721
RP4-713A8.1	0.218337
RP4-740C4.5	2.14312
RP4-740C4.7	1.89954
RP3-395M20.2	0.358446
RP3-395M20.3	0.342856
HES5	0.304188
RP3-395M20.7	0.917068
RP3-395M20.9	4.07719
MMEL1	1.52116
RP13-436F16.1	0
TTC34	0.623216
ABC14-1188822O7.1	0
RP11-740P5.2	0
RP11-740P5.3	0
ACTRT2	0
LINC00982	1.07105
PRDM16	1.3191
MIR4251	0
RP1-163G9.2	0
RP11-193J6.1	0.0103549
RP11-22L13.1	0.231582
RP11-168F9.2	1.24617
MIR551A	0
RP11-46F15.2	3.47092
TP73	0.260312
RP5-1092A11.5	0.0889382
RP5-1092A11.2	0
CCDC27	0.0172026
SMIM1	1.76098
RN7SL574P	0.974037
LINC01134	0.769753
LINC01346	0
LINC01345	0.0279526
EEF1DP6	0
LINC01777	0
RP1-37J18.1	0
LINC01646	0
AJAP1	0.318737
RP11-542C10.1	0
RP1-58B11.1	0
RP3-491M17.1	0
RP11-154H17.1	0
MIR4417	0
MIR4689	0
CHD5	0.39884
RP1-120G22.11	0.942256
LINC00337	0.228814
HES3	0
HES2	1.13975
MIR4252	0
RP1-202O8.2	0
RNU6-731P	0
RP11-58A11.2	0.555944
TAS1R1	0.152571
LINC01672	0
RP11-312B8.1	0.440014
CAMTA1	4.24045
RP11-312B8.2	0
RP11-334N17.1	0
RNU1-8P	0
CAMTA1-IT1	0
RP3-453P22.2	0
RP4-549F15.1	0
RP11-338N10.1	0.118261
RP11-338N10.2	0.254846
RP11-338N10.3	0.598498
RP3-467L1.6	3.07736
RP3-467L1.4	0.556013
UTS2	0.149763
TNFRSF9	0.362278
RP5-892F13.2	0
Y_RNA	0
RP11-431K24.1	0.124034
CTA-215D11.4	0
RP11-431K24.2	0
LINC01714	0
RNU1-7P	0
RP11-431K24.4	0
RNU6-991P	0
