Name	Spleen
DDX11L1	0
MIR6859-1	0
MIR1302-2HG	0
FAM138A	0
OR4G4P	0
OR4G11P	0
OR4F5	0.0363784
RP11-34P13.7	0.0832374
CICP27	0.453602
RP11-34P13.14	2.41364
RP11-34P13.13	0.234036
RNU6-1100P	0
RP11-34P13.9	0
ABC7-43046700E7.1	0.227098
MIR6859-2	0
AP006222.2	0.826386
RPL23AP24	0.0851459
RP5-857K21.15	0
RP4-669L17.2	0
RP4-669L17.10	0.270653
WBP1LP7	0
OR4F29	0
CICP7	0
RP4-669L17.8	0.0866291
U6	0
RP5-857K21.4	0.0296504
RP5-857K21.2	0
WBP1LP6	0
OR4F16	0
RP11-206L10.17	0
CICP3	0.0879867
RP11-206L10.2	2.80499
RNU6-1199P	0
RP11-206L10.4	0
RP11-206L10.9	0.885304
RP11-206L10.8	1.47003
FAM87B	0.315437
LINC01128	4.28173
FAM41C	0.0314902
TUBB8P11	0.0767638
FAM166AP3	0
RP11-54O7.16	1.5334
RP11-54O7.1	1.02664
RP11-54O7.2	0
PLEKHN1	2.03468
PERM1	0.699733
RP11-54O7.17	2.02093
RP11-54O7.10	0
RP11-54O7.11	0.221418
RP11-465B22.3	2.13452
RP11-54O7.18	0.0676096
RNF223	0.0496422
LINC01342	0.552623
MIR200B	0
MIR200A	0
MIR429	0
RP11-465B22.8	0.153289
TTLL10-AS1	0.0820346
TTLL10	0.128815
C1QTNF12	1.54009
RP5-902P8.12	0.867269
MIR6726	0
MIR6727	0
MIR6808	0
NDUFB4P8	0.428868
ANKRD65	2.09211
RP4-758J18.7	0.563869
TMEM88B	0.0834745
LINC01770	0.852483
ATAD3C	0.718508
TMEM240	3.22422
RP5-832C2.5	0.793301
RP11-345P4.11	0
MMP23B	0.540046
RP11-345P4.10	0
RP11-345P4.6	3.55819
MMP23A	2.02393
RP1-140A9.1	0.741204
CALML6	1.39946
TMEM52	2.61394
CFAP74	0.0591336
RP11-547D24.1	0.0147267
GABRD	0.30487
RP11-547D24.3	0
RP5-892K4.1	0.24503
RP11-181G12.4	0.503662
MORN1	1.07235
RP4-713A8.1	0.231453
RP4-740C4.5	2.57456
RP4-740C4.7	2.12117
RP3-395M20.2	0.670543
RP3-395M20.3	0.713827
HES5	0.232015
RP3-395M20.7	0.833176
MMEL1	0.710848
RP13-436F16.1	0
TTC34	0.879449
ABC14-1188822O7.1	0
RP11-740P5.2	0
RP11-740P5.3	0
ACTRT2	0
LINC00982	1.47439
PRDM16	0.967387
MIR4251	0
RP1-163G9.2	0
RP11-193J6.1	0
RP11-22L13.1	0.00716646
ARHGEF16	1.3915
RP11-168F9.2	0.196852
MIR551A	0
TP73	0.858022
RP5-1092A11.5	0.149797
RP5-1092A11.2	0
CCDC27	0
SMIM1	2.81092
RN7SL574P	1.65092
LINC01134	0.536582
LINC01346	0
LINC01345	0
EEF1DP6	0
LINC01777	0.0189056
RP1-37J18.1	0
LINC01646	0
AJAP1	1.93068
RP11-542C10.1	0
RP1-58B11.1	0
RP3-491M17.1	0
RP11-154H17.1	0.0474094
MIR4417	0
MIR4689	0
CHD5	0.165016
RP1-120G22.11	0.312391
RNF207	4.5808
LINC00337	0.0920661
HES3	0
HES2	0.0338131
ESPN	0.545612
MIR4252	0
RP1-202O8.2	0
RNU6-731P	0
RP11-58A11.2	0.44171
TAS1R1	0.863531
LINC01672	0
RP11-312B8.1	0.610234
RP11-312B8.2	0
RP11-334N17.1	0
RNU1-8P	0
CAMTA1-IT1	0
RP3-453P22.2	0
RP11-338N10.1	0.746281
RP11-338N10.2	1.98969
RP11-338N10.3	3.76017
RP3-467L1.6	4.23475
RP3-467L1.4	0.549249
UTS2	0.623752
TNFRSF9	1.32185
RP5-892F13.2	0
Y_RNA	0.302896
RP11-431K24.1	0.037685
CTA-215D11.4	0
RP11-431K24.2	0
LINC01714	0
RNU1-7P	0
RP11-431K24.4	0
RNU6-991P	0
SLC45A1	3.93463
Y_RNA	0
RP5-1115A15.1	3.62054
SNORA77	0
RP5-1115A15.2	0.090802
RPL7P11	0.0424167
RPL7P7	0.0597164
Y_RNA	0
RP4-633I8.3	0
RP4-633I8.4	0
RPL23AP19	0
MIR6728	0
ENO1-IT1	0.244474
ENO1-AS1	0.866936
RNU6-304P	0
HMGN2P17	0.126001
RP3-477M7.5	0.289774
RP3-477M7.6	0
CA6	0.178513
RN7SL451P	0
SLC2A7	0
SLC2A5	4.45601
SCARNA16	0
GPR157	3.97434
LINC01759	0.73771
RP3-510D11.4	0.0743337
RNA5SP40	0
RP13-392I16.1	0
SLC25A33	3.70007
RP13-15M17.1	0.594368
PIK3CD-AS1	1.37711
RP11-558F24.2	0
PIK3CD-AS2	2.35897
MZT1P1	0
RP11-84A14.7	0.0532595
RP11-84A14.4	0.614779
NMNAT1	4.90784
RN7SKP269	0.419714
RP11-84A14.6	0.0964377
MIR5697	0
RP11-496H15.2	0
PGAM1P11	0.0941449
RNU6-828P	0
MIR1273D	0
RNU6-37P	0
RP4-736L20.3	0
CORT	1.28283
RN7SL614P	0.275815
CASZ1	2.68463
RP4-734G22.3	0.785403
HSPE1P24	0
C1orf127	0.731148
CFL1P6	0.351848
MASP2	4.0477
RP4-635E18.6	0.596422
MTOR-AS1	0
RNU6-537P	0
ANGPTL7	0.125662
RNU6-291P	0
RPL39P6	0
UBE2V2P3	0.153922
MTCYBP45	0
DISP3	0.283224
LINC01647	0
DRAXIN	0.210182
C1orf167	0.0658749
RP11-56N19.5	0
NPPA	3.63131
NPPB	0.120982
RP5-934G17.6	0.0221885
RNU5E-1	0
RNU5E-4P	0
RP5-1077B9.5	0
Y_RNA	0.614944
MIR6729	0
RN7SL649P	0
TNFRSF8	1.93438
RNU6-777P	0
RPL23AP89	0
MIR7846	0
MIR4632	0
RPL10P17	0
SNORA70	0
SNORA59A	1.56628
RP5-888M10.2	0.295539
RNU6ATAC18P	0.195336
MIR6730	0
RP11-474O21.5	0.345828
AADACL4	0.276732
RP11-474O21.2	0
AADACL3	0
C1orf158	0
PRAMEF12	0
PRAMEF1	0
LINC01784	0
PRAMEF11	0
PRAMEF30P	0
HNRNPCL1	0.102829
PRAMEF2	0
PRAMEF4	0
PRAMEF10	0
PRAMEF7	0
RNU6-1072P	0
PRAMEF29P	0
PRAMEF6	0
PRAMEF28P	0
PRAMEF27	0
HNRNPCL3	0
PRAMEF25	0
PRAMEF34P	0
PRAMEF35P	0
HNRNPCL2	0
PRAMEF36P	0
RP13-221M14.2	0
PRAMEF26	0
HNRNPCL4	0
PRAMEF9	0
PRAMEF13	0
PRAMEF18	0
PRAMEF31P	0
PRAMEF5	0
PRAMEF32P	0
RNU6-771P	0
PRAMEF8	0
PRAMEF33	0
PRAMEF15	0
RP11-219C24.10	0
PRAMEF14	0
PRAMEF19	0
PRAMEF17	0
PRAMEF20	0
LRRC38	0
RP4-597A16.2	0
BRWD1P1	0
PDPN	0.0593861
RNA5SP41	0
CTA-520D8.2	0
SCARNA11	0
RNU6-1265P	0
RP11-344F13.1	0
RP4-704D23.1	0
TBCAP2	0
TMEM51-AS1	0.562315
C1orf195	0
RP1-21O18.3	0
RP5-903E17.2	0
FHAD1	0.0617705
RP3-467K16.2	0.082441
RP3-467K16.7	0
RP3-467K16.4	0.492184
CTRC	0.890245
CELA2A	0.774691
CELA2B	0.207801
SCARNA21	0
RP4-680D5.8	0.766748
AGMAT	2.0732
RP4-680D5.2	0.274687
CHCHD2P6	1.34975
RNU7-179P	0
CD24P1	0
RP4-680D5.9	0.284201
RP11-288I21.1	1.48522
TMEM82	0.0248937
RP11-169K16.4	0.15176
RPL12P14	0.228789
UQCRHL	4.60615
RP11-169K16.8	1.12581
RP1-134O19.3	0
RP11-5P18.1	0.0582259
RP11-5P18.3	0
RP11-5P18.11	0
TBC1D3P6	0
C1orf64	0
HSPB7	4.3842
CLCNKA	0.255487
RP11-5P18.10	0
CLCNKB	0.0946243
FAM131C	0.15877
RP11-276H7.2	0.303043
RP11-276H7.3	0.162993
ANO7L1	0.529879
RSG1	3.76312
MT1XP1	0.75034
RP11-430L17.1	0.185596
SPATA21	0.0649244
LINC01772	3.08098
RNU1-1	0
RP4-798A10.7	0.318238
RP4-798A10.4	0.217285
LINC01783	0.0527415
RNU1-6P	0
FAM231B	0
RP5-875O13.6	0
NBPF1	2.50172
RP5-1182A14.5	0.0908772
RP1-163M9.8	0
RNU1-3	0
FAM231A	0
RP5-875O13.7	0.0276272
EIF1AXP1	0.308101
ESPNP	0.040773
RP1-163M9.7	0
FAM231C	0
RP5-1182A14.7	0
RNU1-4	0
CROCCP4	0
MST1L	1.89248
RP11-108M9.1	0
RP11-108M9.2	0
MIR3675	0
RP11-108M9.3	0.120142
RNU1-2	0
RP11-108M9.6	0.491012
MFAP2	1.16085
RP1-37C10.3	0
RP11-380J14.1	0.0234197
RP11-380J14.4	0
PADI1	0.262854
PADI3	0
MIR3972	0
PADI6	0.0473565
RP11-473A10.2	0
ACTL8	0
LINC01654	0
RP11-174G17.3	0.406767
RP11-174G17	0
RP11-422P22.1	0
KLHDC7A	0
DYNLL1P3	0
RP1-8B22.2	0
PAX7	0
TAS1R2	0
MIR4695	0
MIR1290	0
RP5-1126H10.2	1.49585
RP1-43E13.2	0.975316
AKR7L	0.904255
AKR7A3	1.89188
RP4-657E11.10	0.931017
RNU6-1099P	0
RN7SL277P	0
RNU4-28P	0
RP5-1056L3.1	0
HTR6	0.0820998
RNF186	0
RP11-91K11.2	0
PLA2G2E	0
RN7SL304P	0
PLA2G2A	0.598151
PLA2G5	1.05368
PLA2G2D	3.72559
PLA2G2F	0
RP3-340N1.2	0.115105
PLA2G2C	0.0342309
UBXN10-AS1	0.291962
UBXN10	0.153759
LINC01757	0
VWA5B1	0.0112135
RP4-745E8.2	0
LINC01141	0
RP4-749H3.2	0
RPS4XP4	0
FAM43B	1.18993
RP5-930J4.5	0
SH2D5	0.0827997
RP5-930J4.2	0
RNU7-200P	0
MIR1256	0
RPS15AP6	0.221459
RP11-487E1.2	0
HSPE1P27	0
RP3-329E20.2	0.214203
RP5-1071N3.1	1.56427
PPP1R11P1	0
RP11-293F5.8	0
RP11-293F5.1	0
NBPF2P	0.801258
