Name	Stomach
DDX11L1	0
WASH7P	3.06248
MIR6859-1	0
MIR1302-2HG	0
FAM138A	0
OR4G4P	0.0325904
OR4G11P	0.0471121
OR4F5	0.0538492
RP11-34P13.7	0.0166057
CICP27	0.025408
RP11-34P13.15	3.60607
RP11-34P13.14	0
RP11-34P13.13	0.10173
RNU6-1100P	0
RP11-34P13.9	0
ABC7-43046700E7.1	0.0662189
MIR6859-2	0
AP006222.2	0.161919
RPL23AP24	0
RP5-857K21.15	0
RP4-669L17.2	0
RP4-669L17.10	0.121469
WBP1LP7	0
OR4F29	0.043814
CICP7	0
RP4-669L17.8	0
U6	0
RP5-857K21.4	0.0304418
RP5-857K21.2	0
WBP1LP6	0
OR4F16	0.035166
RP11-206L10.17	0
CICP3	0.140161
RP11-206L10.2	1.71761
RNU6-1199P	0
RP11-206L10.4	0
RP11-206L10.9	0.500191
RP11-206L10.8	0.957307
FAM87B	0.388914
LINC01128	3.31846
LINC00115	2.77518
FAM41C	0.0652772
TUBB8P11	0.0801318
FAM166AP3	0
RP11-54O7.16	0.27598
RP11-54O7.1	0.233873
RP11-54O7.2	0
RP11-54O7.3	2.52485
SAMD11	3.4234
PLEKHN1	1.13771
PERM1	0.48986
RP11-54O7.17	1.37293
RP11-54O7.10	0
RP11-54O7.11	0.163103
RP11-465B22.3	1.80017
RP11-54O7.18	0.116661
RNF223	2.62997
LINC01342	1.06693
MIR200B	0.768905
MIR200A	0.566371
MIR429	2.03244
TTLL10-AS1	0.158771
TTLL10	0.340458
TNFRSF18	1.67958
TNFRSF4	2.75109
C1QTNF12	1.50059
RP5-902P8.12	0.445191
LINC01786	3.40308
MIR6726	0
MIR6727	0
TAS1R3	0.689365
MIR6808	0
NDUFB4P8	0.301196
RP4-758J18.13	4.56677
RP4-758J18.7	1.43747
TMEM88B	0.177865
LINC01770	2.34673
ATAD3C	0.725586
TMEM240	1.7131
RP5-832C2.5	0.564767
RP11-345P4.11	0
FNDC10	3.3634
MMP23B	0.471591
RP11-345P4.10	0
RP11-345P4.6	2.14466
MMP23A	0.658296
SLC35E2	3.9112
RP1-140A9.1	0.413366
CALML6	0.970578
TMEM52	4.77136
CFAP74	0.0195497
RP11-547D24.1	0.0180394
GABRD	0.172554
RP11-547D24.3	0
PRKCZ	3.90789
RP5-892K4.1	0.0571743
PRKCZ-AS1	3.53477
RP11-181G12.4	0.349557
MORN1	1.08199
RP4-713A8.1	0.17457
RP4-740C4.5	1.44109
RP4-740C4.7	1.23289
PLCH2	1.22274
RP3-395M20.2	0.0866422
RP3-395M20.3	0.102835
HES5	0.173666
RP3-395M20.12	1.83772
RP3-395M20.8	2.92867
RP3-395M20.7	0.207682
RP3-395M20.9	2.3834
MMEL1	1.39629
RP13-436F16.1	0
TTC34	0.298888
ABC14-1188822O7.1	0
RP11-740P5.2	0
RP11-740P5.3	0
ACTRT2	0
MIR4251	0
RP1-163G9.2	1.97448
RP11-193J6.1	0.0740843
RP11-22L13.1	0.0768485
RP11-168F9.2	0.716143
MIR551A	0
RP11-46F15.2	1.25954
TP73	0.115649
RP5-1092A11.5	0
RP5-1092A11.2	0
CCDC27	0
SMIM1	4.05723
RN7SL574P	0.71701
RP1-286D6.5	4.793
LINC01134	0.39038
LINC01346	0
LINC01345	0
EEF1DP6	0
LINC01777	0
RP1-37J18.1	0
LINC01646	0
AJAP1	0.262853
RP11-542C10.1	0
RP1-58B11.1	0
RP3-491M17.1	0
