Name	Testis
DDX11L1	0.166403
WASH7P	4.70253
MIR6859-1	0
MIR1302-2HG	0.0542228
FAM138A	0
OR4G4P	0
OR4G11P	0.0535776
OR4F5	0.0391763
RP11-34P13.7	0.334056
CICP27	0.276834
RP11-34P13.14	2.11448
RP11-34P13.13	0.188928
RNU6-1100P	0
RP11-34P13.9	0
ABC7-43046700E7.1	3.68669
MIR6859-2	0
AP006222.2	1.00129
RPL23AP24	0.195951
RP5-857K21.15	0
RP4-669L17.2	0
RP4-669L17.10	2.44792
WBP1LP7	0
OR4F29	0.0317848
CICP7	0
RP4-669L17.8	0.318397
U6	0
RP5-857K21.4	0.31243
RP5-857K21.2	0
WBP1LP6	0
OR4F16	0
RP11-206L10.17	0
CICP3	0.363822
RNU6-1199P	0
RP11-206L10.4	0
RP11-206L10.9	4.03599
RP11-206L10.8	2.38312
FAM87B	1.52712
FAM41C	0.213682
TUBB8P11	0.375897
FAM166AP3	0.124018
RP11-54O7.16	1.83175
RP11-54O7.1	1.06211
RP11-54O7.2	0
RP11-54O7.3	4.52856
PLEKHN1	1.37933
PERM1	2.66113
RP11-54O7.17	1.33251
RP11-54O7.10	0
RP11-54O7.11	0.584901
RP11-465B22.3	3.37516
RP11-54O7.18	0.736255
RNF223	0.291268
LINC01342	0.159034
MIR200B	0.377247
MIR200A	0.407005
MIR429	0
RP11-465B22.8	1.74634
TNFRSF18	2.10033
TNFRSF4	0.96684
RP5-902P8.12	0.85604
MIR6726	0
MIR6727	0
TAS1R3	2.12172
MIR6808	0
NDUFB4P8	0.905478
RP4-758J18.7	2.6278
TMEM88B	3.61072
LINC01770	3.75637
ATAD3C	2.485
TMEM240	3.29713
RP11-345P4.11	0
MMP23B	1.2758
RP11-345P4.10	0.369563
RP11-345P4.6	1.6862
MMP23A	0.627059
RP1-283E3.4	4.3137
SLC35E2	2.5759
CALML6	4.49304
RP11-547D24.1	1.65752
RP11-547D24.3	2.63498
RP5-892K4.1	3.62977
RP11-181G12.4	0.449347
RP4-713A8.1	1.88074
RP4-740C4.7	1.11305
PLCH2	4.46292
RP3-395M20.2	1.07698
RP3-395M20.3	1.21152
HES5	2.11569
RP3-395M20.12	1.65993
RP3-395M20.8	0.381103
RP3-395M20.7	0.218443
RP3-395M20.9	1.52917
RP13-436F16.1	1.80336
ABC14-1188822O7.1	3.38705
RP11-740P5.2	0.410632
RP11-740P5.3	2.7579
PRDM16	1.68931
MIR4251	0
RP1-163G9.2	0
RP11-193J6.1	0
RP11-22L13.1	0.034498
RP11-168F9.2	0.565958
MIR551A	0
RP11-46F15.2	4.01201
TP73	2.00488
RP5-1092A11.5	0.100734
RP5-1092A11.2	0.156676
RN7SL574P	3.7906
DFFB	3.29618
LINC01346	0.305724
LINC01345	2.88527
EEF1DP6	0
RP1-37J18.1	1.46638
LINC01646	3.29144
AJAP1	1.19468
RP11-542C10.1	2.90553
RP1-58B11.1	1.90403
RP3-491M17.1	0
RP11-154H17.1	0.129558
MIR4417	0
MIR4689	0
RP1-120G22.11	0.801171
RNF207	4.85494
LINC00337	2.48833
HES3	0.430706
HES2	2.67906
MIR4252	0
RP1-202O8.2	2.06183
RNU6-731P	0
RP11-58A11.2	0.218121
RP11-312B8.1	1.47635
RP11-312B8.2	0
RP11-334N17.1	0
RNU1-8P	0
CAMTA1-IT1	3.49576
RP4-549F15.1	1.61527
RP11-338N10.1	2.31598
RP11-338N10.2	1.63925
RP3-467L1.6	3.33146
RP3-467L1.4	2.00276
UTS2	0.0666782
TNFRSF9	0.0838714
RP5-892F13.2	0
Y_RNA	1.77084
RP11-431K24.1	3.00612
CTA-215D11.4	0.140691
RP11-431K24.2	0
LINC01714	0.0516371
RNU1-7P	0
RP11-431K24.4	0
RNU6-991P	0
SLC45A1	4.94892
Y_RNA	0
SNORA77	0
RP5-1115A15.2	0.0768143
RPL7P11	0.0572112
RPL7P7	0.117744
Y_RNA	0
RP4-633I8.3	0
RP4-633I8.4	0
RPL23AP19	0
MIR6728	0
ENO1-IT1	0.412841
RNU6-304P	0.248352
HMGN2P17	0.197725
RP3-477M7.5	0
RP3-477M7.6	0
CA6	0.0628262
RN7SL451P	0
SLC2A7	0.578195
SCARNA16	0
GPR157	4.23252
RP3-510D11.4	1.04495
RNA5SP40	0
RP13-392I16.1	0
RP13-15M17.1	1.39486
PIK3CD-AS1	0.0231188
RP11-558F24.2	0
PIK3CD-AS2	1.8168
MZT1P1	0
RP11-84A14.7	0.340199
RP11-84A14.4	0.791661
RN7SKP269	0.529997
RP11-84A14.6	0
MIR5697	0
RP11-496H15.2	0
PGAM1P11	0.102423
RNU6-828P	0
MIR1273D	0
RNU6-37P	0.257542
RN7SL614P	0.3243
CASZ1	3.62493
RP4-734G22.3	0.842886
HSPE1P24	0
C1orf127	1.64851
CFL1P6	2.52576
MASP2	3.93172
RP4-635E18.7	4.95721
MTOR-AS1	0.0875778
RNU6-537P	0
ANGPTL7	0.279142
RNU6-291P	0
RPL39P6	0
UBE2V2P3	0.200274
MTCYBP45	0
LINC01647	3.81702
DRAXIN	0.705202
RP11-56N19.5	3.97177
NPPB	0.583287
RP5-934G17.6	0.0486179
RNU5E-1	4.06278
RNU5E-4P	0.702427
RP5-1077B9.5	0
Y_RNA	0.487706
MIR6729	0
RN7SL649P	0
TNFRSF8	3.94346
RNU6-777P	0
RPL23AP89	0
MIR7846	0
TNFRSF1B	4.99564
MIR4632	0
RPL10P17	0
SNORA70	0
SNORA59A	1.405
RP5-888M10.2	0.332194
RNU6ATAC18P	0
MIR6730	0
RP11-474O21.5	0.502218
AADACL4	0.951843
RP11-474O21.2	0
AADACL3	0.650114
PRAMEF12	0.225733
PRAMEF1	0.548622
PRAMEF11	1.12827
PRAMEF30P	0.0379256
HNRNPCL1	0.279593
PRAMEF2	0.791982
PRAMEF4	0
PRAMEF10	0
PRAMEF7	0
RNU6-1072P	0
PRAMEF29P	0
PRAMEF6	0.0334213
PRAMEF28P	0.077619
PRAMEF27	0
HNRNPCL3	0
PRAMEF25	0
PRAMEF34P	0
PRAMEF35P	0
HNRNPCL2	0.144206
PRAMEF36P	0
RP13-221M14.2	0
PRAMEF26	0
HNRNPCL4	0
PRAMEF9	0
PRAMEF13	0.024794
PRAMEF18	0.0921671
PRAMEF31P	0.0623416
PRAMEF5	0
PRAMEF32P	0
RNU6-771P	0
PRAMEF8	0.0260005
PRAMEF33	0
PRAMEF15	0.0307094
RP11-219C24.10	0
PRAMEF14	0.475341
PRAMEF19	0.190161
PRAMEF17	0.0651071
PRAMEF20	0.188004
LRRC38	1.0647
RP4-597A16.2	0.515889
BRWD1P1	0
PDPN	4.34739
RNA5SP41	0
CTA-520D8.2	0.672001
SCARNA11	0.305494
KAZN	4.59061
RNU6-1265P	0
RP11-344F13.1	0
RP4-704D23.1	1.49239
TBCAP2	0
TMEM51-AS1	0.537295
C1orf195	1.17424
RP1-21O18.3	0
RP5-903E17.2	0.0504007
RP3-467K16.2	2.05602
RP3-467K16.7	0.217589
CTRC	0.723654
CELA2A	1.38416
CELA2B	1.27124
SCARNA21	0
RP4-680D5.8	0.680951
AGMAT	2.00146
RP4-680D5.2	1.49122
RNU7-179P	0
CD24P1	0.13416
RP4-680D5.9	2.39656
RP11-288I21.1	1.39972
TMEM82	0.0350986
RP11-169K16.4	0
RPL12P14	0.561116
UQCRHL	4.04605
RP11-169K16.8	0.728667
RP1-134O19.3	0
RP11-5P18.1	0.0768014
RP11-5P18.3	0
RP11-5P18.11	0
TBC1D3P6	0
C1orf64	0.0205915
RP11-5P18.10	0.60029
CLCNKB	4.69082
FAM131C	1.47974
EPHA2	4.1571
RP11-276H7.2	0.202732
RP11-276H7.3	0.0987878
ARHGEF19	4.73676
ANO7L1	1.40997
MT1XP1	2.42901
RP11-430L17.1	0.825732
LINC01772	2.78942
RNU1-1	0
RP4-798A10.7	2.59432
RP4-798A10.4	1.19498
RNU1-6P	0
FAM231B	0.216133
RP5-875O13.6	0.215668
RP5-1182A14.5	2.25025
RP1-163M9.8	0
RNU1-3	0
FAM231A	0
RP5-875O13.7	1.9215
EIF1AXP1	2.18621
ESPNP	2.60088
RP1-163M9.7	1.63822
FAM231C	0
RP5-1182A14.7	0
RNU1-4	0
CROCCP4	0.216123
RP11-108M9.1	0
RP11-108M9.2	0.251623
MIR3675	0
RP11-108M9.5	3.3065
RNU1-2	0
RP11-108M9.6	2.19837
RP1-37C10.3	0.35033
PADI2	1.54966
RP11-380J14.1	0.0447992
RP11-380J14.4	0.277504
PADI1	0.644831
PADI3	0.653974
MIR3972	0
PADI4	0.301264
PADI6	0.179636
RP11-473A10.2	1.94516
LINC01654	0.417266
IGSF21	2.72039
