Name	Thyroid
DDX11L1	0
MIR6859-1	0
MIR1302-2HG	0
FAM138A	0
OR4G4P	0
OR4G11P	0.039058
OR4F5	0.0486038
RP11-34P13.7	0.0234676
CICP27	0.0578069
RP11-34P13.14	0.449414
RP11-34P13.13	0.211291
RNU6-1100P	0
RP11-34P13.9	0
ABC7-43046700E7.1	0.0956365
MIR6859-2	0
AP006222.2	0.387102
RPL23AP24	0
RP5-857K21.15	0
RP4-669L17.2	0
RP4-669L17.10	0.304845
WBP1LP7	0
OR4F29	0.028807
CICP7	0
RP4-669L17.8	0.0386187
U6	0
RP5-857K21.4	0.0548571
RP5-857K21.2	0
WBP1LP6	0
OR4F16	0
RP11-206L10.17	0
CICP3	0.229173
RP11-206L10.2	4.27429
RNU6-1199P	0
RP11-206L10.4	0
RP11-206L10.9	1.17266
RP11-206L10.8	1.81637
FAM87B	0.897431
FAM41C	0.0728441
TUBB8P11	0.0731954
FAM166AP3	0
RP11-54O7.16	0.47855
RP11-54O7.1	0.427139
RP11-54O7.2	0
RP11-54O7.3	4.71544
PLEKHN1	1.31803
PERM1	0.467808
RP11-54O7.17	3.50533
RP11-54O7.10	0
RP11-54O7.11	0.385531
RP11-465B22.3	2.74924
RP11-54O7.18	0.177227
RNF223	0.0839522
LINC01342	0.0636003
MIR200B	0
MIR200A	0
MIR429	0.680664
TTLL10-AS1	0.146616
TTLL10	0.473796
TNFRSF18	1.28912
C1QTNF12	2.41846
RP5-902P8.12	0.730329
MIR6726	0
MIR6727	0
TAS1R3	1.33398
MIR6808	0
NDUFB4P8	0.367878
RP4-758J18.7	0.777524
TMEM88B	0.127604
LINC01770	1.40611
RP5-832C2.5	1.54826
RP11-345P4.11	0
MMP23B	0.569046
RP11-345P4.10	0.257149
RP11-345P4.6	4.94078
MMP23A	0.958382
RP1-140A9.1	1.68319
CALML6	1.74351
TMEM52	1.00307
CFAP74	0.0846846
RP11-547D24.1	0.188444
GABRD	1.55472
RP11-547D24.3	0.232448
RP5-892K4.1	0.337357
RP11-181G12.4	0.72084
RP4-713A8.1	2.14874
RP4-740C4.7	3.28598
RP3-395M20.2	0.500039
RP3-395M20.3	0.524984
HES5	0.520907
RP3-395M20.12	3.47121
RP3-395M20.7	0.328943
RP3-395M20.9	1.28547
MMEL1	0.904669
RP13-436F16.1	0
TTC34	3.83699
ABC14-1188822O7.1	0.73562
RP11-740P5.2	0
RP11-740P5.3	0
ACTRT2	0
MIR4251	0
RP1-163G9.2	0.163905
RP11-193J6.1	0.127065
RP11-22L13.1	0.196355
RP11-168F9.2	1.27004
MIR551A	0
TP73	0.510508
RP5-1092A11.5	0
RP5-1092A11.2	0
CCDC27	0.05521
RN7SL574P	1.25307
LINC01134	0.102518
LINC01346	0
LINC01345	0
EEF1DP6	0
LINC01777	0
RP1-37J18.1	0
LINC01646	0
AJAP1	0.792021
RP11-542C10.1	0
RP1-58B11.1	0
RP3-491M17.1	0
RP11-154H17.1	0
MIR4417	0
MIR4689	0
CHD5	0.242482
RP1-120G22.11	3.21645
LINC00337	0
HES3	0
GPR153	4.33249
HES2	0.0355787
ESPN	0.192453
MIR4252	0
RP1-202O8.2	0
RNU6-731P	0
RP11-58A11.2	0.397554
TAS1R1	0.0873222
LINC01672	0.381272
RP11-312B8.1	1.10653
RP11-312B8.2	0
RP11-334N17.1	0
RNU1-8P	0
CAMTA1-IT1	0.135018
RP3-453P22.2	0
RP4-549F15.1	0
RP11-338N10.1	0.132201
RP11-338N10.2	0.508595
RP11-338N10.3	1.16327
RP3-467L1.4	1.69578
UTS2	0.0511264
TNFRSF9	0.0667613
RP5-892F13.2	0
Y_RNA	0.457337
RP11-431K24.1	1.14146
CTA-215D11.4	0.106194
RP11-431K24.2	0.0248061
LINC01714	0.0803073
RNU1-7P	0
RP11-431K24.4	0
RNU6-991P	0
SLC45A1	3.86342
Y_RNA	0
RP5-1115A15.1	1.90119
SNORA77	0
RP5-1115A15.2	0
RPL7P11	0.0670059
RPL7P7	0.0713059
Y_RNA	0
RP4-633I8.3	0
RP4-633I8.4	0
RPL23AP19	0
MIR6728	0
ENO1-IT1	0.310451
ENO1-AS1	2.7601
RNU6-304P	0
HMGN2P17	0.101271
RP3-477M7.5	0
RP3-477M7.6	0
CA6	0.0146308
RN7SL451P	0
SLC2A7	0.0993979
SLC2A5	0.54064
SCARNA16	0
LINC01759	1.59302
RP3-510D11.4	0.114236
RNA5SP40	0
RP13-392I16.1	0
RP13-15M17.1	1.40208
PIK3CD-AS1	0
RP11-558F24.2	0
MZT1P1	0
RP11-84A14.7	0.0201603
RP11-84A14.4	0.725107
RN7SKP269	0.324684
RP11-84A14.6	0.124744
MIR5697	0
RP11-496H15.2	0
PGAM1P11	0.0799256
RNU6-828P	0
MIR1273D	0
RNU6-37P	0
RP4-736L20.3	0
CORT	3.28993
RN7SL614P	0.405291
RP4-734G22.3	1.41545
HSPE1P24	0
C1orf127	0.460234
CFL1P6	0.149174
MASP2	4.59085
RP4-635E18.6	0.387025
MTOR-AS1	0
RNU6-537P	0
ANGPTL7	0.871609
RNU6-291P	0
RPL39P6	0
UBE2V2P3	0.127593
MTCYBP45	0
DISP3	0.109066
LINC01647	0
DRAXIN	0.0469302
C1orf167	0.018857
RP11-56N19.5	0
NPPA-AS1	4.48683
NPPA	3.54827
NPPB	0.326008
RP5-934G17.6	0.0548818
RNU5E-1	0.371771
RNU5E-4P	0
RP5-1077B9.5	0
Y_RNA	0.681588
MIR6729	0
RN7SL649P	0
TNFRSF8	0.325084
RNU6-777P	0
RPL23AP89	0
MIR7846	0
MIR4632	0
RPL10P17	0
SNORA70	0
RP5-888M10.2	0.161088
RNU6ATAC18P	1.54868
MIR6730	0
RP11-474O21.5	3.57189
AADACL4	0.0576703
RP11-474O21.2	0
AADACL3	0
C1orf158	0.030905
PRAMEF12	0
PRAMEF1	0
LINC01784	0
PRAMEF11	0
PRAMEF30P	0
HNRNPCL1	0.0886437
PRAMEF2	0
PRAMEF4	0
PRAMEF10	0
PRAMEF7	0
RNU6-1072P	0
PRAMEF29P	0
PRAMEF6	0
PRAMEF28P	0
PRAMEF27	0
HNRNPCL3	0
PRAMEF25	0
PRAMEF34P	0
PRAMEF35P	0
HNRNPCL2	0
PRAMEF36P	0
RP13-221M14.2	0
PRAMEF26	0
HNRNPCL4	0
PRAMEF9	0
PRAMEF13	0
PRAMEF18	0
PRAMEF31P	0
PRAMEF5	0
PRAMEF32P	0
RNU6-771P	0
PRAMEF8	0
PRAMEF33	0
PRAMEF15	0
RP11-219C24.10	0
PRAMEF14	0
PRAMEF19	0
PRAMEF17	0
PRAMEF20	0
LRRC38	0.0466521
RP4-597A16.2	0
BRWD1P1	0
RNA5SP41	0
CTA-520D8.2	0
SCARNA11	0
RNU6-1265P	0
RP11-344F13.1	0
RP4-704D23.1	0
TBCAP2	0
TMEM51-AS1	0.537717
C1orf195	0
RP1-21O18.3	0
RP5-903E17.2	0
FHAD1	0.819556
RP3-467K16.2	1.62658
RP3-467K16.7	0.566055
RP3-467K16.4	0.168963
CTRC	0.380042
CELA2A	0.21654
CELA2B	0.204757
SCARNA21	0
RP4-680D5.8	0.850292
AGMAT	0.627774
RP4-680D5.2	0.506369
CHCHD2P6	2.45598
RNU7-179P	0
CD24P1	0
RP4-680D5.9	0.300594
RP11-288I21.1	2.0636
TMEM82	0
RP11-169K16.4	0
RPL12P14	0.280434
RP11-169K16.8	1.38508
RP1-134O19.3	0
RP11-5P18.1	0.0693533
RP11-5P18.3	0
RP11-5P18.11	0
TBC1D3P6	0
C1orf64	0.498729
RP11-5P18.10	0.810304
FAM131C	2.00027
RP11-276H7.2	1.28601
RP11-276H7.3	0.836462
ANO7L1	4.09632
MT1XP1	2.74115
RP11-430L17.1	0.158867
SPATA21	0.036572
LINC01772	4.31177
RNU1-1	0
RP4-798A10.7	0.631766
RP4-798A10.4	0
LINC01783	0.0982179
RNU1-6P	0
FAM231B	0
RP5-875O13.6	0
NBPF1	4.14392
RP5-1182A14.5	0
RP1-163M9.8	0
RNU1-3	0
FAM231A	0
RP5-875O13.7	0.0391263
EIF1AXP1	0.735628
ESPNP	0.161159
RP1-163M9.7	0
FAM231C	0
RP5-1182A14.7	0
RNU1-4	0
CROCCP4	0
MST1L	4.31147
RP11-108M9.1	0
RP11-108M9.2	0
MIR3675	0
RP11-108M9.3	0.10656
RP11-108M9.5	4.46893
RNU1-2	0
RP11-108M9.6	0.679745
RP1-37C10.3	0
PADI2	0.86635
RP11-380J14.1	0
RP11-380J14.4	0
PADI1	0.0372926
PADI3	0
MIR3972	0
PADI4	0.479274
PADI6	0
RP11-473A10.2	0
ACTL8	0
LINC01654	0
IGSF21	1.09633
RP11-174G17.3	0.0197239
RP11-174G17	0
RP11-422P22.1	0
KLHDC7A	2.13949
DYNLL1P3	0
RP1-8B22.2	0
PAX7	0
TAS1R2	0
MIR4695	0
MIR1290	0
RP5-1126H10.2	1.52035
RP1-43E13.2	1.47232
AKR7L	1.33976
AKR7A3	3.26323
RP4-657E11.10	2.13327
RNU6-1099P	0
RN7SL277P	0
RNU4-28P	0
RP5-1056L3.1	0
HTR6	0.030359
RNF186	0
RP11-91K11.2	0
PLA2G2E	0
RN7SL304P	0
PLA2G5	2.6076
PLA2G2D	0.0267146
PLA2G2F	0
RP3-340N1.2	0.0363224
PLA2G2C	0.0189153
UBXN10-AS1	2.3805
LINC01757	0
VWA5B1	0.168053
RP4-745E8.2	0
LINC01141	0
RP4-749H3.2	0
RPS4XP4	0
FAM43B	2.44446
KIF17	4.36983
RP5-930J4.5	0
SH2D5	1.5175
RP5-930J4.2	0
RNU7-200P	0
MIR1256	0
RPS15AP6	0.251315
RP11-487E1.2	0
HSPE1P27	0
RP3-329E20.2	0.148853
RP5-1071N3.1	0.641825
PPP1R11P1	0
RP11-293F5.8	0
RP11-293F5.1	0
NBPF2P	1.91919
HS6ST1P1	0.652214
CROCCP5	0
NBPF3	4.56995
PFN1P10	0
RP11-63N8.3	0.583766
RP11-132G19.3	0
LDLRAD2	4.1083
RP11-26H16.1	0.193632
RP11-26H16.4	0
CELA3B	0.355711
RN7SL386P	0
RNU6-1022P	0
CELA3A	1.19655
