Name	Whole Blood
DDX11L1	0
WASH7P	2.64743
MIR6859-1	0
MIR1302-2HG	0
FAM138A	0
OR4G4P	0
OR4G11P	0
OR4F5	0
RP11-34P13.7	0.0964428
CICP27	0.795466
RP11-34P13.13	0.274032
RNU6-1100P	0
RP11-34P13.9	0
ABC7-43046700E7.1	0.266855
MIR6859-2	0
AP006222.2	0.857589
RPL23AP24	0
RP5-857K21.15	0
RP4-669L17.2	0
RP4-669L17.10	0.274418
WBP1LP7	0
OR4F29	0
CICP7	0
RP4-669L17.8	0.3369
U6	0
RP5-857K21.4	0.00845881
RP5-857K21.2	0
MTND1P23	2.89584
MTCO2P12	3.78611
MTATP8P1	2.62958
MTCO3P12	4.39504
WBP1LP6	0
OR4F16	0
RP11-206L10.17	0
CICP3	0.0265831
RP11-206L10.2	1.93888
RNU6-1199P	0
RP11-206L10.4	0
RP11-206L10.9	0.108981
RP11-206L10.8	0.518276
FAM87B	0.0748165
LINC01128	0.814233
LINC00115	1.25117
FAM41C	0.0201042
TUBB8P11	0.034503
FAM166AP3	0
RP11-54O7.16	0
RP11-54O7.1	0.0229721
RP11-54O7.2	0
RP11-54O7.3	0.0336503
SAMD11	0.046089
KLHL17	3.5812
PLEKHN1	0.496924
PERM1	0.172058
RP11-54O7.17	0.0936171
HES4	1.20548
RP11-54O7.10	0
RP11-54O7.11	0
AGRN	0.575363
RP11-465B22.3	0.315675
RP11-54O7.18	0
RNF223	0.0193373
C1orf159	2.62856
LINC01342	0.106732
MIR200B	0
MIR200A	0
MIR429	0
RP11-465B22.8	0.03462
TTLL10-AS1	0.0146896
TTLL10	0.0343699
B3GALT6	4.41826
C1QTNF12	0.834799
RP5-902P8.12	0.323274
LINC01786	0.547205
SCNN1D	1.2831
MIR6726	0
MIR6727	0
RP5-890O3.9	3.02414
TAS1R3	0.91979
MIR6808	0
MXRA8	0.800333
NDUFB4P8	0
RP4-758J18.13	0.932352
ANKRD65	0.0648365
RP4-758J18.7	0
TMEM88B	0
LINC01770	0
VWA1	0.113017
ATAD3C	0.155871
ATAD3A	4.89505
TMEM240	0.429757
RP5-832C2.5	0.176847
RP11-345P4.11	0
FNDC10	1.91201
RP11-345P4.9	2.54362
MMP23B	0.240423
RP11-345P4.10	0
RP11-345P4.6	1.1366
MMP23A	0.492894
RP1-283E3.4	3.06249
SLC35E2	1.67386
RP1-140A9.1	0.23585
CALML6	0.174714
TMEM52	0.069985
CFAP74	0.00673431
RP11-547D24.1	0
GABRD	0.0543746
RP11-547D24.3	0
PRKCZ	2.62529
RP5-892K4.1	0.212368
