Name	Bladder
DDX11L1	0
MIR6859-1	0
MIR1302-2HG	0
FAM138A	0
OR4G4P	0.0354698
OR4G11P	0
OR4F5	0.043814
RP11-34P13.7	0.0146345
CICP27	0.0161237
RP11-34P13.15	3.5028
RP11-34P13.14	0
RP11-34P13.13	0.202102
RNU6-1100P	0
RP11-34P13.9	0
ABC7-43046700E7.1	0.0715399
MIR6859-2	0
AP006222.2	0.294608
RPL23AP24	0.0862918
RP5-857K21.15	0
RP4-669L17.2	0
RP4-669L17.10	0.212978
WBP1LP7	0
OR4F29	0
CICP7	0
RP4-669L17.8	0
U6	0
RP5-857K21.4	0.0362016
RP5-857K21.2	0
WBP1LP6	0
OR4F16	0
RP11-206L10.17	0
CICP3	0.116437
RP11-206L10.2	2.81332
RNU6-1199P	0
RP11-206L10.4	0
RP11-206L10.9	0.641557
RP11-206L10.8	0.996388
FAM87B	0.833655
FAM41C	0.0578283
TUBB8P11	0.099458
FAM166AP3	0
RP11-54O7.16	0.755097
RP11-54O7.1	0.615655
RP11-54O7.2	0
PLEKHN1	4.22114
PERM1	1.7341
RP11-54O7.10	0.310424
RP11-54O7.11	0.346724
RP11-465B22.3	0.721019
RP11-54O7.18	0.0941143
RNF223	1.11801
LINC01342	0.137828
MIR200B	0.38558
MIR200A	0
MIR429	0
RP11-465B22.8	3.34014
TTLL10-AS1	0.105514
TTLL10	0.278031
TNFRSF18	1.49735
TNFRSF4	3.82554
C1QTNF12	1.86936
RP5-902P8.12	0.841441
LINC01786	4.56284
MIR6726	0
MIR6727	0
TAS1R3	0.520204
MIR6808	0
NDUFB4P8	0.206336
RP4-758J18.7	3.50441
TMEM88B	0.776623
RP5-832C2.5	0.871729
RP11-345P4.11	0
FNDC10	2.27142
MMP23B	1.56201
RP11-345P4.10	0
RP11-345P4.6	3.42336
MMP23A	0.64832
RP1-140A9.1	0.36967
CALML6	1.07237
TMEM52	0.665868
CFAP74	0.0384605
RP11-547D24.1	0.0340044
GABRD	0.239943
RP11-547D24.3	0
PRKCZ	1.26443
RP5-892K4.1	0.020752
RP11-181G12.4	0.28889
MORN1	2.08708
RP4-713A8.1	0.120871
RP4-740C4.5	2.48056
RP4-740C4.7	2.04576
RP3-395M20.2	0.358917
RP3-395M20.3	0.434398
HES5	0.839462
RP3-395M20.12	2.01914
RP3-395M20.8	3.1704
RP3-395M20.7	0.329579
RP3-395M20.9	1.32766
MMEL1	0.411897
RP13-436F16.1	0
TTC34	0.784549
ABC14-1188822O7.1	0
RP11-740P5.2	0
RP11-740P5.3	0
ACTRT2	0
LINC00982	1.72776
PRDM16	1.57269
MIR4251	0
RP1-163G9.2	0
RP11-193J6.1	0
RP11-22L13.1	0.0211673
ARHGEF16	3.94789
RP11-168F9.2	0.297351
MIR551A	0
RP11-46F15.2	3.00343
TP73	0.199639
RP5-1092A11.5	0
RP5-1092A11.2	0
CCDC27	0.03896
SMIM1	3.62509
RN7SL574P	0.986712
RP1-286D6.5	4.79096
LINC01134	0.350548
LINC01346	0.0229543
LINC01345	0.109891
EEF1DP6	0
LINC01777	0
RP1-37J18.1	0
LINC01646	0
AJAP1	0.56387
RP11-542C10.1	0
RP1-58B11.1	0
RP3-491M17.1	0
RP11-154H17.1	0.0446476
MIR4417	0
MIR4689	0
CHD5	0.824039
RP1-120G22.11	1.47999
LINC00337	0.0434778
HES3	0
HES2	0.0433591
ESPN	0.497107
MIR4252	0
RP1-202O8.2	0
RNU6-731P	0
RP11-58A11.2	0.13575
TAS1R1	0.171569
LINC01672	0
RP11-312B8.1	0.290756
RP11-312B8.2	0
RP11-334N17.1	0
RNU1-8P	0
CAMTA1-IT1	0.0745694
RP3-453P22.2	0
RP4-549F15.1	0.154627
RP11-338N10.1	0.0692497
RP11-338N10.2	0.128527
RP11-338N10.3	0.338237
RP3-467L1.6	4.10325
RP3-467L1.4	1.69434
UTS2	0.0589769
TNFRSF9	0.0548669
RP5-892F13.2	0
Y_RNA	0
RP11-431K24.1	0.286745
CTA-215D11.4	0.0710499
RP11-431K24.2	0
LINC01714	0
RNU1-7P	0
RP11-431K24.4	0
RNU6-991P	0
Y_RNA	0
RP5-1115A15.1	1.88035
SNORA77	0
RP5-1115A15.2	0
RPL7P11	0
RPL7P7	0.0387167
Y_RNA	0
RP4-633I8.3	0
RP4-633I8.4	0
RPL23AP19	0
MIR6728	0
ENO1-IT1	0.292665
ENO1-AS1	0.411711
RNU6-304P	0
HMGN2P17	0.0548826
RP3-477M7.5	0
RP3-477M7.6	0
CA6	0
RN7SL451P	0
SLC2A7	0
SLC2A5	1.10545
SCARNA16	0
GPR157	4.52263
LINC01759	1.50062
RP3-510D11.4	0.102392
RNA5SP40	0
RP13-392I16.1	0
RP13-15M17.1	0.254898
PIK3CD-AS1	0
RP11-558F24.2	0
PIK3CD-AS2	1.40881
MZT1P1	0
RP11-84A14.7	0.0335071
RP11-84A14.4	0.547329
RN7SKP269	0.25566
RP11-84A14.6	0
MIR5697	0
RP11-496H15.2	0
PGAM1P11	0.0835881
RNU6-828P	0
MIR1273D	0
RNU6-37P	0
RP4-736L20.3	0
CORT	1.50293
RN7SL614P	0.212819
RP4-734G22.3	2.79553
HSPE1P24	0
C1orf127	0.0728934
CFL1P6	0
MASP2	4.32441
RP4-635E18.6	0.506623
MTOR-AS1	0
RNU6-537P	0
RNU6-291P	0
RPL39P6	0
UBE2V2P3	0
MTCYBP45	0
DISP3	0.0616456
LINC01647	0
DRAXIN	0.0463878
C1orf167	0.010329
RP11-56N19.5	0
NPPA-AS1	1.7891
NPPA	1.34215
NPPB	0
RP5-934G17.6	0
RNU5E-1	0
RNU5E-4P	0
RP5-1077B9.5	0
Y_RNA	0.72173
MIR6729	0
RN7SL649P	0
TNFRSF8	0.760299
RNU6-777P	0
RPL23AP89	0
MIR7846	0
MIR4632	0
RPL10P17	0
SNORA70	0
SNORA59A	1.99856
RP5-888M10.2	0.254887
RNU6ATAC18P	1.12464
MIR6730	0
RP11-474O21.5	2.65346
AADACL4	0.0945862
RP11-474O21.2	0
AADACL3	0
C1orf158	0
PRAMEF12	0
PRAMEF1	0
LINC01784	0
PRAMEF11	0
PRAMEF30P	0
HNRNPCL1	0.100758
PRAMEF2	0
PRAMEF4	0
PRAMEF10	0
PRAMEF7	0
RNU6-1072P	0
PRAMEF29P	0
PRAMEF6	0
PRAMEF28P	0
PRAMEF27	0
HNRNPCL3	0
PRAMEF25	0
PRAMEF34P	0
PRAMEF35P	0
HNRNPCL2	0
PRAMEF36P	0
RP13-221M14.2	0
PRAMEF26	0
HNRNPCL4	0
PRAMEF9	0
PRAMEF13	0
PRAMEF18	0
PRAMEF31P	0
PRAMEF5	0
PRAMEF32P	0
RNU6-771P	0
PRAMEF8	0
PRAMEF33	0
PRAMEF15	0
RP11-219C24.10	0
PRAMEF14	0
PRAMEF19	0
PRAMEF17	0
PRAMEF20	0
LRRC38	0.416057
RP4-597A16.2	0
BRWD1P1	0
RNA5SP41	0
CTA-520D8.2	0.179241
SCARNA11	0
RNU6-1265P	0
RP11-344F13.1	0.142628
RP4-704D23.1	0
TBCAP2	0
TMEM51-AS1	2.86434
C1orf195	0.0594317
RP1-21O18.3	0
RP5-903E17.2	0
FHAD1	0.381101
RP3-467K16.2	0.301162
RP3-467K16.7	0.0520808
RP3-467K16.4	0.0565934
CTRC	0.432146
CELA2A	0.708676
CELA2B	0.135695
SCARNA21	0
RP4-680D5.8	0.245795
AGMAT	0.535844
RP4-680D5.2	0.167562
CHCHD2P6	1.37365
RNU7-179P	0
CD24P1	0
RP4-680D5.9	0
RP11-288I21.1	1.30223
SLC25A34	4.46935
TMEM82	0
RP11-169K16.4	0.215055
RPL12P14	0.347999
RP11-169K16.8	1.27725
RP1-134O19.3	0
RP11-5P18.1	0
RP11-5P18.3	0
RP11-5P18.11	0
TBC1D3P6	0
C1orf64	0.0441818
CLCNKA	0.38041
RP11-5P18.10	0.0943816
CLCNKB	0.149561
FAM131C	0.335688
RP11-276H7.2	0.672081
RP11-276H7.3	0.164309
ANO7L1	0.548948
MT1XP1	0.647379
RP11-430L17.1	0.0911712
SPATA21	0.0455551
LINC01772	2.96115
RNU1-1	0
RP4-798A10.7	0.244801
RP4-798A10.4	0
LINC01783	0.124201
RNU1-6P	0
FAM231B	0
RP5-875O13.6	0
RP5-1182A14.5	0.098001
MST1P2	3.61344
RP1-163M9.8	0
RNU1-3	0
FAM231A	0
RP5-875O13.7	0
EIF1AXP1	0.391999
ESPNP	0.0202306
RP1-163M9.7	0
FAM231C	0
RP5-1182A14.7	0
RNU1-4	0
CROCCP4	0
MST1L	0.896429
RP11-108M9.1	0
RP11-108M9.2	0
MIR3675	0
RP11-108M9.3	0.376826
RP11-108M9.5	4.26617
RNU1-2	0
RP11-108M9.6	0.412371
RP1-37C10.3	0.374632
PADI2	1.14356
RP11-380J14.1	0
RP11-380J14.4	0
PADI1	0.115929
MIR3972	0.342467
PADI4	0.297247
PADI6	0
RP11-473A10.2	0
ACTL8	0
LINC01654	0
IGSF21	3.40916
RP11-174G17.3	0.0524736
RP11-174G17	0
RP11-422P22.1	0
KLHDC7A	0.725396
DYNLL1P3	0
RP1-8B22.2	0
PAX7	0.00637117
TAS1R2	0
MIR4695	0
MIR1290	0
RP5-1126H10.2	2.41064
RP1-43E13.2	1.20382
AKR7L	0.702487
AKR7A3	1.57592
RP4-657E11.10	1.33967
RNU6-1099P	0
RN7SL277P	0
RNU4-28P	0
RP5-1056L3.1	0
HTR6	0.0492834
RNF186	0
RP11-91K11.2	0
PLA2G2E	0
RN7SL304P	0
PLA2G2D	0.0561903
PLA2G2F	4.04956
RP3-340N1.2	0.0798491
PLA2G2C	0.0805878
UBXN10-AS1	2.85538
UBXN10	3.99734
LINC01757	0
VWA5B1	0.255316
RP4-745E8.2	0
LINC01141	0.0144046
RP4-749H3.2	0
RPS4XP4	0
FAM43B	0.312762
PINK1-AS	3.55468
KIF17	1.76428
RP5-930J4.5	0
SH2D5	0.225273
RP5-930J4.2	0
RNU7-200P	0
MIR1256	0
RPS15AP6	0
RP11-487E1.2	0
HSPE1P27	0
RP3-329E20.2	0.0703429
RP5-1071N3.1	0.31084
