Name	Brain - Anterior cingulate cortex (BA24)
DDX11L1	0
WASH7P	1.69285
MIR6859-1	0
MIR1302-2HG	0
FAM138A	0
OR4G4P	0.0535347
OR4G11P	0.0679508
OR4F5	0.0767212
RP11-34P13.7	0.0207742
CICP27	0.017505
RP11-34P13.15	1.3302
RP11-34P13.16	1.031
RP11-34P13.14	0
RP11-34P13.13	0.0554014
RNU6-1100P	0
RP11-34P13.9	0
ABC7-43046700E7.1	0.0435187
RP11-34P13.18	3.16393
MIR6859-2	0
AP006222.2	0.453445
RPL23AP24	0.0777139
RP5-857K21.15	0
RP4-669L17.2	0.0287137
RP4-669L17.10	0.121958
WBP1LP7	0.0959607
OR4F29	0.0551004
CICP7	0.0101192
RP4-669L17.8	0
U6	0
RP5-857K21.4	0.046629
RP5-857K21.2	0
WBP1LP6	0.0625403
OR4F16	0.0472291
RP11-206L10.17	0
CICP3	0.114846
RP11-206L10.2	0.453407
RNU6-1199P	0
RP11-206L10.4	0.0521508
RP11-206L10.9	0.427529
RP11-206L10.8	0.383922
FAM87B	0.219165
LINC01128	4.99265
LINC00115	1.42312
FAM41C	0.123684
TUBB8P11	0.155731
FAM166AP3	0.0537531
RP11-54O7.16	0.355916
RP11-54O7.1	0.234932
RP11-54O7.2	0
RP11-54O7.3	0.412205
SAMD11	0.466223
PLEKHN1	0.100712
PERM1	0.228346
RP11-54O7.17	2.83092
RP11-54O7.10	0
RP11-54O7.11	0.4656
RP11-465B22.3	3.53525
RP11-54O7.18	0.350368
RNF223	0.0742518
LINC01342	0.0776909
MIR200B	0
MIR200A	0
MIR429	0
RP11-465B22.8	0.0719308
TTLL10-AS1	0.0494412
TTLL10	0.0831322
TNFRSF18	1.89223
TNFRSF4	0.696072
C1QTNF12	0.926221
RP5-902P8.12	0.339171
LINC01786	3.39327
MIR6726	0
MIR6727	0
TAS1R3	0.415602
MIR6808	0
NDUFB4P8	0.208839
RP4-758J18.13	3.56338
RP4-758J18.7	1.60338
TMEM88B	3.37364
LINC01770	0.663507
ATAD3C	1.32042
RP5-832C2.5	1.55068
RP11-345P4.11	0.0599812
MMP23B	0.12369
RP11-345P4.10	0
RP11-345P4.6	0.384941
MMP23A	0.165499
RP1-283E3.4	3.71391
SLC35E2	2.6036
RP1-140A9.1	1.71424
CALML6	0.912597
TMEM52	1.91279
CFAP74	1.13971
RP11-547D24.1	1.5974
RP11-547D24.3	0
RP5-892K4.1	0.0681551
PRKCZ-AS1	3.6696
RP11-181G12.4	0.110863
MORN1	1.32599
RP4-713A8.1	0.592201
RP4-740C4.5	2.07203
RP3-395M20.2	0.616043
RP3-395M20.3	0.770137
RP3-395M20.8	0.288505
RP3-395M20.7	0.0551004
RP3-395M20.9	0.276319
MMEL1	0.284534
RP13-436F16.1	0
TTC34	0.742585
ABC14-1188822O7.1	0.0428766
RP11-740P5.2	0
RP11-740P5.3	0
ACTRT2	0
PRDM16	3.85671
MIR4251	0
RP1-163G9.2	0
RP11-193J6.1	0.0200773
RP11-22L13.1	0.14969
ARHGEF16	1.06349
RP11-168F9.2	0.0652309
MEGF6	1.59277
MIR551A	0
RP11-46F15.2	4.05842
TP73	0.275503
RP5-1092A11.5	0
RP5-1092A11.2	0
CCDC27	0.0308848
SMIM1	0.942536
RN7SL574P	0.129909
RP1-286D6.5	1.08712
DFFB	3.86355
LINC01134	0.0636277
LINC01346	0.222703
LINC01345	0.0434069
EEF1DP6	0
LINC01777	0
RP1-37J18.1	0
LINC01646	0
RP11-542C10.1	0
RP1-58B11.1	0
RP3-491M17.1	0
RP11-154H17.1	0.506714
MIR4417	0
MIR4689	0
NPHP4	4.90492
RP1-120G22.11	1.92411
LINC00337	0.0299361
HES3	0
HES2	0.00852097
ESPN	0.170978
MIR4252	0
RP1-202O8.2	0
NOL9	4.99612
RNU6-731P	0
RP11-58A11.2	0.104532
TAS1R1	0.10418
LINC01672	0
RP11-312B8.1	0.342275
RP11-312B8.2	0
RP11-334N17.1	0
RNU1-8P	0
CAMTA1-IT1	0.0991061
RP3-453P22.2	0
RP4-549F15.1	0
RP11-338N10.1	0.976996
RP11-338N10.2	0.707845
RP11-338N10.3	1.14795
RP3-467L1.6	1.90578
RP3-467L1.4	0.813462
UTS2	0.0101456
TNFRSF9	0.0048312
RP5-892F13.2	0
Y_RNA	0
RP11-431K24.1	0.116367
CTA-215D11.4	0
RP11-431K24.2	0
